file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;7;4;;;3743;5;;;341;24;4;;;356;5;;;350;16;4;;;338;6;;;354
10034.jpg;7;7;;;337;4;;;348;23;6;;;336;4;;;367;15;5;;;339;5;;;337
10040.jpg;4;4;;;333;4;;;334;13;4;;;350;6;;;346;14;5;;;355;4;;;354
10070.jpg;10;5;;;354;6;;;338;26;6;;;349;5;;;352;12;4;;;336;5;;;359
10100.jpg;6;4;;;338;4;;;355;13;4;;;341;5;;;356;19;5;;;339;5;;;359
10132.jpg;11;4;;;340;4;;;337;23;5;;;341;4;;;340;12;4;;;345;4;;;341
10162.jpg;8;4;;;354;4;;;347;26;5;;;371;5;;;344;16;4;;;358;5;;;352
10193.jpg;16;5;;;350;5;;;358;21;4;;;353;4;;;371;21;4;;;343;4;;;359
10225.jpg;12;4;;;338;4;;;356;28;5;;;347;6;;;360;22;5;;;343;5;;;352
10229.jpg;12;3;;;341;5;;;348;20;5;;;339;5;;;353;20;4;;;347;4;;;342
10256.jpg;14;5;;;353;4;;;339;33;6;;;356;5;;;344;23;5;;;350;5;;;351
10288.jpg;26;5;;;341;5;;;356;30;5;;;356;5;;;377;26;5;;;347;5;;;376
10319.jpg;22;4;;;352;6;;;347;35;5;;;359;4;;;366;24;6;;;335;6;;;339
10328.jpg;25;5;;;361;5;;;359;34;5;;;383;2;;;356;23;5;;;362;5;;;415
10351.jpg;14;5;;;439;6;;;422;39;4;;;506;6;;;486;31;4;;;524;5;;;489
10381.jpg;28;6;;;473;6;;;401;44;7;;;374;9;[[1.333020309476602, -0.14819207879404558, 177.1821538252883], [0.21123847106361152, 1.0092035691239276, -485.27608238210405], [0.0002216780469865349, -0.0001774233018522887, 1.0]];[[2.721319206156307e-07, -1.3910659770205124e-06, -0.0003384584328018415], [1.4087135397347924e-06, -1.6174208207264954e-07, -0.0020837902116693785], [-0.0007312249393662203, 0.0018163026198829355, 1.0]];360;30;7;;;374;9;[[0.29190367079316193, -0.5885569434698761, 901.8404118191279], [0.07829012561082922, 0.5089201284452819, -204.06372923823372], [-0.00015545560331831735, -0.00014246218439307808, 1.0]];[[2450310.7769344524, -18934370.24378246, -3280030260.2946186], [18075155.72441834, 13677896.84332633, -26815897613.906322], [-7221218509.46344, 20693501674.94159, 10266300456327.3]];349
10412.jpg;29;5;;;372;6;;;366;43;4;;;420;11;[[0.4273551460139893, -0.4788980268295851, 709.9317015814183], [0.020827006155076995, 0.5091152991365018, -101.7709448907389], [-0.00013031404774473362, -0.0003904545760797083, 1.0]];[[1.3476998735397802e-07, -2.22541712267859e-06, 0.00042763868938654474], [2.0759643675901153e-06, -4.6783258872634996e-07, -0.002951818526970759], [-0.0012111648492176025, 0.0028326904433290372, 1.0]];363;66;15;[[5.9961196165271495, 0.41606492433483305, -1613.6618138291333], [1.436690797800539, 2.653753456067733, -1815.742142584305], [0.0019460234668691944, 0.0005468467881330062, 1.0]];[[1.0603523655965454e-05, -1.7855831826213092e-05, -0.02086086447570749], [1.8412594539160405e-05, 2.7472700210973088e-06, -0.031055383164391485], [-0.010079712972397953, 0.022439826311841087, 20.667370474709486]];348;21;[[1.9398110158938249, 0.018329998949762054, -114.22122908831474], [0.24540428860560834, 1.2851589060218633, -541.0277453026011], [0.00043253558920326783, -9.993292097351208e-05, 1.0]];[[-3.0994495342386683e-06, 2.4038617373138644e-05, 0.000708129940810402], [-2.96463240986623e-05, 4.366308597426044e-06, 0.0568360712586157], [0.0169281174475429, -0.04554887812660634, -22.897517735070736]];355
10430.jpg;28;5;;;380;5;;;408;53;3;;;420;8;[[0.23215610836924974, -0.7589450064799589, 802.2478323661535], [-0.061716189593590765, 0.24624342105831412, 146.35300749244345], [-0.0001668147045131965, -0.0005193777624682915, 1.0]];[[4.3290859559706396e-07, 7.163545569018258e-07, -0.0006334730769724537], [2.345626595299754e-07, -1.0212823058428164e-06, 0.0007029860257261925], [-0.0009030525460029483, -0.001061303876276301, 1.0]];492;57;10;[[1.253036944474428, -0.39261342006542155, 329.00360759006855], [0.45062946070053583, 1.003660501175883, -527.4278106569099], [0.00019103001413797, -0.00015419083012954815, 1.0]];[[3.964085988056364e-07, -9.14194574501074e-07, -0.0004839487248075383], [1.0839326712966387e-06, 1.042524705393772e-08, -0.0019015714248228656], [-0.0007618416332326617, 0.001453447996469071, 1.0]];369;6;;;372
10442.jpg;39;4;;;389;4;;;437;66;4;;;489;5;;;496;66;12;[[1.629696224749785, 0.003443573311329645, 73.38880169103591], [0.5421025779011849, 1.2477762996950954, -821.2439072961731], [0.00028571027376997934, 0.00011316086666039131, 1.0]];[[-1.9964049731197173e-06, 5.984632753557322e-06, 0.00020525301511884863], [-6.164711184730142e-06, -8.83745893253408e-07, 0.0112083617078977], [0.007122871548231122, -0.00883472551075886, -7.568157936978857]];480;15;[[1.3329570866625557, -0.4644833057177577, 124.32780779504068], [0.14923793857762946, 0.936551358610059, -410.3983452701022], [0.00023123960803208933, -0.0003397073376533516, 1.0]];[[5.739631315885562e-08, -1.1562854294982828e-06, 0.0004265191586207229], [1.368622214864087e-06, -1.5944812922423837e-07, -0.0023741905212018443], [-0.0010925401312452863, 0.002083602790182893, 1.0]];446
