file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;6;5;;;2149;4;;;320;45;6;;;516;6;;;533;24;5;;;728;5;;;708
10034.jpg;0;0;;;414;0;;;374;7;5;;;297;5;;;360;18;5;;;325;6;;;384
10040.jpg;0;0;;;294;0;;;266;16;5;;;319;4;;;333;30;7;;;340;7;;;368
10070.jpg;0;0;;;314;0;;;403;12;5;;;358;5;;;367;62;6;;;487;5;;;422
10100.jpg;0;0;;;326;0;;;330;11;5;;;386;5;;;508;47;4;;;601;3;;;572
10132.jpg;0;0;;;348;0;;;347;38;5;;;502;4;;;409;64;1;;;547;5;;;503
10162.jpg;0;0;;;354;0;;;355;36;5;;;540;5;;;444;63;7;;;569;7;;;488
10193.jpg;0;0;;;357;5;;;374;21;5;;;485;6;;;421;104;4;;;496;6;;;516
10225.jpg;3;3;;;360;4;;;361;28;6;;;529;5;;;521;68;4;;;550;6;;;506
10229.jpg;14;5;;;363;3;;;354;43;5;;;519;6;;;437;68;1;;;522;1;;;511
10256.jpg;3;3;;;333;4;;;349;42;5;;;489;4;;;377;136;7;;;449;6;;;468
10288.jpg;12;5;;;333;5;;;342;60;4;;;498;5;;;465;89;5;;;547;3;;;513
10319.jpg;10;6;;;343;14;[[2.1587724756035906, 1.6417107763693275, -1656.4153208011357], [-0.25072939920849424, 0.5016462724817772, 267.63086930114395], [-4.967536370586404e-05, -0.00016375403498645932, 1.0]];[[-3.1365594051644224e-06, -3.0668679727023364e-05, 0.011990336378683825], [7.088939310328463e-06, -2.4107565565572735e-05, 0.003639030671020216], [-0.0006136526710951156, 0.03165243637421854, -10.042908032005528]];354;33;4;;;495;4;;;519;;;;;;3;;;459
10328.jpg;23;5;;;369;7;;;335;20;5;;;402;6;;;450;59;5;;;540;7;;;380
10351.jpg;43;8;[[1.2701857411913626, 0.09437110971043002, -180.1160373104513], [0.06375348506216487, 0.6617902294196877, -113.40082599276245], [2.667722304267752e-05, -0.00016552445999630912, 0.9999999999999999]];[[9.115735015162001e-07, -1.779194589448657e-05, 0.00014710198370608898], [9.501069388031373e-06, -3.0139916262687197e-06, -0.006383800932775155], [-0.0022406127617985152, 0.012358122877364661, 1.0]];380;9;[[0.7254710663720647, -0.09562198203631808, 364.7243127720104], [0.035171627599083925, 0.7692434912518419, -214.28504037351848], [2.914459514690199e-05, -0.0002317407262499272, 1.0]];[[2.936609366607198e-07, -1.05141490537411e-06, -0.000529695803228091], [1.9203381328418545e-06, -1.7456847228248413e-07, -0.0019303684777915186], [-0.0008013050805736349, 0.0009228080398961751, 1.0]];353;30;7;;;389;8;[[0.2070719034488558, 0.22609792361410333, -2.265674075292326], [0.010515857757977939, 0.2994257646261062, -100.84664452486928], [-0.0004190346988951728, -6.31100815821784e-05, 1.0]];[[1.6138306056633836e-06, -5.360092337300047e-06, 0.0006152738162551183], [3.2691262476099757e-06, -2.653608664787508e-06, -0.0017579723589916689], [-0.004661300016946619, 0.007897959639508905, 1.0]];448;66;6;;;428;4;;;430
10381.jpg;12;3;;;357;3;;;351;32;6;;;463;4;;;467;28;6;;;439;7;;;473
10412.jpg;7;4;;;338;5;;;350;26;3;;;488;6;;;439;21;5;;;451;6;;;457
10430.jpg;23;6;;;348;6;;;437;30;4;;;532;4;;;376;52;5;;;468;5;;;462
10442.jpg;27;6;;;368;5;;;361;54;4;;;484;5;;;503;48;4;;;510;6;;;473
10472.jpg;47;6;;;433;6;;;365;29;6;;;410;6;;;454;218;17;[[1.1369562750953086, -0.3115156042573851, 429.0778949096103], [0.3951758353717595, 0.8762020605978681, -544.0361641411546], [0.00013939648691409045, -0.00016351197501547962, 1.0]];[[2.988233506071379e-07, -8.05583782716474e-07, -0.00015250874071195942], [8.47638456288446e-07, 2.841876491288006e-08, -0.0014589237828148158], [-0.0008838821455485935, 0.0011454909684780658, 1.0]];495;3;;;493
