file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;13;13;;;2789;10;;;560;10;10;;;481;13;;;475;4;4;;;476;9;;;480
10034.jpg;3;3;;;484;3;;;492;6;6;;;485;8;;;479;2;2;;;462;1;;;479
10040.jpg;6;6;;;471;3;;;482;8;8;;;464;6;;;470;5;5;;;494;2;;;531
10070.jpg;4;4;;;428;5;;;449;6;6;;;483;6;;;440;2;2;;;444;2;;;473
10100.jpg;1;1;;;527;3;;;486;4;4;;;422;5;;;549;2;2;;;516;3;;;445
10132.jpg;1;1;;;413;4;;;504;3;3;;;395;4;;;522;2;2;;;391;0;;;388
10162.jpg;3;3;;;442;1;;;400;3;3;;;503;4;;;405;4;4;;;378;1;;;431
10193.jpg;6;6;;;539;6;;;570;5;5;;;405;5;;;404;5;5;;;447;4;;;575
10225.jpg;9;9;;;452;11;;;439;11;11;;;461;12;;;453;10;10;;;385;9;;;437
10229.jpg;11;11;;;463;11;;;389;14;14;;;396;12;;;403;10;10;;;398;9;;;402
10256.jpg;13;13;;;437;16;;;446;19;19;;;539;22;;;524;13;13;;;430;15;;;629
10288.jpg;19;19;;;473;20;;;473;31;31;;;534;28;;;529;15;15;;;575;12;;;568
10319.jpg;28;28;;;560;25;;;528;27;27;;;491;27;;;509;13;13;;;469;14;;;477
10328.jpg;34;34;;;696;24;;;486;27;27;;;504;29;;;479;15;15;;;477;16;;;472
10351.jpg;33;33;;;491;25;;;616;27;27;;;501;31;;;633;10;10;;;475;10;;;475
10381.jpg;32;32;;;533;32;;;557;24;24;;;506;27;;;513;17;17;;;491;23;;;466
10412.jpg;31;31;;;596;33;;;553;36;36;;;511;33;;;516;32;32;;;470;23;;;470
10430.jpg;35;35;;;549;34;;;486;35;35;;;501;34;;;497;25;25;;;540;23;;;629
10442.jpg;47;47;;;553;49;;;499;41;41;;;523;29;;;505;34;34;;;475;29;;;477
10472.jpg;46;46;;;558;40;;;495;33;33;;;504;34;;;505;31;31;;;474;30;;;511
10501.jpg;48;48;;;619;59;;;540;48;48;;;729;44;;;511;43;43;;;485;54;;;595
10531.jpg;40;40;;;526;52;;;522;52;52;;;536;55;;;509;42;42;;;488;50;;;497
10535.jpg;47;47;;;522;53;;;514;50;50;;;660;53;;;528;51;51;;;507;59;;;502
10561.jpg;48;48;;;515;47;;;560;35;35;;;689;46;;;712;53;53;;;535;56;;;507
10591.jpg;40;40;;;669;37;;;502;39;39;;;496;35;;;494;40;40;;;491;46;;;493
10622.jpg;33;33;;;487;29;;;489;33;33;;;516;30;;;599;35;35;;;507;33;;;491
10645.jpg;26;26;;;477;36;;;480;34;34;;;483;36;;;482;32;32;;;473;32;;;594
10652.jpg;26;26;;;691;26;;;480;29;29;;;489;32;;;476;27;27;;;535;29;;;479
10684.jpg;26;26;;;485;20;;;462;34;34;;;509;29;;;516;30;30;;;469;28;;;464
10717.jpg;27;27;;;475;18;;;458;24;24;;;469;26;;;457;21;21;;;445;24;;;451
10748.jpg;22;22;;;470;24;;;717;15;15;;;462;17;;;461;20;20;;;445;23;;;454
10777.jpg;6;6;;;500;8;;;462;8;8;;;463;10;;;444;5;5;;;422;11;;;434
10780.jpg;8;8;;;434;10;;;437;8;8;;;574;8;;;438;8;8;;;403;10;;;413
10811.jpg;6;6;;;433;10;;;438;11;11;;;581;10;;;413;8;8;;;372;11;;;392
10841.jpg;8;8;;;392;7;;;411;7;7;;;409;9;;;407;6;6;;;519;6;;;390
10870.jpg;4;4;;;414;7;;;408;6;6;;;395;6;;;405;5;5;;;370;5;;;385
10894.jpg;9;9;;;409;8;;;404;7;7;;;464;7;;;381;8;8;;;369;8;;;390
10900.jpg;11;11;;;458;10;;;417;11;11;;;508;9;;;403;5;5;;;407;7;;;397
10930.jpg;14;14;;;433;13;;;443;13;13;;;434;14;;;432;13;13;;;420;15;;;557
10960.jpg;14;14;;;440;17;;;442;16;16;;;440;16;;;540;30;30;;;456;27;;;477
10990.jpg;17;17;;;457;18;;;449;17;17;;;450;11;;;473;23;23;;;460;21;;;461
11021.jpg;17;17;;;530;10;;;458;12;12;;;461;12;;;438;20;20;;;451;24;;;448
11029.jpg;17;17;;;666;15;;;464;16;16;;;452;17;;;500;18;18;;;649;19;;;468
11051.jpg;25;25;;;494;20;;;526;21;21;;;480;22;;;489;21;21;;;449;23;;;528
11083.jpg;27;27;;;455;24;;;459;25;25;;;470;24;;;491;23;23;;;440;18;;;458
11114.jpg;25;25;;;539;25;;;458;26;26;;;473;20;;;464;22;22;;;438;24;;;427
11146.jpg;23;23;;;572;33;;;587;31;31;;;496;38;;;508;22;22;;;445;26;;;446
11165.jpg;23;23;;;454;24;;;573;33;33;;;470;27;;;510;20;20;;;462;16;;;435
11177.jpg;25;25;;;547;23;;;477;35;35;;;479;32;;;482;21;21;;;494;19;;;453
11210.jpg;26;26;;;487;24;;;593;21;21;;;486;34;;;481;20;20;;;448;21;;;526
11240.jpg;22;22;;;517;17;;;460;19;19;;;558;23;;;508;11;11;;;438;17;;;447
11273.jpg;22;22;;;504;25;;;492;28;28;;;512;23;;;484;35;35;;;474;28;;;467
11279.jpg;15;15;;;674;23;;;530;25;25;;;611;28;;;505;22;22;;;461;26;;;611
11296.jpg;22;22;;;477;22;;;500;22;22;;;516;23;;;479;20;20;;;446;16;;;429
11312.jpg;23;23;;;456;18;;;448;24;24;;;495;20;;;472;15;15;;;616;14;;;585
11323.jpg;19;19;;;689;24;;;473;26;26;;;502;22;;;471;20;20;;;451;19;;;439
11327.jpg;23;23;;;484;17;;;457;23;23;;;485;21;;;477;19;19;;;446;19;;;441
11342.jpg;27;27;;;641;27;;;492;30;30;;;498;21;;;535;19;19;;;508;18;;;772
11359.jpg;21;21;;;487;18;;;548;23;23;;;493;21;;;586;17;17;;;463;20;;;571
11375.jpg;21;21;;;467;15;;;531;20;20;;;485;22;;;568;16;16;;;629;18;;;457
11380.jpg;20;20;;;466;23;;;465;16;16;;;483;22;;;469;18;18;;;453;15;;;484
11390.jpg;23;23;;;750;18;;;470;23;23;;;470;24;;;476;23;23;;;485;17;;;443
11407.jpg;15;15;;;427;16;;;428;19;19;;;539;17;;;449;18;18;;;576;17;;;450
11423.jpg;9;9;;;428;10;;;426;13;13;;;440;11;;;451;14;14;;;429;14;;;424
11438.jpg;13;13;;;539;11;;;432;15;15;;;545;14;;;443;12;12;;;523;20;;;423
11453.jpg;13;13;;;406;10;;;415;19;19;;;442;17;;;531;19;19;;;416;16;;;439
11470.jpg;10;10;;;406;11;;;402;19;19;;;414;24;;;426;22;22;;;385;20;;;396
11486.jpg;11;11;;;391;14;;;379;16;16;;;402;18;;;404;21;21;;;402;17;;;398
11498.jpg;16;16;;;361;12;;;363;19;19;;;364;11;;;388;15;15;;;361;17;;;376
11501.jpg;7;7;;;370;7;;;359;10;10;;;367;9;;;439;11;11;;;370;14;;;353
11518.jpg;2;2;;;479;4;;;350;4;4;;;346;0;;;352;14;14;;;354;14;;;338
11534.jpg;7;7;;;339;5;;;341;5;5;;;359;3;;;365;17;17;;;342;10;;;352
11549.jpg;5;5;;;404;3;;;357;4;4;;;364;2;;;368;8;8;;;351;5;;;349
11557.jpg;6;6;;;320;7;;;483;5;5;;;326;4;;;431;6;6;;;408;7;;;339
11566.jpg;12;12;;;378;9;;;363;10;10;;;350;8;;;356;16;16;;;366;8;;;324
11582.jpg;25;25;;;366;19;;;378;22;22;;;531;20;;;375;20;20;;;415;23;;;354
11597.jpg;28;28;;;372;23;;;398;27;27;;;380;22;;;423;33;33;;;384;29;;;390
11615.jpg;31;31;;;434;28;;;427;28;28;;;421;29;;;439;43;43;;;575;37;;;425
11618.jpg;22;22;;;450;22;;;407;33;33;;;407;34;;;422;34;34;;;403;31;;;408
11630.jpg;42;42;;;444;43;;;436;44;44;;;448;41;;;438;46;46;;;451;41;;;447
11647.jpg;56;56;;;468;50;;;455;65;65;;;483;58;;;469;55;55;;;465;59;;;477
11663.jpg;65;65;;;477;53;;;464;59;59;;;485;69;;;485;71;71;;;511;65;;;486
11680.jpg;67;67;;;510;70;;;503;77;77;;;510;67;;;494;67;67;;;582;66;;;485
11686.jpg;56;56;;;470;63;;;475;62;62;;;583;58;;;565;55;55;;;497;60;;;503
11696.jpg;58;58;;;523;60;;;467;64;64;;;499;63;;;498;50;50;;;487;54;;;475
11713.jpg;67;67;;;540;54;;;481;61;61;;;500;61;;;512;71;71;;;610;51;;;579
11729.jpg;62;62;;;570;48;;;485;40;40;;;569;54;;;548;61;61;;;512;63;;;505
11744.jpg;37;37;;;482;37;;;456;42;42;;;496;37;;;491;58;58;;;502;58;;;644
11759.jpg;24;24;;;492;25;;;450;24;24;;;594;24;;;508;45;45;;;488;44;;;469
11762.jpg;21;21;;;450;15;;;546;27;27;;;494;22;;;540;41;41;;;586;40;;;543
11777.jpg;14;14;;;465;15;;;445;24;24;;;523;15;;;580;38;38;;;454;41;;;450
11794.jpg;11;11;;;446;8;;;453;13;13;;;448;11;;;454;28;28;;;416;31;;;426
11810.jpg;8;8;;;470;6;;;473;9;9;;;552;7;;;544;10;10;;;419;6;;;514
11827.jpg;5;5;;;622;4;;;446;3;3;;;458;4;;;467;3;3;;;417;3;;;444
11834.jpg;5;5;;;443;5;;;435;5;5;;;456;6;;;462;4;4;;;415;4;;;455
11843.jpg;4;4;;;464;6;;;495;7;7;;;462;6;;;485;3;3;;;425;2;;;425
11860.jpg;4;4;;;557;5;;;462;5;5;;;529;6;;;583;3;3;;;436;3;;;424
11876.jpg;5;5;;;479;5;;;486;5;5;;;588;4;;;512;3;3;;;473;3;;;508
11893.jpg;5;5;;;542;8;;;472;5;5;;;489;9;;;483;3;3;;;506;4;;;473
11906.jpg;7;7;;;625;7;;;472;6;6;;;492;6;;;488;5;5;;;482;6;;;472
11909.jpg;6;6;;;484;4;;;484;7;7;;;491;6;;;483;11;11;;;622;4;;;465
11927.jpg;12;12;;;475;6;;;501;12;12;;;481;7;;;479;13;13;;;619;9;;;469
11944.jpg;11;11;;;491;6;;;479;9;9;;;570;6;;;487;14;14;;;465;12;;;557
11960.jpg;12;12;;;479;6;;;478;9;9;;;479;4;;;466;9;9;;;483;12;;;468
11975.jpg;15;15;;;468;10;;;484;5;5;;;495;5;;;484;15;15;;;468;14;;;470
11977.jpg;9;9;;;467;7;;;454;8;8;;;459;6;;;459;14;14;;;525;15;;;625
11993.jpg;11;11;;;577;9;;;464;5;5;;;456;4;;;579;15;15;;;467;10;;;454
12011.jpg;11;11;;;477;10;;;464;3;3;;;447;3;;;438;18;18;;;475;18;;;467
12028.jpg;11;11;;;460;9;;;465;3;3;;;603;4;;;429;14;14;;;472;10;;;456
12044.jpg;10;10;;;475;8;;;469;4;4;;;416;1;;;421;12;12;;;474;6;;;462
12047.jpg;9;9;;;501;5;;;500;7;7;;;437;4;;;436;14;14;;;457;12;;;441
12062.jpg;10;10;;;461;8;;;457;4;4;;;555;4;;;429;17;17;;;528;13;;;458
12079.jpg;14;14;;;465;7;;;457;9;9;;;425;6;;;496;15;15;;;464;13;;;457
12095.jpg;11;11;;;474;11;;;470;8;8;;;436;11;;;436;12;12;;;464;11;;;461
12112.jpg;10;10;;;458;13;;;476;13;13;;;447;11;;;517;20;20;;;559;16;;;473
12121.jpg;16;16;;;462;12;;;556;11;11;;;463;8;;;457;14;14;;;576;14;;;458
12128.jpg;18;18;;;468;18;;;451;8;8;;;481;8;;;463;16;16;;;608;14;;;470
12145.jpg;15;15;;;474;16;;;467;18;18;;;646;11;;;561;20;20;;;475;12;;;465
12161.jpg;14;14;;;504;18;;;466;18;18;;;519;17;;;463;22;22;;;460;17;;;477
12178.jpg;8;8;;;566;9;;;449;13;13;;;475;13;;;467;16;16;;;454;12;;;469
12194.jpg;9;9;;;458;9;;;450;11;11;;;453;11;;;458;12;12;;;466;8;;;454
12212.jpg;10;10;;;453;11;;;436;10;10;;;502;11;;;497;9;9;;;433;14;;;443
12227.jpg;8;8;;;551;6;;;430;6;6;;;658;6;;;525;8;8;;;459;10;;;417
12244.jpg;4;4;;;421;5;;;420;7;7;;;476;7;;;415;8;8;;;382;6;;;388
12260.jpg;5;5;;;396;5;;;401;4;4;;;485;3;;;494;3;3;;;417;3;;;378
12272.jpg;3;3;;;413;5;;;482;5;5;;;570;5;;;418;5;5;;;390;3;;;560
12277.jpg;3;3;;;582;2;;;400;3;3;;;462;3;;;429;2;2;;;381;3;;;381
12293.jpg;2;2;;;604;2;;;448;2;2;;;410;1;;;402;1;1;;;376;0;;;736
12310.jpg;2;2;;;381;2;;;381;2;2;;;392;2;;;395;2;2;;;409;2;;;373
12326.jpg;1;1;;;414;3;;;386;4;4;;;395;2;;;407;1;1;;;484;2;;;663
12344.jpg;2;2;;;431;2;;;389;3;3;;;440;2;;;398;0;0;;;378;0;;;375
12347.jpg;2;2;;;401;4;;;386;3;3;;;498;4;;;487;2;2;;;399;1;;;461
12359.jpg;2;2;;;397;3;;;387;3;3;;;388;3;;;390;3;3;;;369;2;;;434
12376.jpg;4;4;;;397;3;;;529;4;4;;;405;2;;;453;2;2;;;384;6;;;371
12392.jpg;2;2;;;402;3;;;387;7;7;;;408;4;;;410;4;4;;;434;2;;;530
12409.jpg;2;2;;;401;1;;;395;3;3;;;464;5;;;412;1;1;;;361;2;;;422
12425.jpg;2;2;;;373;1;;;463;4;4;;;431;4;;;415;1;1;;;361;1;;;357
12440.jpg;3;3;;;389;2;;;492;5;5;;;451;3;;;399;1;1;;;415;1;;;357
12457.jpg;2;2;;;531;2;;;381;2;2;;;415;4;;;409;1;1;;;363;0;;;359
12473.jpg;5;5;;;406;2;;;399;7;7;;;413;8;;;453;0;0;;;377;0;;;366
12488.jpg;7;7;;;497;4;;;397;6;6;;;560;6;;;408;2;2;;;364;1;;;384
12503.jpg;6;6;;;425;5;;;486;8;8;;;425;11;;;492;3;3;;;450;4;;;374
12505.jpg;11;11;;;422;8;;;495;9;9;;;422;8;;;523;7;7;;;400;9;;;391
12521.jpg;9;9;;;561;12;;;427;17;17;;;437;17;;;436;5;5;;;392;10;;;395
12536.jpg;9;9;;;427;9;;;426;16;16;;;442;16;;;433;7;7;;;403;8;;;613
12553.jpg;9;9;;;453;13;;;548;13;13;;;460;11;;;455;11;11;;;430;8;;;419
12569.jpg;14;14;;;478;14;;;470;10;10;;;469;15;;;514;7;7;;;490;9;;;437
12575.jpg;12;12;;;587;14;;;642;17;17;;;474;22;;;478;7;7;;;433;7;;;524
12584.jpg;17;17;;;707;14;;;585;18;18;;;478;20;;;535;8;8;;;474;6;;;426
12599.jpg;15;15;;;468;16;;;853;18;18;;;488;18;;;487;5;5;;;424;8;;;427
12617.jpg;14;14;;;454;12;;;714;15;15;;;476;12;;;573;8;8;;;435;8;;;436
12632.jpg;19;19;;;467;17;;;474;16;16;;;475;17;;;560;9;9;;;456;6;;;432
12647.jpg;12;12;;;471;14;;;503;12;12;;;468;13;;;473;12;12;;;430;12;;;432
12664.jpg;13;13;;;467;9;;;461;15;15;;;476;11;;;523;10;10;;;454;10;;;552
12680.jpg;12;12;;;476;10;;;480;16;16;;;480;14;;;479;12;12;;;457;11;;;636
12695.jpg;17;17;;;469;9;;;477;15;15;;;473;13;;;626;10;10;;;497;12;;;471
12710.jpg;9;9;;;575;7;;;481;18;18;;;575;15;;;479;7;7;;;468;13;;;479
12716.jpg;11;11;;;564;13;;;468;13;13;;;543;14;;;622;8;8;;;508;11;;;456
12725.jpg;13;13;;;503;10;;;479;13;13;;;474;10;;;494;9;9;;;462;10;;;469
12742.jpg;6;6;;;645;3;;;464;9;9;;;488;8;;;491;7;7;;;467;7;;;464
