file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;10;5;;;2664;5;;;70;12;5;;;84;3;;;62;30;8;[[0.3997486587938014, -0.2642886134168426, 701.757513652164], [0.22708157631169257, 0.6917505788913941, -355.91386781927906], [-0.00029256427953109547, -7.908683626521193e-05, 1.0]];[[4.706144678624328e-07, -1.5582214249031687e-06, -0.0005266990422048189], [1.2649920071479194e-06, 6.339274104094296e-08, -0.0017537346115400485], [-0.0008043480841493791, 0.0014078251967680694, 1.0]];102;4;;;178
10034.jpg;4;4;;;79;4;;;59;10;5;;;82;5;;;54;39;5;;;254;6;;;157
10040.jpg;10;5;;;113;5;;;60;12;4;;;89;4;;;219;51;8;[[1.9020374900002546, -0.45944901935603716, 41.045451506030744], [0.6178596433803633, 1.1966475749256877, -904.4648097098531], [0.0003999582449633573, -0.0001758098624074877, 1.0]];[[1.727631588702984e-06, -4.577748197935955e-07, -0.007372238322949438], [-4.1102580225946934e-07, 1.0549700774511049e-07, 0.0017043399948629314], [0.0035472497894195308, 9.954684930411632e-05, -0.02983589605528003]];180;7;;;148
10070.jpg;8;5;;;76;5;;;62;24;6;;;90;3;;;197;108;8;[[0.7138928788065565, -0.7580350048641568, 782.6619420202123], [0.22523977411845159, 0.5764857302188331, -295.6787517680575], [-2.85736501404575e-06, -0.00037145991633258683, 1.0]];[[2.866393610969714e-07, -8.761634411487348e-07, 7.799461490511214e-05], [9.910206013783904e-07, 3.06338096093367e-07, -0.0014304897842811544], [-0.0010221554895714273, 0.0006168002626710948, 1.0]];150;11;[[1.5885238521981602, 6.16373146458095e-05, -39.16536568963175], [0.14708750445112237, 1.18389321928023, -474.02535008957744], [0.0002769080212027165, -0.00010024104633360926, 1.0]];[[1.1893976393592828e-06, -2.6239133696864187e-06, -0.00535227342867225], [1.969419096575982e-06, -1.731227594393262e-07, -0.002219442107865808], [0.002262986681572025, 0.002030556822933358, 1.0]];102
10100.jpg;7;4;;;83;4;;;76;31;5;;;216;5;;;161;22;3;;;144;5;;;115
10132.jpg;28;5;;;168;4;;;80;21;5;;;120;4;;;92;41;4;;;149;9;[[0.893596618485367, -0.2591567825255245, 301.42417610181633], [0.0468690834115616, 0.8090732153626549, -285.15121698469875], [4.001624917415284e-05, -0.0002429499414892518, 1.0]];[[-1.4368029129869227e-07, 5.4666614830302906e-06, -0.0030689264319044844], [-6.190000834640994e-06, 1.5497423000821154e-07, 0.006709532600273757], [0.005671993597808609, -0.00517807519463501, -3.175423304292651]];110
10162.jpg;31;4;;;234;4;;;136;18;5;;;116;3;;;146;102;6;;;132;8;[[0.8854613241016129, -0.028330200232841867, 207.6806681045855], [0.009288116942026409, 0.8576488578463998, -248.47470293341877], [-0.00014173398908482555, -9.082567746071571e-05, 1.0]];[[7.584227243281198e-08, -3.2409255067684005e-06, 0.0002968220065967936], [2.5662940959240924e-06, -2.853883936691597e-07, -0.0032259251980823345], [-0.0010938620147006365, 0.003212902631035311, 1.0]];157
10193.jpg;21;5;;;122;5;;;73;31;4;;;227;2;;;191;128;14;[[0.7330951848996468, -0.24651814751574583, 510.4593352410109], [0.1648586532891565, 0.7422708604045334, -347.0800349170043], [-0.0002087244586451136, -0.00012979074434085714, 1.0]];[[2.884321635208322e-06, -1.0670858234224398e-05, 0.001413459916702181], [8.63051776231398e-06, 1.0850501495415434e-06, -0.010994498671470386], [-0.008720521712976307, 0.007538789492479796, 7.127261693591725]];128;6;;;193
10225.jpg;24;5;;;157;7;;;73;81;9;[[0.6460383468178484, -0.5015582193276896, 731.9309089185712], [0.16113263151823531, 0.590809957908659, -225.26525656343188], [-0.00014682267932856685, -0.00022105515328304032, 1.0]];[[3.2077480838631474e-07, -1.7425484051082339e-06, -0.00012640812601936828], [1.1122301473836821e-06, 1.6281366879146587e-07, -0.0021808184600419357], [-0.0008371770090498863, 0.0021617297145339045, 1.0]];155;8;[[1.2300225983731081, -0.25341189747613996, 309.9999327245195], [0.059021715787517304, 0.8322186852095995, -208.82477754039004], [0.00014266672988237425, -0.00026245075969592017, 1.0]];[[0.15110999314685625, -5.211056355496663, 799.9333316091736], [5.021531556808732, -1.7580457275010237, -10534.093914471872], [-2395.70786848411, 10514.982722783347, 2930418.1715837847]];155;115;11;[[0.6202712544232213, -0.4596045188311648, 740.2666420905067], [0.18227764520679504, 0.646983580651415, -270.78261898049277], [-0.00014701062152900664, -0.00020426073706556342, 1.0]];[[-3.2047161606668764e-06, 1.0723338872667319e-05, -0.0005442571505949107], [-9.928814537931947e-06, -3.344132488934272e-06, 0.010247152342898318], [0.008297890263149138, -0.0028857335747014515, -6.710134756924783]];137;8;[[1.2033898675796006, -0.11270491806732286, 205.37704711389176], [0.02475083511729861, 0.9420901193011448, -243.82797973975374], [-1.700522356487473e-05, -5.9511052771247116e-05, 1.0]];[[2.141951118497709e-07, -1.0125527379907308e-05, 0.0047057669828472586], [7.898311661448485e-06, 3.3978448246387304e-07, -0.008528659435341073], [-0.0058743196517832665, 0.007141398593865999, 2.7411561613083304]];132
10229.jpg;32;3;;;234;6;;;90;60;7;;;221;7;;;173;178;18;[[0.6374967595212725, -0.47174064016605083, 503.0322171300244], [0.16876401720490086, 0.4967526853101222, -209.11183831414445], [-9.973282645427771e-05, -0.00032560075201546894, 1.0]];[[3.3844535816627565e-07, -1.4494243786358255e-06, -0.0005173080808034107], [1.0259013702832653e-06, -1.300274662227479e-06, -0.0041497660895254826], [-0.0014018903626293294, 0.005955141328403254, 2.183318041073417]];142;13;[[0.8056657853444726, -0.10005070081546505, 133.27141408749497], [-0.036115365534476494, 0.7502435549866636, -155.61585827302073], [-0.00011218579110344797, -0.00015439855076322225, 1.0]];[[-2.297938860975936e-07, -7.767559236326707e-07, -0.0011925842867856018], [5.4452697517907e-07, 2.7764125628677443e-07, 0.0007463239080565424], [0.0013511402346187073, -0.0009628277452688267, -0.34589896908429496]];111
10256.jpg;26;5;;;153;5;;;91;34;4;;;196;4;;;103;90;14;[[2.53133442620915, -0.380265805976737, -506.1870634451745], [0.7808445301493583, 1.4014778273431086, -1100.0197324299797], [0.000555140928461784, -0.00016045530255099448, 1.0]];[[1.6977576348192284e-06, -5.928273415745375e-06, 0.0005795475279636941], [4.1012869494872074e-06, 7.408318455474347e-07, -0.0034578060107900723], [-0.004014250769048936, 0.0036382831935675227, 1.9771182673683512]];127;6;;;147
10288.jpg;27;6;;;184;3;;;206;37;5;;;102;2;;;87;26;5;;;156;4;;;166
