file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;173;13;[[1.045575532618919, -0.5750270886446666, 644.0858865115749], [0.28544966075709877, 0.592759390432685, -327.4712837521115], [8.65364177080916e-05, -0.00021092701593487993, 1.0]];[[1.2659375063240948e-06, -4.533636673395529e-06, -0.00024378500272418839], [2.855620857908724e-06, 1.9846676899798107e-06, -0.0021864445974174055], [-0.0021296387065887854, 0.00012757077733150732, 1.4151302906854737]];3683;14;[[1.774161861054389, 0.01691243255604035, 16.683241595371896], [0.10397978909815427, 1.0824029282045637, -347.0307116008193], [0.00035319986688590226, 1.09696216298325e-05, 1.0]];[[-2.3059340826183545, 38.71273844605016, 2986.8560141326416], [-32.52274612176101, 0.8220240453226539, 40986.01134904471], [9585.54994543839, -36855.671030392805, -12156547.92102722]];208;341;19;[[1.1503751936304154, -0.32403455895182126, 545.7610966307699], [0.34459201965279485, 0.75317984213498, -417.0984651004227], [0.00011682953693587378, -7.300486479695012e-05, 1.0]];[[2.4609147253795618e-08, -4.2888276001224086e-07, 0.0005437831401560178], [3.9749552628066953e-07, 2.4154013089145625e-07, -0.0013375293150508227], [-0.0009808084812902738, 0.0010334028223487335, 1.0]];147;29;[[1.3599458537414595, -0.41135249801131635, 265.1887531682398], [0.12535555851019498, 0.798072897397632, -263.45572625335257], [0.000215398678275048, -0.0002670023474178348, 1.0]];[[2.8252165092432044e-07, -1.574497717889422e-06, -0.0014046843433200493], [1.2805793019477482e-06, -4.728240479953641e-07, -0.0036996677271907462], [0.0003004607677708113, 0.004556090797611189, 1.0]];139;274;12;[[0.4004843352966098, -0.9170449106926488, 931.0049145468441], [0.18012071699084412, 0.4565923296938648, -237.4615453553726], [-0.00013277160006218083, -0.00048534859664167956, 1.0]];[[4.0923252072723237e-07, -1.3007534646848326e-06, -0.0005638244378491415], [1.0819219075250509e-06, 2.3500954673801084e-07, -0.001777528991043024], [-0.0006864320128910353, 0.0014869928969663136, 1.0]];141;9;[[2.462451026071478, 0.13433287197870256, -494.0167034752706], [0.44392713795314115, 1.4881837787596097, -863.9843808842646], [0.0005441419134068564, 6.513010962288227e-05, 0.9999999999999999]];[[1.6817718914315603e-06, 3.691191277267931e-06, -0.003491785969906498], [-4.121548641878171e-06, 2.1596150446689712e-07, 0.006256714554580067], [0.00010554077515788087, -0.004676328422273492, 1.0]];145
10034.jpg;287;13;[[1.0935134319136848, 0.37784952080411693, 202.64330033626243], [0.31818367334371334, 1.1968475565184107, -401.4074069189082], [-0.000181868590689591, 0.0008948686086855985, 1.0]];[[3.667881901679706e-07, -8.629196413001913e-07, 0.0004142744187771441], [-1.5240871878271698e-07, 1.0907711262537578e-06, -0.0019375261690916896], [-0.001226755375582754, 0.0018966723997231871, 1.0]];145;13;[[1.2067562453662044, -0.23067425153954155, 2.099302564628305], [0.07198220746285718, 0.9723891428757142, -175.7220620540829], [0.00010490095997699432, -0.0001594637262486234, 1.0]];[[3.966256635964335e-07, -2.136922129308964e-06, -0.003071986794060282], [1.5955901777157893e-06, 4.115737186051025e-08, -0.0020426382923574276], [0.002021406207839494, 0.002617128380447088, 0.47547579340871904]];147;449;24;[[0.9675614644595303, -0.09383905497063319, 314.8754138251549], [0.3317158788491229, 1.0868662880176205, -410.54613086658776], [-4.649053238078484e-05, 0.00026884676763918474, 1.0]];[[7.568109104080026e-07, -2.022829812776265e-06, 0.00032441519792561155], [2.2135185409962263e-06, 4.6084264224274084e-07, -0.0007070609266580288], [-0.0014734816166896063, -0.0002663324098103622, 0.46017174598705135]];144;17;[[1.1124591662587107, -0.17344971463918304, 18.6868702966399], [0.048340806993125214, 1.0021444978500247, -166.158631922199], [5.199047073333538e-05, -0.00010309124987877153, 1.0]];[[-1.4259069894660445e-07, 4.4153766369889004e-06, -0.0007848133417498952], [-4.328235213265474e-06, -1.8410230282215662e-07, 0.0027701458427407334], [0.0015178140767028853, -0.002564659607310555, -0.45046815390728706]];141;418;13;[[0.6680271790013482, -0.440445314452902, 555.9399875928314], [0.2637988005200555, 0.7231447953573257, -283.0818164627033], [-8.857250763091218e-05, -0.00011334183442188934, 1.0]];[[4.802780365451468e-07, -1.301287695611854e-06, -0.00042564866651611903], [1.2229384626046711e-06, 3.2852140002578456e-07, -0.0020539502396266993], [-0.0009068637339561575, 0.0017201951581167461, 1.0]];142;10;[[1.1898373811418477, -0.043034551117714225, -6.858730929082344], [0.042485208393980255, 0.9434226373144942, -128.72311572833698], [8.935117306832396e-05, -2.7719253138934798e-05, 1.0]];[[-3.946634230957502e-07, -1.808561791091008e-05, 0.009851518073661886], [1.5247506806887642e-05, 1.812650605071438e-06, -0.0004662498719129708], [-0.010346764602086734, -0.002483304152590512, 1.0]];143
10040.jpg;279;7;;;146;7;;;150;448;21;[[0.9296902677212339, -0.4144505589800154, 492.7891773924097], [0.31922524000888763, 0.871850676037564, -515.5625619283801], [-9.451499387454872e-06, -3.3252741204985646e-05, 1.0]];[[-1.3416108773279031e-06, 3.920619252800305e-06, 0.00047668425613910125], [-3.858793383140485e-06, -6.29043869880609e-07, 0.006719276791182213], [0.004119723170812743, -0.005378316474974783, -4.455922868132057]];138;19;[[1.0729867821595487, -0.1523818255607031, 135.31994697206272], [0.042879125388150016, 0.9511208395174828, -327.7725112697214], [3.336072262181052e-05, -8.209486036842073e-05, 1.0]];[[1.1378283023495864e-07, -4.916758801446282e-06, -0.00012754434071959126], [4.615295725693402e-06, 1.5757206109489785e-07, -0.006776066159938575], [-0.0015819189139093654, 0.006385887279750756, 2.270828026157979]];140;413;19;[[1.4646394820393962, -0.19094941720858957, 176.96418621185862], [0.43683834636480096, 1.1171731812743306, -694.5924217351027], [0.00017321692785787808, 0.00011344291207785027, 1.0]];[[2.647157065173554e-07, -8.096338489197511e-07, -0.00023454166805423747], [7.736207444222293e-07, 2.5172719110821663e-07, -0.0015892126394025715], [-0.0007458371805323731, 0.001298690662990071, 1.0]];134;10;[[0.7597727901129538, 0.0004005627407149695, 282.02318635002814], [0.01120221703645423, 0.8017108404150549, -232.0854049109464], [-9.016655374641603e-05, -1.6061675125532475e-06, 1.0]];[[1.02346040867809e-08, 3.2480263104973363e-06, 0.0020371058186640476], [-2.726200982559699e-06, 8.377274352907479e-08, 0.006506569328880793], [-0.0012673342125827305, -0.007136157001866455, -1.5288968615242533]];140
10070.jpg;301;7;;;138;19;[[1.2565307878153196, -0.11746998759198343, 160.7262272663183], [0.08724130059578247, 1.0518743191755746, -358.3737466085769], [0.00013801007670799633, -6.416002878455414e-05, 1.0]];[[1.9562148914377344e-07, -5.55590843242532e-07, -0.0012842584240139396], [7.811213455310966e-07, -1.2081260768731873e-07, -0.0031077925222769377], [0.0004754341653282157, 0.0029288131192327354, 1.0]];138;513;22;[[0.9674669277521943, -0.5445649396003936, 592.313064296265], [0.34775005230037886, 0.8044044302118442, -487.35160818564043], [6.444027132058752e-05, -0.00019586282124298092, 1.0]];[[4.3049228031382263e-07, -1.2523068314387162e-06, 0.0004495476553071329], [1.2656542572990952e-06, 5.673814568236498e-07, -0.0012734210224290441], [-0.0015117160460433729, 0.00017537874433657302, 1.0]];138;17;[[1.0610625458057459, -0.15609164503116604, 226.94662197806124], [0.06185448105686719, 0.9259565107110137, -302.8033396392775], [5.684918317695993e-05, -0.00011863340069454104, 1.0]];[[9.996726682142846e-08, -2.983882640975538e-06, 0.000896599676677236], [2.835088449566451e-06, 2.5085271133488034e-07, -0.0025691718909388417], [-0.0018280988745323697, 0.001828868984457346, 1.0]];145;440;5;;;140;17;[[1.0327578634239294, -0.16263642504657233, 275.0302588467794], [0.02992467456003505, 0.9250892253775707, -273.0385484117718], [2.389255475426527e-05, -8.053771477312761e-05, 1.0]];[[5.570972625065325e-08, -2.862848263945339e-06, 5.931717066107482e-06], [2.6206297309106388e-06, 2.06351708375451e-07, -0.003479709695262131], [-0.0008172506207777497, 0.002991386697261669, 1.0]];145
10100.jpg;278;16;[[1.0476799005453208, -0.4145861953753527, 612.589062989048], [0.3699400094075163, 0.9460481035003374, -548.0046827218158], [6.605246360868008e-05, -9.00306773271424e-05, 1.0]];[[1.7641235559263388e-07, -6.48015694876887e-07, 0.0007718362502791131], [6.973911465545078e-07, 1.9627326978712717e-07, -0.0011147077190647049], [-0.0013454785527729424, 0.00038307677776737263, 1.0]];132;18;[[1.0209698113282983, -0.09422256439649254, 304.80150071791473], [0.007065874738783742, 0.992159335860717, -287.8699648826913], [-1.768941696412861e-05, -4.332249549644676e-05, 1.0]];[[1.1444630153781905e-07, -1.7195871025165644e-07, 0.002256768106445828], [2.355678836766402e-07, 2.2051655586998925e-08, 0.00042686123231376843], [-0.002331715551322057, -0.0006415570166892375, 0.5236002892281162]];140;481;26;[[1.0808221948181707, -0.4182123040757257, 604.2139310306354], [0.3711610305506708, 0.9924607006723286, -570.8730513611736], [6.95006482463287e-05, -5.0269359214928876e-05, 1.0]];[[5.25217104468168e-07, -1.5474429436975452e-06, 0.000146717261110897], [1.5302368140426762e-06, 5.78030236658342e-07, -0.0013869611746839608], [-0.001410417140269294, 0.0002475839160791288, 1.0]];132;27;[[1.0698853406106188, -0.046939108001407055, 266.6986029743637], [0.03590979323099823, 1.0442087074484236, -323.39197652199414], [1.5136312188089247e-05, 9.782757129347774e-08, 1.0]];[[5.707213700288054e-09, -3.6555627497784475e-06, -0.005145460237126995], [3.895038752131006e-06, 2.4187873531043504e-07, -0.007408052033928053], [0.003695941450950064, 0.00594655896938061, 1.0]];164;459;15;[[1.018560658062299, -0.46032311490774314, 669.7902167334893], [0.3462244662978258, 0.971240866581218, -556.4739656257166], [3.261625279402243e-05, -6.326268235813067e-05, 1.0]];[[2.551501198687551e-07, -7.731022259568136e-07, 9.22228267838652e-05], [7.994412817528026e-07, 2.880342796367896e-07, -0.0014051297436663513], [-0.0009331422569531564, 0.0006879225019215941, 1.0]];208;25;[[1.2452980783878962, -0.19275161352230638, 261.55183823213713], [0.08747751786944186, 1.0055579214756178, -345.5827252919772], [0.0001145276199228414, -0.00011676568124080335, 1.0]];[[1.5699977855774118e-07, -2.97120562773733e-06, 0.0007507869544428132], [2.7186044452288527e-06, 2.636313322741064e-07, -0.002380915127659075], [-0.0017042222351838648, 0.0014906431259320162, 1.0]];224
10132.jpg;348;24;[[0.5900463502516325, -0.5217190847493195, 683.4131743817306], [0.23351790227634114, 0.6189390086274845, -341.2022850443705], [-8.60006055173959e-05, -0.00022722742414399313, 1.0]];[[2.952633080511426e-07, -8.125384910538055e-07, -0.00014232716990517265], [7.91018982854814e-07, 1.0285133306414524e-07, -0.0014378126071733022], [-0.0008820302394770329, 0.001186942971938637, 1.0]];149;11;[[0.3414137906746144, -0.2260311434833004, 669.9758518647922], [0.029577466831549167, 0.5425607851410256, -167.53668234633963], [-0.0001716961079940944, -0.0001595942714775316, 1.0]];[[2.3178909714604361e-07, -1.7711952572013731e-06, -0.0002189686864823787], [1.1767888906721986e-06, -1.555952748462039e-07, -0.001956699551092389], [-0.000758775823026181, 0.002836580982980891, 1.0]];158;433;12;[[0.8951189121014763, -0.5689773217971024, 694.1744840830448], [0.3167876133394535, 0.9859296467459312, -576.0748152944506], [-4.412703866720142e-05, 5.738807125632179e-05, 1.0]];[[1.5684767984903425e-07, -3.7026119224921945e-07, 0.0003620074391740445], [3.301531746582873e-07, 2.3590220094872484e-07, -0.001253901904980286], [-0.0009481372269704341, 0.0006324683082965617, 1.0]];159;29;[[0.8047394463018209, -0.17955181916285418, 218.31304373193228], [0.011403544033689775, 0.7158419844935788, -194.24597572090332], [-4.846254210267363e-05, -0.0002007881807524135, 1.0]];[[-0.5414576601567955, 45.147799522595534, 17345.194469758513], [-37.83317997126681, -15.16626509209556, -32190.749466076584], [-8497.789638311702, 47375.27205443952, 12701641.323536392]];167;552;30;[[0.717073075975767, -0.4856768982668001, 613.059597199307], [0.24111367842277642, 0.7002730666717528, -380.713944101521], [-4.213863524793154e-05, -0.00018685404882124796, 1.0]];[[-3.097930366896216e-07, 5.992765543807203e-07, -0.00180801758895266], [-1.0458787817219078e-06, -3.988823350594291e-07, 0.001216011362318193], [0.002835828723092389, 0.000498721814746231, -1.5357345289359259]];145;34;[[0.8269762019126737, -0.22190737971816302, 303.9190485451104], [0.014125248283215288, 0.7878191739103361, -232.98999886900026], [-2.360099137654691e-05, -0.00016803456203757028, 1.0]];[[1.1401274123031784e-07, -1.5554280866065751e-06, 0.0030441544603705293], [2.065290150345344e-06, 4.6836050849490044e-08, -0.0024559750094993683], [-0.004146839221007672, 0.001532722430893696, 1.6112395277888478]];174
10162.jpg;419;37;[[0.9080923128053807, -0.35336576786993845, 553.7048647835159], [0.3162890616241317, 0.8951312921146619, -493.15345875344326], [-8.64653876186371e-06, -5.137865469064685e-05, 1.0]];[[5.559829539878846e-07, -1.5328772038224143e-06, 0.0011827897411102357], [1.5922947502772424e-06, 5.938756372390952e-07, -0.0009244114041290742], [-0.0023105897710320117, -0.0005177193284155896, 1.0437586960306526]];157;7;;;143;510;20;[[0.8686240623172117, -0.3853181261657157, 565.5290174189887], [0.2978642907457213, 0.8526724388487746, -471.8744331652021], [-2.5785694761306477e-05, -7.793585694036706e-05, 1.0]];[[4.0055409077082644e-07, -1.4276472367531717e-06, 0.0010983902637370481], [1.4893933689043546e-06, 4.364800604240144e-07, -0.0010543161761562235], [-0.002052988057020031, -9.487525272611035e-05, 1.0]];141;30;[[1.0342677650686913, -0.18440941242874062, 254.78225195443878], [0.04474762501737963, 0.8919720300311846, -277.60634719003434], [5.429556485485662e-05, -0.00014189141471515504, 1.0]];[[3.7819223528528215e-08, -2.6083430898452567e-06, 0.0012963743476494837], [2.821007103916954e-06, -4.4063823105880213e-07, -0.00631473202204085], [-0.0023552713861361542, 0.005997544403770568, 2.284716412341925]];141;528;27;[[0.7787314912031243, -0.3968071734525404, 606.9524923706091], [0.27093697142312534, 0.7972387953739075, -435.4010827624963], [-4.731442469125846e-05, -0.00011422101507805286, 1.0]];[[2.040096070986349e-06, -6.309169672571528e-06, -0.0020731197930006244], [6.021044071050126e-06, 1.9811005254813596e-06, -0.00697093127156449], [-0.00355662057782987, 0.004105525644466306, 3.899425757345547]];151;36;[[0.8857202488587256, -0.10946507063707712, 287.47578537935823], [0.006544017148012232, 0.8859888653524489, -253.70979524142876], [-3.7321384239861205e-05, -8.792490203552201e-05, 0.9999999999999999]];[[7.50407894894467e-08, 4.10243469308812e-07, 0.0018264263819520582], [-2.0797701698748934e-07, 2.8726498066620397e-08, 0.0005625501439205592], [-0.0019457386053675157, -0.0007464238743929224, 0.364821033234759]];155
10193.jpg;447;20;[[1.0165541310627129, -0.37372863144272545, 616.7803019424089], [0.3457704885541811, 0.927066325571924, -493.8665201948035], [3.685390848206366e-05, -2.826902702438663e-05, 1.0]];[[6.223981342653165e-07, -1.95164268744158e-06, -0.0005324577352310228], [1.9064527707246315e-06, 6.132938436166558e-07, -0.001891357167820575], [-0.001054118713981865, 0.0008194980621895354, 1.0]];146;9;[[0.9584621506877979, -0.10834833448562535, 336.79122341851786], [0.008390304534039945, 0.941307360251559, -245.10069302318783], [7.550157336267456e-06, -7.214921553375292e-05, 1.0]];[[-2.2261273796799897e-08, -1.711189630710741e-06, 0.0005030213879506493], [1.7274938583479543e-06, -2.357850294926902e-07, -0.003421926890585049], [-0.0009175254775115087, 0.003178818716934975, 1.0]];141;472;8;[[0.9435438576915237, -0.36857383711115854, 593.8109653720214], [0.2963223120685699, 0.8795784741899311, -452.98182099628985], [-1.7891681596128214e-05, -5.901272935570014e-05, 1.0]];[[-0.6825698561533452, 2.0191203252543843, -1825.095747019292], [-2.0027962657469747, -0.8081889930859081, 293.40313770277237], [2799.8961505759835, 1705.008638984858, -892728.6303084157]];146;19;[[0.9162137010289211, -0.10900251292306867, 305.6148502878537], [0.0030736969925499553, 0.8707063645524763, -224.29866604189053], [-4.747110541086232e-05, -0.0001073856649489603, 0.9999999999999999]];[[1.531429537730521e-07, -1.8537324622199098e-06, 0.002911994098534163], [2.081534431897086e-06, 1.6576996936345554e-07, -0.0008170208654073347], [-0.003623327401362097, -8.135427982962633e-05, 1.0921518716105547]];159;619;36;[[0.8323468069728852, -0.40483584072007367, 662.4529230237517], [0.28179396594924205, 0.8297611442608197, -428.7257973317294], [-4.1040457571252176e-05, -8.791937157416168e-05, 1.0]];[[5.267098594140769e-07, -1.4643261089658343e-06, 0.0006716183593270096], [1.4693136822556196e-06, 3.8781949939444897e-07, -0.0039142174185101955], [-0.002704831608346981, 0.0025699293500193302, 2.9562387780184904]];138;47;[[0.9250187907199126, -0.14068669364209255, 356.7763657024747], [0.016444271953389086, 0.8733336415567994, -220.47569007370817], [-1.697511201823087e-05, -9.444657399002417e-05, 1.0]];[[1.8984391676345927e-08, -1.677320392372691e-06, -0.001189903512664446], [1.4454049126215585e-06, 1.6253600905389266e-07, -0.000673579365809838], [0.0008575188608786785, 0.0003347359654776123, -0.2320289582244961]];147
10225.jpg;487;24;[[1.0573730674360746, -0.3679205474156125, 658.300515463943], [0.3697575349527476, 0.9891844263923235, -523.1502264858651], [5.092072533708727e-05, -4.410781895454414e-05, 1.0]];[[16.34767886427579, -44.62639369154018, -36111.6410423103], [44.57670144168103, 13.461849092596164, -73430.11438997331], [-14837.024608212521, 47837.075012051835, 34133494.08457097]];139;30;[[1.0771113439150972, -0.007678968863846321, 310.07246695199774], [0.028167101599845108, 1.0489143527706102, -281.7354833014165], [9.609932669521173e-06, -1.0772252265479938e-05, 1.0]];[[-5.4578986230920766e-08, -4.243018512152281e-07, 0.003136635829455313], [4.0374202150683726e-07, 3.401360374299355e-09, -0.000980366087244441], [-0.0029590213246095255, 0.0008310990078747004, 1.1177423919867118]];141;452;25;[[1.7761305775566953, -1.7333395392740871, 478.96077276458834], [0.36041961674888173, 0.6185871511963039, -381.49760507483046], [0.00044256501311935143, -0.001031870459499197, 1.0]];[[8.714087033572013e-06, -3.860977380826589e-05, -0.006762759979871317], [2.8545516286611775e-05, -4.5744644174808353e-07, -0.047893339097431986], [-0.019672324003235035, 0.044228347415352254, 24.036622442276062]];150;17;[[1.2797980173298065, -0.25534178527612283, 157.29284778713938], [0.04205117856255937, 0.8406875787586282, -201.67212121090017], [8.796737944939022e-05, -0.00025180479693822684, 1.0]];[[1.3387594230785035e-06, 4.6078133226870394e-06, -0.00277868061339581], [-3.6202513200795194e-06, 3.715034419466788e-07, 0.00547255375894461], [-8.615082428996775e-05, -0.005458087638343826, 1.0]];141;574;31;[[0.8548154511448638, -0.46136477766565226, 744.0446524146992], [0.2860250817621298, 0.7940741283701765, -386.96097500821367], [8.169820551972192e-06, -0.00015470804223108374, 1.0]];[[-1.7710884845731037e-07, 4.881368196918605e-07, 0.0008883489431859488], [-2.2577880895006896e-07, -4.21970042776761e-07, -0.0015399411368090333], [-0.0011871307982299869, 0.0015231137490571112, 1.4790111358930513]];146;50;[[1.0341311613156878, -0.1773851090639038, 417.6913882919006], [0.038927048983509516, 0.9317712587214317, -236.94799237552937], [7.12913195248697e-05, -0.00013746234006791215, 1.0]];[[4.1260571982366565e-08, 1.4411316503909477e-06, -0.0014118899906914045], [-1.7859836256905156e-06, 3.221841221190069e-07, 0.004337235833049598], [0.0019343971895133438, -0.003697717587647015, -1.6653427352326349]];147
10229.jpg;519;43;[[1.225577367719892, -0.16195078508153393, 244.4677025151609], [0.42491133517315477, 1.2735308288550053, -766.7506336220019], [2.893222121281622e-05, 0.00017535019062146277, 1.0]];[[1.7376403311397028, -4.819869296413766, -1303.2518491280916], [5.123505757930947, 1.73018883102045, -7487.90665723927], [-4162.030973686962, 4552.813826992675, 4720313.2127684355]];138;58;[[1.111737031495398, 0.10521637470141426, 6.751378767113893], [0.007569961787740197, 1.192197181671827, -382.96639331400524], [-2.4213109997481247e-05, 0.0001356935125099707, 1.0]];[[-5.393164009914709e-08, 8.51150110387742e-07, -0.002369137069878264], [-5.877823086562863e-07, 7.980006859625464e-08, -8.528530870841977e-05], [0.0023929964416016113, -0.00019119835671401768, -0.02688188849970352]];141;451;24;[[1.0619673590705476, -0.1092911706469501, 176.02716912804956], [0.2839092256468056, 0.9435714157611366, -478.8218163681263], [-4.5773691566733605e-05, 4.256827469577413e-05, 1.0]];[[-6.333904917333942e-08, 4.799804807184362e-07, 0.0012849721049006052], [-4.1311144497911796e-07, -1.2450181186159513e-07, 0.001303332881472167], [-0.0006405953681076379, -0.0013822599232071481, -0.5646897528904782]];140;25;[[0.7549834375642294, -0.19380634047938894, 239.25058709851965], [-0.024020223881294996, 0.7001336240435938, -136.08009790284078], [-9.224593129894204e-05, -0.00017786096227469537, 1.0]];[[4.7894156694663594e-08, 9.32755913083841e-06, -0.002764000129565331], [-8.065455693408482e-06, 7.484380098153853e-07, 0.012589001018456527], [0.0044636724377051535, -0.013890473593019967, -3.0836279306263332]];137;594;45;[[0.8261378744374377, -0.46681739419680646, 545.9866717695273], [0.2712181375367037, 0.7758630896445656, -404.12464827314716], [-2.3070592286372362e-06, -0.0001576783170311777, 1.0]];[[-4.3332585837078315e-07, 1.3279338417246158e-06, 0.0014974742333214923], [-1.1300224073510889e-06, -6.26863205131174e-08, 0.0027707810074401058], [0.00010588262969448429, -0.0031307211623831637, -1.2687630362978757]];146;53;[[0.9136929393937906, -0.20961989979570203, 237.97160245128964], [0.015679478471631883, 0.8366494982109713, -225.15803985297234], [1.856659665444148e-05, -0.0001747331445433805, 1.0]];[[-5.3181752850680516e-08, -3.109670656370241e-07, 0.001307378585960828], [4.4364360724109975e-07, 6.043386006167167e-07, 0.0018628266889326433], [-0.0013830919192190667, -0.00275096848603394, -0.24429248691992456]];147
