file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;10000;954;[[0.3163940834271968, 0.1082711124038473, -546.3137358758029], [-0.06321765379193384, 0.18318194592547749, -151.57221556291526], [-0.0006251023132159369, -0.0001168951658898731, 1.0]];[[-1.7767987816909487e-06, 3.603967606856887e-06, -0.0037101043016354446], [1.5038628361404084e-06, -1.0334510339633268e-06, 0.010585008540037213], [0.0013128152785722826, -0.005772529694886167, -8.737205945998365]];2284;318;[[3.897119873767179, -1.1468940336808602, -52.010166661930896], [0.20731393252341443, 0.4621079748956134, -605.9755312470642], [0.0017690040437950002, -0.0010927064653493133, 1.0]];[[-0.9336514719974338, -1.2287259080184176, 2071.8844373374195], [1.1392859480442241, -0.4536789375833066, -1283.5665577277878], [-1199.5219155194804, 1424.458276420868, 748049.5849225735]];1108;10000;957;[[0.6336224664545812, -0.23399506088765698, -467.9565810436143], [-0.26553910542245907, 0.3181849561843669, -65.50791223660842], [-0.00010230422268052939, -0.000537513008992346, 1.0]];[[-7.757903297738012e-07, -7.570779406902263e-06, 0.022626793153593464], [1.9054879755508444e-05, -9.83858615037831e-06, -0.013342031368190113], [-0.028499848402206256, 0.025764772693303996, -10.655869015065644]];1204;453;[[-34.15068655951353, 4.070070600242737, 25953.424430255756], [-4.686399950879914, -15.502599906653318, 13952.98349861016], [-0.009356852096072751, 0.005214471083175023, 1.0]];[[-3.3807265497358396e-07, -8.218235838685866e-06, 0.0053922393240843315], [3.563769927647433e-06, 1.7080088016345976e-06, 0.0033640456708331013], [-0.0024794447810800725, 0.00491158368661718, -6.664956031000859]];1173;10000;531;[[4.919454236834703, -0.9198854751301941, -1401.4673019075228], [-3.5853036467660733, 3.830600921056956, -3080.688920452134], [0.001337813912642753, -0.0009919131970472172, 1.0]];[[5.61799794547773e-06, 7.985089619840382e-06, -0.004366197016126802], [-9.994888193476456e-06, 5.1891782458411825e-06, 0.02465080536999221], [0.00867105842996476, -0.0144188042370844, -30.018149585896225]];1159;256;[[1.2540286369613638, -1.3038652553401056, 749.8815705478568], [0.9933275267885239, -0.9744573948339847, 539.4367740219567], [0.0014001094155649356, -0.0016470530733355365, 1.0]];[[-1.0121744217347832e-07, -1.8971758160401546e-06, 0.0012446722084403603], [4.762554271109817e-07, 1.876290433881003e-06, -0.001545547261160184], [-0.00039632691478784374, -0.0010933897515543228, 1.0]];1096
100327.jpg;10000;105;[[0.15038169615793603, -0.26003417505493376, 548.1207314654877], [0.024525700590539164, 0.3073952345586876, -418.1913288837224], [-0.00015190999910367762, -0.00039198665380407076, 1.0]];[[-2.386935326514972e-06, 1.2429588292171732e-06, -0.002304086538341194], [-6.448649050474638e-06, 2.993925292175479e-06, 0.006636709471245065], [0.016202114209727968, -0.0076526713075529326, -12.065313508445772]];1055;178;[[4.401923115436492, 0.49715943560700326, -942.8563301541302], [-1.6193899344568599, 5.423684671256271, -2442.6589043691656], [0.0016488800606196592, -0.0006344544846184802, 1.0]];[[-8.141244621403438e-06, -4.086471647296224e-06, 0.018783338781058576], [1.0703675237662167e-05, -1.770332503679883e-06, -0.0053833994303215055], [-0.00789318068404041, 0.0028567214219985806, -0.22406242846612656]];1122;10000;339;[[0.7048273488439972, -0.29652168975531723, -684.7811240366874], [0.2518795055565458, -0.007699502194613744, -332.2029705424105], [-0.00025405355848854666, -0.00033555907273679215, 1.0]];[[-3.325643485583702e-06, 5.790018712805438e-06, -0.005838232233059727], [-9.798982235464413e-06, 3.378368881522586e-05, 4.7513740443462515e-05], [0.022172075164909304, -0.06437247443398633, 12.341980205249879]];1065;615;[[-4.483466184396865, -3.9112406032511395, 3916.915389482811], [1.3265826717417875, -7.185301364371131, 3571.881889451783], [-0.0001698013303922943, -0.0031314160614401777, 1.0]];[[-8.176093785914121e-07, -1.3590990824666572e-06, 0.006058915762863656], [-2.0749922831877284e-06, -2.0207677147140083e-06, 0.0075667482430952955], [0.00033148839987708816, 0.00130432158915792, -6.575103491199437]];1100;10000;140;[[-0.8801656673402753, -0.3097682595825723, 237.35119652855292], [0.04616103214254389, -2.4807212866161374, 3500.7024624319492], [0.000335119178086897, -0.0010426211940594173, 1.0]];[[-5.2439982711104585e-06, 1.2005648414478802e-05, -0.015289497713251894], [-9.560859648333571e-06, -3.3152480696697352e-06, 0.010776635310830937], [0.021470985047875733, 0.0037763466826992525, -18.57490670890103]];1083;1025;[[-0.5467204260221771, -1.0567809289805192, 938.3595185533412], [1.8050405671362222, -2.89693021920502, 1665.1316002863753], [0.0024266737034525925, -0.0023334100974151347, 1.0]];[[8.283413813527027e-05, 0.0002056076043909721, -0.12681476446735318], [-2.77155408243983e-05, -7.553400331414436e-06, 0.005007068875466283], [-0.0029642947628856363, -0.05437756262430865, 33.271619266238396]];1169
100869.jpg;10000;671;[[-13.12394729311636, 8.695466601105874, -7351.41014769049], [-5.022262177928477, -3.7096033913893094, 7402.53772258164], [-0.002441381260921031, -0.000547566837125578, 0.9999999999999999]];[[1.6224644412589323e-06, -1.1908356136788845e-05, 0.014348612582136294], [1.4553620921014055e-06, 4.634255603146881e-06, 0.00551246343570471], [-0.002925643828434713, -0.0037385142477236867, -13.761043266186999]];1096;695;[[-89.29656312417781, 65.0228284924551, -59115.02904117937], [-34.64291461498098, -24.71831445822542, 49835.01679439662], [-0.01755679385005089, 0.00037879458744460273, 1.0]];[[0.02975891720659017, -0.018312484467520165, -96.15317726680365], [0.00029584428750841635, 0.01690881417815221, 51.472595159861896], [-8.111870484175373, -15.320440614606227, -36100.2411567423]];1135;10000;271;[[1.4670864245378354, 0.14293835810750496, -2669.601638519707], [-1.3984534338182446, 1.359239003479798, 714.3994063733979], [-0.0011448108550833566, 0.0008887561864135132, 1.0]];[[-2.985533411232324e-05, -5.001334560708014e-05, 0.028681379312402555], [2.7743891737186502e-05, 6.477576813044824e-06, -0.014641520357335132], [0.01575982068178375, 0.07878339113466225, -30.870426504816432]];1083;182;[[1.3335464495758445, 2.867596213794962, -5883.083359388534], [0.24477964624744958, -2.10318211107638, 2635.3715441155955], [0.0033917803258513976, -0.0046954282441876265, 1.0]];[[4.812153915683261e-06, 9.694843200971125e-06, -0.01853988067478465], [-7.396113517942492e-06, 2.3256497989782012e-05, -0.021527823058932197], [0.004003062684947937, -0.04996723696706163, 60.65575904939285]];1084;10000;162;[[1.3635616361432439, 1.0151477672580713, -3157.912767431951], [0.3230245402813132, 1.94101331098812, -3090.765040735726], [-0.000817605197701383, 0.00026942702940273614, 1.0]];[[-1.1217824593725538, -3.9570436614324436, 737.6958780487548], [-10.508955436448943, 7.922662369717074, -13486.848688332568], [16954.05221088558, -4786.1362733677015, 18133486.82334643]];1063;125;[[-0.8794646838349015, -0.6248947413114815, 1671.7628920816494], [-0.26812482225729356, -0.4744146149902309, 970.3875749425121], [-0.0004636263962384598, -0.00042572628077522476, 1.0]];[[7.944986184452235e-06, -4.7113341355105506e-05, 0.012284411989444907], [1.585715998354491e-05, -2.5261488142728297e-05, 0.00704089923240509], [-0.03210648921236561, 0.07624794823004725, -20.634836017458603]];1084
101435.jpg;10000;445;[[-11.519736009177784, -0.06008751117970982, 7057.778458257776], [-0.8133430906745799, -10.646174553637191, 4585.11213841141], [-0.004110035781188261, -0.0009438030150770428, 1.0]];[[-2.9453551721772702e-06, -5.5340708304920155e-06, 0.009506119133910886], [2.390216269843361e-06, -5.809197045117666e-07, 0.00644922747941767], [-0.0007032061851140362, 0.0024415393952713026, -8.23823432847708]];1127;203;[[1.8148432190608712, -0.10225908115932457, -1191.7774643555852], [0.3533350946157895, 1.7467581188195274, -752.0886957812572], [0.00046964701872088645, -0.0014694057809098054, 0.9999999999999999]];[[2.0282003914498107e-07, 2.28816623114346e-06, -0.002165286805740072], [-5.290317079001774e-06, 1.501233134663842e-06, 0.0016008472348014774], [0.002782911549606311, -0.00284353137416612, 1.0]];1151;10000;305;[[-5.704571011858286, -3.2512653941515866, 9394.093815488322], [-4.241426430023461, -8.59279130210102, 11194.222833433043], [-0.0015768733010122246, -0.0010086622742805358, 1.0]];[[1.589550233274715e-06, 1.0555494995347135e-07, -0.0048063467340509645], [-1.5642363799932045e-06, 1.1552885931178541e-08, 0.0042433793976577], [0.0019683896687349113, -0.0020238183257016017, 3.127653118541234]];1074;776;[[-0.45902096980556045, -0.5216643962219372, 689.6449198048068], [-2.222598998228375, -0.45825766814515484, 1484.7479019490559], [-0.0012750318055524757, -0.0004477414593794932, 1.0]];[[-4.077029578555092e-07, 1.2985798826087728e-06, -0.0013370418165955167], [2.728524991564878e-07, 4.218306245826819e-07, -0.0005143061026100396], [8.010246995945364e-06, -0.0009175543020135911, 1.0]];1136;10000;516;[[-8.069815554186647, 6.132984798241469, 3607.366019080919], [0.7759396448694572, -1.946315219038528, 205.3067964442332], [-0.007407644796634123, 0.0076716560941559415, 1.0]];[[1.1867177098276492e-05, 1.926693488465173e-06, -0.0124726863116655], [-9.716717863050201e-06, -5.909552901817231e-06, 0.006541068778386272], [-0.002896227977474761, 0.004112107991750943, 6.927594858870178]];1134;301;[[0.8491450066252548, 0.46293538821019736, -474.70326778481575], [-2.521535188629403, 5.041457657882413, -1675.189559182027], [-0.0017595007742285834, 5.204242248954456e-05, 1.0]];[[1.6026832558133385e-05, -3.513008217365331e-06, 0.014520031906888702], [7.498206394190662e-06, -6.654277044245111e-07, -0.00016853800625764], [-0.01453260781804151, 0.001935128460905016, -4.26711383043939]];1160
101452.jpg;10000;932;[[-0.6452484829870891, -0.25644414387367936, 853.0397655794844], [-0.43939112834148175, -0.5513122564583384, 1148.1077735708539], [-0.0006759786706148873, -0.00035218412784658896, 1.0]];[[-4.693900615352781e-05, 3.830832353234435e-05, 0.019794494021411452], [-5.5138924864507136e-05, 1.6824265660845036e-06, 0.02915944075421464], [0.11694014029818227, -0.03136318536220112, -58.05192305324867]];1134;556;[[0.6099737046404531, 0.3926482614407062, -655.4017467414136], [-0.2478191794149659, 0.6842872933979642, 10.66985756187994], [-0.0005613023382831633, -0.0002309390842414416, 1.0]];[[1.6435581609693467e-06, -3.132324345509632e-06, 0.002986464532478574], [6.332137049640524e-07, -1.2087333832420433e-06, -0.0022573272087140278], [-0.0028307266432247517, 0.005396624424652809, -2.0353986152568986]];1259;10000;582;[[17.043907560464987, -5.6437270217624365, -260.9336658534556], [-0.49321442894091144, 4.730757296566064, -6293.516416881862], [0.0031251538929298883, -0.0010332705962883741, 1.0]];[[-1.9278329182300272e-06, -9.723119432433568e-06, 0.008289759159276905], [3.221633769617897e-06, 2.948252452222158e-06, -0.0036064937764916168], [-0.003974374804758717, 0.0008399061680358843, 1.0]];1118;1673;[[-1.0506646338048224, 0.0037971182142083355, 1193.7358257102064], [-0.47113465458499326, -0.2153348617289525, 696.1229278012455], [-0.0008472770479284245, -5.627758016214494e-05, 1.0]];[[-8.028468731473772e-07, -1.74133094847711e-05, 0.009130859686280617], [-1.6465988488145953e-05, -4.136967415262731e-07, 0.03957825134431783], [0.013106996745365153, 0.016791029391621092, -38.31993989452191]];1147;10000;358;[[1.6498197357686453, -0.8285973197573068, 995.8852547304515], [-0.8992075234520152, 1.036889059603167, -1007.7912797902874], [-7.880703946969342e-05, -0.00026330291623685823, 1.0]];[[1.5892838051129927e-06, 6.970970678401098e-06, -0.00025918148228023076], [-5.215924911006868e-06, 9.83164353411141e-07, 0.01586863387354961], [0.004627413921271861, -0.011665309424280719, -20.871176610294597]];1055;361;[[14.47865453322328, 16.50154969494735, -21466.430312686454], [1.546774025049882, 22.652504816204164, -14973.427559041882], [-0.0012470191467002026, 0.0064923441339099185, 1.0]];[[3.9696865014354314e-07, 2.2201671241221156e-07, 0.005524590250851777], [-3.505102094390731e-06, 3.847853119082734e-06, -0.00576559774925222], [-1.386367528875604e-05, -0.00010104797913367606, -0.8838659101673438]];1193
101987.jpg;10000;789;[[-2.5278830210317382, 0.1386231397640616, 1431.702947067609], [-2.0813611440058573, 0.33263413351127025, 836.2797260953278], [-0.0018134731684167902, 0.00011195835561282008, 0.9999999999999999]];[[-1.204652018822584e-05, -9.769926462122913e-06, 0.021939306821140276], [1.4565128092747411e-05, 1.5081013735758094e-05, -0.04643577207878544], [-0.011352651145233152, -0.013714269843916613, 48.13016532668682]];1087;731;[[1.968276425712254, -1.3689388489736765, -871.4654672767792], [0.20035527682762805, 1.3322557686730803, -1081.2719404518548], [0.00015473893457727765, -0.0007563544913041769, 0.9999999999999999]];[[4.4291234091504943e-07, -6.886730871075266e-06, 0.00459700795737761], [6.737053329316322e-06, 4.7279242627059725e-06, -0.0036080603163151743], [-0.006525890986773419, 0.0031745816071942143, -1.7131853877465177]];1136;10000;428;[[-1.965279898926205, -0.1325077798776072, 1811.5305847225172], [-1.0198702147497194, 0.018919332064128516, 810.2374846149402], [-0.0011455331388754424, -3.9996486447239404e-05, 0.9999999999999999]];[[4.351010134085495e-06, 4.14056901304563e-06, -0.007019957786897915], [-1.4612218871293144e-06, -1.3376834718339393e-06, 0.0033719223064719666], [-0.001527932950800899, -0.0015303919099259804, 1.0]];1076;1653;[[0.25905762724202763, 0.08455580680667905, -409.3251768707788], [-0.18897258265776373, -0.05511030907130672, 297.9184025905617], [-0.0006008389396652205, -0.00023549435381029033, 1.0]];[[-9.445501546552117e-07, 2.35981116556493e-06, -0.0008792672601949048], [-5.823295308754522e-07, 8.875791877397772e-07, 0.00015546349997890802], [0.0017967485103779221, -0.003941930128334922, 1.0]];1162;10000;215;[[-0.3442780680025203, -0.7710181465936085, 1622.4939970484918], [-0.18266088904966482, 0.07768168801096507, 32.54495151857885], [-0.0002980437231167971, -0.00043679029807425305, 1.0]];[[-5.094050254761904e-06, -2.269760962409593e-06, 0.006717032264682465], [8.671821939880292e-06, 1.5335411492903938e-05, -0.014148079726402949], [-0.010004736865474017, -0.024735549112409213, 17.988627674934136]];1066;367;[[-1.2249756096720457, -1.115749456040005, 2334.9904113802904], [-0.38675507936806625, -2.715590656015637, 2704.234335187759], [-0.0006492651966871038, -0.0004854009132231281, 1.0]];[[-5.187176600730979e-06, 3.405504612039518e-05, -0.011195605735089893], [-0.0001118949806883674, 2.998177711377891e-05, 0.05942637612538208], [0.10218181942153096, -0.06786836159827789, -36.97589939406243]];1115
102508.jpg;10000;323;[[5.110458380206381, -2.539875647537197, -3496.727161120502], [1.8914945548801412, -0.476644314948916, -1427.9994642158013], [0.0017889434153009307, -0.0038030262529259824, 1.0]];[[-1.0290648189298664e-05, 5.7372411901952825e-05, -0.026928385963423992], [8.751384581863849e-06, -5.758112638015419e-05, 0.0031917026423063516], [0.004029180608353396, -0.01682399286361876, 23.187646917211207]];1105;670;[[1.0622629948088316, 0.016138271601031522, -527.3801226582536], [0.2596936931296772, 1.307433447324395, -921.1642798572477], [-0.000260386155254253, -0.0005260038095199344, 1.0]];[[3.400360921279304e-07, -6.698081531999262e-07, 6.083864366094108e-05], [1.3272660802842903e-06, -6.904768448672324e-07, -0.001496385320399145], [-0.0013177745340915835, 0.0012244834704449475, 1.0]];1176;10000;173;[[-0.1714816918668932, -0.3579231157376616, 621.7445026448107], [-0.6208681130969274, -0.32601657689696206, 1171.4762926691953], [-0.0004524738247901274, -0.0003570070889488636, 1.0]];[[-2.9245230936178867e-06, 3.302352440751214e-08, 0.0016020238776422377], [-2.7502834444677803e-08, 2.955173608346156e-06, -0.0028057714145744003], [0.0036458417847030165, -0.00318072670549619, 1.0]];1054;764;[[-2.7990980752793484, -0.2270190482432727, 3727.812027120812], [0.4434997286730764, -0.4672611809081291, -219.77289313906675], [-0.0013157475609405819, 0.000609360526397365, 0.9999999999999999]];[[-1.0672872495658064e-05, 6.429313129059555e-07, 0.021106356123946013], [-1.915013274166595e-08, 1.1616782451419344e-05, 0.011301156324773944], [0.012037577837976154, -0.012935196021920314, -35.644837795573146]];1189;10000;616;[[0.07463078377080486, -0.5302051194096831, 378.28817407220896], [0.11584801622907948, 0.3442129464707992, -374.11823868928496], [-0.00023678983008878102, -0.0006727958373545604, 0.9999999999999999]];[[3.4805369054538423e-07, -9.003596515697204e-07, -0.00039597484122689077], [1.165119932119435e-06, 1.655484610644019e-07, -0.0008439485289207984], [-0.0010784406562870327, 0.001291566373686083, 1.0]];1096;472;[[5.2814569998433765, -1.273692073194484, -3262.5465802032672], [2.134110117991656, 1.7081662406466394, -2799.0037174146446], [0.0008290411420326786, -0.0014438073444936923, 1.0]];[[-1.9415120134948437e-06, 7.268672288929344e-06, -0.00518313762508293], [-5.017099153362299e-06, 1.054045395334993e-06, 0.004741389592079297], [0.005947934133171346, -0.007722388374757422, 1.0]];1193
102523.jpg;10000;179;[[-0.21520158926027366, -0.17222996704832566, 391.8109949245156], [-0.256202398599687, -0.33937193753395806, 571.0480662909364], [-0.0005329498236009928, -0.00046578131716319124, 1.0]];[[-1.2523585231207774, -0.31632081467248085, 1887.834165784377], [1.8965576962435904, 1.9303428233304343, -4238.81065130145], [-132.26510282337858, -814.6256930200443, 942156.3711602576]];1056;261;[[1.731137710058024, -2.2919223194367717, 716.5384601529769], [0.3037319215656234, 1.7630645869461639, -1857.5577241885583], [0.0004972681972063685, -0.0012722301327976577, 1.0]];[[7.21633163019764e-08, -8.234215358912111e-07, 0.00031238695046204327], [1.4001859390044296e-06, 1.2674705522582977e-06, -0.0013474291016033106], [-0.0014064691042058833, -0.0004504136616136044, 1.0]];1159;10000;325;[[0.04230285998051526, -0.31723923162275086, 261.05435429868606], [0.5336747043643837, -1.6436398468253237, 958.7491629134886], [0.000558581223197134, -0.0017194806785101467, 0.9999999999999999]];[[-2.8680490596777592e-05, 5.395849674414296e-05, 0.017320232458441855], [-1.3445575870608677e-05, 5.18313773461159e-05, -0.024167903600820977], [0.05020692408818041, -0.11967631508940929, 0.36559075188004897]];1084;963;[[1.448332505276588, -1.8952911570795046, 154.97867970899074], [0.18644484648244425, 1.1866741627614739, -1493.6588107609366], [0.0004926536955656383, -0.0014267802027925873, 0.9999999999999999]];[[0.02780406370765509, 0.133815143223305, -91.4349617969865], [-0.16162275506582546, -0.12841526452756002, 124.36599235507947], [139.1082781464845, -41.17134949797219, -11941.224540512078]];1192;10000;416;[[0.6418917427518672, 0.021639647776718018, -908.9559799162752], [-0.2147191614868499, 1.210450155553306, -670.8795582171152], [-0.0004790693427957705, -0.00010887640493625507, 1.0]];[[-5.722845974703266e-06, 2.86132263014181e-07, -0.007429148919085091], [1.198948972266028e-06, 1.2620222178739962e-07, 0.003011708222067783], [0.009669511785708173, -0.0010847718513888624, 7.8515254625277775]];1116;603;[[2.680028890798945, -0.7531711036150593, -1758.7834393091885], [0.5798262978217161, 1.63826151879065, -1868.9906268728614], [-0.00010202931420890944, -9.47668731477387e-05, 1.0]];[[-1.4144350538661348e-07, 1.4807431524414724e-06, 0.0022805307290665057], [-1.1812040108615894e-06, -5.096597211217793e-07, -0.00409000358010737], [-2.567249928999692e-06, 0.0007568989852505765, 1.353112992009899]];1184
103048.jpg;10000;201;[[0.5619849811132653, -0.9857229668747474, -2.1404605783090007], [1.3133395095133813, 0.25854869106329875, -1790.714800100399], [2.085376285933427e-05, -0.0009291161169978533, 0.9999999999999999]];[[1.3688566707788924e-06, -5.969103076198912e-07, -0.0002724719888898356], [1.0637429504007857e-06, 4.306669650044143e-07, -0.0009532122378975246], [-0.0027520497483144927, 0.0006545265101083235, 1.0]];1064;475;[[1.9989312093800902, -0.12604282868400618, -1978.6029483306638], [-0.7045752926936398, 1.2110482029412177, 113.49099440633574], [-0.0007771460224036608, 0.0002992318679568683, 1.0]];[[3.1993597583920674e-07, 3.0307018704811616e-06, -0.0017880059373294732], [-9.54375067293568e-07, -2.741534726462955e-07, 0.0017390759392404622], [0.0002793229806034393, -0.0035998889240166847, 1.0]];1115;10000;1348;[[0.6785089875653002, -0.13481092680526757, -778.5607602394987], [0.37743188227843055, 1.095713597591952, -1381.2654348920937], [-0.0001951383257554813, -0.00028555685097480876, 1.0]];[[1.357137732618098e-06, -2.3598986544523538e-06, -1.4760405868613404e-05], [3.5967906186382445e-06, 2.1952621308560643e-07, -0.00121126247823468], [-0.004981936853519601, 0.0034391141996046684, 1.0]];1098;134;[[90.91142106401055, -36.21679197359489, -4016.991609454163], [21.56690468042132, 15.371355974189886, -23216.46670654201], [0.06637475805353524, -0.026275829923458716, 1.0]];[[-1.3369287083240198, 0.8942259704603812, 1345.8652000091424], [-0.009778168508124185, -0.36074825197098426, -109.69243846085556], [545.2300389757577, -109.7808742513136, -465914.4212279215]];1118;10000;522;[[0.09754379574245219, -0.002260542299044058, -107.36040181345905], [-0.29951836571791485, 0.3154801148414082, 317.55573160865134], [-0.0004708038797157667, -0.00010288939312181671, 1.0]];[[-9.573022579896696e-06, 3.6970654093904804e-06, -0.0038481526563431965], [-8.134607726559588e-06, 4.958394340709881e-07, 0.002126608341546897], [0.02511594294723272, -0.006532347711931348, 3.6355653911353922]];1102;494;[[6.943137054942064, -1.0997045039454523, -5460.558393008372], [1.5956540011706726, 3.0278336277112157, -4664.464719382783], [0.001117876562845585, -0.0008823581625362249, 0.9999999999999999]];[[-2.5767146975126863e-06, 2.049447381068624e-05, -0.015015109070577008], [-1.4283681423764725e-05, -3.160719462913958e-07, 0.019618885946687033], [0.02121492895908139, -0.02494641306464997, -6.193160262283746]];1212
103511.jpg;10000;388;[[-11.052912207024482, -7.62332540469611, 20256.070410927063], [-1.7706619813683078, -10.511269083689088, 8335.480469317466], [0.0007136017752058624, -0.006318818717171556, 0.9999999999999999]];[[-2.6981963170826344e-07, 1.0159118121953753e-06, -0.0008443598972562641], [-3.8656499235716165e-07, 3.493747394462175e-10, 0.0003577616703194751], [0.0007554777837782165, -0.001578096747789375, 1.0]];1073;843;[[-0.9349542194328587, -0.31094315157506797, 1559.7237834197842], [-0.41102372005341403, -0.3134242197747124, 829.8113304435419], [-0.0006740358911817563, -0.00012510976983322544, 1.0]];[[5.646692942782227e-06, -1.5078930195782504e-05, 0.0016172565547736273], [-1.0441671638374478e-05, 5.50420058523084e-06, 0.014976834077143683], [0.0023544205414491376, 0.01243574910094135, -14.35762855132288]];1176;10000;360;[[-1.2288923552320956, 0.06213177766730176, 1586.093145459796], [-0.654779985530484, -0.25560724944020075, 954.3991662283848], [-0.0008093922093958911, 4.3525270809117414e-05, 1.0]];[[14.325643360269414, -9.749527700574255, -11128.340788700962], [-1.583664264290558, 0.7034587895369828, 2833.290457810057], [-19297.21920803264, 13256.598261911933, 14461035.98572725]];1071;926;[[-0.24365115843634855, 0.5971701733087423, 38.35713036809084], [-0.08179607033683364, 0.5811670903447071, -204.64921455022602], [-0.0009061042672433059, 0.00030575326421418577, 0.9999999999999999]];[[-1.3707080827871051e-05, 4.8410516754211774e-05, 0.0035702075474628022], [-1.161667973781431e-05, -1.7608127347891382e-05, 0.04813344977659431], [0.024231718140394237, -0.05324601894925401, -31.186606334866102]];1146;10000;177;[[-0.14998630829926798, -0.9433054600100413, 1207.9806867220104], [-0.18797317393375854, -0.5230584103125885, 872.816732187555], [-6.958197280955575e-06, -0.0008927798679466378, 1.0]];[[-2.9033726344189144e-08, 1.7696188988620948e-07, -0.00013472836301384097], [2.822811037463767e-07, 1.0110397257914914e-06, -0.000770562101875813], [-0.0002453275355267123, -0.0013123700503667492, 1.0]];1112;142;[[1.6005254049319366, -2.0353451182814926, 1726.896708759724], [1.0370730318945922, 0.920086549830542, -2192.089382811233], [0.0006773848589543215, -0.0008707757714209437, 1.0]];[[-4.60714812187973e-06, 7.137060241618642e-07, 0.009640832220406636], [-4.5503209912042067e-07, -9.870638917246244e-07, 5.4195182778799195e-06], [0.003739149344423199, -0.0004797852676302607, -7.735435886163619]];1203
