file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;211;5;;;1994;6;;;1595;246;6;;;1576;7;;;1599;228;7;;;1572;9;[[-0.5991688361842593, -0.36237120311010906, 604.2770063916927], [-0.1574810458761008, -0.057482426733762346, 124.22738934020668], [-0.0010068062284077962, -0.0006015963318190609, 1.0]];[[2.2965400016004736e-06, -1.6273502102576067e-06, -0.0012148727856079885], [9.662851708144782e-07, -6.971410041967062e-07, -0.0005591357341483193], [-0.0018070731781693644, 0.0012919179361287943, 1.0]];1590
100327.jpg;207;5;;;1577;14;[[1.9328021177744392, -0.34823517664147463, -661.9681076049557], [0.26975859094111637, 1.8178302512522406, -1314.0880447231696], [4.185317552422351e-06, -0.000179333112435342, 1.0]];[[2.0323648212529503e-07, -1.2617797075382104e-06, -0.00015695629814676496], [1.2406225282598913e-06, 1.0880647663528816e-07, -0.0013893927821588743], [-0.0009539525061625673, 0.0011541932920820681, 1.0]];1588;234;5;;;1571;5;;;1585;213;4;;;1546;5;;;1596
100869.jpg;223;6;;;1580;6;;;1588;238;7;;;1545;7;;;1556;256;5;;;1578;5;;;1656
101435.jpg;233;4;;;1573;6;;;1547;258;2;;;1541;6;;;1560;253;1;;;1582;6;;;1536
101452.jpg;237;3;;;1600;7;;;1554;231;5;;;1526;20;[[1.8659124216948777, -0.413131598585755, -456.58226531134125], [0.2654322521047709, 1.7790489364724247, -1264.4054937552046], [-1.0966165647871975e-05, -0.00015989630005466173, 1.0]];[[-9.422971821513992e-07, 6.415860711897766e-06, 0.00021131656324835206], [-6.186879481136496e-06, -1.9808087317008946e-07, 0.012383030480934736], [0.005201973257462782, -0.008453924243595591, -8.172128148129376]];1517;243;4;;;1537;5;;;1586
101987.jpg;250;8;[[0.8223252958256223, -1.5017233085217565, 1201.1508738035868], [0.32695859789268567, 0.4777314062129081, -366.811174585376], [-0.00031062718475793855, 7.170606979094746e-05, 1.0]];[[-3.410836331102761e-08, 3.085018485398768e-07, -0.00018213960515174165], [5.779809620158401e-07, -3.7125872581225233e-07, -0.0011443778112762244], [-0.0006016026235395287, 0.0006058452382834887, 1.0]];1574;7;;;1600;230;4;;;1526;3;;;1554;244;5;;;1531;4;;;1570
102508.jpg;233;6;;;1537;6;;;1571;235;3;;;1537;7;;;1538;268;6;;;1513;5;;;1577
102523.jpg;238;5;;;1552;5;;;1600;244;5;;;1575;5;;;1552;266;5;;;1543;5;;;1556
103048.jpg;267;5;;;1576;26;[[1.9750149449327983, -0.26570389482445067, -876.8888912694738], [0.1919283027179551, 1.9022182602783706, -1205.7759958034744], [-5.760530265814753e-06, -0.00010238381992137164, 1.0]];[[-1.7211666970888163e-07, -9.512611742815373e-07, 0.0025349912878019883], [1.6346726607196169e-06, 9.640127031880914e-08, -0.007904295206334839], [-0.002073563251333181, 0.0037110475324879273, 3.0909154706111277]];1574;297;4;;;1551;30;[[1.6987170914969454, -0.28295900348190567, -671.9692212468642], [0.1368081805194322, 1.7504685086098382, -1070.9699633064317], [-7.488499655328843e-05, -0.00011637792311332341, 1.0]];[[-2.8420671482232126e-07, 7.412771421221271e-07, -0.003784380692108345], [-9.230491715164499e-07, 3.979793520852432e-07, 0.005669139398870768], [0.002965274412394154, -0.0031536583879857314, -1.4529766706528353]];1549;297;5;;;1542;4;;;1565
103511.jpg;303;4;;;1545;21;[[2.0303403924174948, -0.27915975706489105, -473.415413208678], [0.18188419781566298, 2.019478394744468, -966.3346903112655], [-1.689122138860438e-05, -5.6291370235550565e-05, 1.0]];[[7.85567867914626e-07, -8.582834423109752e-06, 0.0012607838071694794], [8.426900093745802e-06, 7.608851298052185e-07, -0.015261339348252098], [-0.005287556935830274, 0.009372574946570506, 6.521493829946209]];1543;311;2;;;1563;43;[[1.9839411272517031, -0.31196685196988255, -451.7820173646784], [0.17461842061821387, 1.9340624605172854, -921.3144501399532], [-1.180682346736349e-05, -0.00010917216405243555, 1.0]];[[4.7325416832300734e-07, -5.708094617398373e-06, 0.006543307705538948], [5.971378008739899e-06, 3.7882086451687656e-07, -0.010134775604192306], [-0.006262374454317218, 0.005897632332840812, 2.5692677447793715]];1545;313;5;;;1555;23;[[1.6732395682156278, -0.3560129664181695, -251.03601652375264], [0.1272791859900061, 1.7334362390450335, -798.6908223526797], [-8.945508775873123e-05, -0.0001328317060266116, 1.0]];[[-3.7531430543952846e-07, 3.8005817303595503e-06, 0.0037582481749152538], [-3.4601779275353972e-06, -1.0573083987761676e-07, 0.0077797996455726375], [0.00033872971284059223, -0.005161278122518583, -4.715420576515898]];1574
