file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;7;5;;;953;75;[[1.3000992031771827, -0.34210238914138397, -224.9727367737732], [0.07674181560485244, 1.4183887091208758, -728.2628965021851], [-0.0002917822056457779, -0.00018860790224790934, 0.9999999999999999]];[[0.006610468572946334, -0.14306260914910976, -31.333251387572602], [0.14740515459276668, 0.02572799214492304, -46.04474267119711], [-60.829279937077814, 60.19390360342781, 33372.06935608533]];425;15;4;;;426;68;[[1.8399159307388224, -0.35588139138201247, -470.13040786939223], [0.18865254983691288, 1.748889646805651, -958.5619461524091], [-6.979342062504724e-05, -0.00015821242395535468, 1.0]];[[1.0164977811163654e-05, -3.095168110623763e-05, 0.015239417515271152], [3.321515526618137e-05, 5.107552487419759e-06, -0.01919803533840129], [-0.032658919606431414, 0.015274405989168417, 5.696296879288232]];413;15;4;;;432;36;[[1.6395957838385382, -0.3139835339929152, -392.4742656056125], [0.15889946783818915, 1.70140390956566, -921.0042213341054], [-0.00019415675517064007, -0.00010230385848951701, 1.0]];[[-8.484254445835226e-06, 2.5882424749448613e-05, -0.014812632835756442], [-2.66050095430428e-05, -4.086732861952411e-06, 0.015232212162281707], [0.027431160162639915, -0.012681965510229513, -3.480431131291729]];410
100327.jpg;7;4;;;418;88;[[1.6680568332185388, -0.3579597247734516, -495.8337951095523], [0.18374052831330515, 1.6213111941592941, -1107.8257566182224], [-7.556325309489208e-05, -0.0001882457782198337, 1.0]];[[6.166876894272824e-08, -2.4057416629199094e-06, -0.008069177112812591], [1.2587205560229874e-06, 1.227521286042664e-07, -0.0012855718589803327], [0.0029701429087256124, 0.0025173616914848317, 4.361720113356649]];417;15;5;;;419;88;[[1.949690370196932, -0.34607613846209545, -661.6727772700451], [0.21315107338106537, 1.855611372608647, -1277.9397374178275], [3.127822338751044e-06, -0.00014098625405880254, 0.9999999999999999]];[[2.336823219225389e-07, -2.101653778659718e-06, 0.005528757397055108], [2.4351807414762095e-06, -9.573667542034803e-08, -0.007518407643269337], [-0.0045881858195243996, 0.0041579406675355205, 2.2845861863240335]];416;22;5;;;426;21;[[2.22660977008962, -0.4300426032101336, -693.866079743277], [0.31944081100969723, 2.2857625695828783, -1622.4219585607077], [0.00010852337651423006, -1.9387316582173934e-05, 1.0]];[[-3.668012397838325, 35.96059425243735, -23328.030272838485], [-36.36039033721164, -5.438218337889442, 18508.329046493443], [36471.4717673215, -19615.75740960732, -1263561.6994107328]];417
100869.jpg;6;4;;;407;4;;;420;4;4;;;418;4;;;399;9;3;;;498;3;;;428
101435.jpg;26;6;;;457;4;;;395;57;32;[[1.4034545899629405, 0.5472408012923331, -1136.4237966857627], [-0.8539085310693162, 1.5799345574240238, 439.51287377376985], [-0.0003361986089298546, 7.208216080791186e-05, 1.0]];[[-4.7886343501196995, -11.883530859513211, 18256.936164048042], [13.162396479419286, -3.7322264212798193, 10896.732822437516], [-8391.524854818816, 7303.339356159815, -15210243.383310616]];421;4;;;445;29;5;;;550;5;;;451
101452.jpg;32;2;;;476;47;[[2.078325664918299, -0.40974002183211683, -564.4921255079455], [0.2915688758558264, 1.9504347837488494, -1382.7872219276155], [5.705100849345185e-05, -0.00011898663547875594, 1.0]];[[1.8807300443067606e-06, -8.32059432661387e-06, -0.0030172278253572096], [7.1842264035502385e-06, 1.036306407591654e-06, -0.0005046769405732095], [-0.00465382065477719, 0.0034821646399736035, 1.7216337387395415]];417;12;4;;;405;9;[[-117.47860491651291, -69.82264996534101, 77071.82435704801], [-72.82479104703758, -217.97290758974717, 195656.23693893108], [0.021491954609571092, -0.13449236287479926, 1.0]];[[2.2078992509014808e-08, -5.649709423318347e-08, -0.0005952376566699824], [2.435649580527409e-07, 5.030563758152746e-07, -0.0009925682692613763], [-6.681158592178175e-05, 9.061518768657399e-06, 1.0]];449;12;4;;;412;5;;;427
101987.jpg;5;5;;;408;123;[[1.806841825595105, -0.3233773423997893, -721.034840580605], [0.19298271854485788, 1.8045080175251444, -1179.323666303745], [-5.8078569650102326e-05, -0.0001046993748355176, 1.0]];[[4.0028271861881474e-07, -3.8822129810490706e-06, 0.0031608539157463706], [3.848634671235518e-06, 5.679277619471984e-07, -0.0016969796131781033], [-0.004012579211187126, 0.002316685942347299, -0.6938163823960135]];494;10;4;;;419;122;[[1.8329000206896133, -0.3166829321795886, -752.6355180617765], [0.1896492972971364, 1.8071524359338005, -1178.0325367755443], [-5.411167702918098e-05, -0.00010586963159901895, 1.0]];[[7.394180383310879e-08, -6.738157829804892e-07, -0.0004821360763503422], [6.25506819617603e-07, 1.9577273483146951e-07, 0.0030800866720835113], [-3.964388356869957e-05, -0.0011670948676369463, -1.5972159162692545]];413;14;5;;;424;105;[[1.6498385536377744, -0.3612123838809652, -576.9642498326076], [0.17303181403107362, 1.6912641537818818, -1094.894405813774], [-8.427371560694868e-05, -0.00012896981721556471, 1.0]];[[-2.722909267754056e-07, 9.041005005165373e-07, -0.003251731636834517], [-1.3368590303821545e-06, -4.127615669660204e-07, -0.0006632561116660151], [0.0026082853007067725, 0.0006005968350065282, 1.9397363058437525]];434
102508.jpg;25;5;;;439;143;[[1.9160902128745947, -0.500231353627926, -332.6120330500081], [0.31606479626805395, 1.8074535731628685, -913.846839217331], [-8.050415186990173e-06, -0.00016867855180255093, 1.0]];[[-8.903195939992535e-07, 5.238989982011446e-06, 9.757208307863141e-06], [-5.118622233818686e-06, 7.184620347000777e-08, 0.013909845638276606], [0.003754607123011187, -0.008407408830873793, -6.351183417663944]];413;6;4;;;419;114;[[1.9941215405296182, -0.45116134121665763, -405.570614548772], [0.3177889879251406, 1.875985723362727, -942.1936109788462], [1.4978733602796679e-06, -0.00014104005483420433, 0.9999999999999999]];[[9.075496825615996e-07, -6.520435087104882e-06, 0.007138895476509428], [7.223716334104195e-06, 1.9148531707710147e-07, -0.01570158801007833], [-0.007829708263302251, 0.008545679812566875, 4.832111493813191]];428;25;5;;;460;41;[[1.8242096105952483, -0.5527113226544271, -273.0972427129727], [0.31060789521271903, 1.6650374696248822, -846.3789675743058], [9.207884735064345e-06, -0.00026719865596607254, 1.0]];[[-1.3850677208890287e-06, 1.026506637021403e-05, -0.00709302545612123], [-1.3070782156498032e-05, 1.5911277641880746e-06, 0.021048313520649127], [0.01117507573123686, -0.01270220580891732, -7.522113373992003]];415
102523.jpg;13;3;;;413;95;[[1.877914303726885, -0.34280139452217784, -545.6678413963206], [0.20786190539698574, 1.820660889295034, -1273.1006715111985], [-1.3819928666477107e-05, -0.00013420547487061192, 1.0]];[[-0.06349029653985684, 0.5758134247092656, -266.1795902137459], [-0.587619470514615, -0.026865561768826957, 991.0932516924809], [587.1113101674323, -675.5903833803504, -537176.8565969421]];437;22;7;;;448;3;;;417;15;4;;;421;62;[[1.8403497731859646, -0.37081238037150477, -505.6821995888685], [0.20684285210217523, 1.7535991011149454, -1223.6588799394722], [-1.4404831677360918e-05, -0.00015358360376175736, 1.0]];[[7.765077003484461e-07, -6.1404113239087454e-06, -0.002843314449787692], [5.404216210530461e-06, 1.1607348960472184e-06, -0.001335943774583701], [-0.002632915435788062, 0.002745090681450431, 2.042544974722037]];429
103048.jpg;12;4;;;432;64;[[1.704799397527068, -0.34418108480906656, -633.5565915116795], [0.15485669115598613, 1.6879434100625421, -1050.2566035799598], [-6.156675715621139e-05, -0.00014362862311978968, 1.0]];[[3.9610386231501244e-07, -3.967035439603349e-06, 0.0029361919345491983], [3.927980481485649e-06, 4.3087279135036306e-07, -0.004381250701760984], [-0.004051770009610785, 0.003733814529750356, 1.0]];416;20;3;;;552;67;[[1.950073875460345, -0.30880630033917505, -842.5348286513674], [0.19484850212636154, 1.9015742138110334, -1213.1627067746385], [-1.819512580121019e-05, -0.00010063460461491473, 0.9999999999999999]];[[-4.93456264756572e-07, 5.118208334104217e-06, 0.0013206276859456562], [-4.821895356336146e-06, -3.5973775360984696e-07, 0.007433242663091618], [0.0028036175049063294, -0.006213804510005493, -5.019604065245578]];425;34;6;;;456;4;;;411
103511.jpg;24;3;;;517;114;[[1.9751941843586218, -0.29275021874093177, -452.67899760207104], [0.1856581196297453, 1.940773679550171, -937.3303477042763], [-2.8758122714133283e-05, -8.464357905625787e-05, 1.0]];[[-5.240197832594145e-08, 7.026927572286677e-07, -0.004317893077604447], [-8.130950616915561e-07, 4.260243754770991e-08, 0.00538996222152466], [0.002573352132769243, -0.002531027626726382, -1.087569369910077]];424;29;6;;;437;106;[[1.9428042012858935, -0.3039377561619131, -441.966298054177], [0.17322335061486663, 1.9133039603908149, -913.1792135255415], [-3.0441870373747303e-05, -0.0001042141124417253, 1.0]];[[-4.018664054542387e-07, 3.517589837660319e-06, -0.004396239877822388], [-3.531485483008935e-06, -9.049887906773043e-08, 0.009077652553468506], [0.004216581350628597, -0.005138520080601921, -2.7644824568380733]];403;11;4;;;453;100;[[1.7905606245912158, -0.2679676494835745, -358.98575033377256], [0.1293802603125894, 1.8521823421422383, -849.9883067413314], [-8.555330998903578e-05, -6.935282583665805e-05, 1.0]];[[-2.437225102274469e-07, 1.182817914343907e-06, -0.0029750399078543057], [-1.0625934808816326e-06, 1.12382453770401e-07, 0.006114909012430962], [0.002318269368391523, -0.003271638659857541, -1.8905617944885171]];431
