file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;214;5;;;1123;5;;;397;217;4;;;387;5;;;398;220;4;;;382;4;;;376
100327.jpg;218;5;;;403;10;[[6.165463218868622, -0.5224531963467716, -2821.1855395783773], [0.8271218594341637, 5.1456439338254025, -3771.3270574707535], [0.0013706227753827668, 0.00037668900145092313, 1.0]];[[-7.588432116968536e-07, 7.924178066407132e-06, -0.0006515071668487336], [-7.5752409578070955e-06, -1.4141109856224588e-06, 0.0021281549650318432], [0.005508716298993762, -0.0035984000474772694, -1.0515874012981323]];368;213;4;;;397;5;;;390;216;5;;;386;4;;;396
100869.jpg;235;4;;;394;4;;;383;214;7;;;390;7;;;378;210;4;;;397;4;;;380
101435.jpg;209;4;;;411;2;;;447;239;5;;;388;5;;;394;223;5;;;399;4;;;440
101452.jpg;206;4;;;397;13;[[2.9864107449324617, -0.32838247137292315, -1154.4540998039174], [0.49801414060055205, 2.6056366175099654, -1954.5267406869589], [0.00025589153281603067, 1.0148939817425231e-05, 1.0]];[[1.315312647043908e-07, -1.311463505625093e-07, -0.00487171732205578], [-3.1649397742370973e-07, 6.091066827010858e-08, 0.0014339842838785165], [0.002418997870344861, -0.000169514101830081, 1.0]];386;226;6;;;399;5;;;428;223;4;;;403;4;;;375
101987.jpg;229;5;;;399;19;[[2.126828402300177, -0.29930223144086227, -1020.9874706838474], [0.21399813205530574, 1.886333327818462, -1244.7014364429874], [1.877321808854029e-05, -0.0001448005048330851, 1.0]];[[-1.0749211902592426e-06, 9.69947046706582e-06, 0.0025657855812969603], [-8.956975989281206e-06, -4.5474501218044425e-07, 0.013289113473973322], [0.005580610770271728, -0.011586402881648297, -9.461306396088855]];458;215;4;;;400;14;[[2.1091136523959744, -0.37493551837416256, -980.1716062769909], [0.1880183661110461, 1.7164745039815588, -1121.7302396846924], [4.660684129276024e-05, -0.00023810048596993138, 1.0]];[[3.7225405857907134e-08, -8.543059241936672e-08, -0.0002297738254739519], [2.6081317773263114e-07, 1.5566492739252797e-07, -0.0014431695676022961], [-0.0001569486878189676, 0.0005015064497899599, 1.0]];365;205;4;;;386;5;;;417
102508.jpg;221;4;;;403;22;[[1.913160583441503, -0.4489701735685226, -347.50881938564885], [0.31038289443718065, 1.8513904798821372, -929.5118874363749], [-2.1719770818558196e-05, -0.00013029253037003706, 1.0]];[[-1.7326227288788865e-06, 9.87367588600019e-06, -2.232880454158424e-05], [-9.145661812189247e-06, -1.8709550555270998e-06, 0.00881627506901028], [0.005493840486577124, -0.00643853497572745, -4.044545993784228]];369;219;2;;;397;19;[[1.8610587580605755, -0.38902870994217015, -352.7945839390677], [0.2767487085732591, 1.8286467602172043, -888.2539324642055], [-5.616323893336635e-05, -9.320527671620145e-05, 1.0]];[[-3.321113744537858e-07, 6.857496882665255e-07, -0.004083276453143489], [-1.048965970927079e-06, -2.8766905720866064e-07, -0.003384703152518446], [0.002465451996128722, 0.0020734285445274396, 2.538147279610132]];411;192;4;;;404;3;;;386
102523.jpg;191;3;;;375;21;[[1.8524326375318434, -0.22139006199451808, -590.4196709269122], [0.1913385792681995, 1.906685999643014, -1313.40214331268], [-8.055864997823277e-05, -2.2649716606739273e-05, 1.0]];[[2.191046850548738e-06, -1.5559151358128245e-05, 0.010769838399830648], [1.4815818860298971e-05, 1.6908881374925245e-06, -0.026652646240519058], [-0.01744161976324631, 0.01765260243618657, 13.09718284549649]];369;211;4;;;400;17;[[1.9515851143265808, -0.2665453386740153, -643.838303587706], [0.20164832946312766, 1.9168929367900622, -1325.6945120763817], [-3.5186048684566014e-05, -6.469263831608483e-05, 1.0]];[[-1.040755046271238e-06, 9.436600252150968e-06, 0.0025308359439282606], [-9.057062052043745e-06, -9.976453959614688e-07, 0.007534911817439305], [0.005621577987180314, -0.007154601480595566, -6.031952529399649]];365;182;5;;;396;5;;;383
103048.jpg;157;6;;;400;1;;;380;170;5;;;393;9;[[1.025925681645216, -0.04423845670060331, -446.07985007956887], [-0.29910602314536794, 0.9193684200813141, -19.069616299625405], [-0.0002972493381333063, -0.00011174720284427465, 1.0]];[[8.809112515921548e-07, -1.886254326112743e-05, 0.011142451261571783], [1.665873114619635e-05, -7.826013963280983e-07, -0.01543390870626269], [-0.014373692214493297, 0.020060298655337025, 1.0]];373;186;4;;;405;5;;;377
103511.jpg;195;5;;;399;19;[[2.471682743263926, -0.47358876434096814, -693.5179756073494], [0.26059352678400755, 2.158479557859261, -1096.0269828251794], [0.0001429624830216826, -0.0002051988714991643, 1.0]];[[1.5405538826778273e-07, -8.788950466005574e-07, -0.0004742968773044704], [9.369787589341114e-07, 7.818124369299512e-09, -0.0017349142202292439], [-0.00041899242152977894, 0.0010403127942184391, 1.0]];369;198;6;;;405;27;[[1.9162777129140867, -0.302058859299719, -426.72544890838896], [0.16011143064406944, 1.9108008485855767, -903.67368071762], [-4.275023103070194e-05, -9.678808919075134e-05, 0.9999999999999999]];[[-1.2247785503280098e-07, 9.840356155951614e-08, -0.004719941506166975], [-3.5972215382882155e-07, 1.2092932271323401e-08, 0.0012692215375391888], [0.002554715065070865, -0.0002655319457144187, 0.8026716054055036]];372;222;4;;;383;17;[[1.6781618592867102, -0.27924824618238103, -285.59776692149944], [0.13385993437308003, 1.7545960475587568, -814.3169343509795], [-0.00010285661430187405, -9.079152399530204e-05, 1.0]];[[-1.0305065035105551e-06, 1.3660567676937035e-05, 0.0012197890337504085], [-1.3333372625717233e-05, -1.1482969485622253e-06, 0.016658328301633916], [0.006253074471022297, -0.01166480792877807, -7.752325451368362]];364
