file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;241;5;;;2042;6;;;304;239;1;;;330;7;;;292;218;5;;;351;7;;;315
100327.jpg;271;5;;;353;3;;;311;230;11;[[-0.44344791054941923, -1.1582641641601343, 1923.1870565647987], [0.9265933149220879, 0.26332610838895465, -716.9247931156798], [-0.0005181628498132615, 2.6986881470248147e-06, 1.0]];[[4.750302293997895e-07, -1.7516115689104443e-07, -0.001075690257180717], [1.2043739986808375e-07, 5.333762803693317e-07, -0.0003947498564211055], [-0.0004285338503987824, 1.786242484140229e-05, 1.0]];324;;;;;251;4;;;394;5;;;327
100869.jpg;275;6;;;410;6;;;358;248;6;;;399;6;;;347;280;6;;;413;6;;;369
101435.jpg;262;5;;;415;6;;;338;244;6;;;365;4;;;322;267;5;;;378;6;;;336
101452.jpg;265;2;;;493;6;;;308;247;6;;;331;5;;;314;271;6;;;372;5;;;315
101987.jpg;221;5;;;395;6;;;333;227;5;;;357;5;;;313;236;7;;;359;5;;;324
102508.jpg;221;7;;;401;5;;;335;220;6;;;365;5;;;331;235;5;;;366;6;;;321
102523.jpg;245;6;;;575;6;;;311;223;6;;;335;7;;;298;232;4;;;345;6;;;319
103048.jpg;284;3;;;409;5;;;343;245;5;;;377;5;;;326;264;7;;;379;6;;;341
103511.jpg;298;7;;;447;6;;;387;278;6;;;422;6;;;384;277;6;;;461;6;;;374
103595.jpg;315;5;;;439;6;;;376;290;5;;;419;6;;;355;282;5;;;440;6;;;390
104140.jpg;272;4;;;414;3;;;354;275;7;;;390;3;;;347;269;4;;;430;5;;;350
