file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;242;5;;;1933;7;;;1540;239;4;;;1505;5;;;1522;220;4;;;1567;4;;;1537
100327.jpg;235;4;;;1538;5;;;1519;239;6;;;1533;4;;;1522;213;1;;;1572;3;;;1556
100869.jpg;215;6;;;1536;6;;;1611;230;5;;;1562;5;;;1536;227;5;;;1590;5;;;1554
101435.jpg;234;5;;;1568;4;;;1574;255;7;;;1512;4;;;1514;240;5;;;1524;5;;;1575
101452.jpg;223;5;;;1604;4;;;1588;249;5;;;1557;6;;;1616;254;4;;;1560;5;;;1539
101987.jpg;230;6;;;1555;2;;;1536;258;4;;;1558;7;;;1531;224;4;;;1536;7;;;1526
102508.jpg;227;6;;;1534;5;;;1548;259;6;;;1536;6;;;1550;227;5;;;1534;5;;;1539
102523.jpg;222;4;;;1572;6;;;1576;247;5;;;1522;5;;;1532;216;6;;;1523;5;;;1484
103048.jpg;241;5;;;1548;5;;;1549;237;5;;;1545;4;;;1538;207;5;;;1587;5;;;1544
103511.jpg;249;4;;;1547;5;;;1545;235;3;;;1535;6;;;1547;226;5;;;1602;5;;;1588
103595.jpg;256;5;;;1587;4;;;1572;279;6;;;1536;5;;;1636;228;4;;;1573;6;;;1512
104140.jpg;246;4;;;1569;4;;;1551;267;6;;;1567;5;;;1599;241;4;;;1548;5;;;1548
104599.jpg;227;5;;;1543;5;;;1535;252;6;;;1535;4;;;1548;233;4;;;1536;5;;;1526
104678.jpg;247;6;;;1543;5;;;1549;242;4;;;1560;4;;;1583;235;5;;;1567;3;;;1529
105208.jpg;233;4;;;1573;5;;;1545;237;4;;;1571;5;;;1545;214;6;;;1540;5;;;1536
105730.jpg;249;3;;;1548;6;;;1545;258;4;;;1581;5;;;1566;218;5;;;1551;4;;;1598
106061.jpg;264;4;;;1543;5;;;1542;266;6;;;1608;5;;;1536;239;6;;;1544;5;;;1593
106255.jpg;241;4;;;1559;4;;;1533;248;5;;;1603;3;;;1577;233;5;;;1588;6;;;1598
106784.jpg;243;7;;;1568;5;;;1571;226;4;;;1561;3;;;1553;225;5;;;1572;2;;;1586
107315.jpg;242;5;;;1558;5;;;1541;235;4;;;1551;6;;;1537;245;5;;;1571;6;;;1550
107836.jpg;268;5;;;1555;5;;;1507;283;5;;;1537;2;;;1563;238;4;;;1550;5;;;1535
108197.jpg;248;4;;;1540;5;;;1540;283;4;;;1550;5;;;1540;230;6;;;1580;6;;;1557
108344.jpg;241;6;;;1599;5;;;1592;262;4;;;1621;4;;;1577;239;4;;;1543;4;;;1577
108857.jpg;251;6;;;1553;5;;;1541;258;5;;;1542;5;;;1551;233;4;;;1542;4;;;1531
109388.jpg;271;4;;;1564;6;;;1542;293;5;;;1554;5;;;1550;250;5;;;1624;5;;;1579
109847.jpg;254;5;;;1641;4;;;1599;274;6;;;1563;4;;;1568;264;5;;;1621;5;;;1592
109907.jpg;280;4;;;1563;6;;;1609;269;4;;;1633;5;;;1626;265;4;;;1559;4;;;1565
110408.jpg;272;5;;;1578;3;;;1599;269;3;;;1534;5;;;1513;264;4;;;1572;6;;;1501
110923.jpg;250;5;;;1533;5;;;1508;269;4;;;1566;5;;;1535;257;5;;;1562;5;;;1548
111286.jpg;233;5;;;1544;5;;;1589;246;5;;;1543;6;;;1502;263;4;;;1589;6;;;1544
111491.jpg;243;5;;;1544;4;;;1604;249;5;;;1590;5;;;1567;265;4;;;1567;4;;;1520
112052.jpg;260;5;;;1544;3;;;1542;281;5;;;1536;3;;;1499;291;5;;;1516;6;;;1550
112535.jpg;280;5;;;1544;5;;;1541;266;2;;;1561;5;;;1561;257;4;;;1572;5;;;1585
112625.jpg;284;5;;;1549;4;;;1577;262;4;;;1558;4;;;1578;248;3;;;1551;4;;;1583
113174.jpg;272;6;;;1576;6;;;1557;266;5;;;1577;6;;;1568;236;4;;;1557;4;;;1576
113615.jpg;269;5;;;1549;4;;;1575;253;5;;;1566;5;;;1593;231;6;;;1552;4;;;1593
