file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;250;5;;;1991;4;;;339;246;5;;;358;6;;;326;249;6;;;352;7;;;318
100327.jpg;266;7;;;380;3;;;349;259;10;[[-0.9708082771647051, -0.6088328341744006, 1718.087413511577], [0.21513803687233057, 0.22571498534869744, -178.34007454683794], [-0.0008278697137140698, 8.478736073409143e-05, 1.0]];[[3.990701401295463e-07, -1.2029535911188202e-06, -0.0008994857528582348], [1.6869864482362037e-07, 7.741540311110673e-07, -0.0007850066203982394], [-0.00041322600542349335, 0.0010282127246576509, 1.0]];393;5;;;356;244;7;;;430;5;;;381
100869.jpg;287;5;;;584;5;;;357;241;5;;;376;5;;;339;284;6;;;421;6;;;377
101435.jpg;293;6;;;449;6;;;348;255;5;;;389;5;;;332;271;6;;;414;6;;;350
101452.jpg;293;5;;;473;4;;;367;256;6;;;397;6;;;358;297;6;;;424;4;;;349
101987.jpg;240;7;;;406;5;;;346;245;5;;;361;5;;;320;269;7;;;361;4;;;322
102508.jpg;229;6;;;437;6;;;364;230;4;;;396;6;;;339;245;6;;;398;6;;;325
102523.jpg;252;7;;;427;6;;;339;248;6;;;362;5;;;321;258;6;;;363;6;;;331
103048.jpg;260;7;;;450;6;;;357;222;5;;;385;5;;;338;291;6;;;380;6;;;350
103511.jpg;289;5;;;493;3;;;434;300;7;;;462;6;;;368;288;5;;;428;4;;;371
103595.jpg;322;6;;;441;6;;;378;308;5;;;417;7;;;355;294;6;;;450;6;;;381
104140.jpg;296;6;;;417;4;;;357;283;3;;;436;4;;;366;272;5;;;448;5;;;371
104599.jpg;295;4;;;505;6;;;363;283;6;;;420;5;;;356;276;6;;;446;7;;;362
104678.jpg;293;2;;;431;6;;;354;300;7;;;415;6;;;373;276;4;;;446;7;;;380
105208.jpg;313;5;;;487;6;;;393;312;5;;;449;3;;;393;327;6;;;479;6;;;423
105730.jpg;348;5;;;510;10;[[1.720593222247038, -0.3613533338497111, -783.1477530015144], [0.17390282950278693, 1.6772627739539083, -1080.6064161554252], [-6.162793424718936e-05, -0.0001624796691316847, 1.0]];[[1.0281177277232689e-07, -8.502611745732806e-07, 3.9808113678196965e-05], [7.874758845433544e-07, 2.044371094293916e-07, -0.0017347688915417547], [-0.0006399301690546283, 0.0011831738106734006, 1.0]];486;321;24;[[0.2975500025005562, -1.889288184251617, 1913.7343913641496], [1.8112788822708994, 0.4317884676821272, -1365.8284854136143], [-0.0001517748871354342, 3.191847293951226e-05, 1.0]];[[2.1881525127059395e-06, -5.351109453488296e-07, -0.002849566279653672], [5.714155690209512e-07, 2.4464530832822504e-06, 0.0005959979680585682], [-0.0010825272003001116, -0.0010045474425372937, 0.7520173508576445]];455;9;[[1.6502675849329136, -0.33994014824257196, -755.0511147162326], [0.1647889159927457, 1.5902038818164725, -1016.1553667110538], [-8.673205208462005e-05, -0.00015218194997190278, 1.0]];[[0.1006848187581598, -0.49159188448013647, 1163.9678812358381], [0.5854403295063779, 0.13188286912435065, 43.74579063801548], [-978.1760932468861, 59.80503746812212, -703086.8500915639]];406;319;5;;;513;6;;;420
106061.jpg;318;6;;;481;5;;;407;308;19;[[0.48017418696574293, -1.9931073447934926, 2290.844862442851], [1.6789293429271435, 0.2916225943344755, -978.8731621012869], [7.612833263232113e-05, -0.00020601352033603162, 1.0]];[[1.3272314418039387e-06, -3.8701247498182294e-07, -0.00034907086875016137], [3.015137489912377e-07, 1.5649817689085756e-06, -0.0007078562216675799], [-0.0010958631345873709, -0.0015522082178720084, 1.0]];483;17;[[1.782134688820208, -0.38001401367990434, -438.7160262235334], [0.2247567032346404, 1.734813776627648, -950.9569253438411], [-7.161884394156521e-05, -0.00014750776949726187, 1.0]];[[-4.325207512879269e-07, 2.3677119847136296e-06, -0.003479491858333539], [-2.600744816729004e-06, -5.636214995849848e-07, -0.0006244738388129453], [0.0031252846611179983, 9.318615620725812e-05, 1.5514756221421528]];395;322;1;;;484;5;;;406
