file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;119;6;;;3540;5;;;54;118;4;;;69;5;;;57;126;5;;;80;3;;;59
100327.jpg;133;4;;;86;5;;;58;121;5;;;87;4;;;65;128;4;;;90;4;;;67
100869.jpg;123;4;;;96;4;;;65;117;5;;;92;5;;;64;138;5;;;104;5;;;73
101435.jpg;154;5;;;92;6;;;64;131;4;;;89;6;;;66;139;6;;;97;4;;;64
101452.jpg;143;5;;;90;3;;;67;121;4;;;92;5;;;63;131;4;;;86;4;;;66
101987.jpg;131;6;;;90;3;;;67;111;4;;;89;4;;;62;121;4;;;93;5;;;61
102508.jpg;136;5;;;89;5;;;68;122;5;;;90;5;;;67;128;6;;;87;5;;;69
102523.jpg;145;4;;;115;4;;;67;119;4;;;97;4;;;70;128;4;;;96;2;;;65
103048.jpg;126;4;;;96;4;;;65;132;5;;;94;5;;;64;102;4;;;94;4;;;71
103511.jpg;156;4;;;95;2;;;67;168;4;;;92;3;;;66;123;4;;;92;3;;;61
103595.jpg;149;4;;;90;0;;;62;167;4;;;86;5;;;62;131;4;;;89;5;;;65
104140.jpg;150;2;;;94;5;;;69;147;5;;;90;4;;;66;126;5;;;94;4;;;61
104599.jpg;149;4;;;89;4;;;64;140;5;;;96;4;;;70;123;5;;;92;5;;;63
104678.jpg;162;4;;;90;5;;;67;127;4;;;91;5;;;63;119;5;;;94;4;;;73
105208.jpg;155;5;;;89;6;;;61;117;4;;;89;6;;;59;139;6;;;85;5;;;64
105730.jpg;138;4;;;89;4;;;63;105;4;;;89;6;;;58;118;4;;;88;4;;;60
106061.jpg;146;4;;;84;6;;;61;117;5;;;88;3;;;62;116;5;;;92;4;;;62
106255.jpg;123;4;;;88;5;;;64;96;4;;;93;4;;;67;100;5;;;91;6;;;61
106784.jpg;134;5;;;94;5;;;65;136;4;;;92;4;;;67;118;4;;;93;3;;;66
107315.jpg;121;4;;;94;5;;;62;132;5;;;99;4;;;64;110;5;;;90;5;;;63
107836.jpg;127;6;;;91;3;;;65;120;4;;;92;4;;;62;109;4;;;92;3;;;64
108197.jpg;127;5;;;88;6;;;57;106;6;;;79;5;;;66;106;4;;;87;5;;;65
108344.jpg;119;4;;;88;5;;;63;97;4;;;94;4;;;64;102;4;;;93;4;;;65
108857.jpg;140;3;;;93;4;;;74;147;5;;;92;2;;;68;121;4;;;99;4;;;70
109388.jpg;170;5;;;97;5;;;72;160;4;;;93;6;;;62;133;3;;;93;5;;;64
109847.jpg;154;2;;;95;3;;;67;149;4;;;92;4;;;70;135;6;;;97;4;;;64
109907.jpg;162;6;;;85;3;;;62;170;5;;;94;4;;;68;142;5;;;92;2;;;65
110408.jpg;169;5;;;88;4;;;62;163;4;;;90;3;;;60;112;2;;;88;3;;;65
110923.jpg;161;4;;;91;4;;;65;132;4;;;93;4;;;64;113;5;;;91;4;;;64
111286.jpg;154;4;;;96;3;;;64;125;3;;;92;6;;;64;112;4;;;90;6;;;66
111491.jpg;133;5;;;90;4;;;70;140;4;;;101;4;;;73;124;5;;;98;3;;;71
112052.jpg;146;4;;;97;5;;;72;142;5;;;92;3;;;67;100;5;;;96;4;;;64
