file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;296;3;;;1699;5;;;57;297;4;;;72;4;;;57;287;5;;;69;2;;;57
100327.jpg;304;4;;;67;5;;;55;295;4;;;73;5;;;59;298;5;;;68;4;;;54
100869.jpg;312;3;;;70;3;;;55;306;6;;;63;6;;;48;314;5;;;68;5;;;53
101435.jpg;334;5;;;67;3;;;56;309;5;;;65;2;;;53;322;4;;;67;6;;;46
101452.jpg;307;6;;;62;1;;;61;303;6;;;81;4;;;60;301;3;;;93;2;;;62
101987.jpg;281;6;;;86;6;;;64;278;5;;;92;1;;;63;295;4;;;87;4;;;67
102508.jpg;299;4;;;90;4;;;60;315;5;;;90;4;;;63;307;3;;;88;4;;;60
102523.jpg;318;2;;;91;4;;;64;318;4;;;84;2;;;65;327;5;;;86;4;;;65
103048.jpg;278;6;;;83;5;;;62;300;6;;;85;2;;;62;286;6;;;84;4;;;61
103511.jpg;331;4;;;92;3;;;67;367;5;;;88;5;;;63;343;6;;;84;5;;;61
103595.jpg;345;4;;;82;5;;;62;352;5;;;88;4;;;65;357;5;;;92;5;;;65
104140.jpg;357;5;;;98;3;;;72;359;5;;;92;5;;;61;350;4;;;89;3;;;62
104599.jpg;380;5;;;88;3;;;67;370;5;;;85;5;;;59;374;3;;;86;6;;;58
104678.jpg;384;4;;;84;7;;;61;374;6;;;80;5;;;61;350;4;;;88;4;;;65
105208.jpg;364;2;;;87;6;;;61;345;3;;;84;5;;;64;358;5;;;90;5;;;66
105730.jpg;335;4;;;90;4;;;74;307;4;;;93;5;;;67;314;2;;;92;2;;;65
106061.jpg;297;3;;;95;2;;;70;302;4;;;92;6;;;58;283;6;;;88;4;;;64
106255.jpg;293;3;;;85;4;;;60;275;5;;;87;6;;;62;274;4;;;88;5;;;60
106784.jpg;278;4;;;88;5;;;66;318;3;;;87;5;;;62;304;5;;;99;6;;;59
107315.jpg;255;4;;;86;4;;;65;296;3;;;88;5;;;63;288;4;;;86;3;;;64
107836.jpg;264;3;;;92;5;;;64;301;5;;;90;3;;;64;275;4;;;94;5;;;69
108197.jpg;239;6;;;89;2;;;65;279;5;;;88;5;;;64;257;4;;;87;5;;;63
108344.jpg;223;3;;;101;5;;;62;238;4;;;89;4;;;63;246;4;;;85;4;;;65
108857.jpg;314;6;;;82;4;;;69;327;5;;;85;6;;;61;304;4;;;88;5;;;60
109388.jpg;395;3;;;90;5;;;61;378;3;;;85;5;;;63;349;5;;;86;6;;;58
109847.jpg;384;2;;;84;5;;;60;387;3;;;86;6;;;61;338;5;;;86;5;;;61
109907.jpg;399;5;;;89;3;;;62;392;6;;;83;4;;;68;346;2;;;87;4;;;67
110408.jpg;375;5;;;93;4;;;70;376;3;;;93;5;;;66;295;3;;;93;4;;;62
110923.jpg;373;5;;;95;5;;;67;358;4;;;92;4;;;66;312;6;;;86;5;;;65
111286.jpg;336;4;;;87;5;;;63;361;4;;;88;3;;;61;301;5;;;93;5;;;63
111491.jpg;339;5;;;93;5;;;61;360;3;;;89;6;;;62;290;5;;;90;5;;;64
112052.jpg;339;4;;;83;5;;;61;361;2;;;88;6;;;61;258;4;;;89;5;;;63
112535.jpg;352;5;;;87;5;;;64;360;5;;;85;5;;;62;249;4;;;89;4;;;63
