file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rotarcgis;F_rotarcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rotgoogle;F_rotgoogle;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rotgeoportal;F_rotgeoportal;time_rot_geoportal
10001.jpg;127;4;;;2015;4;;;420;151;4;;;450;5;;;418;145;4;;;463;2;;;401
10067.jpg;133;4;;;440;4;;;401;130;5;;;445;6;;;418;147;6;;;433;4;;;504
10072.jpg;130;4;;;436;4;;;417;139;6;;;431;6;;;419;126;6;;;433;4;;;427
10142.jpg;135;5;;;495;5;;;421;114;3;;;439;6;;;427;141;6;;;435;3;;;416
10189.jpg;142;4;;;434;4;;;413;125;5;;;434;0;;;424;138;5;;;451;5;;;461
10214.jpg;151;4;;;443;4;;;430;123;4;;;445;4;;;524;122;2;;;469;4;;;425
10286.jpg;155;5;;;433;5;;;426;130;5;;;577;5;;;427;142;6;;;439;4;;;432
10307.jpg;151;5;;;423;4;;;434;141;4;;;448;4;;;439;154;4;;;442;7;;;423
10358.jpg;172;4;;;442;5;;;425;175;5;;;451;4;;;481;171;5;;;445;5;;;433
10427.jpg;159;4;;;449;4;;;461;180;5;;;446;12;[[1.9859283228415934, 0.14940544830989239, -556.6682946341134], [-0.16584505591185544, 1.3643695458094283, -43.82017981679441], [0.00048614511160897613, 2.5230387959668708e-05, 1.0]];[[3.895671511888517e-06, 2.5142208003936907e-05, -0.007345420837050136], [-2.145919292960186e-05, 1.3904094694154449e-06, 0.02146179074936705], [0.0025188179788985018, -0.02607204447436795, 1.0]];419;184;5;;;445;6;;;433
10430.jpg;148;4;;;446;7;;;420;164;4;;;455;5;;;427;186;6;;;447;5;;;446
10499.jpg;176;4;;;438;13;[[1.002945727156779, 0.19171403359551017, 76.62921343590486], [-0.11017580252218684, 0.9496318665246436, -102.17361397218649], [2.4615551667727478e-05, 5.0178316410627794e-05, 1.0]];[[-1.560787484947953e-06, -1.3960789551166795e-05, 0.003146126298381635], [1.2922224696782972e-05, -2.1519625453577552e-06, -0.008318512135924161], [-0.0034029660618563255, 0.008473429689739308, 1.0]];430;209;4;;;463;20;[[0.9150694782798166, 0.01394639395276995, 149.81558751493077], [-0.11114048327500141, 0.8444861501021595, -70.99975333074201], [1.4955701470995194e-05, -8.551235302233428e-05, 1.0]];[[2.1724499072760527e-07, 1.7110130071788502e-06, -4.137692286039171e-05], [-1.5600829500888731e-06, 3.9737644529433823e-07, 0.004030405998407363], [-0.00043084101695560034, -0.004485968985644436, -0.23953580062737645]];414;177;5;;;450;6;;;431
10559.jpg;159;4;;;480;2;;;422;182;6;;;431;27;[[0.923143933133858, -0.02408218729958132, 368.73260760142637], [-0.09428849813400796, 0.8142699590042802, 11.667823011353814], [2.305530330981818e-05, -0.00011899934142913405, 0.9999999999999999]];[[4.786903949447919e-07, 4.096397572168086e-06, -0.0034140272019367564], [-4.1570311579344734e-06, 8.609468937300881e-08, 0.0017858318913348001], [0.003552142740382526, -0.0002759631055291969, -1.3678378773535522]];417;178;5;;;444;3;;;429
10568.jpg;181;6;;;428;7;;;422;230;5;;;443;5;;;428;189;4;;;444;6;;;430
10639.jpg;163;2;;;441;3;;;429;196;5;;;456;11;[[0.6780316540613917, -0.002219926114459518, 303.65797178455165], [-0.12120038432772334, 0.7322210724979555, -17.062755280069993], [-7.379703461715892e-05, -9.075167537051835e-05, 1.0]];[[-1.6821291017527683e-06, -1.1914152069876126e-05, 0.005214423636347472], [1.103189571173221e-05, -2.0684776923253976e-06, -0.017221281016330733], [-0.003179833707900281, 0.01932343809776955, 1.0]];434;176;4;;;442;3;;;438
