file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10001.jpg;3;3;;;1826;5;;;553;0;0;;;684;0;;;656;7;4;;;618;4;;;673
10067.jpg;2;2;;;553;4;;;557;2;2;;;546;4;;;619;5;4;;;620;0;;;610
10072.jpg;4;4;;;504;4;;;532;7;4;;;631;0;;;687;8;5;;;631;4;;;637
10142.jpg;29;7;;;540;4;;;691;29;4;;;765;5;;;674;85;14;[[0.7110911993668448, 0.4005728402064854, -50.36726920706627], [-0.47339002492060117, 0.6238823759661647, 422.2714800825709], [-4.514032483922509e-06, -0.00013186037194388563, 1.0]];[[1.950181072782772e-06, 2.8969561780317693e-06, -0.0008138969988411714], [-2.77140551402529e-06, 1.543240539584832e-06, -0.001175862311381914], [-6.448589457333005e-05, 0.0006036703465636561, -0.26133107333789096]];709;8;[[0.7128911946529546, 0.12228675310609229, 135.50748224661322], [-0.2746960419503228, 0.7819820505232506, 36.39041475970509], [-0.00027941321355141966, 4.250422345751121e-05, 1.0]];[[1.839237253581317e-06, 4.21188427055463e-06, -0.008318486825722083], [-2.004654912837148e-06, -3.2669576184318594e-07, -0.007893755315453575], [0.006676616306093122, 0.007446366383125323, 1.0]];675
10189.jpg;134;23;[[0.7540848020747727, 0.44861071600254354, 129.62782400471926], [-0.5125844917469393, 0.6744310678237186, 471.5231951970904], [1.749154436917745e-05, -9.112530322549234e-05, 0.9999999999999999]];[[1.6137851070519727e-06, 2.415396665041883e-06, -9.166723888180987e-05], [-2.079737522577827e-06, 1.5900920784386588e-06, 0.0017193371084589949], [-0.0026024340411308247, -0.0014028121815478924, 0.9963907927349007]];558;26;[[1.1597195164346894, -0.0281729055021896, 315.4505819454488], [-0.1045517436127698, 0.9020718884519555, -51.993320572674705], [0.00013899386813964886, -9.465228210066802e-05, 1.0]];[[-1.1842767891965915e-06, -1.2328518414122863e-05, 0.0019274485777342697], [1.1047716909624775e-05, -6.975095569402494e-07, -0.010542248295416952], [-0.0015624680539856465, 0.007736097620582166, 1.0]];598;45;12;[[0.6914369408410593, 0.5836316497938272, 148.7065699263248], [-0.46671288557510504, 0.7849499599557215, 449.9303696557208], [1.268090182337629e-05, 7.103711732928297e-05, 1.0]];[[-2.9664142452622675e-07, -4.6169132488619746e-07, -0.0004152732428070711], [4.114726050567521e-07, -5.71306765007605e-07, 0.002086425084888283], [-0.0004760057403849032, -0.002077701713583313, 1.0]];542;4;;;628;39;6;;;770;2;;;674
10214.jpg;188;45;[[0.7552802040258625, 0.46867487322981455, 7.092985416946952], [-0.5208699510297989, 0.6714884764028121, 396.33856459824875], [1.8566370290263165e-05, -6.651419029152469e-05, 1.0]];[[9.992642336774333e-07, 1.4984661386090551e-06, 0.0008765014012881629], [-1.1937965633950662e-06, 9.611340806614346e-07, 0.0011457958191227462], [-0.0023944358103144487, -0.0006145809967727969, 0.27177713100603595]];512;28;[[0.8025774100933563, -0.04234715512584796, 317.0228389980458], [-0.10045024392312914, 0.7720380844944171, -115.14918205681714], [-3.263707793088557e-05, -0.00011699005740640178, 1.0]];[[-6.107636991122258e-07, -5.597200759845958e-06, 0.001099030314434644], [5.196023516803122e-06, -3.7702965339488517e-07, -0.005255443380243066], [-0.0013691153018188776, 0.004609585621414605, 1.0]];485;15;6;;;667;4;;;596;39;9;[[0.8149920662342879, 0.512750755668522, -117.95114859955231], [-0.7474699388442413, 0.5491141306298555, 562.6375017721755], [-0.00011837258379424574, -7.084385972765697e-05, 1.0]];[[5.868663382016651, 6.263337963764378, -656.5162899141355], [-5.589882702397424, 4.270998733868413, -7801.314646872279], [2456.657894554199, 6200.145455566255, -3220353.762283539]];682;4;;;679
10286.jpg;231;72;[[0.7702460907625549, 0.46166748450034384, -118.05739352852969], [-0.5268617333996461, 0.6703264761477195, 488.90938770267326], [3.739867431698602e-05, -8.781525674935424e-05, 1.0]];[[8.010242888275918e-07, 9.133657350993922e-07, -0.00359637236532545], [-1.1369364793479e-06, 7.99501131149465e-07, 0.00010663636964257568], [0.0024568587856157137, -0.0024505047730976896, 1.4932242464054066]];512;51;[[0.8397598980943962, -0.008060173593946538, 182.6762804741072], [-0.09669822996413284, 0.7996496556359433, -48.748271334339464], [-1.873235327084903e-05, -9.450639457128025e-05, 1.0]];[[2.021672897846797e-08, 6.943646248116664e-07, -0.00252045917370789], [-8.674145978086645e-07, 2.458668069653625e-07, 0.0021550152976977615], [0.0027389605351940106, -0.0025279357864976676, -0.6243769649596962]];579;149;26;[[0.7275565678196373, 0.4485154764897928, -99.85905783348552], [-0.5244624046816841, 0.6703243966803148, 482.0716373098328], [9.63131352024006e-06, -8.72389782218148e-05, 1.0]];[[-3.8012262368328335e-07, -5.73287333732297e-07, -0.0011143103606878436], [3.0779814015882526e-07, -4.7429843120414985e-07, -0.00184596976408185], [0.0027595042305314935, 0.001282766257610389, -0.34137584090037176]];698;5;;;688;103;11;[[0.7056611389748345, 0.42689164253173706, -88.89007107613365], [-0.5568869789598342, 0.5836325361610264, 540.7735187177537], [-9.847164882010318e-06, -0.00011626000444745987, 1.0]];[[7.515982124766088e-07, 9.611239650202553e-07, -0.0010811561667409043], [-7.797953841448759e-07, 8.015047917957615e-07, 0.0009634688285216789], [-0.0006268531441309608, -0.0019187519180601494, 1.0]];760;0;;;596
10307.jpg;225;76;[[0.8067751299999509, 0.5172745597216288, 30.282225919134937], [-0.5413037422768868, 0.7055064235242787, 431.1995498270313], [5.28676739490001e-05, -6.230160755496967e-05, 1.0]];[[1.4760281781000372e-06, 1.6943261824389544e-06, -0.005245704045889936], [-1.8921008279854671e-06, 1.5872224301853728e-06, 0.0023144570233318154], [0.001806180295972302, -0.00532274046480498, 2.2574066836468707]];699;47;[[0.9637032135876198, 0.03372183349220814, 302.29560485565963], [-0.08596987249701213, 0.8687446764598197, -135.27209990092194], [3.50401421282323e-05, -6.569455847426714e-05, 1.0]];[[-1.0941014628234723e-06, -1.1940983398369088e-05, 0.00024230980450065144], [1.1058283473549357e-05, -1.0380599048636254e-06, -0.0076320814820409295], [-0.0011568965765472075, 0.004842095082506092, 1.0]];768;143;40;[[0.7933690197936646, 0.5308598386700406, 28.793379522790612], [-0.5441918838331747, 0.7100468539178385, 433.3525986006545], [4.1468020812293095e-05, -4.8458874886865546e-05, 1.0]];[[-3.822599348944879e-07, -6.19238099013375e-07, -0.0009231583944225206], [5.070776882381364e-07, -5.596269704177215e-07, -0.002720389877815809], [0.002898182345877204, 0.001921314452343933, -0.9235351970635941]];630;4;;;606;115;9;[[0.8780123058428247, 1.1809179981258175, -286.9294980153282], [-0.6684371262556048, 0.8845133991864199, 508.09219600154495], [-8.282331435652473e-07, 0.0002849333134158803, 0.9999999999999999]];[[7.904246919616455e-07, 1.0042290438413776e-06, -0.0016285518998815092], [-1.0433397049292384e-06, 8.768339022167451e-07, 0.0015664440229271887], [-0.00021524504738482678, -0.0023750968708870336, 1.0]];771;4;;;722
10358.jpg;212;74;[[0.8444403170644198, 0.5078397314998667, -131.01497381915695], [-0.5319966094908268, 0.7146944204767873, 430.3747201148272], [7.337626617388023e-05, -7.033842069295377e-05, 1.0]];[[9.71595213080837e-07, 9.381211123615328e-07, -0.004518575424152126], [-1.2127921829588712e-06, 9.706547870947502e-07, 0.001120462767497519], [0.002389672324582078, -0.003910023421735006, 2.0077547208960973]];549;45;[[0.9405541637230336, -0.021062720209500875, 184.0460472379468], [-0.07481493109346274, 0.8133268727778046, -109.23633741869403], [4.771164220212687e-05, -0.00012135579759488966, 0.9999999999999999]];[[-6.465898737348105e-07, -4.029475527937358e-06, 0.005881824708180931], [4.3926076767983035e-06, -6.922884112560938e-07, -0.0057536685403874206], [-0.006081910658514716, 0.00606985584989293, 1.7372625239973751]];690;215;66;[[0.8146148095439563, 0.5129988759492263, -124.50571417747624], [-0.5378789607044744, 0.7178374449898334, 432.15537100208905], [5.0011909267537206e-05, -5.8341285505486754e-05, 1.0]];[[-4.817586689720461e-07, -4.388226523542083e-07, 0.0032037739364345792], [6.25547994955984e-07, -5.38221746598968e-07, -0.0011544775250826472], [-0.0016380903898880327, 0.0030921656424468436, -1.5413214610334978]];708;2;;;624;126;24;[[0.7496982993476407, 0.4891987136031104, -69.05940895585614], [-0.5298172480948506, 0.6883907567428689, 430.8614950229729], [2.76595097516847e-05, -6.538883790660138e-05, 1.0]];[[6.023469466999543e-07, 6.555332064663648e-07, -0.0033224072389088444], [-8.976197100061323e-07, 6.386494343622604e-07, 0.00019521283446389073], [0.002457875415754333, -0.0023107867074968072, 1.119983162712852]];686;0;;;671
10427.jpg;220;74;[[0.8339507306221638, 0.5130102518397378, -249.34217155592307], [-0.5386836793589473, 0.7316876260743458, 508.51776003771664], [5.410861101546155e-05, -5.5971407673434e-05, 1.0]];[[-3.5866014966017574e-08, 1.4466628198433095e-07, 0.0018750844448305593], [1.1176057135316617e-08, -5.761321638745346e-08, -0.0008933419235589319], [-0.00101127177755025, 0.0018849017886738548, -1.2290583903728585]];654;16;[[0.9346342486908701, 0.03680558014354631, 41.5831419019905], [-0.09687350016398394, 0.8557026308925002, -32.302000862773426], [1.3925623176502715e-05, -6.771369608966122e-05, 1.0]];[[-9.794851819585849e-07, -8.579973061944889e-06, 0.009011501740509319], [8.4929336801732e-06, -1.1676245192706672e-06, -0.01014793216485902], [-0.008678573758239957, 0.011916332563642608, 0.7213713560590598]];656;198;44;[[0.8103508823139014, 0.5152681903932625, -240.3603699075424], [-0.5455689598767085, 0.7334382210012035, 511.934003416855], [4.970511681372002e-05, -5.8040242798183705e-05, 1.0]];[[1.2974827621680975e-06, 1.57445572788113e-06, -0.004504966121927324], [-1.7562541179468582e-06, 1.4241551782585726e-06, 0.0023040652356972873], [0.001249768465668481, -0.005365511258269772, 3.004390856783801]];703;1;;;631;115;12;[[0.7260266282645506, 0.48626579873882314, -163.53173518673108], [-0.5424342537667, 0.7057257380592975, 499.47713648360786], [1.067963496585375e-05, -5.8076365933023166e-05, 1.0]];[[2.0808035084985035e-06, 2.6923629173587997e-06, -0.00236662944125683], [-2.6875956871322236e-06, 2.083095255342652e-06, 0.0028849625035922877], [-0.001795784963984916, -0.004759903697846525, 2.1177370229290964]];730;1;;;617
