file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10001.jpg;240;9;[[-0.8358501259920235, 0.7248334868129171, 377.1170593846176], [-0.10146213373551148, 0.09732901330356904, 34.642806985963794], [-0.0022673984283166364, 0.002027290489310542, 1.0]];[[50.80925766797279, -84.30364730733226, -7397.9017787324265], [-43.97867633344464, 73.2947792716285, 6108.004676240293], [-23223.092243329214, 38332.67327004898, 3562870.239230722]];653;6;;;209;274;7;;;214;6;;;179;271;8;[[-4.410174053672289, -0.29311064906842005, 855.4195076120765], [-2.610602033281935, -0.42920179757639815, 727.6721708582586], [-0.00263630168680337, -0.0007642528971731762, 1.0]];[[3.4134605912088126e-08, -2.1988659071254815e-06, 0.0021461929225415587], [-1.2754359087025466e-06, 3.4996372046434013e-06, -0.0015323601808414837], [0.000929992749980533, -0.0024344521369235126, 1.0]];212;6;;;186
10067.jpg;223;5;;;220;5;;;209;286;4;;;210;6;;;196;240;6;;;229;6;;;202
10072.jpg;230;8;[[-0.013510080101087958, 2.169509941868331, 13.532572645361213], [-0.20082959083484572, 0.5654582009765884, 295.0330356800546], [-0.00031306262178127194, -0.0029481891999946458, 1.0]];[[-25.57049119496527, -132.35294328463715, 68179.75423164363], [6.715921072003312, -116.69228556112557, 26511.63842731528], [37924.08798318841, 203939.01821213393, -103360495.8394314]];209;7;;;201;273;6;;;207;8;[[-1.0774937188685272, -4.655734880336952, 1953.2659304437866], [-0.7613282101455401, -6.186148023691058, 3111.283869807535], [0.0003713490235300691, -0.005164202501319696, 1.0]];[[289.3735099462444, -653.6605965670517, -58458.27951170906], [1591.6031649757135, 1791.8555016139812, -2822418.3475614744], [-1107086.8073709696, -227739.32821690454, 1490327476.853343]];185;271;6;;;216;5;;;203
10142.jpg;252;5;;;206;8;[[0.5655262947918794, 1.3468204615774493, -899.4555674249913], [-0.21698133101591582, -3.4710894380196926, 4723.659867541049], [0.003069864084464099, 6.0121860220198387e-05, 1.0]];[[5437.373299568844, 9653.143013914245, -676854.1484959498], [-924.1421224243027, 322.52194692238, 7686121.1072868565], [3018893.768264767, 2363054.999499419, -11931850885.434177]];181;282;6;;;213;7;;;194;256;5;;;217;8;[[0.8066695890393757, -0.3706734457337034, 285.5629580997216], [-1.0172629218065248, 0.2999728726034426, 700.9773664577616], [-0.00036016613540537976, -0.00016688365382826854, 0.9999999999999999]];[[16.490144510415703, 22.553714348197097, -20547.946811345006], [-7.734261344676224, -3.946695467694613, 8545.895891334883], [-5964.7211201441005, -10411.786651206668, 7803466.405036537]];213
10189.jpg;243;7;;;203;6;;;189;278;4;;;216;5;;;202;263;6;;;215;5;;;218
10214.jpg;245;7;;;206;8;[[-0.5583945952070282, -0.8540998396659594, 1078.325567522878], [-0.10981900771356488, -0.4229377623829097, 379.8630672549544], [-0.0004318175991022744, -0.0009140541289455806, 1.0]];[[-1.343677246004546, -2.5107454214600295, 2555.237644469532], [-1.957927922873659, -3.681445135798124, 3768.3067113479506], [2488.3657195569876, 4676.571285780047, -4784810.232752109]];182;270;5;;;210;7;;;203;261;8;[[-0.233319019889461, 0.4602076238603241, 383.3974043031245], [-1.1019495365627203, 0.5311847393496599, 1089.3696978275625], [-0.0007350054156592314, 0.00041474666998906387, 1.0]];[[-96.21724738151987, -105.0687616610461, 175115.8082845738], [8.407412265429173, -2.0523829351545473, -8592.07148286319], [79889.26709321947, 123894.69992734892, -167292939.15845168]];194;4;;;210
10286.jpg;254;9;[[-1.5379792679715794, -0.5384184657010763, 2527.75668851056], [0.3768262883658252, 0.26865701735319947, -810.5592289627455], [-0.0008045226953473798, 1.763074266206784e-05, 1.0]];[[18.549112555382663, 9.907322367934796, 4714.2051719143055], [10.80326072616512, 37.70867181760275, -14270.15008186258], [-35326.28111179138, -42037.56515612232, 3365772.2402410507]];207;5;;;202;283;4;;;208;5;;;200;282;7;;;221;4;;;217
10307.jpg;253;8;[[-2.806276554720726, 3.2048433449766547, -207.28668392751507], [-0.5300906690239695, -0.17115718271255953, 1089.7147321141936], [-0.0010553658741232687, 0.0006384450692720416, 1.0]];[[-60.466811879184604, -199.0909177814758, 125807.39448992675], [107.99082525569207, 752.3100107147225, -517522.5378732218], [-40268.564335399074, -625992.8543775072, 447966354.622401]];214;9;[[1.0661896631119927, -0.07590895211813488, 295.8315071378805], [-0.41531805405116673, 0.36154834541954867, 433.7455766519973], [-0.0002859049100579211, 0.00015698218407055717, 0.9999999999999999]];[[-19377.241210736123, -33707.39423989066, 44651228.45507777], [-59.10681386353781, -3853.2811384901656, 2564503.627498606], [6185814.825619618, 22833453.812151067, -22070936469.919064]];204;271;7;;;201;6;;;189;284;8;[[-7.542393133826909, 18.535880814584548, 670.8876935467753], [-0.5349298552323868, 1.0718933381480351, 197.0584399099893], [-0.004731795920705955, 0.010691532061035763, 1.0]];[[-2.8539447627237637e-06, 8.862129595340028e-06, 0.00366047123640937], [6.146479485828812e-06, 5.012110100635478e-06, -0.011100460966537239], [0.0007739264925902562, -0.01732998814432242, 1.0]];207;5;;;218
10358.jpg;239;8;[[7.044894866786372, -4.568865549382701, 2706.003105608503], [1.1245980900853925, 0.8930059079384494, -770.2192767906002], [0.004152647361850512, -0.0018840530297163174, 1.0]];[[4.794821053175645e-07, 4.4388066448185613e-07, -0.0009336424781347802], [6.363853386189536e-07, 6.290676835957244e-07, -0.0012418115547841507], [-0.0005127655265706901, -0.0004980370533511018, 1.0]];213;9;[[-0.8140760650794658, 0.054301580543669785, 1097.7139203314287], [-0.997131505706761, 1.0619505466676293, 374.7467656354223], [-0.0013296170442705937, 0.0008887334022928567, 1.0]];[[-0.001407746182997614, -0.0014628000289111619, 1.978358506974395], [0.00024843560213297367, 0.00011584637863818262, -0.1575108392059299], [1.687452457655846, 1.912480112911295, -2585.593700365216]];200;279;5;;;214;7;;;192;272;6;;;220;6;;;217
10427.jpg;252;6;;;213;4;;;208;291;7;;;203;5;;;190;270;6;;;215;6;;;213
10430.jpg;243;9;[[1.4893282529008627, 0.21538840618071467, 313.83333656481335], [15.55588610959238, 28.758356395320114, -36551.61287650518], [0.00045550913789844764, 0.0007123253649658715, 1.0]];[[-3.953496067463414, -2.854026524650118, 3472.1933926022066], [-9.98376842014845, -12.249612962545292, 9458.81143269119], [10536.520369991817, 10545.580307544356, -9656285.67607513]];204;8;[[-1.2390625248363831, 0.6746483023561485, 586.3710618738614], [-2.407547554485015, 1.2893713493727221, 957.005094005363], [-0.002304141555044038, 0.0012036136501544037, 1.0]];[[-116.20768205822645, -38.12604645003404, 108075.14522614237], [69.24988203229645, 40.803376346909104, -70375.99119746947], [33279.71624190797, -8877.101461158833, -24412817.784932196]];192;285;4;;;211;6;;;194;291;5;;;234;4;;;216
10499.jpg;246;4;;;220;7;;;196;307;5;;;203;7;;;186;282;7;;;223;9;[[-0.28419731245532776, -0.23081088339300468, 252.91318789595596], [-0.4923507570824993, -0.3611793292690316, 421.83377982623716], [-0.00117104113073627, -0.0008516288967433243, 1.0]];[[1.3701986619799453e-06, -2.0944094933259724e-06, -0.0010808573963676335], [8.34259082931675e-07, -8.356341241303696e-07, -0.0009426338034715204], [-0.0011040343593579783, 0.0014881265952655619, 1.0]];231
10559.jpg;264;7;;;212;6;;;298;292;5;;;210;6;;;191;281;6;;;226;5;;;206
10568.jpg;254;5;;;216;7;;;202;333;5;;;203;5;;;192;304;5;;;227;4;;;218
10639.jpg;273;3;;;217;6;;;208;330;3;;;208;5;;;197;333;4;;;237;6;;;204
10687.jpg;271;6;;;212;7;;;211;335;4;;;214;5;;;197;327;6;;;243;4;;;210
10709.jpg;265;6;;;216;;;;;330;2;;;212;6;;;190;325;5;;;221;6;;;205
10780.jpg;278;5;;;217;5;;;233;345;5;;;208;6;;;188;331;6;;;223;5;;;204
10813.jpg;290;6;;;214;5;;;213;336;6;;;206;7;;;188;353;5;;;221;4;;;205
10850.jpg;293;5;;;213;5;;;202;340;5;;;211;3;;;199;322;6;;;215;4;;;209
10922.jpg;292;7;;;270;7;;;210;332;5;;;204;5;;;191;328;3;;;225;4;;;212
10943.jpg;290;6;;;279;3;;;201;336;5;;;201;4;;;195;332;7;;;219;8;[[1.1792835123902639, 0.04391348863383386, 243.79188355747215], [0.11137393337335144, 0.8984922862357416, -148.51562947794054], [0.0004212333657678004, -0.00013145782458216738, 1.0]];[[-2.917963195322716e-07, -1.4232977602882253e-06, 0.001403934822820597], [2.413576217559726e-06, -5.253630336984746e-07, -0.003167221441161982], [-0.002081234481285393, 0.002973853092990021, 1.0]];207
10993.jpg;281;8;[[0.8694825167245406, -1.3028983045763638, 1771.160815312448], [0.4021277939619924, -0.6013662843167004, 818.0054121235781], [0.0004895949994123958, -0.0007347318302671802, 1.0]];[[4.611104423186982e-07, 6.558293082544802e-07, -0.0013572073507708178], [3.4261224479347025e-06, -4.946742081951739e-06, -0.0020256104072505082], [-0.005592738922043624, 0.010885578652562022, 1.0]];279;7;;;203;340;4;;;204;3;;;199;307;4;;;223;6;;;199
11063.jpg;275;6;;;241;6;;;201;298;4;;;203;6;;;202;301;4;;;224;7;;;194
11080.jpg;276;7;;;207;8;[[-0.275947889679554, -0.8755710204170748, 1773.79214129164], [0.01641574637380809, -0.07240299173088273, 113.65673491715172], [-0.00015779728097457615, -0.0004909480473215342, 1.0]];[[4.805470427054009, -10.419517113338102, -12599.388644613815], [-11.906333456873083, 17.73745913131234, 25929.791111000606], [40835.761293281685, -21480.00462877035, -63175787.98975939]];192;300;6;;;203;6;;;191;290;5;;;216;6;;;194
11132.jpg;262;7;;;223;5;;;190;287;3;;;208;5;;;193;312;4;;;208;6;;;185
11203.jpg;252;7;;;209;7;;;202;289;6;;;205;6;;;207;302;5;;;209;7;;;192
11215.jpg;248;4;;;231;5;;;209;297;7;;;209;6;;;211;297;5;;;201;6;;;188
11273.jpg;235;5;;;226;6;;;191;300;6;;;204;7;;;212;303;7;;;208;4;;;204
11342.jpg;246;7;;;221;6;;;189;309;5;;;214;5;;;227;289;5;;;208;4;;;210
11344.jpg;234;5;;;206;6;;;184;283;5;;;217;4;;;219;312;5;;;217;5;;;199
11411.jpg;242;5;;;208;6;;;189;282;5;;;211;7;;;195;278;5;;;214;4;;;199
11479.jpg;237;6;;;219;7;;;197;307;4;;;215;5;;;199;304;4;;;211;5;;;245
11480.jpg;240;6;;;202;7;;;184;298;4;;;210;7;;;189;305;5;;;222;5;;;236
11548.jpg;246;6;;;216;7;;;185;290;4;;;209;7;;;193;316;5;;;214;7;;;233
11618.jpg;240;5;;;212;7;;;188;286;4;;;226;7;;;197;277;7;;;213;6;;;206
11626.jpg;243;8;[[1.4729739775943393, -0.763064994228685, 813.339105770068], [-0.35640597154223647, 0.19499168379027348, 264.75931503566323], [0.0008404294632469559, -0.0007990654068843616, 1.0]];[[-1.695968467394482, -2.050166261234927, 2098.952525070803], [0.7693135725039393, -1.7776636295185888, -1174.507493109082], [2032.9686686396094, 3059.396217807772, -2466594.9571662773]];193;7;;;189;281;4;;;203;5;;;192;307;6;;;202;4;;;261
11687.jpg;253;5;;;224;6;;;203;286;1;;;231;4;;;195;300;4;;;213;6;;;193
11756.jpg;256;7;;;197;5;;;190;290;5;;;230;7;;;194;310;6;;;215;6;;;205
