file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10001.jpg;1000;52;[[0.8136184251227785, 0.47453241976174354, -62.7278619532832], [-0.5170183375145417, 0.6955012928152347, 418.3399863597304], [9.762591591139084e-05, -0.00012113448211783206, 1.0]];[[1.1211427097431943e-06, 1.6221501903803164e-06, -0.0007676507192761301], [-1.4892184179655005e-06, 6.824395632443433e-07, -0.0017629570718780802], [0.001020059983236751, 0.0012192337791564558, -0.44670829723634276]];2827;34;[[0.4992651333879948, 0.0753159288155285, 365.4890689787352], [0.06094996199492131, 0.3031400747956537, -74.2467186479087], [-0.00024646217112452815, 0.00011664412884763298, 1.0]];[[3.3199335110571738e-06, -1.8478990463573807e-05, 0.0023274773320845054], [6.879252354251688e-06, 6.09853656385889e-07, -0.006710242388944476], [-0.009339814780860689, 0.014786423120189374, 4.4810464511679875]];889;1000;222;[[0.760862533758914, 0.4312409641108033, -40.33119392115927], [-0.49200217017723336, 0.6803699119172893, 413.8662350776516], [2.243128560640735e-05, -8.42632956323644e-05, 1.0]];[[-2.9964141181005585e-06, -4.582579855951662e-06, -0.0018724212094270699], [3.903421061557618e-06, -2.581661941863909e-06, -0.0008083626875992777], [0.004836627076823085, -3.419070021445651e-05, 0.20023081015463662]];873;176;[[0.8457189972929176, 0.006111665606342371, 226.54612870904273], [-0.10319945994952345, 0.79837712560796, -73.5083629113527], [-1.0585348727723112e-05, -9.288399200058206e-05, 1.0]];[[-6.485518227858475e-08, -4.822284293076973e-07, -0.0013313202565084332], [2.7905414814994814e-07, -9.927279971075442e-08, -0.0007933910138197015], [0.001642697311485874, 0.0008692241986518281, -0.3101382770567749]];981;1000;68;[[0.6668428470653432, 0.4483504536833894, 6.588902234375432], [-0.4827760695220063, 0.6561892554429457, 398.3226499767058], [-4.364674648743453e-05, -3.3848853889651734e-05, 1.0]];[[-8.458830500524913e-06, -1.2600336968064244e-05, 0.008747922159133423], [1.1674762761969741e-05, -8.510777742550165e-06, -0.008780441745008897], [0.004838425165158274, 0.014980834091303975, -5.992162884802471]];891;86;[[0.7473840136423349, 0.07275928470700732, 247.6178496788781], [-0.0953794957128545, 0.8146250015642118, -91.15299729104309], [-8.174986414281089e-05, -3.174402190357821e-05, 1.0]];[[-5.948608844935188e-07, -3.707970044209717e-06, -0.0011769054239296147], [3.7961800157910837e-06, -4.5606454140566687e-07, -0.002588986532945352], [0.0014602781645426848, 0.0018056647463173205, -0.16634179990355835]];873
10067.jpg;1000;19;[[0.8523303284770308, 0.45707685504739815, 125.29206228225198], [-0.5502316864643799, 0.7368910435836287, 526.4023118762042], [9.208515834007486e-06, -2.6354632697867336e-05, 1.0]];[[1.7490459855415077e-06, 2.626408098581156e-06, -0.0017862393134392167], [-2.3309162512950637e-06, 1.5262411721829644e-06, 0.0011593970697485493], [-0.0009011081274375021, -0.001681319818458732, 1.0]];997;31;[[0.2178346925976963, -0.5091526751514308, 956.561175071074], [-0.17235444598503263, 0.25719266015209413, 300.11831462739184], [-0.00016277700596538687, -0.0003635267839214037, 1.0]];[[2.241523997969296e-07, 7.293864395071304e-06, -0.007842422902500333], [-8.695532499112127e-06, 3.2062633791979333e-06, 0.014310988665553331], [0.00972381666621277, -0.014420350319375556, -5.025913299687059]];987;1000;44;[[0.8833520523855767, 0.47967783594778207, 138.6332674505447], [-0.4771870840360692, 0.7128963512502051, 515.761593071903], [3.981688610242634e-05, -8.317356094375768e-05, 1.0]];[[6.319592950909233e-07, 1.0417807087101914e-06, -0.001650437252132241], [-9.659416592871888e-07, 7.439945756850516e-07, 0.001226193199581117], [5.180798948361408e-05, -0.0019604874807087926, 1.0]];894;76;[[1.0382922928219611, 0.06808539239375323, 351.1594112783987], [-0.11026922839451316, 0.8593335163849903, 48.50439948324265], [4.647851932585288e-05, -3.1680046879880696e-05, 1.0]];[[4.463809712404415e-08, -6.660904811130304e-07, -0.0029180610261304294], [4.964137199464949e-07, -6.486030744574335e-08, -0.0007329691976715169], [0.0029322565270461743, 0.0003748131367329123, -1.055469218393125]];986;1000;45;[[0.872754799356766, 0.4206448393378732, 137.16467641649447], [-0.5336241121143911, 0.6984976888181818, 544.7604184493804], [0.00010656409426917857, -0.00014570058199785542, 1.0]];[[-1.2909080727307182e-06, -1.3287064805730378e-06, 0.0038939069234668372], [1.6974018543011052e-06, -1.506352274982695e-06, -0.0023834926487104604], [-0.0006131649247341989, 0.0041616745028727935, -2.1817872001789698]];924;87;[[0.8563810299454903, -0.016272791849802206, 447.3839755222682], [-0.10375095220063976, 0.8491591446162224, -13.780140819265286], [-1.0624636133963641e-05, -9.699452508044996e-05, 1.0]];[[6.616590449906393e-08, 5.697755634261884e-07, 0.0027409233260493205], [-3.3012766178347804e-07, -1.4596086530782537e-08, -0.00022239078717489736], [-0.003031427572570397, 0.000571053623903065, 1.3117650893335067]];1057
10072.jpg;1000;31;[[0.8732897351506547, 0.5426978954780162, 5.151677329980526], [-0.5321714438665077, 0.7464417950185259, 363.4761242473937], [2.741857350298855e-05, 3.477974772217328e-05, 1.0]];[[-2.1668015252923514e-06, -3.4310770532324916e-06, 0.002396440870438731], [2.9035814747095463e-06, -2.1894914142231974e-06, 0.0004491467946753293], [-0.0007148664339985812, 0.0010077350628505623, -0.3633455248021304]];1060;117;[[0.8688552960914548, 0.014543090389672744, 307.3410836273648], [-0.10502887303362952, 0.8226522865663853, -144.88386491720937], [-2.41533996879038e-06, -8.039103453324704e-05, 1.0]];[[-1.3611307390012717, -11.639485070693185, 4727.53050253268], [11.20297690363041, -1.4975977683852597, -13331.299143566077], [-5451.98812415959, 12250.978544903475, 3458611.1215014355]];997;1000;58;[[0.5920593339641752, 0.3912556791668105, 92.85418664743457], [-0.5531204143414313, 0.7354177504673688, 335.57922662584014], [-0.00019897140892733976, -2.7722771875631296e-05, 1.0]];[[-2.849985161169343e-06, -4.737775532003417e-06, 0.004696561132288673], [5.743168658194221e-06, -2.8196812419359374e-06, 0.001888082122407631], [-0.004355860214793166, 0.00021472347799783174, 0.3339990984283796]];989;54;[[0.850086941118371, -0.034120534702260584, 334.8785147715727], [-0.08069039326805677, 0.7735047537928925, -129.47377277750707], [-3.262365201334741e-07, -0.0001107794220803174, 1.0]];[[-5.054673303373289e-09, -2.9051064597183418e-08, 0.0020457253326695178], [3.087845699626246e-07, 3.265957910642336e-08, 0.00011743003185875675], [-0.0024442605777186817, -0.0002824058235059192, 0.785238815056164]];978;1000;102;[[0.7346628810468644, 0.5046727088172859, 40.85851736221885], [-0.5352947360484114, 0.7172613729614883, 364.2986097103348], [-8.590287801291843e-06, -1.8532480062269913e-05, 1.0]];[[-9.809214556244018e-07, -1.450059556726257e-06, 0.002456637174501], [1.313207598133678e-06, -8.828720458774356e-07, -0.0036742279458377935], [0.0008954184474884713, 0.004776010458750815, -1.7713633892384475]];981;107;[[0.8559167736471158, -0.06733447069628566, 327.97944903309167], [-0.08497247506156755, 0.7381908266219682, -120.44550221990168], [3.746286035716499e-05, -0.00019170566096751598, 1.0]];[[1.6102807364774593e-08, -6.169338211156315e-07, -0.0022987796743438147], [6.952622182078856e-08, -8.733966838089642e-08, -0.00038956933963606985], [0.0026779401715424957, 0.00047173817409655025, -0.8078049062150057]];1012
10142.jpg;1000;135;[[0.7887732535853668, 0.4281055104304984, -72.13292784513416], [-0.5142085199923947, 0.6721657704533688, 439.99460905165176], [6.063235974547273e-05, -0.0001238584227147923, 1.0]];[[2.4722668789123957e-07, 3.7395983815869606e-07, -0.0001137560175693866], [-3.440977748079835e-07, -1.5767034265077603e-07, -0.0021094765729718903], [0.001383951530077659, 0.0021230407371592218, -0.8221175306561384]];992;221;[[0.8482818473474817, 0.006356305955667821, 210.53156137089573], [-0.0994504560975438, 0.8089147406684791, -77.60889691670577], [-1.5950724236842662e-05, -8.209193912835939e-05, 1.0]];[[1.1100196648796152e-07, 4.699723794957716e-07, 0.001807768577731161], [-2.5903817031835956e-07, 6.409902473911132e-08, 0.0006397167081523582], [-0.0022127579540143875, -0.0006576036514419612, 0.42076638643619013]];1008;1000;68;[[0.717377274272845, 0.37457122845390955, -24.061497201706846], [-0.5226990052553996, 0.6944570438434541, 419.27592841039706], [-1.0594033686737487e-05, -9.691820391925625e-05, 1.0]];[[1.280592512036367e-06, 1.7623781906527153e-06, -0.00017901297761995145], [-1.8933773850784198e-06, 6.926972493895091e-07, -0.001771164190047971], [0.0005011203181437074, 0.001740752074318373, -0.7188102899439803]];952;136;[[0.8367009625200129, -0.003257993747391747, 216.83715016018076], [-0.10310676588057123, 0.7981646333989793, -68.07770661168391], [-1.5513340326329288e-05, -9.202393846148406e-05, 1.0]];[[-3.1655272592113875e-07, -2.228278116192451e-06, -0.001238855910584072], [1.9595125089497167e-06, -1.2546420030174972e-07, -0.0011586677815305496], [0.0015027124968071755, 0.0008814926648386308, -0.26849426633497675]];976;1000;133;[[0.7883652785758033, 0.5335402234059182, -113.75557370737697], [-0.5343986102005788, 0.6992530977332001, 456.0541650456277], [3.0373588613169624e-05, -3.312053341228214e-05, 1.0]];[[2.8451917713049637e-07, 3.659216694801086e-07, -0.0006988520104295629], [-3.215630011353773e-07, 1.4165196580158504e-08, -0.0028815948487295475], [0.0022532193344278685, 0.002346413483383857, -0.8009612963010482]];995;226;[[0.8508373824335478, 0.004638384282025624, 200.43962946956069], [-0.09859893813626415, 0.7968471108134481, -69.88215835631158], [-1.5303776842455634e-05, -9.781627016551167e-05, 1.0]];[[2.5616099780134844e-07, 2.8325010798001804e-06, -0.0025750823694115207], [-3.0738717503373513e-06, -1.3911135328675754e-07, -0.001366072658032227], [0.0035512509164798557, 0.002411466698594517, -0.5672164214169029]];971
10189.jpg;1000;213;[[0.7844795835859266, 0.5093899410603574, 112.92335223038907], [-0.5356149949034665, 0.6839601734436456, 498.1666712587396], [3.081247738711238e-05, -4.2962525707432637e-05, 1.0]];[[-4.0253619432335887e-07, -4.772738573298639e-07, 0.001898484502979335], [5.685501010732057e-07, -4.402167212379247e-07, -0.004259368030459227], [0.001542523392050511, 0.0050542570601085, -2.707870214442505]];973;432;[[0.874860787571232, -0.0006315636348310313, 398.3046066750446], [-0.09632381963432775, 0.8146478038836777, -46.14663994509964], [-6.544718270185951e-06, -8.941857116214e-05, 1.0]];[[1.0736933129632744e-08, -9.972376841324325e-09, 0.0024473201766790505], [2.615998242146883e-07, 9.028837681740083e-09, 7.688806708799363e-05], [-0.002796567297841519, -0.00010468434711979394, 1.1072575605558725]];965;1000;113;[[0.7746121759831972, 0.6298565075052555, 114.63891894949074], [-0.508829585966423, 0.6450549775938237, 480.8042381674091], [4.195934888549661e-05, -8.738429043315968e-07, 1.0]];[[1.2004432566636569e-06, 1.742138746813823e-06, -0.0010594051540587536], [-1.4818928122800426e-06, 1.2786345283192614e-06, -0.001211451618397097], [0.0005710151013895685, 0.0006820591259639834, -0.39621164699324707]];907;177;[[0.8204645807372417, 0.05287792702225513, 402.1069999424879], [-0.10463108518999667, 0.8329031408418177, -45.83718693895074], [-3.847573585099212e-05, -5.566788491140223e-05, 1.0]];[[3.4309304596987964e-07, 4.120070901079745e-06, -0.003200015985070629], [-3.996324844951251e-06, 6.961194496911314e-07, 0.006614047676167865], [0.0031273778009934567, -0.006297010399254354, -1.5535200289394853]];1070;1000;108;[[0.7838914886248457, 0.4709879062165104, 121.40529268483219], [-0.5198285521592082, 0.6860120413304008, 485.3641279162114], [3.900595193947502e-05, -7.221542693154556e-05, 1.0]];[[-2.6296519780681074, -3.606635522827273, 4061.9170426986607], [3.554791724177011, -2.5534401572592036, -1365.9251387544873], [-355.01875511461003, 3184.83379255813, -1490408.7154383783]];993;217;[[0.8667353770565773, 0.002724808123431259, 403.70046798356304], [-0.09320338274460384, 0.821687620207024, -52.29096578538451], [-8.663616866852119e-06, -8.726443375494096e-05, 1.0]];[[-1.5345062868341068e-07, -1.4004021233608385e-06, -0.0009244505548535833], [1.2054891695035585e-06, -1.936337228862721e-07, -0.0018634746726402924], [0.0011996077840056034, 0.001601452655760424, -0.3918526563770528]];963
10214.jpg;1000;327;[[0.7575825498736436, 0.46814804173375346, 8.365328886762045], [-0.522323780747526, 0.6802219997993739, 394.38829413546034], [2.5761732712734866e-05, -7.088920907732661e-05, 1.0]];[[1.2168980294334192e-06, 1.5810523712734937e-06, -0.0036398917085308665], [-1.6517139594380513e-06, 1.44086136359393e-06, 0.0025721351238739533], [0.000606278900858213, -0.0048143030621571065, 1.8854728045521956]];972;495;[[0.8533154974888405, -0.002028865249816811, 287.9399947513547], [-0.09374653783977105, 0.8049105248393799, -131.3925291345118], [-1.3252438173234556e-05, -8.868515410745988e-05, 0.9999999999999999]];[[1.595193268000011e-07, 1.8794793105237358e-06, -0.003263759258880904], [-2.0708548248061983e-06, 1.7664682031723233e-07, 0.0016160197733452895], [0.0038843654705115957, -0.0013777772779252416, -1.295929743924105]];996;1000;157;[[0.7427850077271303, 0.4678141345161347, 8.275120336575412], [-0.5265034410093712, 0.6905440405664535, 394.4880827548333], [1.5361046982845414e-05, -6.904091532074414e-05, 1.0]];[[-3.5069394945340016e-08, 1.926414285566138e-08, 0.0008141767076315619], [5.9237069810344504e-08, -2.0019891654758882e-07, -0.0023533079449989595], [0.0008430816724028109, 0.002711678272169445, -1.05273704684977]];997;303;[[0.902882783734156, 0.03471107947610033, 259.0016806711355], [-0.10169872335269335, 0.8385531913473856, -132.82287273418714], [6.95684590275928e-06, -6.27023555656298e-05, 1.0]];[[4.403033327662106e-08, 3.180175705851593e-07, -0.0017067916777329553], [-4.175772106301884e-07, -1.4062679049024214e-07, -0.0022678040638281077], [0.0022368868749778476, 0.002680449716320723, -0.22042057414828653]];1017;1000;146;[[0.752057297683702, 0.45445181311545996, 13.93798330058532], [-0.5161464683331454, 0.658795192478829, 401.5047991642623], [2.6546037034024535e-05, -8.507019195789618e-05, 1.0]];[[-1.0457625886121702e-07, -9.001735424331275e-08, 0.0008574169740513929], [1.1403181951633825e-07, -3.654150418042399e-07, -0.0025487415006153467], [0.0010768465436707879, 0.0031056898222520525, -1.244264607095743]];1004;285;[[0.8869412146721241, 0.008493312481720531, 273.001825139957], [-0.09262139626985198, 0.8252545960135163, -139.95178827296215], [1.5345023973692837e-06, -8.328522723445398e-05, 1.0]];[[1.3660296415817612e-08, 1.2465499466463457e-07, -0.002050666830548102], [-3.3882991209907064e-07, -4.5222982849075906e-08, -0.00038660155974957556], [0.002408854652345123, 0.000520855196852189, -0.6049482209794848]];883
10286.jpg;1000;442;[[0.7658481410255357, 0.47959388534672115, -125.58888436423483], [-0.5323530166477152, 0.6817434525332796, 488.2498144830899], [3.3255624801835486e-05, -7.911099319414576e-05, 1.0]];[[9.563838234523475e-07, 1.3264447795916015e-06, -0.0006516564908176669], [-1.2674146657092934e-06, 7.867246232208698e-07, -0.000950982643037449], [0.0003839997195514005, 0.00031749736758799967, -0.10826575938023925]];1000;659;[[0.8667147091490528, 0.008917315834171945, 164.42835021249016], [-0.09289875996773604, 0.8238799015071256, -60.29659904642264], [-1.0363348257695984e-05, -8.009838994264145e-05, 1.0]];[[3.1416900015966654e-08, 5.804208597389081e-07, -0.002339416845306247], [-7.401724306733067e-07, 1.5516765792128608e-07, 0.001482008863519439], [0.0025530729467744236, -0.0017172506939702721, -0.5277668077054782]];880;1000;291;[[0.7716829182613365, 0.4834938076608588, -131.81468546397525], [-0.5349854252777766, 0.6810250780135657, 497.1537295416181], [3.557667293038167e-05, -7.441723442364958e-05, 1.0]];[[3.2445707076280187e-07, 3.218008528817359e-07, -0.002251270059467819], [-5.000745495237881e-07, 2.069683165585648e-07, -0.0013551445247263281], [0.002676933416874033, -0.0001099067729344235, 0.40397912369798616]];878;603;[[0.8660397934608828, 0.006212460970147176, 163.65597166229716], [-0.09508582115506671, 0.8260255508422714, -56.588163584582524], [-1.044902670452452e-05, -7.969673931810494e-05, 1.0]];[[8.553394956154538e-08, 1.0296129814530064e-06, -0.0023103412679567753], [-1.2015552805007668e-06, -2.0042942505954218e-08, -0.0003093454936285412], [0.002773598328814882, 0.0005472620155029369, -0.4223969548569504]];966;1000;94;[[0.7319853842192425, 0.4517696473991562, -103.1550649084343], [-0.5164453599839478, 0.6531516853722483, 479.113690870852], [-5.620771309276117e-06, -4.621865853596361e-05, 1.0]];[[-5.352268096303808e-07, -9.677621280101213e-07, 0.0042960858480802335], [6.83277233616178e-07, -4.6995538315086116e-07, -0.0016430749481839034], [-0.002063069281253948, 0.004745085070401002, -2.530858968432171]];972;441;[[0.8619016044189428, 0.005107739200696809, 169.80977603888255], [-0.09634191123409405, 0.8212734972734058, -55.162024009142336], [-1.2171106940254343e-05, -8.107769887376638e-05, 1.0]];[[-7.886472474303391e-08, -4.488204516979059e-07, -0.0016198503146475733], [2.4890907972275687e-07, -1.3520397659603185e-07, -0.0014319817795220844], [0.002053037533172117, 0.0016237282187232995, -0.259886987165876]];974
10307.jpg;1000;423;[[0.7915301251136249, 0.48887149839154476, 45.09733355162778], [-0.538641076740457, 0.6949584723890043, 429.46067017194116], [4.8402029695687026e-05, -7.819768261058691e-05, 1.0]];[[-8.172382127761804e-07, -1.2463314239380466e-06, -0.0005861625550846602], [1.0542509757575733e-06, -7.4212600668717e-07, 0.0001375034285334728], [0.0010704064934454734, -0.0005475003825604854, 0.19384315432822596]];855;647;[[0.8832071506060646, -0.002255683182321524, 339.25355017862154], [-0.08987913096833379, 0.8223501453326011, -119.63645924246798], [2.471705673542306e-06, -9.062179258813516e-05, 0.9999999999999999]];[[3.5213015150932034e-08, 2.5092894525169014e-07, -0.0024605340182050554], [-4.957148187759774e-07, 8.152709421157107e-08, 0.0007367958873277149], [0.0027369656437521922, -0.0007742513494681253, -1.0275880357094371]];948;1000;359;[[0.7873400131782229, 0.5017188228566843, 41.84556415159641], [-0.5375541851418777, 0.6974602640272128, 431.8455524049295], [4.340637302504707e-05, -6.548724048225983e-05, 1.0]];[[-2.608761453353229e-07, -4.660533099555552e-07, -0.0010536630418218002], [3.114885288637117e-07, -4.464383822509307e-07, -0.002332351671974282], [0.002730234208746707, 0.0015746891504812548, -0.7970191098457793]];939;546;[[0.8970587546231539, 0.010828812717562187, 327.60930274433156], [-0.09042517240351663, 0.8336848214533937, -120.10743315568436], [6.510957833380087e-06, -8.150128748485698e-05, 1.0]];[[1.7956358075024934e-07, 1.5521302038163114e-06, -0.003100274356565534], [-1.7282896600904254e-06, 1.3254185680051536e-07, 0.0012052543720052478], [0.0035201059377381896, -0.0008947385294256661, -1.2677860525699907]];935;1000;282;[[0.8003763202382824, 0.5069815236937162, 34.878832330991266], [-0.5385390456590912, 0.7081460072527221, 423.4741528048824], [5.044442684234978e-05, -6.86685271174978e-05, 1.0]];[[-1.4286373515453102e-07, -4.40022834896729e-07, -0.0021296619939534804], [1.850916127575731e-07, -2.965073829768115e-07, -0.001557140481631323], [0.0030188582332628046, 0.00022556658330717566, -0.1863409848535884]];881;391;[[0.8874535926386274, -0.007478662292069769, 341.7592918910008], [-0.08898587451598895, 0.8241852946867358, -119.77265936690571], [5.286055712731722e-06, -9.275805795002959e-05, 0.9999999999999999]];[[2.582243714980392e-08, 4.201787896351263e-07, 0.0022731351845849293], [-1.4003342862974254e-07, 2.208152284812933e-08, 0.0002057043809378985], [-0.0025348048974630282, -0.000126521667147757, 0.8569589429087645]];896
10358.jpg;1000;461;[[0.821741330279517, 0.5019659668622586, -116.24480658689764], [-0.5382142477568724, 0.7114388956539286, 434.8637457801114], [6.415786839428738e-05, -7.18430356658347e-05, 1.0]];[[-7.366722753652646e-07, -7.189610998367948e-07, 0.00339322592494395], [9.316265102624145e-07, -7.514401791876418e-07, -0.0009790986932888184], [-0.0017113777340381064, 0.003055043663112704, -1.5414474828327251]];1034;748;[[0.9053104989148346, 0.02232242629599144, 182.79720319968135], [-0.09845516999983034, 0.8444587791412468, -111.20007801111835], [1.1189418503836667e-05, -7.702087109710625e-05, 1.0]];[[7.586653680003995e-08, 4.036580929571783e-07, -0.002349511836349832], [-5.653494102900017e-07, 1.1787287288779453e-07, 0.0011890220530623701], [0.002467603053157656, -0.0013945333852754054, -0.5953125053495647]];991;1000;535;[[0.8079799144017678, 0.5061291186225334, -115.3517132658622], [-0.5382397050679082, 0.710470943851444, 437.1339271645942], [5.340715069213802e-05, -6.393104469037462e-05, 1.0]];[[-1.5803269516620473e-07, -4.2342404950955425e-07, -0.001967795882413095], [2.113326188757423e-07, -1.6668498296163531e-07, -0.00017544284056000264], [0.001975546856821801, -0.0009620872888753568, 0.6428563235914488]];903;781;[[0.9104494914587419, 0.02157379264977816, 176.1766676014813], [-0.09519307381927808, 0.8433091587011087, -109.7547990430518], [1.4729589270647925e-05, -7.951355430875407e-05, 0.9999999999999999]];[[1.27317640379428e-07, 8.235592772005756e-07, -0.0026715838952835083], [-1.0132181488953156e-06, 1.51624045893587e-07, 0.0013222163240300788], [0.0028773549614233185, -0.0014666242500291618, -0.6742731297381059]];963;1000;205;[[0.8297883245443962, 0.5271832314044909, -132.05924151415775], [-0.5358693134299441, 0.724213128456126, 424.8506660100203], [6.571898942133639e-05, -6.0681873244782295e-05, 1.0]];[[3.683535619570021e-08, 2.2601613241801148e-07, 0.0015244240982548057], [-1.1455628628311633e-07, 2.0813733958175122e-07, 0.0017084992602464976], [-0.0024228264587221383, -0.000705002236569691, -0.01940708633309285]];957;490;[[0.9197136806511937, 0.023603947680121733, 173.29042551307282], [-0.09345918964256125, 0.8486630684026498, -117.11997298424288], [1.9172877353402404e-05, -8.08988765608792e-05, 0.9999999999999999]];[[1.804629547654805e-07, 1.1435363971187677e-06, -0.003115828721103423], [-1.360251035032934e-06, 1.850075674491611e-07, 0.0015677842026780376], [0.003353893937538707, -0.001690719547862161, -0.7922788156144605]];950
10427.jpg;1000;609;[[0.834360543989789, 0.508284609753462, -252.65214960198747], [-0.540244418210989, 0.7328505755141768, 504.8796989935361], [5.521278619032398e-05, -6.035707089826774e-05, 1.0]];[[-4.676183603105179e-07, -8.037241373763577e-07, -0.001103464739490152], [6.448120763208988e-07, -4.489224082062465e-07, 6.7215078831885e-05], [0.0013446845773040967, -0.0004685052574684617, 0.5769637377721011]];960;793;[[0.9274556082072922, 0.0288635299102578, 47.44223755335205], [-0.10552768038401765, 0.8562076510437753, -30.639247177196506], [2.0159210799622883e-05, -8.152995590306447e-05, 1.0]];[[-1.0775294619742125e-08, 1.0440324216279357e-07, 0.0013438645195684587], [2.157728414872381e-08, -1.260265380027588e-07, -0.0014444744259983358], [-0.0012483404847001178, 0.0017317237540970198, 0.10993507237795319]];862;1000;507;[[0.8352778147770402, 0.5056707606104625, -255.9774469811886], [-0.5333945589244945, 0.7272420838663188, 506.14309102072434], [6.266428524268683e-05, -6.845404175782038e-05, 1.0]];[[4.515051703085745e-07, 3.753316147981554e-07, -0.0028796374507500597], [-5.778762649605123e-07, 3.78697928201979e-07, -0.0002443460521713225], [0.002262724585123066, -0.0015730874676923884, 1.3696760400404244]];984;778;[[0.9235412741334529, 0.03276667495469752, 41.849633350899026], [-0.10435180355901101, 0.8530712956804104, -27.378488839161278], [1.7702642870567365e-05, -8.036412054953477e-05, 1.0]];[[9.0240125860974e-08, 3.577741706597808e-07, -0.0024614249999073343], [-5.529322326728559e-07, 6.871435002467211e-08, 0.0005037680768092767], [0.0025960196841393547, -0.0006696802673684051, -0.1273397016762856]];961;1000;284;[[0.8145735284016016, 0.5182386817474101, -242.2852201768204], [-0.5380796381306313, 0.729410276461668, 505.95799899688785], [5.353415026885075e-05, -5.983439156034485e-05, 1.0]];[[-5.547317122965465e-07, -5.863831378575904e-07, 0.0027161245400503468], [7.227371969218583e-07, -4.0794634539022043e-07, 0.0014211741982036645], [-0.0027881804410264206, 0.0004933417687610277, -0.9099022491333177]];910;728;[[0.9372627995502466, 0.02925149156407887, 40.29761340023514], [-0.09853279521512488, 0.8539482881596502, -33.12696320087043], [2.7987949958085147e-05, -8.785022652008373e-05, 1.0]];[[-1.2126140478859678e-07, -4.4748489530809447e-07, 0.0026247224627890683], [6.603463819598831e-07, -5.1476493632956843e-08, -0.0002793348772820556], [-0.0027810569896224266, 0.00040275633232038295, 0.12910042474495942]];907
