file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10001.jpg;57;3;;;2096;2;;;167;56;2;;;153;6;;;108;24;5;;;147;2;;;183
10067.jpg;23;5;;;137;3;;;111;28;4;;;170;4;;;126;25;5;;;133;5;;;104
10072.jpg;36;7;;;280;2;;;218;30;5;;;247;7;;;200;37;5;;;165;5;;;110
10142.jpg;88;6;;;166;11;[[0.7593437114160746, -0.030476343504461243, 228.7131518784377], [-0.05560167471955656, 0.7822188382950508, -83.22377248129084], [-4.618155390050011e-05, -0.00011739477046164214, 1.0]];[[-4.796504120108013e-07, -8.719601656353776e-06, 0.0026055200431132847], [9.188079731695212e-06, 1.8718395092767058e-07, -0.0023372421554844793], [-0.004177816876777347, 0.00013493235543178723, 1.0]];122;38;5;;;158;5;;;115;109;15;[[0.7718792030493334, 0.4479800209321985, -74.30968853712277], [-0.5141352586446508, 0.6830074048983463, 437.64035428775367], [3.094715083070374e-05, -8.515499471956859e-05, 1.0]];[[-1.2299177203178125e-06, -1.9181430920446106e-06, -0.001027914049541655], [1.607214733469704e-06, -1.0868312428341273e-06, -0.0002276042454023449], [0.002143026398254743, -0.00018118330611933736, 0.25081048828287655]];145;8;[[1.0497001953412937, -0.040588480784161905, 130.78240903841615], [-0.1503110252349509, 0.7935720497072095, -18.937322329142347], [8.71767659164299e-05, -0.00014196535182272533, 1.0]];[[-8.934368749223513e-07, 8.893575489316669e-07, 0.0035286546589134316], [3.1720152324165493e-06, -3.3051400846963382e-06, -0.012423563983572767], [-0.0024872779297202613, 0.014951120283345755, 1.0]];142
10189.jpg;114;13;[[0.7816393610630985, 0.44994648136859067, 123.66021201033881], [-0.5055263024638107, 0.6652773528876855, 471.1616948121862], [4.7364217499176556e-05, -0.00012668853202463362, 1.0]];[[3.201045720281628e-06, 4.343879501653597e-06, -0.0044156686988164875], [-4.4028539386964095e-06, 3.622032868389796e-06, 2.0282332497990343e-05], [0.0009396130492336583, -0.0023652438274262976, 1.0]];169;11;[[1.027469875690243, 0.06398024108839605, 339.78326901349186], [-0.10033787442918064, 0.8376368983276328, -40.86538992552239], [6.407311847883717e-05, -4.549127662466023e-05, 1.0]];[[-9.983151623570341e-07, -7.854488572012806e-06, 0.0013394949962299452], [6.675266327989705e-06, -8.066919326293168e-07, -0.010480330830592851], [2.4519919753728108e-05, 0.009959112143778029, 0.2461628339113482]];143;110;9;[[0.7322112104008915, 0.288604831783049, 147.58205425947338], [-0.4770651129939566, 0.5165147169576036, 475.80414024195625], [5.864098707073825e-06, -0.00029489840163698423, 1.0]];[[1.9694384245306676e-06, 2.9236659979561535e-06, -0.0032414735881138423], [-2.9343540837666654e-06, 1.9325965082720826e-06, 0.0009454736353128393], [0.0005978532624253305, -0.002324708882617951, 1.0]];168;3;;;177;91;16;[[0.7897981362071248, 0.4505355944691934, 122.15269097741957], [-0.5254279684030442, 0.6971965579285043, 480.15783392471866], [4.518176809541318e-05, -9.87496294384169e-05, 1.0]];[[2.0978556412849366e-06, 3.0043403112652856e-06, -0.0007332350005106985], [-2.7871477985607e-06, 2.0100843454085324e-06, 0.001601490516367945], [-0.002313503970339139, -0.001482171123842209, 1.0]];138;12;[[0.8052439001398941, -0.04352120223274224, 432.7723502696535], [-0.09981569081852355, 0.7817284643111468, -35.46707495518943], [-3.0563345329934894e-05, -0.00011855654143621666, 1.0]];[[0.27930241818147206, 7.824438490062441, -12211.688912012913], [-8.304267779989502, 2.965871306134793, 19938.043505865346], [12868.753675893746, -21463.166559879668, -6331214.139539175]];101
10214.jpg;157;32;[[0.7452566275573064, 0.4235301273228662, 22.510381636444166], [-0.5121420276351587, 0.6516147876416142, 394.9152443196463], [1.9635307875365275e-05, -9.909013036581075e-05, 1.0]];[[-1.2573910987313978e-06, -1.8055087983808432e-06, -1.323353606708078e-05], [1.570261775581452e-06, -9.671557462726565e-07, 0.00011219291603645188], [0.0009100719476485585, -0.00022331773180436616, 0.05501062813540314]];164;22;[[0.852954627132227, 0.023382694148907385, 286.3921378071259], [-0.10460182059539994, 0.8035011250301385, -120.18027066889113], [-1.8913406933179167e-05, -5.852621817664152e-05, 1.0]];[[-5.541270708605999e-07, -3.5160263197106104e-06, -0.0016497073016171937], [2.9454926394602024e-06, -1.5371826057855142e-07, -0.0023677099883739495], [0.0021083500903703828, 0.0018955176649818482, -0.5094586791886186]];115;93;13;[[0.7383518870097054, 0.4428148195414749, 20.54804699047295], [-0.5197708944400632, 0.6692368704356099, 395.5245151543751], [1.8945758158284643e-05, -8.819213617886362e-05, 1.0]];[[6.389589835392564e-07, 9.037797413151818e-07, 0.00038462368884889736], [-6.83840546445259e-07, 7.623752513703153e-07, 0.002616960841356604], [-0.0027438479706260316, -0.002366682086290011, 1.0]];124;5;;;127;121;11;[[0.8620830579229737, 0.4096535390973083, -14.407757346576707], [-0.5170860351062407, 0.6691883607001969, 406.3305028179153], [8.75219870359694e-05, -0.0001227403244450681, 1.0]];[[9.869956419013513e-07, 8.743596542834238e-07, -0.004715574821863128], [-1.3087944195276798e-06, 7.859301824228405e-07, -0.0001739963460497245], [0.0035999183262647064, -0.002319572238480467, 1.0]];134;6;;;157
10286.jpg;181;42;[[0.7688417850030479, 0.4649762206989021, -121.89460432304308], [-0.5204974642211722, 0.6702784828127016, 481.01180135097707], [3.73748359437412e-05, -8.936124718246887e-05, 1.0]];[[-5.995830182755051e-08, -2.2367284324246626e-07, -0.0019290303283360428], [4.178743213828081e-09, -3.7965639724511264e-08, -0.000274634064253395], [0.002008739938861148, -0.0008791928325180828, 0.6714890302576735]];135;42;[[0.8470236452710528, -0.0005407629465364664, 176.53972275514928], [-0.09332352632107982, 0.8060459572966632, -52.102841146243485], [-1.9264868684693047e-05, -8.499672735347752e-05, 1.0]];[[1.9408392292254963e-07, 1.4453258631270647e-06, 0.0014989734532115957], [-1.19610006674997e-06, 1.1429272417074247e-07, 0.001100329667177371], [-0.0018270398323606885, -0.0010614321105217408, 0.2643458266164864]];104;156;31;[[0.7898608755997524, 0.4786541673580671, -140.80100340376646], [-0.5311695072437834, 0.6807520722870758, 491.2307565453112], [4.8728688731997125e-05, -8.659487956623548e-05, 1.0]];[[-7.873555340925967e-07, -9.84319540967693e-07, 0.002429008743451708], [1.0985705259919294e-06, -6.626955319768325e-07, 0.0011728899806534125], [-0.0022871786149143646, 0.0005347472443658723, -0.5487151903086982]];114;5;;;187;142;31;[[0.7709357769465979, 0.4822077890666265, -128.66315689941882], [-0.5346082602844799, 0.6926093943250614, 481.9578785446281], [3.491881537964383e-05, -7.650553258548609e-05, 1.0]];[[2.3975471578385765e-07, 2.1229443728202153e-07, -0.002009881286577725], [-3.652020647073635e-07, 2.900045607271455e-07, 0.00030981554305689797], [0.0013880308660406846, -0.001572228060528946, 0.9309714677837396]];129;10;[[0.6582398445696052, -0.115967292564757, 321.28839708765236], [-0.10509724887057281, 0.6448166874936084, 17.55199312333221], [-7.264682895406953e-05, -0.00017459296700605265, 1.0]];[[5.509289785352054e-07, 1.8400478322988214e-06, 0.0017079030054378947], [-1.1049055870955447e-06, -2.292448685042872e-08, 0.0006163283256067293], [-0.0030525966928426516, -0.0007010331176693272, 1.0]];105
10307.jpg;177;44;[[0.7787918131184525, 0.49528375789975804, 49.88021461475695], [-0.5340363734718286, 0.6898199036077283, 427.9559381204511], [3.810737330584145e-05, -6.921157647465324e-05, 1.0]];[[2.812031800893618e-06, 3.7318190620325675e-06, -0.0051430372806851865], [-3.717524312014813e-06, 2.729317749758713e-06, 0.0008816106823003548], [0.0017189319821973058, -0.003755223198019919, 1.5177203425217973]];129;38;[[0.8737382064486207, -0.009005679438725307, 344.1729225776882], [-0.08572100260507588, 0.8045852231252367, -112.71048093950274], [8.587517961700937e-07, -9.98649986763423e-05, 1.0]];[[-3.3785807947929127e-07, -3.3650473157597193e-06, 0.0008824536035833876], [3.168233037981836e-06, -3.8078956454283e-08, -0.0009393497489057988], [-0.0013095858759025788, -0.00018681825702832606, 0.43531176397956095]];103;189;37;[[0.7998357808825115, 0.5280670768941351, 27.593285438311167], [-0.541249611010557, 0.7067442436982742, 432.92639895253086], [4.456445135017364e-05, -4.9972491407354155e-05, 1.0]];[[6.85993454583815e-07, 1.1282772210576e-06, 0.001353785319348775], [-9.058564252430981e-07, 6.925651163541233e-07, 0.00019126814134108074], [-0.001839206624336707, 0.0006970383400714228, -0.2546463056953807]];127;5;;;117;148;23;[[0.7632682605760596, 0.47235870866177543, 67.26036968575666], [-0.537385955391259, 0.6834256986713245, 430.8665098174062], [3.469349002515005e-05, -7.890022934918828e-05, 1.0]];[[-5.353213300595424e-08, -1.8257011015452833e-07, -0.0016784155759972962], [3.231256905350539e-08, 1.0249141841715798e-07, 0.0009717998372542691], [0.0008808052814255039, -0.002002648848889174, 0.790571075885219]];136;5;;;98
10358.jpg;166;47;[[0.8227115409861807, 0.5237562815907509, -126.78235229295554], [-0.5330296815828495, 0.7196145524043803, 425.5657943180826], [5.3753093428292526e-05, -5.26866549694543e-05, 1.0]];[[2.81194679868153e-07, 6.208250337300041e-07, 0.001733999890283051], [-3.967712361979742e-07, 2.775538217504598e-07, -7.042314912857924e-05], [-0.0016898079500782541, 0.0010184865208804866, -0.6369095284032402]];121;45;[[0.9291917084413912, 0.005686104674361551, 177.50965077695957], [-0.08126513997345729, 0.8284718124512852, -111.67148987902829], [2.945505335414472e-05, -9.522300621066239e-05, 1.0]];[[4.038643013636457e-07, 3.299855141268712e-06, -0.004101441619154356], [-3.4383630876708717e-06, 6.123115327990261e-07, 0.005578524652552318], [0.004233348170142789, -0.006078522213330615, -1.4261746536068651]];103;191;53;[[0.7955395098829129, 0.49087036963251585, -104.39472812385301], [-0.5247217117372733, 0.6960514939872483, 427.0795771169769], [5.224522183926529e-05, -7.866311483481501e-05, 1.0]];[[1.5855062661713562e-06, 1.9140989649425817e-06, -0.00447475990315281], [-2.112780870770962e-06, 1.8631628939500819e-06, 0.0030590952646071933], [0.0006496565339225563, -0.0060085198916108905, 2.6353808752135586]];120;5;;;169;164;26;[[0.7855685386310614, 0.48123716722165405, -91.71335959174158], [-0.5287767005488587, 0.6828949688448142, 439.75929925880365], [4.323013701635542e-05, -7.422814215110856e-05, 1.0]];[[8.015645687304264e-07, 9.252148133147083e-07, -0.0032620103858096855], [-1.0475604741512783e-06, 8.10577915366548e-07, 0.0005567929827732503], [0.0018161887951045166, -0.0026818447984338, 1.3771449604414203]];135;10;[[0.947796757302523, 0.0294226500237763, 145.45341903843644], [-0.09570055598879924, 0.8576884949404668, -113.38878440850714], [2.341860045940359e-05, -7.415483957221624e-05, 1.0]];[[-1.8310927208164784, -16.40152180784072, 8749.0824917352], [15.896619310242173, -2.856829659460994, -23527.346233657976], [-8604.424168192581, 25485.957816002578, 4093559.3071327265]];129
10427.jpg;184;38;[[0.8566451840091294, 0.5180617769850969, -266.01967967669054], [-0.5309511422915081, 0.7341682058969752, 503.1300060112695], [7.007738325119044e-05, -6.138455605510598e-05, 1.0]];[[9.129030398484455e-07, 9.98919577438292e-07, -0.0038467802582430647], [-1.1971926376687145e-06, 9.914114036671057e-07, 0.0019415688775200027], [0.0012456283914477285, -0.0044265765061899075, 2.5576683348014697]];131;44;[[0.9535620337614166, 0.025659266281172103, 33.80451676053281], [-0.09624738093819105, 0.8524525632112443, -28.41532563200196], [3.481374977867993e-05, -8.806277052357073e-05, 1.0]];[[-5.424754416658809e-07, -3.479418486491239e-06, 0.005327470013501033], [3.810537967221483e-06, -7.120081074111663e-07, -0.005400394524244411], [-0.005129253427985046, 0.006348560600975132, 0.40716598273425286]];95;218;54;[[0.8315766096045634, 0.5214029505434108, -259.5071962026142], [-0.531265315727982, 0.7355772981977924, 498.0371506260604], [5.805177072594154e-05, -5.800080026276894e-05, 1.0]];[[-8.925080961267015e-07, -1.2983640229339695e-06, 0.0007997294764794311], [1.2506090103747134e-06, -1.1055391746267983e-06, -0.0028717289689953315], [0.0019566876749202385, 0.0036017072926658464, -1.3011161245723906]];120;46;[[0.9244040177006362, 0.03575188162004541, 41.368970259171704], [-0.10116938572142083, 0.8514880003974375, -27.204361560440294], [1.721568151412295e-05, -7.709669163074434e-05, 1.0]];[[-3.1426425241688847e-07, -2.730991202554875e-06, 0.000303068802137333], [2.5553081099091954e-06, -2.1257417471969497e-07, -0.001201803477175412], [-0.0002373460948631511, 0.0012858724090655737, 0.040327116444060784]];106;163;25;[[0.7953446823774215, 0.5166818783654933, -227.27407642480443], [-0.5388396430884291, 0.7226044755901584, 507.5213552498826], [4.3269596106582954e-05, -5.587975196237841e-05, 1.0]];[[-3.5976855153466846e-07, -1.048273128746443e-06, -0.001959969830672906], [4.909861030276608e-07, -2.4835009079595626e-07, 0.0002490468623459672], [0.0020228888172311344, -0.0010412707099316581, 1.0]];128;5;;;107
