file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rotarcgis;F_rotarcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rotgoogle;F_rotgoogle;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rotgeoportal;F_rotgeoportal;time_rot_geoportal
10001.jpg;153;2;;;2885;9;[[1.4163135316916398, 0.22598925938656003, -801.209567849912], [0.058294935308056114, 0.8441947576059899, 458.919289552832], [6.310103499262507e-05, 0.0002649182196044287, 1.0]];[[8.257840611605613e-07, 1.855138927344111e-05, -0.019431898392228704], [-8.65568585836318e-06, -2.2951313361563818e-06, 0.011365549378084561], [0.007103748145555034, -0.023801114573068858, 16.378231762250472]];148;121;5;;;169;5;;;148;165;12;[[0.7550566840058692, 0.39234235419652397, -26.21417033240636], [-0.49201750120058246, 0.6537976925963231, 417.97091525238983], [3.3962673949454476e-05, -0.0001278692820816329, 1.0]];[[1.2004999942206597e-06, 1.686869743804333e-06, -0.002573327723849414], [-1.7368840731992801e-06, 1.2220044045700004e-06, 0.0006581652436201427], [0.0009772971634075531, -0.0023251262097553262, 1.0]];161;12;[[1.3331158517707375, 0.018465875278901138, 60.56634245118324], [-0.020626136459071052, 0.9115567828066538, -138.75463115568857], [0.0003065444892592831, -0.0002204828398049758, 1.0]];[[6.260575855843546e-09, 3.163157281066884e-06, 0.00028967453617229967], [-2.4409027368346887e-06, 3.7489194005950506e-07, 0.0015103535610812722], [7.814545589880256e-05, -0.001455882928533972, -0.18230872879444]];175
10067.jpg;134;3;;;187;8;[[1.4813885455517735, 0.7547692283418633, -88.74654340681379], [-0.09246611341022125, 1.0555301957273193, 19.092498503833593], [0.00010948997641122071, 0.00039179586799918713, 1.0]];[[-2.135434979157454e-07, -8.9827662108152e-06, 0.00839316169348643], [5.923501047346859e-06, -2.0601088798990705e-06, -0.01679888563802657], [-0.00674467012174944, 0.02342845369993487, 1.0]];175;163;2;;;177;12;[[1.6205490153098567, -0.40012481487665347, 202.32156735169167], [0.021890325567068193, 0.7686664606824996, 0.07169424770860938], [0.0003692807380590036, -0.00038790066415734056, 1.0]];[[8.123700908719697e-07, -3.8018233727426283e-06, -0.0005786863355568723], [3.2755962665833993e-06, -1.1833847947625186e-06, -0.005078102616751899], [-0.001313237136418174, 0.005813287791731877, 1.0]];145;147;12;[[0.5234007339471035, 0.5497126054344071, 237.93440377966465], [-0.5243400966053855, 0.6884444181996489, 503.29414293198244], [-0.00016856056742446088, 7.643804175724817e-05, 0.9999999999999999]];[[9.621469952491107e-07, 1.7032070486366895e-06, -0.002429663295728938], [-1.498971418255479e-06, 1.0643569425869612e-06, 0.0009659718126646404], [0.0005761173763438255, -0.002217379766795395, 1.0]];144;8;[[1.2628992996092117, -0.29372031278220573, 441.22408119558224], [0.09246946496795153, 0.66128793358785, 16.915429076591835], [0.0002844559025082423, -0.00031754590047835944, 1.0]];[[-1.7985125407138567e-07, -2.064943328940863e-06, 0.0021233822748572793], [2.1687038184192967e-06, -1.065594133397966e-07, -0.0023587914815571594], [-0.002165862920116411, 0.0015648052409924455, 1.0]];150
10072.jpg;138;3;;;147;11;[[1.3003359569422992, 0.13450826152859108, 42.047360439252635], [-0.08398348223082139, 0.9334439870536778, -165.33887384101465], [0.0001320715674114128, 1.7094301344119514e-05, 1.0]];[[-5.762176609663821e-07, -4.806600335732116e-06, 0.002494761223685162], [3.953056313864984e-06, -4.715077817224234e-07, -0.005201222878547348], [-0.0022162838389210744, 0.005643509185442362, 1.0]];146;151;5;;;164;7;;;166;169;15;[[0.7647405343448509, 0.4073923535663387, 58.7563563943511], [-0.49141059730177306, 0.6783257656727048, 348.87380403808277], [3.899230715221319e-05, -0.00011008870760148635, 1.0]];[[-0.8642336230951044, -1.2703964697094383, 1055.625399038735], [1.2226716092288097, -0.8585514724593573, -736.8363582069186], [108.50021418976439, 1289.4581775013767, -454437.6414993034]];139;13;[[0.9002400674060309, -0.005470234287333506, 304.4447884064728], [-0.07042293259049989, 0.8083470333519436, -148.3341107149589], [6.942838530390022e-06, -8.855979096062556e-05, 1.0]];[[-8.715635417142e-08, -1.19731735204719e-06, -0.0011351888268528306], [9.125658821916135e-07, 6.414872783467882e-08, 0.00015397336752244364], [0.001091689988975342, -0.0005725268148949973, -0.42653125999945474]];147
10142.jpg;186;9;[[0.6024926420946007, 0.5319716696778918, -1.7096805992252784], [-0.4771726537064105, 0.6273042187954555, 403.64188355634116], [-7.420773323543686e-05, 1.1519869666064824e-05, 1.0]];[[-8.428097650024825e-06, -1.0688367331630703e-05, 0.006432500035140181], [1.1111284241830579e-05, -1.0738037133878386e-05, 0.010593203810310597], [-0.005344200914178985, -0.0027695621177574866, 1.0]];141;20;[[0.7731607604149431, -0.044926456196519346, 258.65786489681454], [-0.1044357036479181, 0.7355037631985818, -50.73995317088491], [-5.100985541142168e-05, -0.00010529101607385826, 1.0]];[[-2.9980502868697686e-07, -4.332976389327881e-06, 0.002294231489643585], [3.961853521531242e-06, -4.691008620624935e-07, -0.005651081517353607], [-0.002439328735649426, 0.0060914519056229355, 1.0]];136;192;8;[[0.6550511445782616, 0.6786614946896669, -193.24265226513322], [-0.5954430034356291, 0.2701624013125478, 798.0035421840533], [-0.00011082664804478994, 6.420493851911026e-05, 1.0]];[[-101.20244827096587, -162.15364351812798, 281035.88846976496], [63.24367321334004, -127.49333180247494, 200989.85875285516], [-218919.03838906647, 57045.338394285005, -63269247.09005804]];177;8;[[1.3396751060677725, -0.14293316349661728, 252.75714992847873], [-0.3609703025830249, 0.7470768899708778, -29.32667828079122], [3.28784064137665e-05, -0.00015245885076782702, 1.0]];[[-2.8288812170012664e-06, -1.1059344167413864e-05, 0.0071409733304645395], [5.183309532433845e-06, 9.867307222616447e-07, -0.003573114224967776], [-0.00324602800129033, 0.001890515598021926, 1.0]];152;231;12;[[0.714019056193989, 0.4530645890490068, -51.01743737224389], [-0.5030365637349552, 0.6714802671982337, 428.99593440602587], [-1.4607351594740079e-05, -6.675163119420389e-05, 1.0]];[[7.407500091599941e-07, 1.2667161818867345e-06, -0.0018117757398640208], [-1.1425954340101962e-06, 9.173557579904068e-07, 0.0008413194429455261], [0.0004461981135265462, -0.0023111136357998937, 1.0]];144;12;[[0.8133401574817227, 0.04957982985273119, 194.1664540168217], [-0.08772147117458366, 0.8296580493622752, -98.47524898119451], [-3.393865528248707e-05, -7.672898038531749e-05, 1.0]];[[-2.8482411722195327e-07, -3.8719710895873665e-06, 0.0024672664116545283], [3.7798688260992615e-06, -3.363803896338268e-07, -0.004101891841261581], [-0.002838910358212245, 0.004010174441525422, 1.0]];141
10189.jpg;232;21;[[0.7106857837269305, 0.49969993872903357, 149.45410226131736], [-0.5275678547030153, 0.6524568128238241, 491.56338902730033], [-1.618802279641572e-05, -1.4431799768792248e-05, 1.0]];[[0.979831162374685, 1.389192883666237, -1173.484671450759], [-1.2166718428474135, 0.9667817186490566, 1143.706003181429], [-699.6496122525873, -1684.7796751579376, 918600.5030933506]];138;34;[[0.8925797435680216, -0.013657758367255503, 399.64730037684717], [-0.09728551486393541, 0.8132273574692542, -44.77124401536508], [4.8877088608132916e-06, -9.594140990448843e-05, 1.0]];[[-8.016406130601717e-07, -6.911536398034424e-06, 0.0023495177426476875], [6.472519324617806e-06, -6.520948326466975e-07, -0.0066706358058258265], [-0.0019983384176887903, 0.005064576922169232, 1.0]];141;231;16;[[0.8538792341535684, 0.14627342594139822, 124.98855146224234], [-0.48416216880815544, 0.6199130500794671, 459.76650740669487], [6.670854315691441e-05, -0.00023436851389883672, 1.0]];[[6.560368026317095e-06, 9.38732444783597e-06, -0.012744320927138262], [-8.758056481607131e-06, 6.181965508053544e-06, 0.010381000226625785], [-0.001662372955995208, -0.01631331917718858, 8.168056964756534]];146;25;[[0.9489460522334572, -0.03567396149870252, 357.8083732751342], [-0.09099283654916314, 0.8198069633601198, -49.41432618376099], [2.0930995150121163e-05, -0.00010846827444790934, 1.0]];[[-6.614324797328598e-07, -6.238036817920613e-06, 0.002283070510479912], [5.775011054008514e-06, -1.123326848235229e-06, -0.010182633539809006], [-0.0015206006333692676, 0.009879641008214451, 1.0]];134;235;22;[[0.7633786618373593, 0.46746641014097157, 125.43707305417351], [-0.5218358507363273, 0.6784431926937264, 488.7315146437577], [2.861461495422142e-05, -8.354749127337593e-05, 1.0]];[[6.55849753662455e-07, 8.763154520099204e-07, -0.0011681971474813222], [-8.443799717872109e-07, 7.664174395595502e-07, 0.0013283799719773213], [-0.0004965926556413003, -0.0019092112785549073, 1.0]];138;20;[[1.2429781305740362, 0.6095601558493412, 60.919364560777105], [-0.2124252125277974, 0.8517293304054674, 157.26459728759949], [5.368872613439354e-05, 0.00031927363716489335, 0.9999999999999999]];[[-6.738327110088243e-07, -2.8331117275159023e-06, 0.0027591488093626324], [2.476550701547272e-06, 1.85657341476494e-08, -0.0057941003421280585], [-0.001062410311426396, 0.006440722650616136, -0.2111627101954509]];134
10214.jpg;224;39;[[0.7656715561733246, 0.4809365648849175, 7.7724876836988805], [-0.5299078283149136, 0.690785705526105, 399.1940851591793], [3.746143900268612e-05, -7.68661072055125e-05, 1.0]];[[-2.0129820934299275e-07, -3.7001714672582857e-07, -0.0018169294469907765], [2.646818247456458e-07, -1.9457768279035394e-07, 5.372292861289483e-05], [0.0017084762795884188, -0.0012147587758955896, 0.48806001593892745]];179;39;[[0.8027713905334439, 0.0071287320877945525, 306.7524604737231], [-0.10331537299949449, 0.7808858647175883, -112.37381777359006], [-4.334166283160369e-05, -7.610490305734626e-05, 1.0]];[[3.750033222203763e-07, 2.6706303283081716e-06, 0.0005763646381139018], [-2.2555383591614116e-06, 4.532557574377765e-07, 0.004554350862984671], [-0.0011163186930439042, -0.004859575572360446, -0.21489960736303537]];180;305;14;[[0.766890270329574, 0.38204131420779436, 19.215294183745026], [-0.5058064458466363, 0.6507306422726149, 390.1504139863787], [2.934017842755629e-05, -0.00011116091110223057, 1.0]];[[-2.2127125803480885e-06, -3.1918932740490485e-06, 0.0034136117348069674], [2.7703112235862642e-06, -2.3122742329206147e-06, -0.005255924946297035], [0.00236745690290321, 0.007523131841114034, -3.012816667872906]];177;35;[[0.8859624433741634, -0.08330455148691333, 295.93451247798265], [-0.08085032843064956, 0.7602171128708285, -118.47887588159357], [1.0793116305470988e-05, -0.00013628838507239176, 1.0]];[[-7.189036449709956e-07, -6.7940305093371565e-06, 0.0007301448102516976], [5.817358145312091e-06, -1.1005319255928625e-06, -0.009388340679633645], [-0.00029387775314699996, 0.010277165863394833, 1.108595059933135]];183;280;14;[[0.7411644386508693, 0.40162733076773666, 38.567986457396756], [-0.48701163227547206, 0.6229789410940271, 395.86293489561774], [3.2306722743531146e-05, -0.00012340993583803125, 1.0]];[[-23.59349062240167, -32.36915841503243, 52121.506294150655], [32.46185024950642, -26.268889489500246, -29689.85224157363], [-9166.140820941091, 62466.93205077501, -24288747.111158483]];175;13;[[0.8578739197305038, -0.058184045098724615, 326.16471841392155], [-0.09277379724565592, 0.7668602617752267, -103.17392407277777], [-1.1017787439624849e-06, -0.0001078141544002969, 1.0]];[[-2.486476035356724e-07, -2.547977684323901e-06, 0.0014911877521863216], [2.4127204112364436e-06, -2.786914573402486e-07, -0.004235325775714988], [-0.0015303128132501567, 0.004296554991615062, 1.0]];143
10286.jpg;324;58;[[0.7595127216909704, 0.5412070430386196, -144.8619790452388], [-0.5568816820166115, 0.7128631626783661, 500.53660786571425], [1.0810034800556334e-05, -2.280304364271328e-05, 1.0]];[[7.885661743337395e-07, 1.1812597713894229e-06, 0.0011286738728084095], [-9.372077670563384e-07, 6.800744735907495e-07, 0.00031576083372696415], [-0.001983781456211303, 0.0001915799873015158, -0.323978889916986]];149;85;[[0.879299329047073, 0.021983084110083987, 157.19539513401767], [-0.09485710052674369, 0.8394580095168447, -61.512618696696826], [-6.6042033645495865e-06, -6.83727925077155e-05, 0.9999999999999999]];[[7.540867161104246e-08, 5.912015452331326e-07, 0.002492124435492206], [-3.8285933534858746e-07, -9.167178529891078e-10, -0.0001509100373185195], [-0.0027444763459457205, 0.00035960819913103754, 0.4438540611918742]];139;312;34;[[0.7618127395342685, 0.45047896639619617, -117.93282221208366], [-0.5247304896855512, 0.6591128769813464, 491.7980252321398], [2.6807657385435133e-05, -8.471087603453626e-05, 1.0]];[[-2.656761420992942e-07, -2.672045836387169e-07, 0.0024911393395582143], [4.2906299450120804e-07, -3.086223853760643e-07, -9.195999499786022e-05], [-0.0019421936191379586, 0.0016756821044563843, -1.0638616367413412]];146;71;[[0.8753490788645326, -0.014169977448866812, 165.74170190586833], [-0.09166415849013132, 0.81885388911935, -56.138194757503925], [-3.968575148799709e-07, -0.00010003638949665355, 1.0]];[[3.5068647636768266e-08, 2.967980121921149e-07, -0.002049649546733566], [-4.724469828127226e-07, 1.4616943834407862e-07, 0.0013613469801241152], [0.002163570428921478, -0.0015850034877633182, -0.43486879656252975]];145;248;12;[[0.7421153817771586, 0.4678863417437439, -106.42327941586079], [-0.531140057522431, 0.6748187600580547, 489.7970077039948], [1.5418943550319105e-05, -7.063871495452998e-05, 1.0]];[[1.8039678068050975e-06, 2.4560026105222973e-06, -0.0024201757495015443], [-2.3937360769305975e-06, 1.662926085985125e-06, 7.969479282188621e-05], [0.0004908449454551752, -0.0019382974497182022, 1.0]];142;22;[[0.8479845207150688, 0.009936763473976637, 170.52502373885898], [-0.09738611062722402, 0.8452818259338123, -64.61626146753142], [-2.599775884713927e-05, -6.621600369140697e-05, 1.0]];[[-2.1779216289081624e-07, -1.9284522079686675e-06, 0.0001960431062865885], [1.9227740966046965e-06, -3.9615356439464584e-08, -0.000620307897114918], [-0.00029358335690841654, 0.00030519252726573495, 0.07524719527358711]];144
10307.jpg;280;47;[[0.7842193277778369, 0.4999528398852457, 49.56832524590994], [-0.5334005105915135, 0.6964639162541968, 423.90459529794356], [4.8855446608421895e-05, -7.5818579615786e-05, 1.0]];[[1.2649467541743216e-06, 1.9025165812537216e-06, 0.0002308941454528179], [-1.644169548982709e-06, 1.267020391439299e-06, 0.0008226430819639184], [-0.0017702829726516706, -0.0005488964822738323, 0.31140898766550906]];142;80;[[0.881554363171886, -0.028697107002133244, 347.7692878787171], [-0.09489109193880213, 0.8062954405145026, -109.5932084966194], [1.1627273653067763e-05, -0.00011713128761983408, 1.0]];[[-1.614816134011844e-07, -1.1172082392330882e-06, 0.0032163387089885376], [1.460133578347271e-06, -3.169874993907419e-07, -0.0024941710188057208], [-0.003488693176369135, 0.0025068700934916025, 1.4947341844540276]];132;334;41;[[0.7898613719778564, 0.5078364217019546, 41.50054632060542], [-0.5353577077384752, 0.6995211180706755, 429.6018065772023], [4.582134938399238e-05, -6.397719612099876e-05, 1.0]];[[-4.403009898469868e-07, -7.799763863056978e-07, -0.001096725072580348], [5.451890782080963e-07, -5.939270649038523e-07, -0.0017025883669481465], [0.0025069714914751325, 0.0009869034061551825, -0.5333911738611716]];142;103;[[0.8791912714645292, -0.02084155442907033, 342.90909444533594], [-0.08626976171434438, 0.8121625620568722, -115.48762137302394], [4.7355112712780484e-06, -0.0001057961860971314, 1.0]];[[-1.1291435084355187e-08, -1.590781779742081e-07, -0.001720021015123483], [-6.067055329534825e-08, 1.5273207058538633e-07, 0.0011198631021112032], [0.001820519125396854, -0.0013922940808652428, -0.7876991752764289]];136;240;7;;;157;42;[[0.9028067865100918, -0.013954581573807575, 334.8302001562729], [-0.08442539197664177, 0.8289165576776489, -125.61623724416621], [1.3120604454127384e-05, -9.98961230373789e-05, 1.0]];[[1.9076514158955704e-07, 1.5915051415649437e-06, -0.0026289417860691166], [-1.7212809248031064e-06, 3.561326263197461e-07, 0.003430279820699373], [0.0027220343120713192, -0.0035284934811120106, -1.336109942950371]];156
10358.jpg;260;32;[[0.837354306600447, 0.4913660087227786, -122.66425503644595], [-0.5288486707519598, 0.7086723340608408, 426.35478702205086], [6.472084921920878e-05, -7.12576749480523e-05, 1.0]];[[-1.2254726234426203e-06, -1.4763635796744914e-06, 0.003585164132594419], [1.6105340314684554e-06, -1.2529409006042932e-06, -0.0011884262072584762], [-0.0013837283652174278, 0.0034974961256381614, -1.6501729215882723]];142;37;[[0.9012482557448038, 0.024766288756975483, 180.09368650889945], [-0.09528297814857419, 0.8590421928493666, -125.48633309380533], [1.8833372864563216e-06, -7.351355181859663e-05, 1.0]];[[-8.265999510581207e-08, -1.035515587813821e-06, -0.0020200053476326202], [8.252175121589813e-07, -1.3573572775558736e-07, -0.0013292174400366644], [0.0022107443540641722, 0.001261514029494564, -0.22557213370568707]];145;309;37;[[0.7991226253819238, 0.4864574718747992, -105.03561123300122], [-0.5378959191159747, 0.700353985569646, 435.6132395531566], [4.4270929536049926e-05, -7.044254391840134e-05, 1.0]];[[-5.406907625704391e-07, -5.672161913887781e-07, 0.0029169352896149512], [7.241316812134894e-07, -5.439524582943823e-07, -0.0004026540137016807], [-0.0018624152342656798, 0.0022160800170668805, -1.1605775603439086]];141;104;[[0.9263444652918406, 0.013808711708622363, 169.8051629503189], [-0.0863867678602836, 0.8398327558711962, -114.08088764802206], [2.5022384204237003e-05, -9.032964407858702e-05, 0.9999999999999999]];[[6.42667791837584e-08, 1.0268048718118873e-06, 0.0013526775063041267], [-7.974661620651853e-07, 1.5358166223078165e-08, 5.591325846694196e-05], [-0.0013503742820145498, 0.00014583799042619037, 0.25287678075226094]];137;227;9;[[0.7830044939991717, 0.458741319703486, -89.77600965387131], [-0.525127614327981, 0.686777292125955, 422.30566561148567], [4.1033544523179576e-05, -8.779067343741561e-05, 1.0]];[[1.7225328931220793e-06, 2.525772384957416e-06, -0.0014175941250649964], [-2.3068642086570228e-06, 1.7027950867497455e-06, 0.0015477034475180017], [-0.0011303767465056696, -0.002668435447499405, 1.0]];159;32;[[0.918350334448396, -0.01677127335551192, 194.42485602355083], [-0.08048396748857461, 0.8307593641582233, -121.12436181501437], [3.4280019465404126e-05, -0.00011914742900602407, 1.0]];[[1.007980822146036e-07, 7.927487179387821e-07, -0.0019865556571195425], [-1.0411032322145697e-06, 3.015131773055715e-07, 0.0021480367362853485], [0.002164017723137441, -0.002341609982313041, -0.7540423587826679]];152
10427.jpg;181;25;[[0.8101808941966366, 0.5083467172562446, -237.08606023275962], [-0.538117472017006, 0.721942898328462, 507.339139639971], [4.636206290800217e-05, -6.032154341144598e-05, 1.0]];[[2.899942345341464e-07, 5.194901038144161e-07, 0.00117738798004092], [-4.0203037522584677e-07, 2.7998925576720534e-07, -0.00014918203340810341], [-0.00119235437075853, 0.0006957649586665074, -0.6420886752118807]];144;68;[[0.9276186596006563, 0.023836514735287754, 48.54633367713273], [-0.10276146147335584, 0.8543122990421826, -32.94938634369417], [1.5196605166429126e-05, -7.838744940346646e-05, 1.0]];[[-5.04803733231564e-06, -4.370154633521697e-05, 0.006802074195478196], [4.112750236764327e-05, -3.6404737641851117e-06, -0.021755033995208305], [-0.0059889873279704315, 0.023694716633949498, 1.0]];144;266;29;[[0.8090842759553857, 0.5092895427729114, -234.17090783044765], [-0.5406037349147101, 0.7250115440571445, 514.9562659537406], [4.926584995254996e-05, -5.9618759250425996e-05, 1.0]];[[1.256660958828334e-07, 7.586711542641331e-08, -0.0016556405037528306], [-1.671509459844823e-07, 1.9433000433240962e-07, 0.001194802102624456], [0.0005489630385552968, -0.0021492560538940646, 1.2317838382690816]];140;113;[[0.9236615840405944, 0.0421035613023908, 36.59717785570826], [-0.10738843159537766, 0.8610307317164634, -26.70008364757474], [1.2217612661814247e-05, -6.972005726325511e-05, 1.0]];[[1.742496325828175e-07, 1.7166331176090042e-06, 0.001612016480912101], [-1.489813138658231e-06, 2.2505324773344627e-07, 0.0018722148751331843], [-0.0019265901520970938, -0.002002469625810566, 0.011755053404491012]];136;192;6;;;163;44;[[0.958375336897083, 0.04955702892709017, 20.67516551135596], [-0.09032904435713394, 0.8640835887019078, -43.1394881281868], [3.484928684164801e-05, -7.789108189199682e-05, 0.9999999999999999]];[[4.009738007030336e-08, -6.885784365290971e-07, -0.002619043167521926], [4.1780538870470717e-07, -8.480033519291025e-08, -0.0006635202716528545], [0.0027372447929423934, 0.0005976197495989178, -0.01629330285567354]];139
