file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10001.jpg;160;6;;;1877;6;;;1576;146;5;;;1524;5;;;1531;160;6;;;1499;6;;;1554
10067.jpg;161;7;;;1486;5;;;1546;180;5;;;1557;4;;;1524;160;6;;;1577;9;[[1.1551020987322764, 0.06709304776395811, 401.3726124312752], [-0.006920263457494196, 0.9177363141607188, -19.658286396315916], [0.00026156282473196486, -2.2014499603269575e-05, 1.0]];[[-2.5807197185641166e-06, -4.9450294811917265e-06, 0.0051116011091815045], [4.370747269045241e-06, -2.3250551472985207e-07, -0.002315270909346495], [-0.0028824494779016393, 0.0008684605809458918, 1.0]];1510
10072.jpg;181;6;;;1500;4;;;1665;176;5;;;1529;9;[[0.6281717598880824, -0.10966902275807802, 349.74553749722656], [-0.04368630162568184, 0.4642739199466253, 18.28795008618998], [3.0515328287662972e-05, -0.00031656462956802843, 0.9999999999999999]];[[-8.61273681731481e-07, -4.104409011178982e-06, 0.0029226558631746417], [4.7486554989996345e-06, -2.488094923716952e-06, -0.005039133812185723], [-0.0032919718148364096, 0.007379701045307774, 1.0]];1472;194;4;;;1586;19;[[1.1187533831114571, 0.14932300220848424, 271.1108690612733], [-0.02235727715763478, 1.1622660075706364, -295.01847971814647], [0.00016503078086282667, 0.00016386300423860509, 1.0]];[[-4.904477311400036e-07, -3.1545607651826247e-06, 0.002609572657059999], [3.27677281770034e-06, -3.6124238068009766e-07, -0.0007613775137493492], [-0.003381177808598874, 9.714379209889261e-05, 1.0]];1510
10142.jpg;199;5;;;1526;3;;;1564;199;6;;;1471;8;[[-0.19566131577765108, -0.17644258781922087, 679.5374714975195], [-0.05042552972322655, 0.28252888078424643, 71.66408828204864], [-0.0005469578755751183, 0.00015614612776322884, 1.0]];[[2.554000850444643e-07, 4.45619760691181e-06, -0.0012587727691392478], [-2.1383992559545025e-06, -2.4734410575175935e-06, 0.002030102760773087], [7.215982217228781e-05, -0.004291016844700848, 1.0]];1530;205;7;;;1581;12;[[-0.20219984883462347, -0.6685912020074463, 761.4268223718414], [0.010804568203845835, 0.23737896883118756, -40.204351906069064], [-0.0004351243710288149, -0.0007201774953950255, 1.0]];[[3.283615133051175e-07, -1.6032673337729857e-06, -0.0004385518090583674], [2.5463524200179296e-06, 1.9723079660268713e-07, -0.003329889755319024], [-0.0007549077561216508, 0.0022198264122932788, 1.0]];1601
10189.jpg;193;6;;;1500;8;[[-0.029282496055622567, 7.251249597808342, -1005.2261488510132], [0.2873871100182389, 3.604096839439471, -1386.5365340394912], [-0.0017391502801610424, 0.005150090706340459, 1.0]];[[103.64739982526743, -207.3084012519283, -19093.828591072604], [43.33801425923262, -35.77496297784485, -38999.37007638105], [-158479.67702167577, 219012.16201174614, 88883405.34720592]];1535;211;4;;;1539;5;;;1544;189;5;;;1533;4;;;1546
10214.jpg;223;4;;;1522;12;[[0.7460190937834494, -0.29310716027708084, 406.180266998502], [-0.08973360635473938, 0.6653717432486733, -91.90493113777508], [-1.616853216660347e-05, -0.0003147225932691761, 1.0]];[[-8.473889424664459e-08, -3.015678893897706e-07, -0.0025418718413942774], [-7.226832492155894e-07, 3.149430371578437e-07, 0.0013668675381315592], [0.003255753880578674, -0.0008209461990483151, -1.3849525806556922]];1521;219;4;;;1577;5;;;1511;191;6;;;1511;5;;;1600
10286.jpg;216;2;;;1474;15;[[0.5693828899205117, -0.1396015858280087, 369.329274212637], [-0.055825244984949215, 0.6508901521429422, -72.7036139672784], [-0.0001054050648041069, -0.00019777356493230294, 0.9999999999999999]];[[3.7174343708618485e-08, -2.1783723886952976e-06, 0.001643843829334391], [2.7157425517440413e-06, 1.247062613891282e-07, -0.0013680800669375465], [-0.002787398798532761, 0.00040198927206474416, 1.0]];1507;191;4;;;1608;17;[[0.959081741878471, 0.07492045764449774, 92.80963742098011], [-0.09351014344623904, 0.9015574647874776, -85.03078277628472], [1.562624502091623e-05, -3.0462670805144007e-05, 1.0]];[[4.140480988046388e-07, 4.3657306159016125e-06, -0.001563875533292674], [-4.318651307761639e-06, 5.184325325119768e-07, 0.005573103540727694], [0.0015695814932873572, -0.005699855205264199, -0.7403882936118276]];1504;218;5;;;1501;9;[[0.7970568081595052, -0.16587585441298108, 269.85936643893393], [-0.06876141594980742, 0.7221240482697199, -64.26553110858934], [2.2385870467028532e-05, -0.0002429299892092692, 1.0]];[[3.8450625476784835e-08, 2.2133380416524287e-06, 0.0038602127450130686], [-1.0294714362252695e-06, -1.5248791675499522e-07, 5.363730558747941e-05], [-0.0044510233600005885, -0.00022025450500263132, 1.0]];1629
10307.jpg;205;6;;;1497;11;[[1.139541893586417, 0.057109099691771095, 210.89875654167116], [0.00987395640621888, 1.0010765253652993, -301.83568394376414], [0.00011175341403176166, -6.178014288023205e-05, 1.0]];[[3.1187710255331233e-06, 1.1548174615934144e-05, -0.011575400346877707], [-8.726945908450938e-06, 1.659591633849465e-06, 0.009579697798208435], [0.005745281535117482, -0.01197501562040536, 1.0]];1489;195;3;;;1543;11;[[0.6428471013385407, -0.03722690808360487, 445.75188689003147], [-0.10890552169351754, 0.7190967379299762, -76.07454797179592], [-9.72531967765227e-05, -0.00011625668268219958, 1.0]];[[-4.426324901418157e-07, -8.06240428115207e-06, 0.0055995904021837566], [8.581038256675625e-06, -1.164346952258167e-06, -0.010457742037927393], [-0.007585825189439517, 0.009002091998187094, 4.277968022175567]];1502;224;5;;;1519;5;;;1528
10358.jpg;220;2;;;1557;11;[[1.0208490697240642, 0.0498241979945046, 114.49754782854635], [-0.07095507763244394, 0.8899427272138624, -150.0400912244997], [5.5122946402207794e-05, -6.167897811742042e-05, 1.0]];[[-2.451434387972885e-07, -2.344878494820969e-06, 0.0016970763944229644], [2.487890864634059e-06, -2.694812271935355e-07, -0.004027273439769568], [-0.0018993824269680428, 0.003989493250020521, 1.0]];1566;195;6;;;1552;20;[[0.9686458976110852, 0.03928290104347602, 143.8033575702587], [-0.09428829013430796, 0.8840108794292125, -131.3141167473202], [3.5577461612270416e-05, -6.527023720065254e-05, 1.0]];[[2.2833983254364974e-07, 1.9696620430802445e-06, -0.0011442226396829135], [-2.0255607856264928e-06, 4.2865756758360717e-07, 0.004710865241985542], [0.0009806299432991502, -0.005013994183241454, -0.8201998653084037]];1562;223;5;;;1572;5;;;1559
10427.jpg;230;6;;;1503;2;;;1593;225;4;;;1508;7;;;1526;244;6;;;1528;6;;;1580
