file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10001.jpg;240;5;;;2719;10;[[0.9655054037216132, -0.2956195091356988, 545.2273519403348], [-0.753646731432149, 2.041548168298596, -832.8447781912062], [-0.00013248898812629105, 0.00020216535084656269, 0.9999999999999999]];[[-4.457899842988973e-07, -7.574712693474828e-07, 0.0013924048872771913], [1.2394492888288544e-06, 2.1091737174164382e-07, -0.0019024080616283573], [-0.0012628059090372629, 0.0006881777241311794, 1.0]];122;239;5;;;130;6;;;123;220;5;;;139;11;[[2.502595226480893, 0.17947116766227977, 162.92798361792447], [0.5637764306535032, 1.3951774901075154, -832.1371899302097], [0.0003912045839097794, 0.0005722688954543246, 1.0]];[[-2337.992269662945, 1780.8560335135098, 4495329.136586848], [-2136.1787277617086, -1026.3067451764746, 3185426.010760581], [1890048.2321080128, -1275082.366439988, -3576876679.175458]];128
10067.jpg;243;3;;;158;6;;;138;236;7;;;145;8;[[0.48821837966461035, -0.2058689887579622, 742.8275540688768], [-0.30069446097370467, 0.5323671140024719, -48.315445261020464], [-6.995943899043772e-05, -0.00015343922173642, 1.0]];[[-1.1522184627015779e-07, -7.065710238354258e-07, 0.0008807305755286852], [7.336738763005527e-07, 1.0055950823683042e-07, -0.0008954943244106027], [-0.001308347647669393, 0.00037781702945536254, 1.0]];142;230;6;;;139;7;;;128
10072.jpg;237;6;;;145;5;;;134;248;6;;;137;7;;;141;236;4;;;138;7;;;137
10142.jpg;223;6;;;153;7;;;134;232;5;;;133;8;[[0.31151778117855167, -0.881946813835982, 714.6090954840121], [0.06485490222991892, 0.23148937831594887, -21.041401300459743], [1.9258350749712326e-05, -0.0009072340703550843, 1.0]];[[1.0971506292179812e-06, -3.9112753358562065e-06, -0.0006247283609185691], [4.001717415411079e-06, 3.310243160482947e-06, -0.0032631656374498795], [-0.001308411645081446, 0.00011255806746818427, 1.0]];127;226;4;;;128;12;[[0.3296707042216056, -0.27714843435579295, 310.8496887452607], [-0.09215579124486446, 0.15983782120542275, 126.04038969193695], [-0.0002903868414455253, -0.000630317003056846, 1.0]];[[-0.0009335883027128804, -0.0035667663277776525, 0.15266635436477502], [0.0016348936529548413, 0.0027210387593448715, -0.17341029628613416], [1.1656760543377718, -2.7371122758415556, 1.0]];113
10189.jpg;226;3;;;132;9;[[0.743177119325471, 0.31524537363400623, 403.41028688577603], [-0.0030379732823322863, 0.6281016890038467, -21.032116147137376], [-7.376326315142188e-05, 0.00011772484200025934, 1.0]];[[1.0420972505370747, 38.51739827238477, -479.5308065790556], [-31.57183758795393, 6.38248499012656, 47033.63602970917], [336.475136032823, -48958.656279163064, -1855717.5354928216]];118;215;5;;;125;9;[[0.8088989928585723, -0.034489197748269626, 432.31429466361607], [-0.11782916463144635, 0.7521625524144468, 0.451343700254595], [-3.0514556991444273e-05, -0.00010192713341924886, 0.9999999999999999]];[[-3.2387092905101275e-07, -3.7707289617544104e-06, 0.001204700458578099], [4.029111439818901e-06, -1.170887228406338e-06, -0.007443579182395337], [-0.0011228299484956161, 0.007174124775859835, 1.0]];125;223;8;[[0.839528676286758, 1.7279536141809901, 46.65637178159217], [-0.36830421116352874, 1.2884197147880554, 469.7746575227105], [-0.00022590556177301703, 0.0013099337479357005, 1.0]];[[3.7163959905777256e-07, 1.1581540984414921e-06, -0.0007081745002561335], [-8.303696497200276e-07, 3.936937801543576e-07, 0.0014004892566503995], [-0.0005128082730257077, -0.0019723335514046396, 1.0]];129;18;[[1.2019161087391859, 0.7239889104261467, -44.44801294954369], [-0.12419458380367109, 1.1222217362915952, -104.91626433648798], [2.236676330086015e-05, 0.0002716679353332132, 1.0]];[[-4.4883487419138966e-07, -4.600569681767496e-06, 0.0017743059871998146], [4.5389581609921694e-06, -7.608828489832917e-07, -0.008056651162713525], [-0.0014844266875627555, 0.007285697107756507, 1.163582754565177]];113
10214.jpg;245;5;;;125;15;[[0.834372558971519, -0.00994050777905658, 301.8763054297467], [-0.09175136951709019, 0.7874155654462146, -127.1276310536399], [-1.8982971700452332e-05, -9.29619639201077e-05, 0.9999999999999999]];[[-3.769094427961346e-07, -3.6299469960234996e-06, 0.001125594800794342], [3.3760887721324883e-06, -5.856752006851256e-07, -0.0050304908683284685], [-0.0011742024951756807, 0.005115219593100125, 1.0]];113;228;3;;;133;11;[[2.2548889196425246, 0.455981854963467, -217.70235577153178], [-0.2555551210568272, 1.3143498612192395, -18.305139554411053], [0.0006397456773748805, 0.00042586482395715156, 1.0]];[[1.193994921370229, 4.497357644904594, -2567.074657765707], [-3.9101820603031214, 0.02348412335611716, 5127.757637786443], [835.2478475553685, -5032.035357213259, 22095.74909061182]];119;208;5;;;141;17;[[0.7697709133277837, -0.04533648190387957, 365.59462284052773], [-0.09620870693412795, 0.8158028451706102, -148.80150423212731], [-4.144484249042156e-05, -9.073541062852254e-05, 1.0]];[[-4.179519758746685e-07, -3.331342339031886e-06, 0.001154909473965335], [3.34035373732303e-06, -2.969106592706426e-07, -0.004768948898817014], [-0.0011939022506490676, 0.00435745038603377, 1.0]];122
10286.jpg;238;5;;;140;20;[[0.8090982089272377, -0.021971095882361347, 203.36111350691996], [-0.09995853796239515, 0.7794953894691774, -40.43559984636361], [-2.828437305570543e-05, -0.00010655542905657437, 1.0]];[[7.779331262951125e-08, 1.4139292781131384e-06, -0.0033172573866818928], [-1.6560982925010796e-06, 2.2256527978976575e-07, 0.002005985655995825], [0.0037897762171976756, -0.00217262231176786, -0.8267931837640146]];127;219;10;[[5.002454920552909, 2.677168674723698, -1880.6275094826321], [-7.031952863947746, 14.153793815194003, -1005.85544701989], [-0.0025664074973958287, 0.00877727062048165, 0.9999999999999999]];[[3.0770596584207426e-06, 3.818887205297769e-06, -0.00450469806805196], [-3.940832248435902e-06, 6.655109942972024e-08, 0.0012076622005423778], [0.0012406491879585258, -0.0015209300613157311, 1.0]];131;15;[[0.3451985690549834, 0.1251833792958943, 324.501928375247], [-0.2353525871796197, 0.618116610199035, 136.2684076652617], [-0.00035121406491545217, 0.00010146453139036623, 1.0]];[[9.897998087261924e-07, 1.5390951704866915e-05, -0.009200422287853368], [-1.198515778002908e-05, 1.2382796414253724e-07, 0.01632906243589667], [0.008111241192693538, -0.019762821809224035, -1.0182605974253414]];138;222;2;;;140;13;[[0.7809951590527223, 0.05484256042952098, 156.7590043721416], [-0.15816512366794785, 0.8386465768683005, -43.53942518922308], [-0.00010146593410536548, -3.740652103693884e-05, 1.0]];[[-1.4913057939250593e-06, -1.2351750737206976e-05, 0.010809297143899043], [1.2033914969704679e-05, -1.3661613832083116e-06, -0.0030589395979442407], [-0.011767785064553019, 0.0037264129893941735, 1.0]];120
10307.jpg;229;3;;;133;27;[[0.8775733157501056, -0.010890610519410529, 341.91661209752687], [-0.09423308751377044, 0.8049891358458746, -106.38860110309416], [2.8139633435482584e-06, -0.00010056422996941761, 1.0]];[[-3.5881849057134697e-07, -3.503350852892021e-06, -0.0009291381561238616], [3.1165218047714683e-06, -4.32563901863067e-07, -0.003904223774071153], [0.0010843576174201634, 0.0034282570079215706, 0.030155159439187784]];120;260;6;;;129;26;[[1.0076430717417768, -0.009991146943042008, 276.39605663700735], [-0.08820420388719301, 0.8671683855865957, -126.9628576743611], [4.8305907972883605e-05, -9.028257243316299e-05, 1.0]];[[-2.491943788781085e-07, -2.4112462829994348e-06, 0.002567321398941409], [2.4497415012790395e-06, -6.537213937150232e-07, -0.005937554595165445], [-0.0024794069344715045, 0.006300643559307415, 1.5411708116314662]];149;228;6;;;144;15;[[1.0517638149835258, 0.1656346857579233, 229.68901686778673], [-0.06632653855725515, 1.0009402042875746, -233.92700200772668], [5.552588543131052e-05, -2.558603809384808e-06, 1.0]];[[-2.0377523272235171e-07, -1.0614955671198878e-06, 0.0028243037057789316], [9.748337417392335e-07, -1.0630211410546914e-07, -0.0018836439037037342], [-0.002653607041381667, 0.0021296992666983393, 1.0]];128
10358.jpg;262;4;;;142;26;[[0.9205581134072309, 0.01700775844948815, 175.940263498646], [-0.09642056922284913, 0.8548652566221691, -119.9865816990973], [1.545474283197517e-05, -7.801208858445974e-05, 1.0]];[[-2.0087650060252282e-07, -1.2277320141257365e-06, 0.0037824751356684175], [1.5209028709329155e-06, -6.525634072683275e-08, -0.0006163265704893402], [-0.004220779568143429, 0.0004727918495593656, 0.8372188500373303]];142;245;9;[[0.6945703379362149, 0.15923432026838868, 131.06669657468635], [-0.39209686787344283, 0.5437890194846569, 335.17541671291303], [7.385337404414047e-05, -0.0002613043458739358, 1.0]];[[0.2584414168503426, 0.42506538620879686, -278.24771245797916], [-0.42963292288195193, -0.07289143372272541, -667.0222631390567], [615.4100440619586, 802.2615931007023, -288410.3566222974]];150;36;[[0.8315502334906012, 0.06792131382496953, 185.56567727776778], [-0.16269447067108428, 0.8572663969842663, -58.15309254219314], [-5.671500380923982e-05, -2.3151236917537007e-05, 0.9999999999999999]];[[-6.021009887462423e-07, -3.942904158417875e-06, 0.004250948201701381], [3.785721195997146e-06, -3.5256732231266566e-07, -0.005461499122193471], [-0.0038528635280182457, 0.0057482507830167355, 1.0]];145;245;6;;;149;9;[[0.8366379582176938, 0.14092077415160237, 205.0383612444622], [-0.10462523027004529, 0.8650326144895254, -111.9120511719024], [-1.507890350630426e-05, -2.1707542002087584e-05, 1.0]];[[-3.26503129403564e-07, -3.84471078328852e-06, 0.00028311722112243356], [3.620343555907443e-06, -1.0768734636485577e-06, -0.007308660801934969], [-0.00011262889814741979, 0.008132995342510715, 1.0]];137
10427.jpg;244;6;;;151;9;[[1.6720783796605563, -0.28711183640761223, -612.4927734583101], [-0.6190071409179443, 1.0534999616693255, 351.11386874724724], [-0.00015459795902870828, 6.580331052745457e-05, 1.0]];[[1.32947045031905e-07, 2.1903859507623037e-06, -0.0022151043627564007], [-6.579277978496726e-07, -6.012317306657573e-07, 0.0014620896376183557], [0.0007309154463839537, -0.0021603700606262857, 1.0]];135;244;9;[[-7.556845735688983, 7.774360292810889, 6292.415528992774], [-0.029996345020506347, -0.31614070847613046, -174.2107495525514], [-0.003118130348720142, 0.006513078606583796, 1.0]];[[4.769309614128183e-07, 1.4728168277388404e-06, -0.0010984187945723182], [-1.0188206625658748e-06, -5.548863732641188e-07, 0.0011928582007614374], [-0.0002638516440166388, -0.001696096846517483, 1.0]];143;25;[[0.856276364540478, 0.04538562816737484, 82.84724911891199], [-0.1074818284029843, 0.8497243470868906, -35.745495802494595], [-1.1097716904410084e-05, -7.009536661917282e-05, 1.0]];[[4.900385397444584e-08, -1.6667807871710009e-06, -0.004116405099644932], [6.076100062403799e-07, 7.639213769670389e-08, 1.3431991600601706e-05], [0.004290581134974247, 0.00041984098148887893, -0.19950146426638593]];133;229;6;;;150;12;[[0.8883552336760484, -0.47194877668051166, 146.85561629721178], [0.01593982134912999, 0.5916441558445072, -89.78449300831893], [5.921006530333686e-05, -0.0005233266588726831, 1.0]];[[-6.744553514261342e-07, -7.117887897967735e-06, 0.0031472312282409508], [7.602382609511667e-06, -4.7118640494781256e-07, -0.007190972391395619], [-0.003616635359679576, 0.007131736266173201, 1.0]];144
