file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10001.jpg;6;6;;;1713;5;;;332;5;5;;;337;5;;;333;5;5;;;330;4;;;330
10067.jpg;5;5;;;328;6;;;328;6;4;;;331;4;;;358;4;4;;;330;5;;;332
10072.jpg;3;3;;;329;5;;;339;7;4;;;328;5;;;332;8;4;;;347;5;;;333
10142.jpg;14;5;;;329;6;;;332;22;5;;;345;5;;;347;10;4;;;332;6;;;330
10189.jpg;15;6;;;330;5;;;341;22;5;;;338;5;;;358;13;5;;;331;6;;;333
10214.jpg;14;4;;;332;6;;;338;22;4;;;346;3;;;364;24;4;;;355;4;;;356
10286.jpg;18;5;;;331;6;;;347;18;4;;;343;6;;;349;17;4;;;335;7;;;357
10307.jpg;22;6;;;336;7;;;334;21;5;;;335;4;;;373;21;6;;;334;5;;;362
10358.jpg;16;6;;;328;4;;;349;25;4;;;343;7;;;349;16;5;;;330;6;;;349
10427.jpg;21;6;;;335;6;;;334;23;4;;;339;5;;;362;24;5;;;333;6;;;341
10430.jpg;23;4;;;346;5;;;348;19;4;;;337;6;;;356;21;6;;;335;5;;;360
10499.jpg;22;5;;;349;5;;;345;27;4;;;344;11;[[0.9681142902443614, 0.021526135437849255, 101.80263090405653], [-0.10455619473833118, 0.8806571065604084, -96.41963834119052], [3.3364249758788474e-05, -9.195116515371735e-05, 1.0]];[[8.58685375137095e-07, 6.898332987728574e-06, -0.003831841811043008], [-6.84452379275721e-06, 1.1705791081476955e-06, 0.00895105407533384], [0.0036125404753006842, -0.009542407857241269, -1.2928618461682655]];336;27;7;;;348;7;;;345
10559.jpg;16;5;;;333;4;;;377;31;5;;;350;11;[[1.0853773086593774, -0.0012412937715191052, 305.3013630294899], [-0.06601476701392664, 0.9210114122141598, -47.27940018082362], [9.407138001669907e-05, -0.00010063321311180156, 1.0]];[[1.4457453842115055e-06, 1.094107713144907e-05, -0.009129456815923524], [-1.0759253340460318e-05, 1.5004482879494015e-06, 0.014369346831767653], [0.007581898126039319, -0.01282271658999668, -2.5249939140402713]];333;44;6;;;348;5;;;361
10568.jpg;19;4;;;338;4;;;355;34;6;;;352;7;;;342;41;5;;;356;4;;;368
10639.jpg;33;5;;;351;5;;;355;40;6;;;352;9;[[1.062593228024036, -0.0781241131545937, 95.8365070245428], [-0.0864905776018423, 0.8450258756310053, -80.87261134608596], [8.859337174974413e-05, -0.00015465629144194843, 1.0]];[[-5.873726437635922e-07, -5.395211944157837e-06, 0.002632537557133264], [5.175683853432125e-06, -9.954726816293882e-07, -0.007913642295929798], [-0.0023623347614709616, 0.00874952984229886, 1.0]];340;41;5;;;350;7;;;352
10687.jpg;30;4;;;354;5;;;350;36;4;;;350;15;[[0.9158105423230692, -0.04382367247751003, 376.1171335764851], [-0.08883554577033907, 0.8123289126372008, -32.77584505463046], [1.871600393905624e-05, -0.00012719753865282643, 1.0]];[[-4.799714717467775e-07, -4.554087361660265e-06, 0.0025482599910226595], [4.365239780141624e-06, -7.383035973752081e-07, -0.0065982348333252575], [-0.002157299694861464, 0.006114170142084707, 1.0]];330;33;6;;;335;5;;;357
10709.jpg;26;6;;;333;6;;;340;41;7;;;345;19;[[0.8677963512489314, 0.009515689455705616, 265.2748271889946], [-0.10239303380826072, 0.8227451481855198, -123.99334756853051], [-1.5234746573096947e-05, -7.299351830757614e-05, 1.0]];[[-2.838038323544323e-07, -2.5263284729817936e-06, 0.0010356086262133524], [2.3685456155296593e-06, -4.1694499821770007e-07, -0.004359167748683025], [-0.000913357703966793, 0.004547555048725922, 0.8069856890068197]];331;28;5;;;343;10;[[0.9145471928569737, -0.18692244932921573, 308.7889014258884], [-0.07859069915940804, 0.7315503270000857, -103.64290735796202], [5.3765199609182574e-05, -0.00023043297372132021, 1.0]];[[-2.73127839056083e-07, -2.6119181024486045e-06, 0.0018600353034703152], [2.4944727264428394e-06, -4.173112837663596e-07, -0.0038404382356936996], [-0.001952457735231429, 0.004029967010698611, 1.0]];343
