file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rotarcgis;F_rotarcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rotgoogle;F_rotgoogle;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rotgeoportal;F_rotgeoportal;time_rot_geoportal
10001.jpg;0;0;;;1146;0;;;418;0;0;;;425;0;;;414;0;0;;;410;0;;;407
10067.jpg;0;0;;;422;0;;;418;0;0;;;411;0;;;405;0;0;;;424;0;;;408
10072.jpg;0;0;;;452;0;;;419;0;0;;;420;0;;;399;0;0;;;465;0;;;405
10142.jpg;0;0;;;422;0;;;412;0;0;;;422;2;;;416;1;1;;;428;1;;;418
10189.jpg;0;0;;;424;0;;;404;0;0;;;424;0;;;410;0;0;;;415;1;;;419
10214.jpg;0;0;;;511;1;;;406;0;0;;;430;2;;;428;0;0;;;417;0;;;494
10286.jpg;0;0;;;423;1;;;412;1;1;;;428;0;;;412;0;0;;;423;0;;;417
10307.jpg;0;0;;;522;0;;;400;0;0;;;456;2;;;420;0;0;;;485;2;;;419
10358.jpg;0;0;;;419;0;;;400;0;0;;;420;1;;;413;0;0;;;417;0;;;398
10427.jpg;0;0;;;423;0;;;417;0;0;;;427;4;;;411;0;0;;;485;0;;;420
10430.jpg;0;0;;;424;0;;;406;0;0;;;424;2;;;422;0;0;;;420;1;;;420
10499.jpg;0;0;;;431;0;;;427;0;0;;;425;3;;;420;0;0;;;535;1;;;415
10559.jpg;0;0;;;426;1;;;418;0;0;;;425;2;;;421;0;0;;;427;2;;;423
10568.jpg;0;0;;;431;1;;;539;0;0;;;427;2;;;402;0;0;;;403;1;;;409
10639.jpg;0;0;;;421;1;;;417;0;0;;;429;0;;;470;0;0;;;416;0;;;416
10687.jpg;0;0;;;434;0;;;414;1;1;;;419;1;;;417;0;0;;;417;0;;;406
10709.jpg;0;0;;;419;1;;;424;0;0;;;423;1;;;416;0;0;;;422;1;;;416
10780.jpg;0;0;;;415;0;;;412;1;1;;;419;1;;;414;0;0;;;414;0;;;424
10813.jpg;0;0;;;479;1;;;422;2;2;;;420;4;;;416;0;0;;;422;1;;;418
10850.jpg;0;0;;;422;2;;;426;1;1;;;452;3;;;421;1;1;;;425;1;;;419
10922.jpg;0;0;;;423;1;;;424;2;2;;;412;0;;;424;0;0;;;423;0;;;401
10943.jpg;0;0;;;426;1;;;437;0;0;;;429;0;;;417;0;0;;;430;0;;;404
10993.jpg;0;0;;;423;0;;;411;0;0;;;512;0;;;418;0;0;;;426;0;;;424
11063.jpg;0;0;;;525;0;;;418;0;0;;;413;0;;;408;0;0;;;468;0;;;465
11080.jpg;0;0;;;427;0;;;408;0;0;;;426;0;;;406;0;0;;;414;0;;;416
11132.jpg;0;0;;;434;0;;;435;0;0;;;492;0;;;412;0;0;;;416;0;;;417
11203.jpg;0;0;;;427;1;;;527;0;0;;;419;0;;;397;0;0;;;417;0;;;404
11215.jpg;0;0;;;426;1;;;414;0;0;;;426;0;;;423;0;0;;;424;0;;;421
11273.jpg;0;0;;;419;1;;;478;0;0;;;429;3;;;424;1;1;;;415;0;;;410
11342.jpg;0;0;;;421;1;;;514;0;0;;;519;1;;;420;0;0;;;432;0;;;420
11344.jpg;0;0;;;423;1;;;416;0;0;;;426;2;;;435;0;0;;;422;0;;;414
11411.jpg;0;0;;;440;0;;;493;1;1;;;424;0;;;407;0;0;;;479;1;;;421
11479.jpg;0;0;;;420;0;;;398;0;0;;;548;0;;;417;0;0;;;491;1;;;446
11480.jpg;0;0;;;423;0;;;421;0;0;;;425;0;;;475;0;0;;;431;0;;;415
11548.jpg;0;0;;;564;0;;;421;0;0;;;424;0;;;416;0;0;;;425;0;;;409
11618.jpg;0;0;;;422;0;;;408;0;0;;;426;0;;;398;0;0;;;427;0;;;415
11626.jpg;0;0;;;512;2;;;415;0;0;;;454;1;;;401;0;0;;;431;0;;;419
11687.jpg;0;0;;;422;0;;;409;1;1;;;424;0;;;418;0;0;;;424;0;;;411
11756.jpg;0;0;;;485;6;;;408;0;0;;;424;3;;;405;0;0;;;426;0;;;405
11779.jpg;0;0;;;417;1;;;411;0;0;;;423;0;;;407;0;0;;;424;0;;;414
11824.jpg;0;0;;;426;3;;;417;1;1;;;421;2;;;420;2;2;;;422;1;;;415
11888.jpg;0;0;;;427;1;;;420;0;0;;;423;2;;;417;0;0;;;424;0;;;415
