file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rotarcgis;F_rotarcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rotgoogle;F_rotgoogle;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rotgeoportal;F_rotgeoportal;time_rot_geoportal
10001.jpg;14;4;;;952;4;;;468;17;6;;;451;3;;;494;9;5;;;448;3;;;419
10067.jpg;13;4;;;442;5;;;424;6;4;;;440;5;;;428;8;4;;;456;4;;;430
10072.jpg;6;4;;;446;5;;;466;20;5;;;532;6;;;466;10;4;;;448;5;;;429
10142.jpg;26;2;;;485;3;;;526;13;4;;;439;5;;;444;22;5;;;456;8;[[1.7035600249156653, 0.2030673223156638, 130.54806172233717], [-0.10271730777956271, 0.6321744543629435, -122.51616309323465], [0.0007799457375986357, -0.00023806436982994967, 0.9999999999999999]];[[-1.7585051757185018e-06, -1.6965837694221465e-05, 0.001826334069556667], [8.461326844911371e-06, -3.940503255517369e-06, -0.00394774432164068], [-0.002538616595973362, 0.00444304275924295, 1.0]];446
10189.jpg;10;5;;;446;2;;;586;23;5;;;471;5;;;477;18;5;;;455;3;;;508
10214.jpg;4;4;;;546;4;;;629;26;6;;;484;6;;;431;34;5;;;678;5;;;604
10286.jpg;20;4;;;455;7;;;470;33;4;;;672;4;;;565;23;5;;;461;6;;;450
10307.jpg;28;5;;;466;6;;;562;9;4;;;450;4;;;564;28;6;;;513;5;;;432
10358.jpg;29;1;;;541;4;;;462;26;4;;;574;5;;;570;9;5;;;447;6;;;504
10427.jpg;11;5;;;454;4;;;516;9;4;;;456;4;;;491;19;5;;;447;5;;;437
10430.jpg;9;4;;;444;5;;;516;10;5;;;449;4;;;440;23;5;;;457;4;;;493
10499.jpg;11;5;;;455;6;;;439;18;3;;;490;3;;;655;17;5;;;452;3;;;586
10559.jpg;6;4;;;480;5;;;440;14;5;;;454;52;[[0.9504274220998552, 0.029971142899601913, 351.06333797491124], [-0.09492171524703229, 0.875246972833631, -10.83569799210623], [3.0625479402678294e-05, -7.786817584772357e-05, 1.0]];[[-2.736018745479682e-07, -2.2317604919810042e-06, 0.002176544100241069], [2.2864142050568245e-06, -4.862201500319514e-08, 0.0003828912300695834], [-0.0024313080778676816, -0.001240702616261897, 0.8764613796341254]];453;11;3;;;463;5;;;431
10568.jpg;12;4;;;440;4;;;424;10;4;;;448;5;;;511;23;5;;;471;5;;;429
10639.jpg;19;4;;;484;4;;;580;71;8;[[0.854565755860081, 0.24598556169183453, -28.4955459487755], [-0.4902800702377233, 0.5975966280071736, 474.85145366472074], [0.00010899243147892273, -0.0002084431998213236, 1.0]];[[9.014215506402517e-07, 1.0523993745760884e-06, -0.0024976105076102316], [-1.2629229143636733e-06, 7.976292054188909e-07, 0.0008083348076068895], [0.0010853686269408332, -0.0021164106450203123, 1.0]];487;14;[[0.8426571230044171, 0.15666106801246862, 152.07569383954657], [-0.10860241183957405, 0.9097823037310965, -102.7958862383998], [-3.9607245206738176e-05, 3.181895073157852e-05, 1.0]];[[8.677427156352955e-07, 8.133495414406335e-06, -0.0027070338872247856], [-7.8663772209226e-06, 1.8085511818759667e-06, 0.013461065752554478], [0.002178711136779877, -0.014746968663516312, -1.6388790881116937]];436;28;4;;;510;25;[[0.7801051492696167, -0.053071086706013584, 248.92659355545996], [-0.10588691842003954, 0.7577825352872104, -51.278732208116416], [-2.9551830070559382e-05, -0.0001349236016559125, 1.0]];[[-0.7124040001775508, -6.825614416121786, 3884.398702052342], [6.843372291414788, -0.7475060991468051, -5831.376128821974], [-4433.236573574696, 5692.907135499393, 1304882.9679202214]];464
10687.jpg;4;4;;;445;3;;;450;4;4;;;442;48;[[0.933700682111008, -0.02382048281231323, 361.87368249791774], [-0.08779036534425379, 0.8332310118666743, -41.932586297351385], [2.4051754777221654e-05, -0.00011502378529599498, 1.0]];[[-1.2250543375890158e-07, -1.1556827917069017e-06, 0.0005391486516598682], [1.1064341811072601e-06, 2.465474903658827e-07, 0.0016685289059062832], [-0.0008371537052773758, -0.002475380275421732, 0.20590382269509]];437;32;5;;;519;8;[[0.7174017482672066, -0.14527544587462132, 607.920055872863], [-0.11329683015842336, 0.811765861661065, -27.928191844411543], [-5.411038477602098e-05, -8.026159945075815e-05, 1.0]];[[-7.191680928009617, -60.12094776772228, 37491.45635854714], [65.28085608462183, 4.8634082888335755, -71292.29214545831], [-39751.140783372335, 34514.235167914354, 24771335.431313187]];585
10709.jpg;2;2;;;471;6;;;484;66;8;[[0.6817426166283911, 0.6310698365155649, -121.69643212228657], [-0.5992691544672318, 0.7749134129552598, 368.6612106065858], [-6.911509561654863e-05, -4.831202166904199e-06, 1.0]];[[7.907117467027201e-07, 1.154777555167537e-06, -0.0019075916315519788], [-1.1014173383796717e-06, 1.1404039744200095e-06, 7.308138514413014e-05], [0.0008008381016627166, -0.001949509652104375, 1.0]];514;49;[[0.8872555067411341, -0.010953608144786388, 257.15044825285514], [-0.09451755519392337, 0.8148009270927242, -126.48642927975963], [5.15954238541762e-06, -0.00010316910331002185, 1.0]];[[3.556885435100423e-07, 3.265274360863178e-06, -0.0005151536779630034], [-3.0768680498138692e-06, 1.4695089002026706e-07, 0.0013927635585818249], [0.0008784082425087973, -0.000734438594333426, -0.3228992371966431]];436;11;4;;;528;8;[[0.9315242177155065, 0.19326322353133332, -93.2729563870589], [0.035390390802819215, 0.9703959055614875, -485.45240235509567], [-4.412159094940675e-06, -0.00016507904914010965, 1.0]];[[-2.2345738520023133, -1793.203600816381, 1589673.252633261], [1952.1616749448167, -682.2029603726835, -1367635.7850884844], [-2346193.863988934, 2110518.722070845, 501178302.362144]];445
10780.jpg;15;5;;;437;9;[[0.7982011156328203, 0.0019194062664595428, 185.27289964184504], [-0.10997684736649069, 0.8294739485152223, -50.095312168077946], [-4.675617824370191e-05, -9.784690093812995e-05, 1.0]];[[-8.756549840002737e-07, -8.04571401374074e-06, 0.0028478605124955584], [7.989986073692329e-06, -1.4621258260126104e-06, -0.010209473007809488], [-0.0024863740249177094, 0.01078763572883608, 1.0]];479;30;3;;;605;36;[[0.9086473825039398, -0.10950935598207968, 194.67033964553758], [-0.08090076452990387, 0.7615195979804845, -26.383442009958515], [3.9006005802984794e-05, -0.00016989748974252685, 1.0]];[[-6.833678375868291e-07, -5.752869934893258e-06, 0.0042351332469386625], [5.776079636359283e-06, -1.8946873562688361e-06, -0.012171058838725969], [-0.0034062471480314524, 0.01432684547590149, 1.0]];439;18;5;;;461;26;[[0.8759965101439929, -0.03815616682854057, 173.3365018808733], [-0.08972774929536659, 0.7686530714607682, -27.889464844216853], [9.60052261138497e-06, -0.00013307100087432173, 1.0]];[[3.4356021429105505e-07, 3.1221049698039967e-06, -0.0016698024315629214], [-2.9161495442930917e-06, 7.176871073960983e-07, 0.0054092903405585785], [0.0012484352177062296, -0.006290710630643733, -0.3891496910198473]];451
10813.jpg;17;6;;;448;4;;;537;7;7;;;442;40;[[0.838342193673453, -0.021949661443930884, 379.44659785458254], [-0.10093487024527925, 0.7794674697182075, -35.111389633375126], [-7.384749438753268e-06, -0.00011244725110733218, 1.0]];[[-5.450278518206817e-08, -4.634885600739914e-07, 0.0021135621456601986], [6.634317159859445e-07, -4.1122255408896043e-07, -0.0029525644146846486], [-0.002070674623373268, 0.0034893608157780804, 0.9157579822555606]];443;19;5;;;497;5;;;554
10850.jpg;10;4;;;440;7;;;512;7;4;;;446;25;[[0.8640895650644629, -0.010993052597711129, 240.51684395165455], [-0.10306711379692232, 0.820941125673225, -108.83336526992925], [-8.588648570857471e-09, -0.00010276821190909843, 1.0]];[[1.6533508538690624e-07, 1.3515039698543473e-06, 0.0015568998665193953], [-1.0548726174796258e-06, 1.283120177058109e-07, 0.0011039310141778814], [-0.0018350288405480021, -0.001022988089749017, 0.34862732992482837]];478;9;4;;;432;13;[[0.916938321794722, -0.2957150569513352, 388.6765718779473], [0.016804640213022953, 0.5180655543588716, 20.96068329039916], [0.0001506190429800972, -0.0003297607277725182, 0.9999999999999999]];[[-4.4351445798487305e-06, -1.2590690012207734e-05, 0.025351870097461784], [3.340165285557294e-05, -4.9132185409531095e-05, -0.07213439825697045], [-0.034228122225349565, 0.13871138313555326, 1.0]];456
10922.jpg;25;5;;;471;7;;;439;12;5;;;444;4;;;445;28;6;;;464;8;[[-0.2724788126660523, -0.6565040450044844, 701.5056768883946], [-0.0005423381984806322, -1.2279507870671806, 1122.8497602867535], [-3.759021542223181e-05, -0.0011170995042811705, 1.0]];[[-1.3253577565856614e-06, -1.0232378653728232e-05, 0.0097917074175665], [9.735367729725218e-06, -5.441142740571613e-07, -0.0047708136320029505], [-0.009729201911402412, 0.00479138015714212, 1.0]];494
10943.jpg;26;5;;;464;6;;;486;11;4;;;437;4;;;567;18;5;;;444;4;;;437
10993.jpg;11;4;;;446;6;;;554;22;6;;;454;5;;;439;17;7;;;458;6;;;432
11063.jpg;21;5;;;514;4;;;427;21;4;;;553;4;;;452;12;4;;;451;5;;;530
11080.jpg;9;4;;;443;4;;;445;37;5;;;746;5;;;454;6;4;;;507;4;;;438
11132.jpg;20;4;;;488;4;;;516;36;5;;;663;4;;;542;7;4;;;452;4;;;438
11203.jpg;11;4;;;441;5;;;454;9;4;;;532;5;;;437;3;3;;;443;5;;;426
11215.jpg;25;7;;;491;6;;;448;10;4;;;451;4;;;467;12;4;;;451;5;;;502
11273.jpg;3;3;;;453;4;;;565;13;5;;;451;4;;;526;8;4;;;511;2;;;597
11342.jpg;27;4;;;510;4;;;456;8;4;;;452;6;;;445;18;4;;;458;7;;;511
11344.jpg;7;4;;;441;4;;;463;27;5;;;571;14;[[0.9283814852055959, 0.012963956678702282, 249.46177890795383], [-0.09113846958961674, 0.8262470244151686, -151.84419422703675], [2.068917027541152e-05, -9.963748221363886e-05, 0.9999999999999999]];[[-7.073902977983595e-07, -5.860928725084406e-06, 0.002792979735318965], [5.4840315738856555e-06, -7.483901941772337e-07, -0.004363471524303345], [-0.0032355936696495985, 0.0039756048265516914, 1.2515144256249329]];444;9;4;;;439;5;;;488
11411.jpg;20;4;;;479;6;;;477;16;5;;;482;35;[[0.9943271707383408, 0.058938374425774855, 108.61132910907999], [-0.08902494783619617, 0.9014146897052128, -120.51743137448861], [4.5484254859943595e-05, -6.778497640562211e-05, 1.0]];[[-6.682333115094365e-07, -6.381169749709304e-06, 0.0020874118253708376], [6.394066501797415e-06, -1.238260345102731e-06, -0.011305659749975211], [-0.0018262536039790158, 0.011782587597195195, 1.6388781413483478]];451;27;4;;;528;5;;;527
11479.jpg;11;5;;;443;6;;;611;0;0;;;453;5;;;610;13;5;;;450;4;;;565
11480.jpg;25;3;;;495;7;;;467;12;3;;;463;14;[[1.1856513784793823, -0.2224597841070849, 384.8420224063459], [0.033656688445235984, 1.0553544208312986, -424.7732110404884], [0.00019609253831367814, -0.00015657131816096, 1.0]];[[-1.404120792506812e-07, -1.299646566428299e-06, 0.0010966433771072786], [1.5801486499309054e-06, 1.5946446349201504e-07, -0.001588670332328265], [-0.0015845779135255063, 0.0006380655489738854, 1.0]];451;14;5;;;448;6;;;504
11548.jpg;18;4;;;448;5;;;464;10;4;;;447;4;;;526;17;5;;;457;5;;;432
11618.jpg;9;5;;;444;6;;;463;23;2;;;523;4;;;488;7;4;;;449;5;;;483
11626.jpg;26;5;;;470;5;;;436;9;4;;;459;4;;;435;5;4;;;432;4;;;439
11687.jpg;6;4;;;530;3;;;555;3;3;;;457;4;;;429;7;4;;;450;4;;;443
11756.jpg;31;5;;;482;11;[[0.8234285876572495, -0.038181882641240165, 138.25374892575957], [-0.09662350954410555, 0.7324212594402781, 21.10853419868953], [-1.8999645362962522e-05, -0.00018002692872793412, 1.0]];[[1.4857747453975179e-06, 1.383877429242712e-05, -0.005671907757388978], [-1.372741578548565e-05, -1.3941730480014772e-06, 0.0012449211667928377], [0.0065443322494248835, 0.0018801351800893003, -1.085197606256488]];445;23;3;;;531;10;[[0.5119702137320282, -0.21222644466403834, 177.679490976772], [-0.09372140271611468, 0.4051838202489967, 66.39396229703912], [-0.00011043971570312108, -0.0008776626475997276, 1.0]];[[-6.756380769946115e-06, -5.719128180959169e-05, 0.018527021390486], [6.5169521533804e-05, -6.320501152611167e-06, -0.0178191529090922], [-0.021787274480348964, 0.013180501576280328, 2.7660242101094035]];479;26;2;;;499;5;;;435
11779.jpg;27;6;;;601;5;;;467;12;7;;;447;6;;;454;25;8;[[-1.0106143529478364, -0.35675281877746795, 897.6907319447766], [-0.07292131575848083, -0.038170293964164645, 66.07928205939258], [-0.0011245987614877993, -0.000411516586529932, 1.0]];[[1.287416658257276e-06, 3.14927522413379e-06, -0.0013595193369417566], [-1.6103579425521647e-06, -1.206157181428286e-06, 0.001507625837074953], [-0.0009218642181860082, -0.002630571283631542, 1.0]];445;5;;;451
11824.jpg;30;6;;;451;10;[[0.4589910462727197, -0.1979620436988857, 221.98484211434453], [-0.1660920770053542, 0.2208502054634499, 130.87318948860846], [-0.00027375346074837994, -0.0006659099379417944, 1.0]];[[-6.940304690386246e-08, -4.852896321327474e-06, 0.0025893608624189173], [5.676785920259191e-06, 7.255092318541792e-07, -0.0018900041409857784], [-0.003976107830092064, 0.0001030197785714523, 1.0]];459;10;4;;;456;6;;;498;45;11;[[1.556576028196914, 0.304903290100688, -1016.3120363881493], [-0.6074466944141358, 0.9686474242318388, 432.3838386653163], [0.0003294373172722312, -0.0010870379344950936, 0.9999999999999999]];[[1.3641186817784568e-05, 2.5483852152221416e-05, -0.016883877353650892], [-2.9150423413704743e-05, 7.412472735878519e-06, 0.0026432896897691472], [0.002742285689566075, -0.02056024995177475, 10.485918122088387]];478;5;;;450
11888.jpg;28;6;;;466;11;[[1.084782543189808, -0.003522761631655164, 12.411405550320062], [-0.27415054285729756, 1.4526581386548298, -323.8083407461129], [-0.00018219840431234994, 0.00022616682678161605, 1.0]];[[-5.288387595647081e-07, -5.67218137117953e-07, 0.00026974608828696234], [1.4280664117442249e-08, 1.4060431685995226e-06, -0.002009249808964285], [0.0005315298962370678, -0.0003129166030669502, 1.0]];448;38;6;;;518;6;;;546;42;4;;;468;1;;;520
11950.jpg;29;5;;;555;6;;;437;22;7;;;509;9;[[1.5472009454778342, 0.37403226201252715, -548.213526230062], [0.3360154422038322, 1.222590201182914, -309.9934967914139], [0.0004804659226046976, -4.922917661845001e-05, 0.9999999999999999]];[[2.6691027450329357e-06, 2.8534881669264525e-05, -0.028206639355922675], [-2.5301936241420966e-05, 7.372251761450876e-06, 0.00022319182739349288], [0.02525513627619994, -0.016426815772193896, 8.496001029025987]];487;24;5;;;446;6;;;421
12008.jpg;15;4;;;459;5;;;430;13;5;;;446;7;;;498;22;5;;;457;6;;;437
12068.jpg;27;6;;;465;4;;;444;36;5;;;543;2;;;659;10;5;;;569;5;;;452
12125.jpg;11;4;;;442;7;;;455;2;2;;;444;5;;;472;8;4;;;455;5;;;436
12182.jpg;32;5;;;488;5;;;423;12;4;;;464;4;;;442;30;2;;;593;5;;;500
12239.jpg;15;4;;;449;4;;;430;9;3;;;448;5;;;444;8;5;;;454;3;;;434
12298.jpg;22;5;;;444;4;;;433;19;2;;;601;5;;;443;4;4;;;446;4;;;422
12323.jpg;25;5;;;478;5;;;431;7;4;;;439;5;;;507;4;4;;;454;5;;;442
12358.jpg;17;5;;;461;5;;;436;3;3;;;451;5;;;453;10;3;;;528;3;;;435
12422.jpg;27;5;;;450;4;;;530;22;6;;;461;4;;;466;4;4;;;445;5;;;438
12434.jpg;20;5;;;469;4;;;433;33;6;;;501;5;;;599;4;4;;;450;5;;;493
12491.jpg;17;4;;;545;4;;;442;34;5;;;514;6;;;496;3;3;;;504;3;;;441
12521.jpg;31;4;;;521;6;;;455;27;5;;;463;5;;;566;11;3;;;465;5;;;435
