file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10001.jpg;156;5;;;2061;6;;;255;123;5;;;261;6;;;247;136;5;;;260;5;;;254
10067.jpg;154;4;;;297;5;;;249;144;6;;;234;6;;;238;146;4;;;284;5;;;287
10072.jpg;166;5;;;401;5;;;244;133;6;;;260;6;;;227;144;6;;;254;6;;;230
10142.jpg;192;5;;;305;6;;;263;148;6;;;352;4;;;311;157;5;;;380;4;;;302
10189.jpg;217;5;;;433;6;;;355;136;5;;;374;5;;;316;176;4;;;344;5;;;245
10214.jpg;219;6;;;311;6;;;273;150;4;;;276;4;;;244;185;4;;;294;5;;;257
10286.jpg;217;5;;;322;4;;;296;155;3;;;289;4;;;297;163;7;;;397;2;;;344
10307.jpg;246;7;;;445;5;;;376;154;5;;;380;5;;;318;173;5;;;309;5;;;292
10358.jpg;237;5;;;314;5;;;268;179;6;;;382;9;[[-30.32206922984594, -6.498714802919928, 15840.421595841912], [-4.013417616793733, -14.921615886681304, 7791.794340883754], [-0.014921493994274171, -0.00361531928600158, 1.0]];[[5.339995677849694e-07, -1.6407906078581587e-06, -0.0005065765147256629], [1.7032495524791835e-06, -3.9844401545989e-07, -0.001669803777336278], [-0.001035687588345482, 0.0016161301953853638, 1.0]];339;186;5;;;356;8;[[1.00813216096416, 0.015037523580030826, 141.36672885658837], [-0.1247570373292135, 0.7550552308316991, -25.228595434054697], [0.00010955579661422508, -0.0001640152834772969, 1.0]];[[-3.625076491276503e-06, -2.247410320234394e-05, 0.014009270051553994], [1.74710181470837e-05, -1.2724379395466035e-06, -0.01580963126956933], [-0.010568877021013633, 0.018919358731930173, 1.0]];251
10427.jpg;240;7;;;308;6;;;268;199;5;;;292;5;;;254;193;6;;;304;9;[[9.959417397410801, 4.056251353250891, -6243.358708237032], [1.5072889948735357, 8.055238041246461, -4102.508144548266], [0.00330183350366847, 0.0029813271643433477, 1.0]];[[31.2169083565488, 198.08251147235134, -186787.59244286735], [-177.42034916137567, 27.31066667809018, 154092.11215896148], [154212.12199242148, -209226.5948972083, 12046297.32515063]];349
10430.jpg;228;5;;;464;4;;;391;200;7;;;362;3;;;269;201;5;;;304;5;;;261
10499.jpg;243;4;;;342;5;;;337;219;2;;;376;5;;;282;221;5;;;310;4;;;290
10559.jpg;274;2;;;350;6;;;307;234;7;;;463;3;;;279;240;6;;;341;2;;;287
10568.jpg;283;3;;;378;6;;;303;263;4;;;374;5;;;317;285;8;[[-3.752955739209624, 3.326729597659018, 4616.60848278166], [0.2776115746531947, -0.21683968745939175, -423.91504973715826], [-0.0010585166717329588, 0.0013656810324031085, 1.0]];[[3.473016185936109e-07, 1.4596252959988241e-06, -0.0008613020392869345], [-4.7357839123154394e-07, -1.4955718496554824e-06, 0.0009025698680374327], [-0.0003558937169287152, -0.0017093475038405359, 1.0]];371;6;;;320
10639.jpg;270;5;;;444;6;;;394;288;5;;;444;6;;;385;296;3;;;438;6;;;395
10687.jpg;259;5;;;488;7;;;415;253;4;;;465;10;[[0.9648110426287515, 0.10728956524976341, 296.96450738187525], [-0.07770822871510144, 0.938997457524216, -99.98983845735987], [3.2809773016178827e-06, -2.2291183073773965e-05, 1.0]];[[-1.321285330350993e-07, -2.4278128258953347e-06, 0.0012079000230411185], [2.5490016383010002e-06, -2.757786810605494e-07, -0.003384153472151647], [-0.00153492056915157, 0.0026208006424707094, 1.0]];397;272;5;;;456;5;;;419
10709.jpg;254;5;;;497;7;;;409;271;4;;;468;2;;;417;271;6;;;482;4;;;415
10780.jpg;248;6;;;479;6;;;415;292;7;;;526;4;;;431;306;6;;;487;5;;;407
10813.jpg;262;7;;;477;5;;;416;292;6;;;492;5;;;423;302;7;;;472;6;;;411
10850.jpg;271;5;;;473;7;;;410;288;14;[[0.7453975192812737, 0.4725694283039589, -35.06781512622781], [-0.5198326572899836, 0.6883770151852503, 411.2282673195241], [2.976572198936018e-06, -5.6830314819522085e-05, 1.0]];[[2.554265195504707e-06, 3.592923241570762e-06, -0.0031706838264008376], [-3.4166113117183124e-06, 2.0989567675184084e-06, 0.0006471296027211957], [0.0004710028791309213, -0.0023819710201132076, 1.0]];440;4;;;392;319;5;;;469;3;;;397
10922.jpg;291;6;;;442;6;;;377;307;6;;;427;2;;;391;323;6;;;448;3;;;409
10943.jpg;302;4;;;470;6;;;395;303;5;;;570;7;;;459;305;5;;;395;6;;;319
10993.jpg;308;5;;;392;5;;;321;268;6;;;381;4;;;318;283;6;;;380;3;;;360
11063.jpg;266;6;;;387;5;;;349;236;6;;;533;6;;;286;265;7;;;353;5;;;291
11080.jpg;259;2;;;373;6;;;313;245;5;;;367;5;;;310;246;2;;;380;4;;;312
11132.jpg;235;6;;;377;5;;;314;204;6;;;357;6;;;296;240;2;;;367;6;;;327
11203.jpg;239;10;[[0.7982271283298825, 0.32143851174080496, -108.99075518302605], [-0.4669489251814583, 0.6364799999461825, 443.6721183064473], [3.258890080231003e-05, -0.0001384925853344861, 1.0]];[[6.645279326061867e-07, 8.971602771867309e-07, -0.001331224104294752], [-9.884551490745408e-07, 7.954784933677102e-07, 0.0015402679208015837], [-0.00029451186008521205, -0.002383022971159758, 1.0]];514;6;;;299;190;6;;;335;6;;;276;215;6;;;345;6;;;295
11215.jpg;251;12;[[0.7755753495002259, 0.28064265951827816, 176.64912803124543], [-0.452803814034492, 0.6389323336532414, 342.9182586506313], [5.337802034587345e-05, -0.00015451509787704133, 0.9999999999999999]];[[1.2693022679761239e-05, 1.8569814807121373e-05, -0.023855686563940305], [-1.8083033161554533e-05, 1.3389001673272813e-05, 0.021770012567528273], [-0.0014412432943015172, -0.03338338436976004, 12.297240856897648]];359;6;;;313;211;6;;;367;5;;;299;224;6;;;380;5;;;315
11273.jpg;231;5;;;376;6;;;333;188;5;;;375;7;;;419;220;5;;;517;6;;;377
11342.jpg;265;9;[[0.8206719807791006, 0.3510715860566525, -139.16846125389563], [-0.4605562388746947, 0.7080243249613963, 388.1967678188462], [6.244374515382761e-05, -0.00013502267521323718, 1.0]];[[6.844928518989523e-07, 6.932855832239658e-07, -0.0037531016561492556], [-1.3110353897826855e-06, 5.096266829507987e-07, -0.00021220556061208045], [0.003479829866460878, -0.001461122594870573, 1.0]];369;6;;;297;203;6;;;351;5;;;291;227;6;;;377;5;;;313
11344.jpg;263;4;;;379;6;;;312;;;;;;6;;;315;230;6;;;380;3;;;341
11411.jpg;269;6;;;410;6;;;367;209;5;;;396;6;;;448;211;5;;;459;6;;;312
11479.jpg;273;6;;;384;6;;;312;206;4;;;367;6;;;315;221;5;;;395;5;;;337
11480.jpg;275;3;;;403;5;;;340;196;7;;;367;7;;;319;244;5;;;392;5;;;341
11548.jpg;272;2;;;493;5;;;465;202;5;;;503;6;;;382;245;6;;;353;6;;;302
11618.jpg;247;7;;;345;3;;;297;182;5;;;338;6;;;295;244;3;;;367;3;;;304
11626.jpg;240;6;;;390;4;;;334;187;6;;;443;5;;;408;221;5;;;441;6;;;280
11687.jpg;270;5;;;371;4;;;296;204;6;;;346;5;;;288;262;5;;;382;6;;;311
11756.jpg;290;5;;;408;5;;;349;269;9;[[0.8869991980703397, 0.3700707410017997, -153.34417657765283], [-0.4334934517208478, 0.7468892866192061, 403.8136675503413], [6.406120378928701e-05, -8.907834616528909e-05, 1.0]];[[-4.0369020597568825, -7.57731376142438, 4293.478499634069], [6.934694675721453, -3.198788707964751, 4809.866812224733], [-3092.18917103269, -1836.8585368990882, 307474.67293795163]];382;4;;;328;250;5;;;403;5;;;348
11779.jpg;258;4;;;420;7;;;485;255;8;[[1.1737521973543263, 0.56134190293671, 20.915165602820263], [-0.34615735786127666, 0.8381035412753207, 387.6305397121879], [0.0005404251297502819, 0.00019375367562433796, 1.0]];[[8.432986048290841e-06, 1.5030189579892803e-05, -0.009539421653601613], [-1.0437581064496014e-05, 7.957276248044038e-06, -0.0018143674313953794], [0.0019934652303097876, -0.002793961633252706, 1.0]];463;7;;;300;262;5;;;345;5;;;305
