file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rotarcgis;F_rotarcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rotgoogle;F_rotgoogle;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rotgeoportal;F_rotgeoportal;time_rot_geoportal
10067.jpg;270;6;;;156;10;[[0.3341083120366576, 0.18494755683201436, 640.2589043575512], [0.04142328758492709, 0.6986305380388265, -147.57652225808937], [-0.0002522802365746335, 3.8468258368312013e-05, 1.0]];[[-2.930538404797993e-08, -6.825000365557215e-07, -0.0001252296718559845], [1.3672010116791309e-06, -3.3837568055880314e-07, -0.0002301947396142986], [0.0001022004980114102, -0.0010442194096254831, -0.20948958182650734]];140;254;4;;;151;9;[[0.5679684062276942, 0.5150835588990403, 339.3528529308277], [-0.1266876974027292, 0.8266707888225169, 19.006372648871405], [-0.00035375129118028764, 0.00026925249527407, 1.0]];[[2.2285449909413626e-06, -1.6163402405896264e-05, 0.0011701533797342286], [1.0471732265515485e-05, -3.397116777004879e-06, -0.008627745402058028], [-0.00299735775708889, 0.008520081957123317, 1.0]];143;289;9;[[1.8859763606355564, 0.2859378558468483, -1372.291903599403], [-0.23215563252910484, 0.5409628824091467, 265.0888521152984], [0.0011268760114027975, -0.0008053588714266557, 1.0]];[[7.659439705127797e-07, 1.959918741785328e-07, -0.001178587773016099], [-7.585220909233901e-07, 9.401979406085678e-07, 0.00022657701199998255], [0.0003297328263001555, -0.0017334201988872563, 1.0]];140;17;[[0.8488275542596283, -0.08529190677953757, 453.3299346577439], [-0.03488459172737316, 0.7011943193240531, 28.32235657233691], [-1.0495444718316999e-06, -0.00016783311555044746, 1.0]];[[-1.1964918465905907e-08, 3.148446268578486e-08, 0.002113621311226442], [3.2107952308189515e-07, -1.989861397396631e-07, -0.0011577424118934], [-0.0023622113031526123, 0.0013769347340234636, 1.0316445493212845]];137
10072.jpg;277;6;;;151;16;[[1.3945431594743907, 0.6722592149426182, -226.94375480967662], [-0.08000237404843119, 1.2727736383318171, -351.6707295505395], [4.219596709676462e-05, 0.00038136651519510187, 1.0]];[[9.201342777161862e-07, 1.3378929421139785e-05, -0.006832321930711883], [-1.1309343351932094e-05, 7.801834777837431e-07, 0.01742461854635339], [0.00768669302729667, -0.018121558391670428, -4.757272427074991]];140;305;3;;;246;7;;;223;317;10;[[1.3126137188339826, 1.5185693480875366, -296.176399196847], [-0.7351600991891506, 1.0910821109283355, 501.0637153672766], [0.0002559080075250788, 0.0010739547119049534, 1.0]];[[3.3524980561899023, 4.85757444154433, -2899.5003357305463], [-4.746905709806374, 2.7380204202639438, 3886.783983359503], [-2151.8800345206046, -4977.480503220737, 1903406.268595965]];140;31;[[0.8264987930454892, -0.012318136737561087, 327.1923538483997], [-0.0833489415269179, 0.783213535860615, -138.42701088852547], [-2.062738314746184e-05, -0.00010239604721860998, 0.9999999999999999]];[[1.2252872442596382e-07, 7.518081285678123e-07, 0.001955057590849412], [-4.1521609483012273e-07, 4.8394018795632906e-09, 0.00012301231059429478], [-0.0022989853634637833, 6.283492969637838e-05, 0.7763796492809629]];145
10142.jpg;292;6;;;161;43;[[0.8210039354328897, -0.015671175001095976, 227.97276116949112], [-0.0960196575276972, 0.779000412208332, -70.32348706110264], [-3.0669192299309276e-05, -9.008112240949634e-05, 1.0]];[[1.141075807922802e-08, 7.085749503778334e-07, -0.001970252895887981], [-7.761276434928119e-07, 2.050737616258201e-07, 0.002042368878946478], [0.0021408354304214396, -0.002391955348697034, -0.6540067379408278]];141;313;9;[[1.00335045468957, 0.6053829162066487, -133.99255496259485], [-0.46806752340936275, 0.8986863736206163, 418.8162127304413], [0.00027434427131189503, 0.00010725901604641882, 1.0]];[[3.4322314445296455e-06, 5.693094195841125e-06, -0.003565375481050243], [-4.686785895998602e-06, 3.7293421058891912e-06, -0.0008003693338985014], [0.00038170900378648815, -0.002200644394912618, 1.0]];154;20;[[0.753959326924554, -0.015127655285175736, 247.46357179880562], [-0.09214319408922637, 0.7327508609686625, -44.40074425909878], [-6.745376598176316e-05, -8.68504304760923e-05, 1.0]];[[1.9777435229343107e-07, 5.553407505039138e-07, 0.0014831005232199728], [-3.497692452406775e-07, 1.336805169200256e-08, 0.00016806237801357863], [-0.001961405379823302, -9.089638054831167e-05, 0.47744329632045623]];144;347;15;[[0.6749085140658041, 0.4679197539923834, -39.97756379290543], [-0.4934082104421406, 0.6374363760741187, 431.3907501734746], [-2.9015880065327836e-05, -6.285413745615584e-05, 1.0]];[[-2.2162042556637683e-05, -3.18726434395951e-05, 0.029300792546891608], [3.08356519318724e-05, -2.3809566675683183e-05, -0.011513845740875547], [4.4779504133528244e-05, 0.03447968913038178, -14.831149498944995]];140;13;[[0.8295066852870491, -0.06384239662048342, 247.60631815730997], [-0.06021348103941048, 0.6833806701481209, -27.227299885405117], [6.933215260574126e-06, -0.0001389759518512516, 1.0]];[[-5.21095753437579e-07, -6.522907125673639e-06, 0.0028730189038831955], [6.050088261893845e-06, -3.0736501539956117e-07, -0.00444729173062175], [-0.003344178608818304, 0.0040054942976942565, 1.0]];165
10189.jpg;287;14;[[0.2688715616877634, 0.30148498173538923, 415.4020320678642], [-0.4134435318671697, 0.4917626995122566, 387.45334039938115], [-0.00022123749906784545, -9.389538948352934e-05, 1.0]];[[1.1771444730994861e-06, 1.6573016314773523e-06, -0.001439610960053849], [-1.5021183520729146e-06, 1.1786004176459903e-06, 0.0012390859877101212], [-0.0006840337853925172, -0.0018632902376997354, 1.0]];160;73;[[0.8702462127498459, -0.0009136841879861379, 402.55266360051894], [-0.10149485186155548, 0.8104468247601613, -40.53243984503002], [-5.249432214641466e-06, -9.34901483145306e-05, 1.0]];[[-2.4919527489658156e-07, -2.295354851062682e-06, -0.0026696401744541838], [1.6398752645816182e-06, -1.1602902998462156e-07, -0.0013405983168490643], [0.003163497286059197, 0.0008454548328107635, -1.257814296762727]];176;301;8;[[0.692124618701821, 0.3549499202213974, 175.21636015571437], [-0.5318326446375696, 0.7165121267366908, 465.84721159794395], [-2.4733650558119455e-05, -8.182456096093085e-05, 1.0]];[[6.732797401389034e-07, 8.657957445668901e-07, -0.001789462755129813], [-9.523884898430727e-07, 7.458687561994279e-07, 0.0013534686286418391], [0.00014641475103980477, -0.0021358687228942535, 1.0]];180;27;[[0.8603958128330467, -0.04690025443138361, 406.44425105351706], [-0.09876287667572704, 0.7911600658396993, -36.4521438732241], [-8.4288837730612e-06, -0.00012041902635892859, 1.0]];[[3.529988284827865e-07, 3.2086494486662247e-06, -0.002750144246241691], [-3.170305734899361e-06, 7.992880291020369e-07, 0.006380583162144949], [0.002394255630027209, -0.00645413154129312, -1.1999845579307975]];231;345;7;;;231;19;[[0.6614707414419458, -0.16903891835338186, 587.4802002905653], [-0.17478887702224968, 0.5783327482906991, 153.08180363041188], [-8.110867739186318e-05, -9.088674792362471e-05, 1.0]];[[0.468966424892294, 5.46551179101264, -13182.789669833288], [-5.428255953654272, -0.725427987335365, -2860.2448109824454], [17192.606161806514, 9952.402694895864, -9968518.265882906]];242
10214.jpg;293;37;[[0.7226741201207014, 0.48107419650151695, 17.733938226589522], [-0.5279862925430063, 0.6720280672936463, 398.51429005200555], [3.876367930883648e-06, -6.709497616701294e-05, 1.0]];[[-2.5442963665672297e-06, -3.3636969176382997e-06, 0.0037462629666376833], [3.299062884781764e-06, -2.929111762075142e-06, -0.004207169583186044], [0.00149289773069992, 0.006492704267624658, -2.6013232077035133]];139;87;[[0.8468831649865298, -0.026429538930933055, 301.8970272933841], [-0.09826332108177523, 0.7831636654615086, -115.13203966259175], [-9.437485675254403e-06, -0.00010656978400106532, 1.0]];[[-1.572379449188983e-07, -1.2546805806161554e-06, -0.00045850493268577403], [1.1833531358709783e-06, 1.319901022938073e-07, 0.001329592805507596], [0.00016516667494505054, -0.0021260055784003726, -0.302947526029483]];145;326;8;[[2.5079909776290834, -1.8103796306777862, -375.368533562436], [-0.6873318101205789, 0.9143429265055792, 501.5868470977037], [0.0010429360230184241, -0.001630929016345127, 1.0]];[[1.0964295721056599e-06, 1.6706877976992003e-06, -0.002379430411762461], [-1.5232114736592287e-06, 7.488329447834745e-07, 0.0014064292436842926], [0.00044274795554585333, -0.0024948393678800988, 1.0]];153;39;[[0.8239399913434086, -0.06803017661908686, 326.850540097885], [-0.09274468137431528, 0.7560832009446101, -108.47094734612712], [-1.4622135928521929e-05, -0.00012259175713983628, 1.0]];[[3.8600765332129136e-07, 3.8412981012279516e-06, -0.002566042817992293], [-3.6489987235337034e-06, 7.98124373406573e-07, 0.006813228819614735], [0.0026000373118822443, -0.0074024961315546514, -1.6423946963072318]];143;375;20;[[0.7528359395182788, 0.3923091889416498, 23.488688391262336], [-0.47595425697349064, 0.6002969327491439, 396.0826227198468], [5.870585464820586e-05, -0.00016030959112644442, 1.0]];[[-7.13614427354272e-07, -1.1032462203975564e-06, 0.0003465399554272913], [7.544620867764924e-07, -1.1769357747757874e-06, -0.0023131078582407996], [0.0021060818490166227, 0.0029882395477927883, -1.2451802212965237]];141;26;[[0.876467446649176, -0.030979762699410888, 305.994115018452], [-0.0887495146351925, 0.7868033128456626, -117.02288612948654], [5.2373907933789126e-06, -0.00010155639156611543, 1.0]];[[-4.268983305764171e-09, -7.878515826754431e-08, -0.0014725367476166316], [-7.42835641920124e-08, 7.449109128761728e-08, 0.0006698225432407904], [0.0015817885074083987, -0.0008334499255974151, -0.5699549809023369]];143
10286.jpg;348;36;[[0.7502525728014251, 0.4947660720626307, -123.59686021166584], [-0.5322544675370109, 0.6695086197061136, 495.98127292315127], [2.1745765445487006e-05, -6.636655471293147e-05, 1.0]];[[4.6588183646693806e-07, 5.408031638476658e-07, -0.00220831678116621], [-6.944033020603306e-07, 3.732075395971156e-07, -0.0010067033107465841], [0.0022788221737278674, -0.0004579169966354077, 0.5087384083107933]];137;92;[[0.8823517883826723, 0.015444974186653151, 158.98529594168335], [-0.09533833366355227, 0.8300537206895887, -57.265249341253565], [-1.4144365902978269e-06, -7.719123811866144e-05, 1.0]];[[-1.6547725401948918, -15.487740351927682, 9103.507246980751], [15.159364629075299, -1.9782538471096023, -16996.362639910516], [-9110.875099943793, 17951.146247452285, 2478140.2149661146]];139;338;30;[[0.7981359267539303, 0.46576826865612153, -141.44600026592647], [-0.5339842261766693, 0.683084384178747, 496.2927797849056], [5.128444562723215e-05, -9.019867335414393e-05, 1.0]];[[8.940442306718528e-07, 1.191452016521817e-06, -0.0014064393973338266], [-1.1572752190318767e-06, 9.349820885374416e-07, 0.001041242276214189], [-0.0002946435409806104, -0.0020980661766931263, 1.0]];140;33;[[0.7935296136397446, -0.01350215745822938, 195.5174799743849], [-0.11167041266652415, 0.7904231405634857, -35.401807388046095], [-5.335394523931141e-05, -8.40444492506478e-05, 1.0]];[[-2.5081878065756656e-06, -2.205243642386748e-05, 0.002525225383220591], [2.116261772637591e-05, -1.053921329436166e-06, -0.011714706315157829], [-0.002698099041040025, 0.009762821479344614, 1.0]];141;358;18;[[0.7837818965534246, 0.46318406763257214, -128.9980397753157], [-0.5303197063977668, 0.6728067182350127, 499.2440903327489], [4.264914072696207e-05, -8.66810118219181e-05, 1.0]];[[1.089774344984791e-06, 1.437203209826544e-06, -0.002144403481505289], [-1.3938550808486908e-06, 1.2322722284628852e-06, 0.0023701722292645876], [-0.000760689102308134, -0.0039052564694768187, 1.8489922312788454]];154;7;;;208
10307.jpg;360;44;[[0.8314207842018202, 0.4851807870567072, 28.363421914464105], [-0.5375158150817515, 0.6919014924736638, 435.2788121927338], [7.205246552633785e-05, -8.890414945698043e-05, 1.0]];[[1.3649871924204383e-06, 1.8204432832184874e-06, -0.0023721796455280753], [-1.7869016908826147e-06, 1.374474125611923e-06, 0.0010650262166188053], [0.00027938048935956554, -0.0023631719152939004, 1.0]];233;98;[[0.8557582739903722, -0.003354866053785268, 349.55725672026045], [-0.09512712471047684, 0.8128138746440224, -111.84601140618383], [-9.35788853678406e-06, -9.267552674358328e-05, 1.0]];[[-8.511173577178007e-08, -6.375990477037502e-07, -0.0021096434677020806], [3.812108194887411e-07, 2.2715824694725756e-08, 0.000192651813583274], [0.002335170929165336, -0.00048596125927065234, -0.8622780341984191]];247;342;32;[[0.7992835093875416, 0.4670659804307602, 43.656522652330196], [-0.5325968764754645, 0.6829479016488257, 433.7060470146324], [4.9974821114218915e-05, -8.583068695969839e-05, 1.0]];[[2.524990965764768e-06, 3.5492866490326203e-06, -0.003294807249445233], [-3.1950251310302705e-06, 2.7472686217821535e-06, 0.004502539970451559], [-0.002321292931203768, -0.006345874799377497, 2.8869987710384155]];146;40;[[0.8772461392255286, -0.007615981208146317, 338.6227626787273], [-0.08857375015340727, 0.8170154180400814, -116.55372153946503], [2.7171700178734104e-06, -0.00010078909047193405, 1.0]];[[-3.7246427295950815e-07, -3.6232277020148656e-06, 0.0018095114467344287], [3.5700153800646617e-06, -4.1492320471904536e-07, -0.0030281746356289607], [-0.0021784312367280558, 0.0023344099330041054, 1.0]];141;331;5;;;150;16;[[0.7024847100052428, -0.09083158403359427, 421.71723514696754], [-0.0950904965404867, 0.7754958894436822, -103.466627262518], [-7.141093563939484e-05, -0.00014766940064298823, 1.0]];[[-1.254108761424855e-07, -1.939247662084779e-06, 0.0012437044994539348], [2.040624829470075e-06, -4.162326590683381e-07, -0.0034667868003035824], [-0.0014927850873197482, 0.003232859372873876, 1.0]];146
10358.jpg;400;43;[[0.8420970581526571, 0.5101923149651515, -128.60943463893045], [-0.5433847706552649, 0.7228846429311908, 432.8823341716674], [7.130279818248822e-05, -6.651037451401247e-05, 1.0]];[[1.2006665172528802e-07, -8.220981764364668e-08, -0.0020575894102938144], [-1.1337238484432968e-07, 1.3622818353053755e-07, 0.0007069704122821515], [0.001205467285412717, -0.0018509032339723297, 0.9697290571697478]];139;26;[[0.9016716737309017, 0.016585068599855812, 179.6192659055284], [-0.09544602429499005, 0.8475418270973313, -122.06934650430044], [1.3254763707757347e-05, -8.923303383681191e-05, 1.0]];[[5.616920184108775e-07, 4.921800113407139e-06, -0.0035576263657025957], [-5.009814213542878e-06, 7.82947359291111e-07, 0.0076296250647713264], [0.003702410693779422, -0.007894575106533332, -1.6922555126739383]];139;404;49;[[0.8307043395787844, 0.49675074496329213, -126.58775085590958], [-0.5366631939387673, 0.72169253777177, 427.1085032184761], [6.649021343242357e-05, -7.496071219698382e-05, 1.0]];[[1.1285681763202602e-06, 1.2871178959846698e-06, -0.0036054746403500725], [-1.4791354318362649e-06, 1.0503373060584507e-06, 0.0003288406679342492], [0.0020607270273135087, -0.0025978470785944325, 1.3641247940539178]];137;9;[[0.8871477609294307, -0.02503064131581681, 210.55334728658747], [-0.0994677104216042, 0.8042476096329011, -91.80156034591447], [3.141889248513738e-05, -0.00012317963129863021, 1.0]];[[-1.1134597338091993e-05, -6.054284162996435e-05, 0.04268222310953676], [6.797420405500527e-05, -3.395616082159828e-05, -0.06025386658592319], [-0.044281842883055686, 0.09918582599189338, 1.0]];143;349;26;[[0.8261109725904762, 0.5339998145739273, -128.75377225792585], [-0.544018642071933, 0.7384385862423206, 428.33258978885266], [6.51329758164131e-05, -5.732320256981365e-05, 1.0]];[[2.202173949907067e-06, 2.833968209877767e-06, -0.004294695477724606], [-2.929897880572972e-06, 2.4530382005918907e-06, 0.004396110287941738], [-0.0008647835530432378, -0.007087305677091497, 2.9515607900089442]];141;10;[[0.751998852672976, -0.10754958604561697, 307.64828979587173], [-0.11060563508443516, 0.7065040890490117, -28.528082628310138], [-2.5719932510493796e-05, -0.00016196233471173853, 1.0]];[[-4.837309004276416e-07, -4.244362773382858e-06, 0.0025339680565202626], [4.117378045144297e-06, -9.079088709019499e-07, -0.006769630627407877], [-0.002321088588164708, 0.007559607574079802, 1.0]];144
10427.jpg;548;102;[[0.8592277663929856, 0.5091973984999544, -261.8183074667481], [-0.5425607616882872, 0.7385328781680726, 508.9074213752091], [7.294835091131985e-05, -6.654405696848603e-05, 1.0]];[[-6.582796610187382e-07, -6.677444338994972e-07, 0.0025965263440804608], [7.957563997892048e-07, -4.7600932744452266e-07, 0.0007303983911690528], [-0.002087877596249352, 0.0009633370548053966, -1.0552399909697048]];146;11;[[0.9189869567438165, 0.02239961177200638, 49.048543862815976], [-0.09260337795145553, 0.8398314124831487, -42.9174709451684], [-1.0072829070385652e-06, -6.783013453182269e-05, 1.0]];[[-2.38590296768472e-06, -2.6486764604150973e-05, 0.007575221951785905], [2.4481331827134995e-05, -2.8996925073101415e-06, -0.015142328340018142], [-0.007934034712404165, 0.018088534366400517, 1.0]];142;599;89;[[0.8087092313649921, 0.49730378538534287, -235.62135350915497], [-0.5365050751466429, 0.716785934606225, 511.04616550668123], [4.693177840571016e-05, -6.54700107903535e-05, 1.0]];[[4.235488030052341e-07, 5.563604172123641e-07, -0.0009713384145988055], [-5.371925809612836e-07, 6.349495871623191e-07, 0.0027132646001053113], [-0.0013886733446596237, -0.0033958307701851334, 1.4480031664309638]];229;14;[[0.8625188179359646, -0.008367179773971306, 87.97762864625157], [-0.11642596611722446, 0.809299485095217, -2.61017455916753], [-3.555365385931266e-06, -0.00010567592892778217, 1.0]];[[-1.6046837690388102e-06, -1.1659796481929298e-05, 0.013536280422661173], [1.2227366876421383e-05, -1.4187739090042474e-06, -0.009929157786691442], [-0.013752978521681664, 0.011441970133332341, 1.0]];221;517;49;[[0.8272642609841341, 0.5168581644747688, -247.8612457301831], [-0.5469205238918432, 0.7403598594763175, 510.2639553772358], [6.164300826786636e-05, -6.36860822107761e-05, 1.0]];[[6.984736007070648e-07, 8.642144401965699e-07, -0.0017110693127265876], [-9.190129546595096e-07, 6.759557543973545e-07, 0.00044787829689781685], [0.000550332599635849, -0.001679728855519953, 1.0]];232;9;[[0.9582683307866922, 0.030862814333453868, 35.4983681011897], [-0.09024066436220779, 0.8527620324035008, -36.69625833439485], [4.293596924577074e-05, -9.006242855939348e-05, 1.0]];[[-1.8295395279100752e-06, -1.2961065243712891e-05, 0.012288608901293031], [1.3237167260914809e-05, -2.4122749637516546e-06, -0.018610048788887508], [-0.011002600322180955, 0.021801429753178267, 1.0]];145
10430.jpg;585;115;[[0.8461602938000592, 0.49413431629860566, -39.38261870881147], [-0.5303001387016179, 0.7251423416854708, 373.02381217086935], [7.350286086257062e-05, -6.884071120595882e-05, 1.0]];[[1.0748422119309382e-07, -2.0577789602226916e-08, -0.001357173677647791], [-1.3844257699077819e-07, 2.2624027650659907e-07, 0.0014570708661379916], [0.00018182498922522682, -0.002169231324827806, 0.8138988832937165]];140;10;[[0.977301256159357, -0.03922017097610577, 261.61915041936277], [-0.07298556207203424, 0.8210460860184349, -160.39304392926135], [6.985282980206604e-05, -0.00012664077273829145, 1.0]];[[-2.660902016741023e-07, -2.879004577934361e-06, 0.0011914896650867478], [2.776997726157701e-06, -4.1721484584406067e-07, -0.003789246481638065], [-0.0014570744398247713, 0.0037009263502051424, 1.0]];140;538;76;[[0.8090715829252645, 0.5030621126590364, -33.13769779928607], [-0.5341646868158118, 0.7215146425435088, 378.5046973795445], [4.936188136457809e-05, -5.77120162227937e-05, 1.0]];[[1.0698884021104912e-06, 1.2102977881479622e-06, -0.004354142102686868], [-1.4047132402140667e-06, 1.0886455743876012e-06, 0.001446795942057958], [0.0021034488340445673, -0.003984818445704174, 1.5883693321097856]];140;8;[[0.7750527609292966, 0.064847240219612, 260.67311836476676], [-0.15877426253826873, 0.8138482457904594, -107.88484014911866], [-9.261334088729676e-05, -3.836836074229878e-05, 1.0]];[[-3.4942903753775476e-06, -2.0060804379072306e-05, -0.0009529524590066366], [1.9716392297545925e-05, -2.342172441679992e-06, -0.011437554133117743], [0.00017861588140427064, 0.0075618356571399755, 1.0]];152;453;57;[[0.8210951157538793, 0.47712943463201, -22.24760492200793], [-0.5162196246445411, 0.7010678205008473, 376.91034162960824], [6.859880514482429e-05, -8.047434880073244e-05, 1.0]];[[5.318795597737674e-07, 4.885027565693144e-07, -0.0030196676166164386], [-6.830447174049163e-07, 5.608331634071947e-07, 0.0009541063844599402], [0.001649034470680883, -0.0027324455134091806, 1.0885803742409266]];137;5;;;163
