file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10001.jpg;77;6;;;1767;5;;;59;68;5;;;76;4;;;50;83;4;;;70;5;;;62
10067.jpg;69;5;;;78;6;;;50;71;4;;;71;5;;;52;71;5;;;65;4;;;54
10072.jpg;85;5;;;69;4;;;56;80;5;;;72;5;;;51;77;4;;;70;4;;;53
10142.jpg;92;6;;;64;2;;;76;95;5;;;83;5;;;60;95;2;;;74;7;;;50
10189.jpg;86;5;;;80;6;;;56;90;5;;;90;6;;;62;90;6;;;90;5;;;78
10214.jpg;86;5;;;100;8;[[1.9532993227511488, 0.15111608141592361, 509.19318280700435], [0.66257903192978, 3.5082872740997404, -1799.8982489432315], [0.0006671567486910202, 0.0011668257055653909, 1.0]];[[1.556048649952944e-06, 1.1736771280634071e-06, -0.0006657036846308656], [9.343525035808651e-07, -1.4311305289207607e-06, -0.00046585772638676527], [-0.002152973539132588, 0.0009252696944802438, 1.0]];60;108;6;;;99;9;[[4.431035753999316, 2.6189157681918687, -1254.624777175422], [0.0717147103582961, 2.3184183445898214, -565.7163870144536], [0.0016826296900514953, 0.0017317139751666351, 1.0]];[[3.04178609761206e-06, 9.456901874123585e-06, -0.008387806853366351], [-3.844073058649082e-06, 3.7392471362197996e-06, 0.0008104462882948943], [0.003681032260375849, -0.006427258401250017, 1.0]];66;86;4;;;98;4;;;72
10286.jpg;105;4;;;92;19;[[0.9148762769262389, 0.024886279849951086, 134.010995316245], [-0.08901608468959224, 0.834724216158425, -60.90759765823193], [8.834668594954788e-06, -7.826723138499291e-05, 1.0]];[[1.0937510771203739e-07, 6.40084345036881e-07, 0.0012570349834673364], [-4.5538892504001746e-07, -1.801175875998541e-07, -0.000962875196409229], [-0.001387457799267354, 0.0013586605036775877, 0.34469932110683665]];50;107;4;;;101;5;;;83;96;6;;;100;6;;;62
10307.jpg;98;1;;;94;16;[[0.8895582047476688, -0.09326961406256874, 359.8212106714012], [-0.0790500683477891, 0.7746102984301781, -106.98837650811451], [2.3091292088939135e-05, -0.00016142810744837236, 0.9999999999999999]];[[-8.269196682647501e-07, -7.830711726798832e-06, 0.0024869394912759384], [7.388244837743207e-06, -7.121657293083103e-07, -0.0052981927665979485], [-0.003069849390986445, 0.0036635105512996913, 1.3951376230661745]];54;97;3;;;118;14;[[0.8976744952990524, 0.02598057323480603, 325.2321905284602], [-0.08403806623029302, 0.8429475272595663, -129.013059277495], [2.1134687406171476e-06, -6.258351679595399e-05, 1.0]];[[1.500600504157817e-07, 1.7173268081307939e-06, -0.0027132301883659934], [-1.871115398083486e-06, 3.618798674573828e-07, 0.0032858256685564724], [0.002994102285630676, -0.0033021568935704985, -1.4380333380545776]];59;87;6;;;102;6;;;74
10358.jpg;102;5;;;101;18;[[0.8977132877597167, 0.052052221730988876, 178.2038388410577], [-0.09698804356398498, 0.8595688661444286, -115.39124513615813], [3.472669050049384e-06, -5.252525746420295e-05, 1.0]];[[-2.608051310582435, -24.58394478608671, 21998.04572883941], [25.437273966210338, -3.1036947870958524, -25719.657587839567], [-25256.001534255254, 25632.35407644221, 8003496.4069536505]];58;102;5;;;133;11;[[0.907292386062014, 0.04247477440454107, 167.55084672431317], [-0.09141848927958061, 0.844527420461243, -111.71356330065866], [9.76682940375802e-06, -6.861861363795856e-05, 1.0]];[[-2.8548742950682363e-07, -2.758795993843075e-06, 0.0016792597207328738], [2.6160310452734645e-06, -5.281783349737354e-07, -0.005641323785538585], [-0.001468725721549041, 0.006265850827029578, 0.912923390941567]];79;95;4;;;136;5;;;104
10427.jpg;97;3;;;122;18;[[0.9431019271450055, 0.025427205799686957, 39.95731383884994], [-0.08540993188374058, 0.8434901865441541, -33.96050940147197], [3.1030396939515944e-05, -8.770085757085823e-05, 1.0]];[[3.539247548313948e-07, 1.9143018092593748e-06, -0.004212234794752037], [-2.2315171221330327e-06, 4.1345897837123267e-07, 0.003139776408452359], [0.004147144052340561, -0.0037318138276654766, -0.27569544820911607]];90;111;5;;;163;8;[[0.8852236293595354, -0.012061592551837034, 72.14359777572415], [-0.08807147727578597, 0.7547788969163715, 11.882895998936224], [2.3943540441851188e-05, -0.00013911086319418683, 1.0]];[[4.398382005934962e-06, 3.442872642386769e-05, -0.03094157998211353], [-3.4314294261400684e-05, 1.1529442405086353e-05, 0.04994006194365081], [0.027005149751435902, -0.06804296041445318, 1.0]];100;108;5;;;210;5;;;161
10430.jpg;96;6;;;79;16;[[0.9295568900770128, 0.019219150280228962, 242.76644091320415], [-0.08475362465602053, 0.8251484804833814, -144.11479101440665], [4.025390198126621e-05, -0.00010000442886702269, 1.0]];[[-1.2848837119275423e-07, -1.174145537802038e-07, 0.002769642811460042], [4.3540550054111e-07, -9.27113749859115e-08, -0.0006759272710743082], [-0.0029404146681611745, 0.0008354384580941229, 0.8484294487957666]];44;118;4;;;89;12;[[0.8866596172275396, 0.005935926456990212, 270.7117684172731], [-0.10259126999191263, 0.8008606784736136, -114.1039296380859], [1.4954672845935986e-05, -9.414071704557526e-05, 0.9999999999999999]];[[-2.4747649698644564e-09, -5.330894485680865e-08, -0.0007306777499625429], [-6.044707684200231e-09, 2.5311012807482706e-07, 0.002307520875309192], [0.0004678128824369226, -0.0029023422557254448, -0.44385318927518713]];44;104;4;;;85;3;;;70
