file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;178;2;;;2246;220;[[1.740268265266249, -0.3695362289597729, -401.4255324870006], [0.1732797065726557, 1.7145552010348375, -931.6097456568807], [-8.239798010236844e-05, -0.0001598984005151659, 1.0]];[[3.6617577401093237e-07, -1.4767996500166652e-06, 0.004803790880993487], [1.9383488127406996e-06, 3.441224833360051e-07, -0.0008781501473567955], [-0.0035595880378434066, 0.00023435917553526274, -1.1797134594886214]];250;213;5;;;290;18;[[5.322423651490985, 0.25271770013436523, -2317.430462340164], [-0.05346396810301013, 2.8014695538254415, -1044.371862235853], [0.001373209012114346, 0.0005242722391587763, 1.0]];[[-3.9718572970408935e-07, -3.2157016306349187e-06, 0.0014130640531881426], [1.8595712866343457e-06, 7.918691646333305e-08, -0.0011553238653567914], [-0.001005782668696539, 0.0020784332493197534, -0.1485482066719167]];251;167;6;;;296;106;[[1.7897888027649125, -0.35730958443933514, -437.9201890481583], [0.18584113797902208, 1.7367209857305579, -950.1374696136243], [-6.568645811028572e-05, -0.00016110107467853617, 1.0]];[[2.351032792692278e-07, -1.3055132716160695e-06, 0.0026005752626381993], [1.3648696424280096e-06, -2.0339032175491464e-07, -0.0049924756413392245], [-0.0023048457370617075, 0.002838830458789728, 1.6338474189783097]];250
100327.jpg;254;4;;;271;5;;;257;255;4;;;274;8;[[1.6635931883739434, -0.05745918758188991, -130.35154041019152], [0.19600002243551853, 0.8083788790394977, -614.3261630088233], [0.0003841071801954876, -0.00012545075534144248, 1.0]];[[-6.289454870626464e-07, 4.323922061134067e-06, 0.0005017007504783777], [-2.915550324138892e-06, 3.041212200937872e-07, 0.003406608825408784], [0.002394885566860403, -0.004634522993708951, -2.558152334739835]];241;204;4;;;272;5;;;262
100869.jpg;257;5;;;273;5;;;281;155;5;;;301;5;;;274;162;4;;;264;4;;;316
101435.jpg;225;7;;;250;8;[[0.5731756106683084, -0.4024545578087248, 312.1792033522429], [0.10194141780094661, 0.6156871893141981, -114.65868428723657], [0.0001371853378832823, -0.0005611357150720559, 1.0]];[[-1.1776002590174895e-07, -1.0039184234091722e-06, 0.0015337380391883717], [2.7551444192625992e-06, -1.4586744477534285e-07, -0.0019003360901444677], [-0.003234802137525684, 0.0010274852171438802, 1.0]];273;416;12;[[0.9013197495563832, 0.25608594837665366, -661.3883450058008], [-0.7385185404153352, 1.00558875535538, 468.96757434938326], [-0.0005494273252523236, -1.8916631215391282e-05, 1.0]];[[7.978473430908359e-07, 2.113211867195465e-06, -0.0014422747472597657], [-1.9191005853347515e-06, 4.783335048306783e-07, 0.0004295458436127316], [0.0001686102019370208, -0.0019406883829915296, 1.0]];247;11;[[0.7017510024068223, 0.241781302680813, -233.96733376568488], [0.09515302240090373, 1.1666700405722479, -58.88345700260631], [-0.0003260530848435972, 8.807843198243282e-05, 1.0]];[[-1.6042899595215338e-06, 2.773466007314888e-06, -0.002922646773197185], [-3.473698840479111e-06, 7.682190966318135e-07, 9.602889764950872e-05], [0.004277924635901857, -0.0018576739727894566, 1.0]];237;291;8;[[0.6773712636413338, 0.06777930785704572, -417.7627587002184], [-1.4052520958068335, 1.3553064963744765, 706.9606767272804], [-0.0010830919453277109, 0.0005331919759253898, 1.0]];[[-6.227716755126893e-07, 1.350039562935262e-06, -0.0017699430047134288], [-2.6994481995619056e-07, -3.330761753700012e-07, 0.0006903971764044242], [0.00096098038531712, -0.0009926100653396537, 1.0]];242;3;;;262
101452.jpg;285;5;;;281;316;[[1.7229501163545728, -0.4013518020064436, -385.57718033684876], [0.22122102078131498, 1.6710856030997316, -1158.121961096434], [-5.2631097303983174e-05, -0.00016199710208144986, 1.0]];[[-1.629792094999537e-07, 5.719511467461001e-07, -0.0027883328038589457], [-8.737991673165542e-07, -4.5676799679610357e-07, -0.0027191672938926435], [0.0018247962381938668, 0.0017851456973717616, 2.793020841085986]];238;249;7;;;257;4;;;245;173;5;;;284;7;;;279
101987.jpg;259;7;;;247;216;[[1.8736999592876247, -0.30445725103515603, -781.4236589959479], [0.20179245581046468, 1.8625913607293565, -1225.836606324983], [-4.717850105635205e-05, -8.813663946100324e-05, 1.0]];[[8.737517058641541e-08, 1.109351800296591e-07, 0.0037447297688516564], [7.204195980253165e-08, -1.5840246298758586e-08, -0.0005666515168915746], [-0.0019354655859846355, -6.80942204391592e-05, -1.5872555468106606]];244;273;2;;;239;65;[[1.9365261081494325, -0.207968897136968, -890.993150744681], [0.1730361899687393, 1.8893630232372844, -1202.2760692531183], [-5.605264865261e-05, -3.904504510522046e-05, 1.0]];[[5.761400342459737e-07, -6.683283611139271e-06, -0.0016356904945308442], [6.458135006661305e-06, 7.298420893709725e-07, -0.00395120844712321], [-0.0034899873920614622, 0.005041619119722742, 3.1688924722779106]];257;242;5;;;278;184;[[1.8679387039235578, -0.32862876629865645, -758.6288041198388], [0.19562251025903993, 1.8461351514543414, -1207.585616990346], [-4.5813904126449445e-05, -9.137494260123674e-05, 1.0]];[[-4.25180271785206e-07, 3.120040819903037e-06, -0.0035385807551848447], [-3.267964810743311e-06, -5.128079679218829e-07, 0.0005593102622371633], [0.00393219204046685, -0.0012792484572376412, 1.4759474405157644]];239
102508.jpg;269;5;;;251;295;[[1.8896425687934477, -0.44029843952169384, -342.80450350338975], [0.30888997355535763, 1.8147747174312832, -914.2257237384849], [-2.2438594491801907e-05, -0.0001442462288447885, 1.0]];[[-1.0586697302115474e-07, 4.492414409620374e-07, -0.003005413579654061], [-6.572929647494206e-07, 1.3071886756294886e-07, 0.0037747479225492095], [0.002045569134936081, -0.0016983629241593052, -0.8482715056380644]];227;223;8;[[0.8614844203294134, -1.0654503110952966, 1309.174906074404], [0.5258900339059013, 0.484184369356833, -52.517003665051256], [-3.98764337653202e-05, 0.0004779113517256942, 1.0]];[[8.453407099196509e-07, -1.3721025029227949e-06, -0.0005342791862637934], [4.938671997181722e-07, 2.3733441326967475e-06, -0.001702331494361044], [-0.0007864303232697718, 0.00012782481711689532, 1.0]];265;8;[[0.5608292594725484, -0.8015671596387189, 807.7625143076524], [0.024431821675188713, 0.6069764214833421, -51.255103269435516], [-0.0003891140564597703, 0.0001449313030966164, 1.0]];[[4.50681280195538e-07, -4.397510865457458e-06, 0.00022392914931239783], [2.4694061341432807e-06, 4.17781651728039e-06, -0.00399972013426625], [-0.0010485243649122355, 0.002003447813051936, 1.0]];244;204;7;;;253;47;[[2.1485493575596286, -0.32154652921569143, -512.7798512932807], [0.3794683458844487, 2.0546772054106666, -1063.082058117105], [2.338460921930434e-05, -4.096137966189875e-05, 1.0]];[[3.271372222220478e-07, -1.9065897317985865e-06, 0.00015228296569204684], [1.8746495618243565e-06, 2.687532486829346e-07, -0.0022802737067391275], [-0.0012121634304436317, 0.0015107237932014974, 1.0]];255
102523.jpg;171;5;;;258;243;[[1.864788144894474, -0.33940915047548753, -540.9846268438143], [0.20719648504989543, 1.7900365257907958, -1252.197410609847], [-1.857469489247713e-05, -0.00013280055371385908, 1.0]];[[-6.228961968809572e-08, 5.2684647956455e-07, -0.00029068762324530235], [-5.462739431407223e-07, -3.557221347597658e-07, -0.00382179512322721], [0.0003102291786086017, 0.001929595378548271, 2.6121760533687075]];235;262;6;;;275;4;;;254;184;4;;;237;17;[[1.3732066972118868, -0.23275243304701057, -275.75483168981714], [0.12799791184669027, 1.5600381465181816, -1038.5132819401135], [-0.0002440075427706251, 1.4074621062061242e-05, 1.0]];[[9.235707676657609e-08, -1.5196614326853838e-06, 0.0004306998782290382], [1.465623019611571e-06, 2.8100307644978284e-07, -0.0018920394919390688], [-0.001205422874932886, 0.001323607377477401, 1.0]];242
103048.jpg;169;7;;;260;298;[[1.8269341283678149, -0.3170169530245322, -743.1916296481951], [0.17338454717032667, 1.7868492182094853, -1128.999793145028], [-4.1437211008619916e-05, -0.00011968791930949784, 1.0]];[[1.1960464505922124e-07, -6.546972276257086e-07, 0.0024723763115723943], [7.335075699157958e-07, -1.3339718392019395e-07, -0.00408219239581475], [-0.0018902033561542723, 0.002239993362233028, 1.118408175505135]];236;257;9;[[0.9831630606697335, -2.3080208732672625, 2066.7611768790075], [2.339093796434219, 1.0403017659708653, -2126.255019572997], [8.230208704092977e-05, 0.00017214110966897608, 1.0]];[[5.464596826085166e-07, -1.9570532680548705e-07, -0.0006395911864967398], [2.261426347486479e-07, 6.200772926996371e-07, -0.0006751757857250077], [-0.0006473999634785428, -0.0001819020952534476, 1.0]];303;114;[[1.8255026468821212, -0.30266251884085443, -760.224195719055], [0.17496338242932818, 1.7974325229049886, -1138.4942913358273], [-4.913696124917606e-05, -0.0001108839401842728, 1.0]];[[-2.445908356285856e-07, 1.4421766446358036e-06, -0.004960041624213245], [-1.6994814188307732e-06, -1.4316514063651808e-07, 0.0023032346307365224], [0.003642011054365023, -0.0013906695684758675, 1.2046521423302337]];247;185;5;;;262;91;[[1.8646446795381202, -0.31129527007598506, -773.9676542252039], [0.19690507533057555, 1.8352935199763332, -1182.7871891100087], [-3.9473949964820335e-05, -0.00010417271627092863, 0.9999999999999999]];[[4.263855594993179e-07, -2.9788009700323966e-06, 0.004634098671035255], [3.1295954307083853e-06, 1.598527632630439e-07, -0.006260019919069425], [-0.0046483630601032305, 0.004124471028517104, 1.321610771916919]];236
103511.jpg;268;8;[[0.7172472583373874, -0.14276901932709982, 357.1970383818878], [0.620901060490848, 1.0811543372739512, -594.5274024477621], [-0.00027748971039406005, 0.0004820462845627171, 1.0]];[[9.974061095262277e-07, -1.7736675995893485e-06, -0.001426678706146656], [1.9871635318066534e-06, 1.187894126161041e-06, -0.0019932817960610616], [-0.0006928797666180978, 0.0012816920484339757, 1.0]];247;28;[[1.8578825007251822, -0.4033884242472107, -344.43017395188986], [0.14814789168557593, 1.8152802312283158, -856.3459747348029], [-2.136578607685359e-05, -0.00018385223927572207, 1.0]];[[1.4330515746870778e-07, -1.62321224595731e-06, -0.00048065961431435127], [1.7106967085132413e-06, 1.789137195969183e-08, -0.0018906069713715463], [-0.0006655052852027389, 0.0013264754571825146, 1.0]];238;216;4;;;249;145;[[1.8953611926076452, -0.3432402844680554, -397.1994683557211], [0.16611342105185214, 1.8635884281918336, -890.9394514165792], [-3.458412883692154e-05, -0.0001250388423964554, 1.0]];[[7.303292008015404e-08, -4.0911080947365475e-07, 0.0043954715733158034], [8.295054802927702e-07, 2.5050517677767033e-07, 0.0005634511615147016], [-0.0024677800562415758, -0.0007594745309362783, -1.5329274977365999]];235;263;5;;;250;91;[[1.835174607706302, -0.2965126343130139, -374.3294823497627], [0.1503021066045678, 1.858361363775064, -875.9708353832139], [-5.971637418228446e-05, -0.00010022470214133259, 1.0]];[[-8.679794228582877e-09, 1.3191800989028234e-06, 0.0036657974095939115], [-9.16303946931658e-07, 1.8492117169922493e-07, 0.004593313708213765], [-0.0012282368880417891, -0.0031095399461127915, -3.0742575934068497]];243
103595.jpg;220;3;;;238;5;;;242;120;6;;;266;154;[[1.9080575799642465, -0.2836250784852356, -634.1248277375596], [0.18796786957270936, 1.8972882171527445, -1288.5423818054858], [-4.098557118644752e-05, -7.285339338560384e-05, 1.0]];[[1.3732701701407667e-08, 4.739261006518576e-07, 0.0036407109475436296], [-2.4136871145575146e-07, 7.76537687998813e-08, 0.002202447004220658], [-0.0014925831941116604, -0.0016249569226060433, -2.95439145477596]];233;216;5;;;252;49;[[1.714846991228946, -0.2043774655997568, -530.4129556219642], [0.1306410075186526, 1.8483053903762874, -1205.3757565981687], [-0.00011120150714540336, -2.078499972166277e-05, 1.0]];[[-2.1435096682016924e-07, 2.227076721536228e-06, -0.0009327119884081264], [-2.568387804660549e-06, -2.797542636408478e-07, -0.00264384542595793], [0.0020881472872440804, 0.0006807257563678031, 2.0060719552754724]];231
104140.jpg;207;7;;;292;66;[[2.1683446924280676, -0.25607234296211734, -1078.9189093399245], [0.21366909956026697, 2.1092134853549416, -1339.8876301510468], [7.539698593154862e-06, -3.507164601033485e-05, 1.0]];[[-4.318047016982544e-07, 4.2125605027511465e-06, 0.002855213280925273], [-4.078131830856045e-06, -4.450304409041659e-07, 0.004237300852004719], [0.0015197623660215432, -0.004231910433517661, -4.063640535416651]];240;205;6;;;251;179;[[2.0112426847975473, -0.23851765639314682, -999.7415985231435], [0.17311178326522578, 1.9865616963146109, -1231.0614564333778], [-3.236780330638147e-05, -5.383739384191546e-05, 1.0]];[[3.285755268142567e-08, 7.767707064285944e-08, 0.004275650304699637], [5.3974491347882366e-08, 8.433755188887002e-08, 0.0031220968406942455], [-0.0018876575895166166, -0.001785567267404116, -4.217719343889399]];229;114;3;;;261;6;;;256
