file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;0;0;;;800;0;;;387;0;0;;;402;0;;;401;0;0;;;407;0;;;394
100327.jpg;0;0;;;399;1;;;391;0;0;;;399;0;;;391;1;1;;;390;1;;;400
100869.jpg;0;0;;;399;0;;;394;0;0;;;391;0;;;403;1;1;;;400;1;;;386
101435.jpg;2;2;;;402;0;;;405;0;0;;;403;0;;;395;1;1;;;397;0;;;400
101452.jpg;0;0;;;403;2;;;384;0;0;;;403;1;;;401;1;1;;;401;1;;;400
101987.jpg;0;0;;;391;1;;;403;0;0;;;400;2;;;453;1;1;;;392;1;;;401
102508.jpg;0;0;;;401;1;;;412;0;0;;;403;1;;;390;1;1;;;399;0;;;408
102523.jpg;0;0;;;405;0;;;389;1;1;;;402;2;;;438;0;0;;;392;0;;;391
103048.jpg;0;0;;;391;0;;;431;0;0;;;403;3;;;396;0;0;;;392;0;;;428
103511.jpg;0;0;;;405;2;;;393;0;0;;;387;2;;;437;0;0;;;399;0;;;392
103595.jpg;0;0;;;386;3;;;440;0;0;;;384;0;;;389;0;0;;;396;0;;;467
104140.jpg;0;0;;;399;0;;;402;0;0;;;388;0;;;450;0;0;;;401;1;;;391
104599.jpg;0;0;;;392;1;;;418;0;0;;;391;2;;;398;0;0;;;382;0;;;471
104678.jpg;0;0;;;400;1;;;388;0;0;;;392;1;;;441;0;0;;;416;0;;;396
105208.jpg;0;0;;;395;0;;;406;1;1;;;402;1;;;387;0;0;;;391;1;;;408
105730.jpg;0;0;;;394;1;;;387;0;0;;;408;0;;;406;0;0;;;405;0;;;390
106061.jpg;0;0;;;405;1;;;386;1;1;;;404;0;;;403;0;0;;;403;0;;;393
106255.jpg;0;0;;;402;0;;;401;1;1;;;400;0;;;381;0;0;;;405;1;;;392
106784.jpg;1;1;;;417;0;;;381;0;0;;;390;0;;;389;0;0;;;390;1;;;432
107315.jpg;0;0;;;401;1;;;400;1;1;;;402;0;;;425;0;0;;;401;0;;;403
107836.jpg;0;0;;;394;0;;;439;0;0;;;402;0;;;391;1;1;;;403;2;;;437
108197.jpg;0;0;;;391;0;;;406;0;0;;;409;0;;;421;0;0;;;395;0;;;388
108344.jpg;0;0;;;403;1;;;427;0;0;;;404;0;;;397;0;0;;;402;0;;;390
108857.jpg;0;0;;;402;1;;;381;0;0;;;392;0;;;411;0;0;;;402;1;;;402
109388.jpg;0;0;;;395;0;;;395;0;0;;;405;0;;;397;0;0;;;401;0;;;399
109847.jpg;0;0;;;400;4;;;390;0;0;;;401;1;;;417;0;0;;;418;0;;;404
109907.jpg;0;0;;;397;2;;;385;0;0;;;403;0;;;389;0;0;;;390;1;;;456
110408.jpg;0;0;;;393;1;;;399;0;0;;;391;0;;;444;0;0;;;391;0;;;387
110923.jpg;0;0;;;391;0;;;435;1;1;;;403;0;;;388;0;0;;;390;1;;;420
111286.jpg;0;0;;;392;0;;;398;1;1;;;399;1;;;403;0;0;;;392;0;;;398
111491.jpg;0;0;;;383;0;;;421;0;0;;;401;0;;;388;0;0;;;391;1;;;411
