file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;1000;36;[[0.9095743277297734, -1.6137540280054528, 1766.3437429336363], [0.42627537968665535, 0.2627121970083854, -537.0904632596151], [0.00025473668978402643, -0.000623774204510863, 1.0]];[[-4.548382917818082e-06, 7.744843979212642e-06, 0.0038320110223997524], [-5.97854280907289e-06, -1.0522189621016389e-05, 0.010129588131886882], [0.010860319758678289, 0.006130706271828963, -15.20704576696521]];3199;838;[[1.7481030583040555, -0.3550550752654869, -416.7516935594456], [0.17302602665772593, 1.7184112954060151, -934.418896489987], [-8.198960674765955e-05, -0.000157693848752288, 1.0]];[[1.413079067250033e-07, 3.5770515216706103e-07, 0.0034592885737895294], [3.5033246438494186e-08, 1.502594751366667e-07, 0.0016938225435092788], [-0.001721150026064085, -0.0014046015673577896, -2.0434278551885825]];904;1000;9;[[0.307856004829894, -1.5538790304810317, 2166.102346470395], [0.5639771037313094, -0.42592892832808704, 430.85299915870905], [0.00017009669527590906, -0.00048454871777773635, 1.0]];[[-4.118819421021186, -66.6179588861165, 75131.89868827752], [-31.094025695506957, 43.221593785167784, 25279.628497596175], [57081.0722547481, -52237.51883071638, -73304256.0770012]];989;451;[[1.7706122495305692, -0.3677119123992508, -413.12620373115107], [0.17857070270519532, 1.7857023013795164, -985.4455253923894], [-8.0833483991755e-05, -0.00014292682923791199, 1.0]];[[2.488383825948482e-07, -1.1588212908114e-06, 0.0024610844939953335], [1.4864847160037207e-06, 3.873519846533019e-07, 0.002197925144327455], [-0.0020001393987891993, -0.0010978824986565016, -1.9709706916223526]];994;1000;105;[[0.205327810260337, -0.5716833155785508, 897.3640841283856], [0.1717718252028838, 0.27487698985588666, -550.3483307977363], [-0.0002577203735131248, -0.0002642041060277695, 1.0]];[[0.12464437861957373, -0.23398071257531772, -47.20873012959453], [0.16707320452967211, 0.06085050766157085, -299.06467128984286], [-443.8600909277574, 255.95308372367492, 531573.3361192666]];983;168;[[1.6829492801905699, -0.3409767468829016, -419.1636902788021], [0.14344832882831934, 1.5874742723062572, -848.9999365193822], [-7.582943302628065e-05, -0.0002402285887041041, 1.0]];[[8.147928443113508e-07, -8.235315261058946e-06, 0.002722231391585574], [8.605913804393275e-06, 1.6175948256592207e-06, 0.002320434651941425], [-0.005912664546589546, 0.0006817726434879518, -2.1291943255425365]];1008
100327.jpg;1000;93;[[1.9401443852565696, -2.1868157742557055, 971.9044230750987], [1.5278927801186193, 0.7585153750131244, -1552.9809837686091], [-0.0016181782638140948, 0.0011953526231916814, 1.0]];[[-2.6708547585988508e-05, 2.2926167239625692e-05, -0.012193296650815944], [7.5649101463138125e-06, -3.6868365693339173e-06, 0.017507280579619002], [0.023400204704078772, -0.02333552750269334, -5.586017002304562]];911;689;[[1.7715818752071955, -0.35567410540628164, -549.8826708014691], [0.17864732511630774, 1.7283103581720458, -1174.7010150648541], [-5.843672419785223e-05, -0.0001480233611653641, 1.0]];[[-1.1243890612817555e-07, -1.0345666539223287e-07, -0.003937504195344431], [-2.628251398714288e-07, -1.0692093986378575e-07, -0.0006082241862116102], [0.00209836223315916, 0.0008105715497787098, 2.1116868026242006]];995;1000;81;[[0.8612165008425924, -0.20461274825770995, -469.8238912989747], [0.23956148816044956, 0.11562301566748123, -204.0455305225135], [0.0004452810035735567, -0.000896210718857538, 1.0]];[[3.6160309400085424e-07, 1.4118194286154274e-06, -0.0015305569522139255], [-1.9892398060378888e-06, 8.416754919921297e-07, 0.00040872661265912557], [0.002385841460149229, -0.0026107905140220033, 1.0]];978;550;[[1.7963379659866452, -0.3389570441905966, -581.1428480588453], [0.18001492447163392, 1.7384308518247473, -1181.259413296592], [-5.3236408619777734e-05, -0.00014794759843796463, 1.0]];[[-1.68277832085771e-07, 4.63862387321109e-07, -0.003936575617332829], [-8.122226509344684e-07, -2.0686113785590036e-07, -0.0005102447065877041], [0.002465011994317272, 0.0005591854206617066, 2.0672908035425963]];1033;1000;67;[[0.9256596896008595, -0.6697366587858139, 63.95272366066186], [0.015667593398313345, 0.7465342703457404, -971.171781277373], [0.00046401920977223596, -0.0008577990775530443, 0.9999999999999999]];[[-5.257828340234079e-06, -9.233094658637548e-06, 0.011760136251497279], [1.9079223335349598e-05, 6.2410905500180165e-06, -0.009413401342665549], [-0.02396191152224579, 0.00019647017800369652, 2.0201259596208043]];901;255;[[2.2412694920653395, -0.14323163323656227, -1014.3470945902077], [0.24668924607296505, 2.2805342742152277, -1615.7314331765942], [-3.7828060474148e-05, 2.6229387105250303e-05, 1.0]];[[-2.0262746150064982e-07, 2.3181619085236976e-06, 0.000903564188046485], [-2.253463930586842e-06, -3.7917070478851524e-07, 0.005815464140738524], [0.0014159135624929114, -0.0033925971754748584, -4.241568313464827]];898
100869.jpg;1000;36;[[-0.5361920966405967, 0.9347378763548645, 1224.017298618626], [-0.16046220080598356, 0.3157330570359718, 368.81434218000345], [-0.0004572648262159281, 0.0007260209514660542, 1.0]];[[6.558343840661045e-05, -8.025717753373462e-05, -0.05060658343686669], [9.216275359054788e-05, -0.0001305459489796846, -0.06392682296327896], [-0.09613406888431218, 0.05367506472518697, 100.07146892039]];994;26;[[-0.09016663122063698, -0.9703626731340129, 1296.9416778232987], [0.42067716281767, 0.16084621776428337, -354.0140348627957], [-0.0001002224624784507, -0.0005768238460668492, 1.0]];[[3.8897095212178024e-07, 7.026283983150331e-08, -0.0004331516047824225], [3.9066145311434035e-07, 5.129213381407954e-07, -0.0006478831073869727], [-0.0007267535894151002, -0.0005275996007138748, 1.0]];891;1000;23;[[0.20281415222564855, -0.10030807490449897, 811.4284846114367], [0.1469155729492633, 0.12444596979038765, 116.77685956658172], [-8.575827467966043e-05, 4.92648531359811e-05, 1.0]];[[1.9592132734088587e-05, -3.346121034645751e-05, -0.010716690004429999], [1.022724412368161e-05, 1.883939687184846e-05, -0.01615542508360108], [-0.019993868796865343, 0.027364963331759546, 12.90936962845438]];1024;43;[[0.04729764242130956, -0.653660483268618, 872.5899996899017], [0.03175234979438879, -0.029841638780029368, 217.05240801349845], [-0.00017498130737822403, -0.00044277883863524454, 1.0]];[[-5.575601881898318e-06, 1.2546658739543595e-05, 0.0023238534788355258], [-6.904418418642919e-06, -2.842580690018226e-06, 0.010200728157587761], [0.009570032519734768, -0.020531077754185296, -4.388786211248615]];944;1000;53;[[-0.4502902330067727, 0.09551306348917991, 461.8865831505194], [-0.7698789895640172, -0.45785656462415386, 1613.04110623238], [-0.0007307736411386008, -4.3417982491816475e-05, 0.9999999999999999]];[[-0.2522623568738851, -0.9401897213105554, 1178.9572758562717], [1.2363249846006, 0.16509435095107783, -385.1183057430353], [-1368.7526547400776, 1004.1478866993912, -1014403.5274826847]];987;46;[[0.1662275215287932, -0.5243639710912924, 551.1650110223716], [0.22253487576248857, 0.3402985905662817, -608.6361946471872], [1.439745943328901e-05, -0.0006387038927292725, 1.0]];[[4.18334653085212e-07, -2.619254636481777e-07, -0.0003688993640597832], [6.234430223014459e-07, -1.2765537270723626e-08, -0.00054847212485799], [-0.0011348365438307606, 0.0004978146998858087, 1.0]];1058
101435.jpg;1000;115;[[1.694387900611683, 0.35374902044062184, -1280.281585141027], [-0.7128362977225596, 1.8555232720517465, 271.1702974744567], [-6.614131545823411e-05, -0.0002808603712872899, 1.0]];[[1.0648684029058741e-06, 2.4891388006546694e-06, -0.005080024346880102], [-3.4618059442426334e-06, 2.8821227228896687e-07, -0.0025007949844286182], [0.002567242157542454, -0.0011760678141303678, 4.03819696583074]];999;10;[[-0.00030666284764706617, -0.0008164259838344753, 37.808176116694995], [-0.4576171527695087, 0.1308290453191626, 816.6807098392585], [-0.000553429303249679, 2.7288636815924334e-05, 1.0]];[[-5.139740397887601e-07, 9.577053390680228e-07, -0.0008033563529221965], [-1.5886863814788118e-06, 5.077700653016568e-08, 0.00016971998328042868], [0.0011533403176781586, -0.0012687143009897717, 1.0]];907;1000;41;[[-14.260674822109932, 6.564488981086229, 9613.319632411749], [-1.2334130492488367, -3.148644158343609, 1658.9653552824327], [-0.00729895634802741, 0.008382492810622621, 1.0]];[[5.596013396689636e-07, -6.805796073627157e-07, -0.0011292734135892669], [-2.8061419059758133e-06, 5.882850424804557e-06, 0.004903995962437099], [0.000592600029989149, -0.0040117842438344145, -0.18486600525713692]];1075;60;[[-0.6505876213496843, 0.02100954064076061, 890.4178667963888], [-0.1096805824614112, -0.2718329913269211, 318.83548155952695], [-0.0009038720867609784, 0.0003310388361087288, 1.0]];[[2.105047878797677, 11.910379279332176, -3721.442667816358], [-89.01261931212025, 0.06376068242036581, 39418.886656711926], [52589.02062243747, -17706.608862334106, -19151565.71630627]];1002;1000;114;[[-3.3969947069928823, -0.5728141164591134, 1072.7655571806101], [-3.19574029501371, 1.2145897666949461, -250.01692423734795], [-0.003975337326330569, -0.00032677907373835177, 1.0]];[[-0.043778436355152994, -0.005674306320519684, 51.09772315739838], [-0.14460696192396438, -0.01193448845410558, 139.9457080998739], [110.95481779444037, 9.494763937054813, -108808.23289369443]];898;47;[[-0.8889773086755131, -0.1281016444814822, 984.5821891898975], [-0.04841497592062891, 0.04785311560539782, 19.06170883171413], [-0.0008556558359295807, -0.00021014754141051835, 1.0]];[[7.004302094637978e-05, -7.367154878019977e-07, -0.0702425995355659], [2.2462870533711512e-05, 2.3652553778904907e-06, -0.019598801839363682], [-0.0863723810794633, -0.0006870358159467188, 84.82271001513215]];990
101452.jpg;1000;311;[[0.49104367688144307, -1.755142049619671, 1947.191291485598], [1.6019291069189159, 0.584166881803246, -1418.4749638361425], [-0.0001534921266308602, -5.1599178681757235e-05, 0.9999999999999999]];[[6.955470003285059e-07, -7.333640642539829e-07, -0.006530674993639712], [2.5850042390868524e-07, 7.588351340484741e-07, -9.178874088157786e-05], [0.0003891083453570451, 0.0025296687266295912, 3.003343967620057]];995;821;[[1.7081882446567653, -0.40163686091346756, -378.83866345631645], [0.22199159374381797, 1.6629906742032479, -1156.6068728166908], [-5.545839158991093e-05, -0.00016393590074725162, 0.9999999999999999]];[[-2.6580685140789754e-07, 1.1241117305684363e-06, -0.003631664682194394], [-1.4716397527692415e-06, -4.2166411706543243e-07, -0.0007093450283566691], [0.0028057391717323157, 0.0006461484395090083, 1.8129203762160264]];891;1000;101;[[0.8866637200754481, -1.856031753796756, 1861.6291342991672], [1.8964501103127016, 0.1840696321260163, -1079.5898778688786], [-5.315825941725659e-05, 9.310480363494568e-05, 1.0]];[[-1.4913449522784487e-05, 6.78424364643255e-06, 0.005638215356591393], [-5.46789203181653e-07, -1.6012641743270773e-05, 0.022390370465207247], [0.01907561743139834, 0.007895507186323794, -29.820742901585213]];989;765;[[1.702350847055202, -0.40084733015963814, -376.5002910802753], [0.22164924354312077, 1.6575718827654249, -1152.9809198417336], [-6.078503196658669e-05, -0.00015993897193185933, 1.0]];[[-8.617052789379364e-08, -5.238788093375955e-07, -0.003995856169473897], [8.900288877669207e-08, 3.0766166848160857e-08, 8.392717654707431e-05], [0.001982066210355252, 0.0006296300875201418, 1.4291351261717957]];907;1000;52;[[-0.40614250293373777, -0.5510603150614736, 1268.6756953742595], [1.3018910394348846, -0.9775306048254282, 138.19665000622132], [-0.0003469125651717277, -0.0002380999528661713, 1.0]];[[1.0879952399905582e-06, 2.3192193217932632e-07, -0.0003668544627609292], [-4.129653974150138e-07, 3.7145864922157237e-07, -0.0004055024633442346], [-0.0007026820164606922, -0.0007934246806123582, 1.0]];915;720;[[1.7105723240469315, -0.4064898588255413, -378.34760300232136], [0.2230164139290768, 1.6624810262836065, -1157.3997837120419], [-5.7731027621316116e-05, -0.00016125224416543038, 0.9999999999999999]];[[2.932983096583443e-07, -3.1463401228155114e-06, -0.003009339576901989], [2.668211177992483e-06, 4.2398370832719937e-07, -0.0023490458498275843], [-0.0004785562543678502, 0.002489021933691866, 2.6314393774737255]];988
101987.jpg;1000;98;[[-1.3389259062660641, 0.7111788826438774, 740.083759331631], [-0.8502921670391483, 0.19308064876584857, 688.4124072810831], [-0.0015362575208508957, 0.0006264338383180768, 1.0]];[[0.00014075301460545668, 4.8157735390335175e-05, -0.10764496798177925], [-9.104384695021031e-05, -5.283504098510541e-05, 0.13967432752011524], [-0.07674269689333325, -0.011522714978399802, 11.09708944178385]];1004;856;[[1.8537774717235347, -0.32399385196623437, -757.7175980022222], [0.20152688303763025, 1.8219913640391263, -1203.0199782744705], [-4.379672903989871e-05, -0.00010864457301211882, 1.0]];[[1.94728546430579e-07, -1.1290903164218626e-06, 0.0031693019561781118], [1.3226125518190175e-06, 3.106171975543488e-07, 0.0013416085850579689], [-0.0023533079840455627, -0.0005311152646947497, -2.441649706523537]];986;1000;33;[[-0.15264009263272235, -0.7669098980494476, 1031.7191452144089], [0.013418749032719356, 0.30079926933098877, -347.1675622432462], [-0.00029627072901620353, -0.0006635900740939672, 1.0]];[[-1012.323394825813, -2012.9531680293949, 1043960.640096806], [-7405.7286669963505, -20496.353110167172, 7942394.107190028], [9087181.698823648, 24962127.37673022, -9735758380.299488]];918;569;[[1.852869559516618, -0.30543489680574637, -775.0835001266373], [0.20056610795478483, 1.827373393160537, -1207.9835788734147], [-5.0745807036465416e-05, -0.00010032895611225859, 1.0]];[[5.509740447402648e-07, -4.543714396664074e-06, 0.003934993600610681], [4.5681682218721335e-06, 5.425560137178168e-07, -0.002292431880433243], [-0.005007244247553134, 0.002940390573874721, -0.717324259785693]];989;1000;44;[[-1.0385624891948029, -1.5974212429866954, 1741.0150360289908], [-0.5423972666443811, -0.06170367763704386, 151.12247510473543], [-0.0009234228368888152, -0.0008852380314029033, 1.0]];[[-5.763633433684216e-07, 0.00022605511557391848, -0.12326849783140113], [-0.00016456478903256088, -4.715816048250942e-05, 0.30617439615469605], [0.1564941811806993, 0.023930536007274128, -279.6631896543437]];1021;633;[[1.8700846342108606, -0.3302193211014645, -766.1501389405265], [0.20373462578695864, 1.8339101512387557, -1213.439978169722], [-3.9859449010730316e-05, -0.0001088650558629292, 1.0]];[[-5.035082462232359e-07, 3.56973128338365e-06, -0.00488069271870336], [-3.6712582011401753e-06, -4.5235787602611236e-07, 0.0016786134093644323], [0.004908527516618152, -0.0020790866057396333, 1.5326563221107303]];1003
102508.jpg;1000;31;[[0.5370452319617127, -1.908416812792126, 1708.8664653606775], [0.5749671539293391, -1.454090841037524, 1405.405318659756], [0.00044567815541231217, -0.0011596889101733734, 1.0]];[[8.500682623652614e-07, 1.622682746630606e-07, -0.0020767790579716235], [5.107910342057251e-07, 9.484437145685023e-08, -0.0010288706123349814], [-0.0003746316130788957, -7.25420034491421e-05, 1.0]];1013;861;[[1.9330510236734373, -0.44609150982769213, -362.5742579935279], [0.3180658243466415, 1.8648211736657723, -947.5041988028148], [-1.252641361467438e-05, -0.00013592458659870114, 1.0]];[[-2.7427212812689054e-07, 1.811739758197682e-06, 0.0026879095666752363], [-1.5308003445738367e-06, -4.1282426641928637e-07, -0.0003800191989214135], [-0.0005080589226518931, -0.00046632869075994085, -0.6074271769551873]];903;1000;28;[[1.6077093245358833, -0.26021728275687867, 901.3548941662947], [-1.0003216949633489, 1.8142717376424065, -1222.9060031942201], [0.0003271429742105001, -0.00038725980694425023, 1.0]];[[0.8636312090672063, 0.8645355327247356, -1673.4697097234257], [-1.5848058173732746, 0.4322993864243169, 2951.8644012528985], [1105.5491996255978, -878.1043106821919, -2025204.5073238711]];994;759;[[1.9018517541351718, -0.4478008740245822, -354.8546433339566], [0.3063467287255041, 1.8317745005003978, -924.5423015312696], [-1.9875789599221248e-05, -0.00014660410934564484, 1.0]];[[4.1029830393918484e-07, -2.3558402617200273e-06, 0.004476694117195316], [2.6168474860716596e-06, 4.977926322787728e-07, -0.0017307609385256684], [-0.0035364791562994356, 0.0007982122456663237, -0.530535719414746]];988;1000;46;[[-0.8323896774666776, -1.5481040074908623, 1983.1217531210923], [0.06625757104939262, -0.5651373577988303, 591.1959445800585], [-0.00046672469157943913, -0.0007678944617162025, 1.0]];[[3.4651847966095526e-06, 8.685505150480989e-06, -0.007191722883911603], [-1.4074078969145777e-05, 1.3169544935387296e-05, 0.02003506975045169], [0.013223596342010037, -0.01726543829523747, -17.897994258390302]];914;847;[[1.9155568789013684, -0.45866969431141913, -348.0879640969011], [0.31266202652492087, 1.843701671104473, -933.4406199028675], [-1.4117978919057056e-05, -0.00014387609274001174, 1.0]];[[6.09005736498637e-08, -3.6371861477182455e-07, 0.0004719636529894192], [4.2025670380154514e-07, -2.0900059484399754e-07, -0.00438962200818018], [-0.000773598522649552, 0.002252999699906021, 1.871567823323561]];904
102523.jpg;1000;36;[[-0.48758675080451996, -0.7091745520690257, 1254.8414849615533], [-0.5462498952464379, -0.5116515213632302, 980.0053815401828], [-0.000415596777249544, -0.0005703998588015723, 1.0]];[[3.5900208248157614e-07, 4.6480896359056433e-07, -0.0010076541143711336], [-9.589008727435075e-08, 5.797637338350525e-07, -0.00044008026903932064], [-3.3128338380409933e-05, -0.0009431141401428935, 1.0]];1001;807;[[1.8507054671811622, -0.34208230154789443, -533.7116142359733], [0.20543676178419942, 1.7819299364299273, -1248.254176592391], [-2.3916634148651853e-05, -0.00013394089406907063, 1.0]];[[2.4492822292505725e-07, -2.1589766090309203e-06, 8.08967825926979e-05], [2.0748712823969794e-06, 5.076723876432547e-07, 0.0014109761865423376], [-0.0014171126190972256, -0.00014972140153937706, -0.956074317499211]];989;1000;21;[[1.0239093782109627, -1.2206845420758796, 1104.1627054430553], [0.15523824068969072, 0.08130327966250708, 224.68432596024905], [0.0005191135813654009, -0.0010892858764027713, 0.9999999999999999]];[[2.5041851811301445e-06, -1.5095880526813687e-05, 0.0010764906769333879], [1.1868741127438244e-05, -3.1825493911477697e-06, -0.012643931297114953], [-0.0011798714582027217, 0.0013061938978044807, 1.0]];997;766;[[1.8513043668282807, -0.3191860018604997, -554.2316570905496], [0.2058336880595284, 1.7924852991440041, -1256.1216451350833], [-2.7618683912947453e-05, -0.00012520396751279612, 1.0]];[[1.9936493049160847e-07, -1.5067090585373121e-06, 0.002501854485806519], [1.6639666128121224e-06, 4.082272758108791e-07, 0.0016726690010598127], [-0.0022896635954684887, -0.0006928842147256312, -2.1076063087647268]];992;1000;35;[[-6.050527240795516, 5.573632124922259, 778.2529430333674], [-2.9223842111784935, 1.488342201211537, 920.1037145307209], [-0.004213669163710455, 0.0032584670436741014, 1.0]];[[0.00011834103397674904, 2.168113357933009e-05, -0.18846057028776042], [-5.5727061399888975e-05, 1.6016967869216346e-05, 0.08736030375252271], [-0.03888071206989343, -0.029405085565269946, 63.09604752201436]];894;813;[[1.8603276959545447, -0.34803412836375314, -534.5806187477618], [0.20733456699859334, 1.7903106317650617, -1255.5607388800368], [-1.721878274251389e-05, -0.0001380159029293916, 1.0]];[[3.6914551719558233e-07, -3.1941841121053025e-06, 0.002215137310171102], [3.244933422837851e-06, 5.878025326407698e-07, -9.225897162953856e-05], [-0.0033273412771643667, 0.0007797620014775105, -0.8489338210379755]];993
103048.jpg;1000;66;[[0.016860372665233832, 0.03624864825346437, -70.76868127697732], [-0.142489787713522, -0.3850783194722673, 747.8132255825134], [-0.00012780923276326805, -0.0005527435788141308, 1.0]];[[0.08898461852205841, 0.16426655818227998, -135.75983538205423], [0.015816009506243844, 0.4659932010899819, -317.11573750266496], [-110.4052053866817, -888.527365630473, 627722.1740370151]];909;709;[[1.8435198522717555, -0.32324806889320024, -753.9274608489415], [0.18425596999949043, 1.7965044754180706, -1148.7279536899364], [-3.647718757494805e-05, -0.00012316025735934196, 1.0]];[[-8.639900935924883e-08, 1.6907342416386177e-08, -0.004229089315433884], [-3.195147933050428e-07, 7.397601671000542e-08, 0.0017447724273492416], [0.002372599873396467, -0.0005400371618337279, 1.1356939337022958]];1035;1000;140;[[2.2132789014324517, -0.6540960935476413, 92.62774250109557], [0.5483245137525667, 1.20831032586708, -1760.7434166370829], [0.00024370222935293648, -0.0005304237144918718, 1.0]];[[2.5417847864802923, -1.7351939206297828, -4086.0969796907593], [3.5624444163826645, -1.6819270690555292, -5943.32843257294], [-6303.709469626494, 3380.3408539885004, 10400017.212968051]];927;857;[[1.8374474745633125, -0.30277936355993895, -769.2128593028899], [0.17519547773862942, 1.8053008362456422, -1145.2188087657898], [-4.757160078645888e-05, -0.00010724600609851199, 1.0]];[[1.0221947736550494e-07, -1.91788170770813e-06, -0.002775260839908849], [1.6647819131463388e-06, 9.685959051963996e-08, -0.0033276343723432494], [0.00017992816174118416, 0.002802083729894655, 3.3709729006740585]];998;1000;53;[[-0.29837408704389856, -0.7737087424242033, 1224.8099775160501], [-0.2244596876864367, 0.38078873354821013, -313.7357223697807], [-0.0002259653035416037, -0.0006738353884538181, 1.0]];[[4.906159576576398e-05, 1.2245924778803388e-05, -0.07985068688588953], [-0.0001569922359496846, 8.244664262316263e-05, 0.22921394844109397], [0.1595106342943446, -0.0981587435726877, -229.77947625342952]];1000;713;[[1.9068776738174986, -0.34193264595029355, -792.7411764560327], [0.20555292758292246, 1.8203804424447754, -1183.6963334047498], [-1.7799495275852462e-05, -0.00013183805995026064, 0.9999999999999999]];[[2.2892122897372895e-07, -2.2049144568869203e-06, 0.0003619840653127425], [2.196964640901562e-06, 5.779496256490756e-07, 0.0026562935805368184], [-0.0014498683024047985, -0.0005560832984830393, -1.7464284818469957]];997
103511.jpg;1000;96;[[3.0371702403138983, -2.115874562312388, 1266.453588249344], [1.1247812091301637, -0.7257341001063973, 400.7312456613838], [0.0016697580748379934, -0.0013529074202321668, 1.0]];[[0.0001296241530633004, 9.05943945497199e-05, -0.29110274549780163], [-2.2029391183120735e-05, -0.0001610106054255945, 0.13796312835240931], [-0.051666700473234115, 0.19110789813047538, -22.05153197886736]];1006;367;[[1.9012413289467205, -0.3273775251179259, -402.76973654066995], [0.1814420922488605, 1.8585703048263513, -903.1464273152993], [-3.16212113177675e-05, -0.0001276383492280961, 1.0]];[[-5.2883178997292855e-08, 1.2185079389715723e-06, 0.003945870713294793], [-9.034961231284321e-07, -1.5728525073204346e-07, -4.105983977744309e-05], [-0.0014748287311977164, -0.0005901069403707698, -1.1390990485256811]];900;1000;21;[[-0.08131579527464725, -1.0718619916164687, 1734.8956528139809], [-0.029611711460051177, -0.37784182019672974, 638.7678906039714], [-0.00015762877754638664, -0.0005038504947128019, 1.0]];[[4.120172703973334, -16.798591161582728, 5393.041797218949], [0.7093090726932667, -1.0314445544396076, -475.5562935966209], [-5960.923340305741, 20115.283017023517, -4641838.645817041]];947;395;[[1.7778453581983145, -0.32401760863389517, -364.4388154115039], [0.1522869096689231, 1.737751888146892, -824.7389862433131], [-6.935254453334448e-05, -0.00015619096101318012, 1.0]];[[3.5783608946181023e-07, -2.2021763976340568e-06, 0.004761219218520988], [2.5770274992198313e-06, 4.037936765457362e-07, -0.0011807913251453569], [-0.0036986831941657194, 0.0005783936814518635, -0.8307048391159322]];919;1000;15;[[-2.3289098718961037, 0.25504916187727916, 1633.6961636207382], [-0.7366674163682773, 0.21409347552551922, 406.0815409057611], [-0.0014090620800459887, 0.0001208739142689835, 1.0]];[[3.60882948913053e-07, -2.391158763919169e-07, -0.00047337633784892436], [4.996875256829157e-07, -1.414338602578555e-07, -0.0007680876196422036], [-0.0006620125754845077, 0.00021701800066898942, 1.0]];981;289;[[1.9785041184595693, -0.31061622993879145, -444.9818114041442], [0.2376839134081446, 1.8458699257343993, -911.3826111246419], [-3.7232521452233964e-05, -7.740906207216286e-05, 1.0]];[[-3.853897604500871e-07, 2.8061941161420014e-06, -0.0018912702711309619], [-2.568582874800015e-06, -1.4357786356024924e-07, 0.007164977714247444], [0.0026225502086958774, -0.00424618523967383, -2.7074813491440497]];1070
