file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;251;6;;;1315;6;;;260;256;6;;;257;5;;;255;256;6;;;247;7;;;245
100327.jpg;285;6;;;279;5;;;272;284;6;;;261;6;;;261;262;7;;;260;6;;;264
100869.jpg;286;3;;;295;3;;;278;281;6;;;265;6;;;262;303;5;;;272;5;;;269
101435.jpg;268;6;;;269;7;;;256;;;;;;6;;;247;258;5;;;252;;;;
101452.jpg;302;7;;;280;4;;;267;274;6;;;263;5;;;262;298;7;;;257;7;;;256
101987.jpg;262;7;;;265;7;;;251;228;7;;;238;6;;;237;257;7;;;241;6;;;242
102508.jpg;243;6;;;271;7;;;252;240;6;;;252;7;;;246;;;;;;7;;;244
102523.jpg;251;6;;;275;6;;;265;244;7;;;239;5;;;246;265;7;;;250;5;;;294
103048.jpg;270;6;;;280;4;;;280;258;7;;;256;7;;;249;267;3;;;257;5;;;266
103511.jpg;292;7;;;291;5;;;282;295;5;;;276;6;;;271;321;6;;;283;6;;;273
103595.jpg;303;7;;;298;7;;;275;313;6;;;268;6;;;270;313;6;;;281;6;;;277
104140.jpg;315;6;;;265;5;;;267;303;4;;;265;4;;;261;296;7;;;274;;;;
104599.jpg;315;5;;;278;5;;;262;313;7;;;262;6;;;270;322;4;;;281;5;;;270
104678.jpg;302;6;;;278;6;;;270;304;6;;;278;7;;;271;303;6;;;286;7;;;267
105208.jpg;333;7;;;298;4;;;289;320;7;;;294;5;;;287;324;6;;;298;6;;;291
105730.jpg;331;4;;;322;6;;;312;338;5;;;304;7;;;289;338;4;;;312;5;;;305
106061.jpg;329;5;;;322;6;;;304;340;10;[[0.9184368414474299, -4.888409827171033, 5917.368903190403], [6.94676519259565, 0.9968336497569648, -4115.282095276508], [0.0023349671562372834, 6.365936471781581e-05, 1.0]];[[-11.536291018734405, -0.4375895740186291, 3622.267583943227], [-2.1298956387148658, -11.04121923398554, 8818.20269853913], [10790.258567264964, 13163.149288867298, -12870934.061180243]];291;6;;;293;355;5;;;316;5;;;318
106255.jpg;334;7;;;323;6;;;320;364;5;;;320;7;;;300;383;6;;;326;7;;;313
106784.jpg;;;;;;6;;;307;347;19;[[0.12216750501802509, -1.9026646990451759, 2259.5712829423896], [1.8305158540824789, 0.23878805586674004, -1274.858264234042], [-0.00014812588444969616, 3.757718201306751e-06, 1.0]];[[5.141247887398227e-07, -1.051333604531397e-07, -0.0008200704467729095], [6.554254208193265e-08, 4.850762759033787e-07, -0.0004513957875203929], [-0.0005271554222412807, -0.0001209182749610932, 1.0]];284;7;;;290;373;6;;;298;6;;;291
