file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;40;40;;;2428;47;;;572;36;36;;;517;48;;;715;32;32;;;472;34;;;482
100327.jpg;51;51;;;510;67;;;531;39;39;;;565;46;;;527;44;44;;;500;46;;;523
100869.jpg;49;49;;;513;49;;;515;37;37;;;521;37;;;541;32;32;;;478;32;;;485
101435.jpg;46;46;;;499;64;;;572;34;34;;;508;40;;;770;41;41;;;506;42;;;500
101452.jpg;50;50;;;602;66;;;522;30;30;;;515;49;;;529;20;20;;;554;34;;;502
101987.jpg;51;51;;;519;80;;;528;25;25;;;510;43;;;555;26;26;;;488;32;;;508
102508.jpg;62;62;;;844;61;;;591;31;31;;;508;46;;;524;14;14;;;562;23;;;487
102523.jpg;58;58;;;509;77;;;525;28;28;;;501;39;;;513;17;17;;;480;25;;;486
103048.jpg;59;59;;;531;74;;;683;26;26;;;501;36;;;511;9;9;;;471;16;;;504
103511.jpg;48;48;;;503;62;;;510;18;18;;;529;35;;;678;14;14;;;455;23;;;800
103595.jpg;48;48;;;563;61;;;623;20;20;;;478;27;;;561;9;9;;;612;14;;;475
104140.jpg;22;22;;;423;25;;;424;9;9;;;453;15;;;438;5;5;;;630;13;;;408
104599.jpg;18;18;;;536;27;;;455;7;7;;;425;11;;;444;8;8;;;426;10;;;616
104678.jpg;21;21;;;439;31;;;447;7;7;;;433;10;;;440;9;9;;;488;7;;;407
105208.jpg;19;19;;;527;25;;;428;2;2;;;698;9;;;437;20;20;;;401;6;;;462
105730.jpg;11;11;;;420;11;;;429;8;8;;;410;7;;;483;7;7;;;398;4;;;384
106061.jpg;14;14;;;416;13;;;456;9;9;;;408;10;;;496;2;2;;;394;3;;;515
106255.jpg;13;13;;;411;11;;;406;9;9;;;391;7;;;400;4;4;;;382;3;;;386
106784.jpg;30;30;;;457;30;;;445;21;21;;;416;29;;;427;14;14;;;408;5;;;404
107315.jpg;29;29;;;514;32;;;464;22;22;;;429;34;;;426;15;15;;;413;12;;;413
107836.jpg;26;26;;;471;35;;;494;22;22;;;454;33;;;455;15;15;;;435;17;;;558
108197.jpg;27;27;;;458;24;;;459;21;21;;;460;26;;;454;6;6;;;477;8;;;437
108344.jpg;19;19;;;463;31;;;466;22;22;;;474;23;;;470;6;6;;;546;12;;;451
108857.jpg;19;19;;;434;20;;;521;15;15;;;437;23;;;453;5;5;;;538;11;;;430
109388.jpg;11;11;;;432;10;;;508;15;15;;;514;16;;;448;3;3;;;417;6;;;413
109847.jpg;7;7;;;428;15;;;494;10;10;;;429;16;;;546;1;1;;;420;4;;;421
109907.jpg;12;12;;;467;12;;;513;12;12;;;439;11;;;443;4;4;;;420;3;;;432
110408.jpg;7;7;;;413;7;;;543;10;10;;;407;6;;;959;2;2;;;442;4;;;428
110923.jpg;9;9;;;421;12;;;434;9;9;;;389;10;;;395;7;7;;;424;8;;;427
111286.jpg;14;14;;;439;18;;;499;6;6;;;409;9;;;433;8;8;;;428;11;;;454
111491.jpg;14;14;;;522;13;;;453;7;7;;;414;4;;;424;5;5;;;443;13;;;611
112052.jpg;6;6;;;417;8;;;505;4;4;;;392;3;;;405;4;4;;;450;9;;;496
112535.jpg;9;9;;;419;11;;;424;8;8;;;397;3;;;407;7;7;;;435;12;;;446
112625.jpg;7;7;;;423;8;;;437;2;2;;;397;4;;;414;9;9;;;688;12;;;458
113174.jpg;9;9;;;427;11;;;433;5;5;;;411;9;;;420;8;8;;;649;13;;;482
113615.jpg;7;7;;;422;9;;;428;3;3;;;405;5;;;543;12;12;;;452;9;;;481
113891.jpg;10;10;;;398;9;;;408;5;5;;;394;7;;;461;16;16;;;459;9;;;455
114160.jpg;7;7;;;392;4;;;400;4;4;;;537;7;;;433;7;7;;;433;9;;;425
114629.jpg;6;6;;;417;4;;;422;2;2;;;428;3;;;710;7;7;;;491;4;;;465
114671.jpg;8;8;;;455;7;;;431;7;7;;;420;5;;;424;9;9;;;827;3;;;472
115271.jpg;5;5;;;441;4;;;425;7;7;;;410;6;;;454;10;10;;;448;1;;;461
115561.jpg;5;5;;;450;6;;;437;4;4;;;428;9;;;514;11;11;;;468;6;;;477
115819.jpg;4;4;;;412;3;;;535;5;5;;;414;6;;;496;5;5;;;488;7;;;723
116366.jpg;5;5;;;406;3;;;420;4;4;;;418;0;;;418;4;4;;;566;4;;;457
116395.jpg;3;3;;;412;6;;;418;5;5;;;487;5;;;418;3;3;;;440;2;;;435
116933.jpg;4;4;;;390;5;;;396;6;6;;;382;6;;;391;2;2;;;400;0;;;395
117449.jpg;4;4;;;361;5;;;367;3;3;;;399;6;;;372;1;1;;;390;5;;;778
117710.jpg;5;5;;;381;5;;;369;3;3;;;360;6;;;370;0;0;;;340;2;;;356
117955.jpg;2;2;;;345;4;;;342;6;6;;;337;6;;;356;6;6;;;335;1;;;347
118475.jpg;3;3;;;356;4;;;374;6;6;;;353;2;;;392;4;4;;;367;5;;;392
118753.jpg;1;1;;;405;8;;;443;4;4;;;418;9;;;429;7;7;;;393;8;;;416
119009.jpg;2;2;;;403;3;;;421;7;7;;;524;11;;;518;4;4;;;411;6;;;419
119515.jpg;6;6;;;396;9;;;427;6;6;;;423;13;;;1001;7;7;;;499;9;;;526
119696.jpg;6;6;;;492;5;;;424;3;3;;;413;6;;;470;5;5;;;525;8;;;459
120014.jpg;10;10;;;405;9;;;414;6;6;;;406;9;;;434;11;11;;;398;8;;;565
120514.jpg;9;9;;;423;9;;;470;5;5;;;404;9;;;420;18;18;;;400;13;;;409
120692.jpg;11;11;;;403;13;;;507;5;5;;;401;8;;;413;21;21;;;425;12;;;559
120989.jpg;8;8;;;430;8;;;420;14;14;;;492;10;;;477;19;19;;;410;22;;;486
121462.jpg;5;5;;;411;6;;;536;5;5;;;388;4;;;414;11;11;;;631;11;;;417
121937.jpg;9;9;;;619;7;;;424;3;3;;;402;4;;;409;13;13;;;482;10;;;435
122293.jpg;14;14;;;406;8;;;490;6;6;;;473;1;;;392;12;12;;;435;9;;;403
122405.jpg;8;8;;;379;11;;;394;4;4;;;371;2;;;387;12;12;;;389;14;;;391
122881.jpg;9;9;;;403;9;;;413;8;8;;;453;6;;;449;14;14;;;407;9;;;409
123371.jpg;3;3;;;442;6;;;401;3;3;;;441;2;;;416;6;6;;;468;5;;;461
123854.jpg;4;4;;;384;5;;;418;0;0;;;371;2;;;377;5;5;;;447;3;;;377
124205.jpg;4;4;;;362;3;;;371;0;0;;;360;2;;;482;4;4;;;455;4;;;365
124364.jpg;5;5;;;404;7;;;394;1;1;;;359;0;;;369;2;2;;;404;4;;;388
124880.jpg;7;7;;;585;8;;;516;3;3;;;410;2;;;401;7;7;;;415;2;;;423
125155.jpg;8;8;;;573;8;;;429;4;4;;;395;0;;;388;7;7;;;407;4;;;409
125157.jpg;7;7;;;699;7;;;416;5;5;;;401;5;;;426;6;6;;;396;6;;;397
125399.jpg;12;12;;;385;14;;;403;1;1;;;427;6;;;377;7;7;;;394;9;;;399
125596.jpg;30;30;;;563;36;;;485;17;17;;;408;16;;;413;25;25;;;424;27;;;435
125768.jpg;19;19;;;486;18;;;490;11;11;;;385;14;;;399;13;13;;;437;15;;;443
126014.jpg;30;30;;;471;28;;;560;19;19;;;410;18;;;417;24;24;;;447;22;;;441
126022.jpg;34;34;;;482;34;;;573;15;15;;;397;18;;;417;30;30;;;449;29;;;439
126260.jpg;49;49;;;716;46;;;500;14;14;;;744;21;;;456;37;37;;;440;32;;;446
126505.jpg;53;53;;;520;48;;;502;13;13;;;471;22;;;463;33;33;;;457;35;;;459
126619.jpg;48;48;;;485;50;;;499;15;15;;;446;13;;;719;32;32;;;542;35;;;669
126746.jpg;53;53;;;517;59;;;526;20;20;;;450;27;;;463;36;36;;;474;44;;;502
126989.jpg;46;46;;;477;45;;;492;14;14;;;435;20;;;451;43;43;;;467;36;;;491
127150.jpg;42;42;;;573;48;;;715;17;17;;;450;26;;;589;40;40;;;516;47;;;517
127232.jpg;46;46;;;494;51;;;507;11;11;;;488;27;;;626;42;42;;;510;62;;;508
127477.jpg;55;55;;;516;45;;;555;16;16;;;429;27;;;493;50;50;;;487;56;;;488
127666.jpg;38;38;;;455;47;;;472;11;11;;;523;10;;;422;35;35;;;481;44;;;476
127723.jpg;38;38;;;461;39;;;481;12;12;;;400;11;;;422;37;37;;;474;40;;;639
127967.jpg;34;34;;;481;35;;;474;11;11;;;408;8;;;416;37;37;;;469;29;;;595
128210.jpg;47;47;;;485;42;;;506;12;12;;;431;11;;;442;37;37;;;474;34;;;469
128240.jpg;38;38;;;451;27;;;546;11;11;;;431;3;;;427;32;32;;;470;40;;;474
128449.jpg;19;19;;;620;19;;;470;2;2;;;411;1;;;409;11;11;;;445;11;;;477
128683.jpg;10;10;;;476;15;;;456;2;2;;;389;4;;;410;12;12;;;449;21;;;531
128864.jpg;21;21;;;468;25;;;518;4;4;;;430;4;;;467;26;26;;;467;25;;;476
128918.jpg;31;31;;;550;26;;;572;6;6;;;510;7;;;826;27;27;;;522;31;;;464
129163.jpg;24;24;;;491;25;;;497;7;7;;;439;11;;;437;19;19;;;825;26;;;485
129409.jpg;16;16;;;465;15;;;501;3;3;;;404;7;;;423;14;14;;;453;13;;;474
129413.jpg;17;17;;;458;19;;;677;3;3;;;508;9;;;552;20;20;;;618;13;;;443
129659.jpg;9;9;;;445;5;;;534;5;5;;;391;5;;;390;9;9;;;482;8;;;430
129901.jpg;2;2;;;413;2;;;412;2;2;;;355;2;;;381;2;2;;;370;2;;;386
130011.jpg;4;4;;;413;4;;;413;6;6;;;416;6;;;398;7;7;;;542;7;;;529
130082.jpg;8;8;;;738;6;;;417;4;4;;;393;8;;;394;8;8;;;402;8;;;401
130172.jpg;10;10;;;410;7;;;407;9;9;;;380;10;;;398;9;9;;;383;7;;;395
130205.jpg;7;7;;;378;8;;;651;7;7;;;349;6;;;357;6;6;;;460;7;;;390
130330.jpg;9;9;;;364;7;;;841;4;4;;;367;5;;;375;6;6;;;381;4;;;375
130450.jpg;6;6;;;475;3;;;385;5;5;;;364;7;;;379;6;6;;;378;3;;;373
130579.jpg;4;4;;;473;4;;;390;4;4;;;388;2;;;363;5;5;;;369;6;;;366
