file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;20;2;;;1776;45;[[1.7945883861590917, -0.3506987547437326, -433.03899932405324], [0.20096286755711498, 1.8081796152301137, -991.3961070299314], [-9.579500823728587e-05, -0.00010237323236313969, 1.0]];[[-1.1071120704200071e-06, 8.160753178138548e-06, -0.00397018680437312], [-8.479423520630185e-06, -1.6289386530348805e-06, -0.0008755507882110582], [0.006621130701641385, -0.0011738744917092737, 1.8099459251323515]];90;20;5;;;79;4;;;72;16;5;;;78;13;[[2.2051752947074847, -0.35031609290193805, -636.9040941272333], [0.535356784511129, 2.0094558896214707, -1281.8298499189307], [8.261613642386227e-05, -7.93268626816542e-05, 1.0]];[[5.050328986485574e-06, -2.0061421627700814e-05, 0.015853282890428692], [1.9774387434778745e-05, 2.5340519966491486e-06, -0.007225060672460637], [-0.020792381601761955, 0.008394953570329787, -1.8549198008927261]];96
100327.jpg;3;3;;;85;4;;;167;11;5;;;73;4;;;72;11;4;;;72;5;;;184
100869.jpg;20;5;;;86;5;;;70;5;4;;;86;4;;;74;22;5;;;105;5;;;88
101435.jpg;6;4;;;86;4;;;66;21;5;;;101;5;;;71;13;5;;;81;3;;;74
101452.jpg;18;5;;;105;6;;;77;7;4;;;92;16;[[1.0026037966760248, -0.4286113790732123, 118.62364444360783], [0.17945370086889834, 1.1538560170264616, -813.456451172522], [-0.00020578618120413485, -0.00021635407532942175, 1.0]];[[-9.135157163168287e-07, -1.5737947787442897e-06, -0.0037883017185045345], [8.901000276335113e-07, 8.670301338288018e-07, 0.002107341150050971], [0.003323442176309772, -0.0005515877549081194, -1.1365081845493314]];80;32;9;[[0.34055355808586496, -1.4513946615907156, 1672.3699348659848], [1.2748608280351013, 0.48925891397129867, -1118.9589086090916], [-0.00028100154552272965, -5.577911899925477e-05, 1.0]];[[6.012864599659629e-07, -2.3379822658629811e-07, -0.0002333666112439157], [2.1596372275142192e-07, 5.356657011811273e-07, -0.0007329398596358889], [-0.0008351118610436201, -0.0003204680299569028, 1.0]];110;5;;;79
101987.jpg;11;5;;;85;6;;;97;5;5;;;88;27;[[1.5835294262144037, -0.2930487213144349, -557.1847797567546], [0.1505035761947635, 1.686751597160964, -1068.5076610989267], [-0.0001142609422390541, -9.08176593502477e-05, 1.0]];[[2.13447245931685e-07, -4.698584991160822e-06, -0.003267501774745384], [4.232022596286065e-06, 2.943466435779359e-07, -0.00830341847031428], [-0.001210442248494685, 0.0066317738671572615, 6.433943425041045]];85;13;5;;;102;4;;;209
102508.jpg;10;4;;;95;5;;;71;20;5;;;94;4;;;100;22;5;;;87;5;;;68
102523.jpg;8;4;;;81;6;;;65;12;4;;;82;4;;;71;19;5;;;88;3;;;75
103048.jpg;19;5;;;91;5;;;92;19;4;;;90;4;;;69;5;4;;;101;4;;;66
103511.jpg;23;5;;;104;7;;;88;26;5;;;102;5;;;72;15;5;;;87;6;;;82
103595.jpg;23;5;;;81;6;;;77;25;5;;;89;4;;;114;6;4;;;88;5;;;75
104140.jpg;24;5;;;99;7;;;91;17;4;;;101;4;;;72;10;4;;;85;4;;;95
104599.jpg;22;6;;;86;4;;;98;24;5;;;88;4;;;89;25;5;;;98;6;;;68
104678.jpg;24;4;;;107;5;;;86;28;3;;;94;5;;;110;21;4;;;93;5;;;73
105208.jpg;49;2;;;165;3;;;108;8;4;;;99;5;;;118;32;5;;;106;6;;;102
105730.jpg;28;4;;;118;16;[[1.8075024966781417, -0.2941381975598003, -875.7659677770124], [0.1717267714559357, 1.7852751015026236, -1143.6322303930915], [-7.165069560322542e-05, -7.475196822416999e-05, 1.0]];[[4.837789953451605e-07, -3.693596861570122e-06, 0.005495770017035819], [3.4909783877512854e-06, 4.350658025177313e-07, -0.0072017342845481225], [-0.005316529748821777, 0.005099530042562013, 1.0]];94;12;4;;;83;4;;;83;4;4;;;89;4;;;96
106061.jpg;20;4;;;83;18;[[2.2775982520789695, -0.35205903304692504, -673.4837159117418], [0.2543483883024519, 2.1635190546235825, -1181.725233901156], [3.363210807677224e-05, -4.048163283084645e-06, 1.0]];[[3.555253234487573e-07, -2.9636212130475923e-06, -0.0030128652355028217], [2.7359214075589204e-06, 4.899507260780797e-07, -0.0005203394688438391], [-0.00019109569087277098, 0.0013311106799150836, 1.3646754639836616]];97;34;6;;;82;4;;;122;41;4;;;113;4;;;87
106255.jpg;31;4;;;110;4;;;142;39;4;;;140;4;;;140;22;5;;;101;12;[[5.977911719626702, 1.1698039860387797, -3783.1717403482517], [0.9191124669788976, 6.031822643143742, -4424.147788492361], [0.00037007429898823924, 0.0017355490443059318, 0.9999999999999999]];[[1.9600971202113006e-07, -1.154363953916468e-06, -0.00014736510837998998], [1.2397433853813564e-06, 1.9042998580649145e-07, -0.001399611655573551], [-0.0009483996282192788, 0.0009871615285687381, 1.0]];98
106784.jpg;7;4;;;97;8;[[-1.5746319229343952, -0.8426708699347074, 1905.3227973206774], [-0.5050993225172205, -1.4402660345241867, 1502.4884827412616], [-0.0006292013049606425, -0.0008842823703643238, 0.9999999999999999]];[[3.470276423869229e-08, 1.2095248906747832e-06, -0.0011024223219825379], [-5.76042325620362e-07, 5.11126480185217e-07, -0.00016945245252083683], [0.0005754667672953614, -0.0014366662165157269, 1.0]];83;28;3;;;107;5;;;64;13;4;;;92;6;;;99
107315.jpg;15;4;;;83;4;;;60;31;5;;;100;4;;;71;14;4;;;82;4;;;69
107836.jpg;19;5;;;103;4;;;84;21;5;;;103;4;;;79;11;4;;;101;5;;;68
108197.jpg;14;3;;;91;4;;;68;18;5;;;91;4;;;72;5;4;;;77;4;;;65
108344.jpg;17;5;;;86;5;;;65;18;4;;;124;4;;;68;12;4;;;75;3;;;67
108857.jpg;31;6;;;91;6;;;94;11;5;;;87;5;;;69;21;5;;;85;7;;;71
109388.jpg;42;5;;;144;22;[[1.6716898542824357, -0.27132434444257075, -775.3384010973256], [0.18116393443859005, 1.7023045414060154, -1149.8455963223278], [-0.00010562635681500569, -0.00011347738523468208, 1.0]];[[0.8871000380916974, -6.752913994311278, 3896.861440471199], [6.718893322282089, 0.7460461677482891, -6962.376041552337], [-6920.265800273091, 6479.64127169649, 2076130.048658329]];93;33;6;;;100;2;;;127;29;3;;;205;6;;;105
109847.jpg;29;4;;;129;67;[[1.8486443381197328, -0.36309618122241066, -413.48242807045807], [0.15071723293265374, 1.7655236438068036, -774.4802445948789], [-2.5087265158663485e-05, -0.00018108064187204127, 1.0]];[[7.286052534742105e-08, -1.4353473555064846e-06, -0.002956138204972548], [1.07193636573124e-06, -6.578573021151451e-08, -0.00281583136341721], [0.0008647964042077564, 0.0021917857809957107, 2.065822191719603]];91;20;4;;;131;7;;;80;34;4;;;144;6;;;84
109907.jpg;35;4;;;118;75;[[1.8600873026756033, -0.3441588805452571, -515.8446759321401], [0.1982922941165461, 1.7664089830115928, -1208.6469617979924], [-3.1381616527124204e-05, -0.00011463369924260929, 1.0]];[[1.1600393597804975e-07, -1.8910807787167503e-06, -0.002999510840138036], [1.5553856346478813e-06, 6.316894260298485e-08, -0.004029364673520299], [0.00021806048153128873, 0.0030368396627232595, 3.745960388945711]];80;21;5;;;89;63;[[1.8535531864287624, -0.33307676970115785, -520.0913170335385], [0.2188143085499306, 1.8362848251037391, -1279.3764948187456], [-3.94061227880694e-05, -0.00010701822282167825, 1.0]];[[-1.4763815806087957e-07, 8.078392416070827e-07, -0.00367363038901346], [-9.486884491162468e-07, 1.1484472587425585e-08, 0.0037149876355744996], [0.0026423378754576636, -0.001814094814950116, -0.9469067141699645]];84;18;4;;;90;11;[[0.9063203160638593, -0.24787132031207193, -169.87863159567857], [-0.03609562638741414, 0.7842045613903256, -423.65409787819686], [-0.0003703911292615461, -0.0003516279845984595, 1.0]];[[1.175008029088609e-06, -9.61258343883184e-06, 0.003932604810529568], [9.04106730075846e-06, 1.2294867642609214e-06, -0.004053766306271252], [-0.008370755112283457, 0.004895031396137192, 1.0]];83
110408.jpg;18;5;;;92;3;;;122;31;5;;;132;3;;;150;15;4;;;81;5;;;66
110923.jpg;27;5;;;108;53;[[1.5855430313499783, -0.3991965705182125, -645.536467273177], [0.1351616519493917, 1.4786962976274591, -854.5553396987375], [-5.3459826305993434e-05, -0.00025151834868752016, 1.0]];[[-1.47584673145154e-07, -2.474498505355187e-07, -0.004722036558519553], [-5.819566367047794e-07, -1.3902291279230592e-07, 0.0001385112406079856], [0.0028508031538643404, 0.0008212528221324984, 2.4652491122215365]];85;15;4;;;79;77;[[1.6747602210832317, -0.3790909418694106, -719.7801872002775], [0.12857324078440746, 1.5939068475366018, -909.0406272129056], [-4.806836336594207e-05, -0.00020840812634670752, 1.0]];[[-1.6364230724524278e-07, 8.221563701240587e-07, -0.0044522125894359875], [-1.2628103298611787e-06, 8.513493895094287e-08, 0.0031151716923042356], [0.003105980574514636, -0.0016262788436760263, 0.820336241905415]];80;16;4;;;101;9;[[2.0480299154893338, -0.19161341536491894, -1054.4268541762385], [0.12245902450847237, 1.784094951250492, -969.9679919227569], [-1.5637930325989e-05, 1.3767129704947118e-05, 1.0]];[[-1.41158975494444e-07, 1.6926318113901965e-06, -0.004102854325920103], [-1.4113125896673952e-06, -1.8381045996773003e-07, 0.0025922885285104332], [0.0028684689875476924, -0.002085294314579032, 1.0]];76
