file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
100102.jpg;184;7;;;2006;20;[[1.7241154482205256, -0.35130711821503147, -407.27391339188136], [0.14681544212545014, 1.6884247427208467, -890.6681825463238], [-0.00010181524571221007, -0.00014022717308877341, 1.0]];[[3.0838552565638906e-08, -3.6799619867231246e-06, -0.0033241762043181825], [3.1129037235408173e-06, 3.6459016769642205e-07, -0.003780757427451857], [6.035908677758749e-05, 0.0033917256199916933, 2.9466991577572474]];128;204;5;;;131;14;[[0.928484976608052, 0.12147881550256678, -118.9410059874617], [0.003878466774408916, 1.0472990310194348, -477.4847213438655], [-0.00039931329897847955, 0.00015177478451336362, 1.0]];[[1.3449056298249042e-06, -4.471019323972116e-06, 0.003381295699031283], [3.285822384763791e-06, 3.0189307257643555e-08, -0.0026632521354063854], [-0.005337620918096611, 0.003286176297874472, 1.0]];126;219;6;;;148;12;[[1.470785778165803, -0.3265604888105482, -327.10052105538904], [0.25183481569674065, 1.2842386931749417, -747.7132645976878], [-0.00020876092964621613, -0.00020995096166213624, 1.0]];[[1.0061176209663543e-05, -4.5258697069198485e-05, 0.032262154133861035], [4.499827823697761e-05, 5.654528962800125e-06, -0.02312534904843567], [-0.0457376459407682, 0.022223116415295795, 1.0]];130
100327.jpg;267;6;;;137;7;;;128;205;3;;;134;4;;;136;250;6;;;135;10;[[2.478744772166617, -0.5734941602378916, -785.1132615305577], [0.2878705912000314, 2.1561749808705355, -1520.5980773286235], [0.0003170880805836539, -0.00027148849499233885, 1.0]];[[3.7383711414786006e-07, -5.760144192208505e-06, 0.003166401444371199], [5.5766975120633206e-06, 7.617185490018492e-07, -0.0039082608299620125], [-0.00520852369263073, 0.0037807831525094615, 1.0]];121
100869.jpg;258;5;;;131;5;;;130;215;3;;;131;3;;;134;235;6;;;140;6;;;131
101435.jpg;190;7;;;134;6;;;136;215;6;;;135;4;;;143;279;5;;;130;5;;;142
101452.jpg;217;3;;;139;22;[[1.7311363156760877, -0.3956482809952122, -391.250232535412], [0.1920006231133681, 1.7168145609269134, -1169.4622627815552], [-5.825292628997458e-05, -0.0001506780225619796, 1.0]];[[-6.035184348357117e-07, 1.0185978501241493e-05, 0.0007859365641852984], [-9.937530982559755e-06, -9.763843235461108e-07, 0.00900983742940366], [0.006378790269972071, -0.007897479510720971, -5.981964137484226]];133;206;5;;;142;11;[[1.413485757960095, -0.06197520334350309, -397.53300010934004], [0.6558847234693522, 1.5419649093785994, -1454.925326937109], [-0.0003774626002262991, 0.00018092567960441942, 1.0]];[[15.215870584606577, -20.447071013972494, 15372.912011719425], [25.098599603407518, 2.4785490303844124, 1937.6715462254037], [-36612.6947472702, -56.26393542625101, -5128950.2129790075]];133;228;7;;;137;3;;;147
101987.jpg;234;5;;;141;3;;;141;215;5;;;139;3;;;143;247;9;[[7.811818774377805, -0.18525971526450524, -3931.327445887632], [1.259882059936451, 1.6988823418028123, 313.7790866198182], [0.0018101463104568994, -8.896535550827916e-05, 1.0]];[[9.178190537374796e-08, 1.163521143055727e-06, -0.0010967433828644707], [-4.158747573804112e-07, 6.23781463545546e-08, 0.0006707866450493644], [7.973000048841325e-05, -0.0014124891794494512, 1.0]];136;6;;;130
102508.jpg;281;2;;;139;29;[[2.10253212759623, -0.2634685433517217, -512.7753038370375], [0.3672551857529045, 2.1032127588479717, -1086.6346814622075], [-3.5795873522750354e-05, 4.649738604588567e-05, 1.0]];[[-1.540385893308343e-06, 8.464384266531024e-06, -0.0009547798275002745], [-8.309482873606029e-06, -9.413354115286351e-07, 0.007779449755280653], [0.005451591822959761, -0.005761794397868948, -3.333858456798785]];135;254;7;;;137;3;;;136;272;3;;;144;11;[[2.920485963707708, 2.1719385090608108, -1866.3145070130718], [0.32437866008258687, 2.854333552483732, -1081.6188407560098], [-8.750278755489393e-05, 0.0011554165929293912, 0.9999999999999999]];[[1.8417571407426585e-07, -2.6437607779411247e-06, -0.00044525413422830964], [2.7667848730821834e-06, -1.1510095555180118e-06, -0.002358877583470646], [-0.0008992066764196588, 0.002452536930821996, 1.0]];131
102523.jpg;266;7;;;132;25;[[1.8584242446330752, -0.3517798292960303, -533.7842612794599], [0.22911293129836013, 1.753119318047268, -1254.2265561156223], [-8.516704215442165e-06, -0.00015675625166801084, 1.0]];[[1.089442719271542e-06, -8.935896886804711e-06, 0.0044826491884895625], [8.835637885954169e-06, 3.572226938289528e-07, -0.016408129369044882], [-0.009328539592045016, 0.011195963656609435, 8.938979479209408]];126;236;4;;;135;5;;;129;283;6;;;138;12;[[4.572353457771305, -1.44710653378939, -1773.6611092174937], [1.0857405589599918, 2.4529682941918547, -2463.7909579516167], [0.00122449027832063, -0.001105624379387629, 0.9999999999999999]];[[-1.6182262006295663e-07, -7.817163977759705e-06, 0.007903682646567507], [8.500275057520714e-06, 8.649704815770355e-07, -0.009447986684090462], [-0.008427953264555083, 0.006449504718135014, 2.13250038811179]];133
103048.jpg;176;6;;;134;65;[[1.8003368315148165, -0.31973367218728305, -733.3979450649831], [0.18180086713277882, 1.763907926691407, -1131.0467254405514], [-4.847795420250422e-05, -0.00013401217592485666, 1.0]];[[-1.135767350916441e-06, 1.0067055241054966e-05, -0.00535076003306228], [-1.0150237361221467e-05, -7.105799016142562e-07, 0.015507268419268009], [0.009945840206698768, -0.011889487916909176, -6.405605329824057]];123;192;6;;;136;38;[[1.775086809199814, -0.29496898044469677, -737.133198174068], [0.15430992449984768, 1.7408545444766055, -1084.4519180105515], [-6.280518177226793e-05, -0.00012097161262864689, 0.9999999999999999]];[[-1.7696784146201738e-07, 4.443141171972846e-06, 0.0031865738120830985], [-3.86089641485706e-06, -3.1596664550907596e-07, 0.004892706106497293], [0.0008339653639725717, -0.004923539950129792, -4.374131114898485]];128;205;5;;;138;39;[[1.8224184708360018, -0.3533287420022132, -730.3737702067955], [0.20689992166632343, 1.7699274151866422, -1158.585651982583], [-3.146865026525323e-05, -0.00015494862147430848, 1.0]];[[7.534109817140942e-08, 5.110538957083678e-07, 0.003961347697424293], [-1.3722454879274307e-07, -3.216505102729091e-07, -0.002795144167974982], [-0.0020900368843853887, 0.0009222019695219315, -0.3354239778060055]];132
103511.jpg;242;5;;;163;41;[[1.8663006950926517, -0.3158930800872755, -393.31735312074073], [0.1741029181836777, 1.8380469500395926, -886.6935284709724], [-5.1126201690301116e-05, -0.00012089842145004741, 1.0]];[[-5.737882516177752e-07, 4.570713632556995e-06, -0.006430291694148754], [-4.824317146899845e-06, -4.81998526490754e-07, 0.005679433722191805], [0.0057594394018390255, -0.0033645346861884396, -0.7309839073326918]];125;237;4;;;138;50;[[1.91345617559507, -0.30804753804453855, -426.7675779049896], [0.16512780021092902, 1.8975523075302212, -904.0409751301712], [-4.0384099434896736e-05, -0.0001056422362101897, 1.0]];[[-2.8095791983571316e-07, 2.2660619429390406e-06, -0.005193087302495821], [-2.472752896307882e-06, -2.0622599425855944e-07, 0.003982627477261261], [0.0038598946838842305, -0.002096795726457953, -0.25253791184248486]];119;231;5;;;143;20;[[1.613622533294415, -0.2731108981751796, -260.59575314054973], [0.12260429709188839, 1.762414465017101, -812.5175990804129], [-0.00015223918133070154, -5.2311776636361065e-05, 1.0]];[[8.088893075476504e-07, -6.595790735584086e-06, -0.004419442649520579], [6.731569216679723e-06, 5.607700295583367e-07, -0.008166617754417071], [-0.0019705460965246556, 0.005653911710752998, 5.392678827518505]];135
