file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;10000;279;[[-4.920936038809326, -3.92453735413971, 4437.1960880013485], [-1.8870627623377645, -14.545455633248196, 7264.038613311744], [-0.0016767820863131967, -0.002194686956810785, 1.0]];[[-1.5103170655530208e-06, -3.858412531171531e-07, 0.004815476904657209], [1.0204507714146555e-06, -7.564246467535514e-08, -0.0009265599092595465], [-0.0005655303286869674, 0.0004355850500293128, -2.210166810370696]];2330;302;[[2.1514949241751444, -1.6647836196484125, -203.3274282917169], [-0.12681429539502248, 1.8131028047053832, -490.4874880046076], [0.0001561914187779552, -0.0011978078176968269, 1.0]];[[-4.62402728956862e-07, -1.2151930620333348e-06, 0.004341122207103783], [3.3923967173075337e-06, 2.8089798367582527e-06, -0.0008238542451268066], [-0.0022740878686822136, -0.0015464912167968935, -1.1574438828785514]];1237;10000;603;[[1.2107368679501171, -0.08197245942406517, -189.94101367993616], [0.2188087198037446, 0.4925426085893815, -258.7564386866289], [1.9219930214342423e-05, -0.00029521057633428787, 1.0]];[[8.518520279109337e-08, -5.659852125214201e-07, 0.000880813444532333], [6.479327348569062e-07, -9.27197318089136e-07, -0.0016828312347849555], [-0.0014328119031120556, 0.0033212014470963697, 0.5675844112450608]];1166;2204;[[2.047022099605335, 0.11666690352746772, -267.4544322617651], [0.11503955073698639, 1.303510331694315, -424.20616970692623], [0.0003212931334859246, 0.0002016609499631335, 1.0]];[[8.763126552822185e-09, -3.822487134325907e-06, 0.0015449470276163156], [2.792856647144607e-06, 3.3803793888836864e-07, -0.0036655163254128258], [-0.0019372475313023847, 0.003554958150539269, 1.0]];1119;10000;484;[[51.031727575482776, -6.717739839209924, -29938.655226391264], [12.416251782822306, 9.639863723190322, -13652.803640517084], [0.015344968672003368, -0.002850651526657068, 0.9999999999999999]];[[-3.2860409449943345e-08, 2.0417604608036884e-06, -0.0016648734331511878], [-2.0358268858995626e-06, 1.371834075211859e-07, 0.0053890953068820285], [0.0026395686158267426, -0.0059976092147655015, -1.9884348222804205]];1088;286;[[2.2606066092859884, -0.4728439255655866, -714.250625008678], [0.1286397181797655, 1.1494767717931709, -410.0278602286561], [0.00022611867208802955, -0.00020124407082336415, 1.0]];[[-2.2634337105887803e-07, -4.1649239151541117e-07, 0.002135999765479778], [1.8117846335117504e-07, 3.364865473368818e-07, 0.0013468362524764184], [-0.0007990668976322188, -0.001479291897244252, -1.265460761503324]];1107
10034.jpg;10000;303;[[0.2560286322930165, -0.0644331277252031, -286.90398412887436], [-0.10791998607598832, 0.1773327990546053, 155.52423580251372], [-0.0005257327445257202, -0.00027991332967048017, 1.0]];[[-3.0294616085975886e-06, 1.1126011643070546e-05, -0.0038023929992620853], [6.07154795290995e-07, 8.333494253662637e-06, 0.004187475301404122], [0.005228039826992063, -0.023032932029831667, 5.319161056372508]];1099;319;[[1.246548721565179, -1.7592570087854316, -127.47646587491808], [0.14395023290304715, 1.0472071141372794, -361.23373958953636], [4.401426443548128e-05, -0.0011046328683180539, 0.9999999999999999]];[[-1.1051630006473293e-07, 1.513427795443234e-06, -0.003162671505064601], [-3.660871391157374e-06, -4.727142112703052e-06, 0.0012439538448311104], [0.0027082323113807277, 0.002394362509617509, 1.2104984034948139]];1115;10000;267;[[9.86913122804156, 4.087464913206739, -4935.771766802962], [3.0671276456032106, 5.606387148504057, -3464.090944071434], [0.0031154934471208295, 0.003233086673099417, 0.9999999999999999]];[[0.47083945427783236, -1.2563914071289601, -266.0174400063733], [1.0887452082431408, 0.16366599426250683, -1700.415410807516], [-925.3702195979738, 1584.2345761047702, 835805.873686776]];1166;1175;[[14.095639144468977, -0.8280520276420361, -10532.655637450329], [1.1853032021584944, 6.970305143479948, -2626.00232607024], [0.00399055205582744, -0.0007972394348490216, 1.0]];[[-1.353224732712599, 4.077053923099689, 3913.0915791492007], [-1.6270181514693158, -0.1811742494409267, -1354.678378971444], [241.4797475142249, -2362.8011782389226, -2647643.728609909]];1172;10000;901;[[108.6264265455268, 38.17900656007173, -67712.03059853183], [40.52739911466565, 73.40330490422873, -55304.238874713745], [0.03755126351278064, 0.029816014549181633, 1.0]];[[-6.96861206626274e-07, -1.2726738806678323e-06, 0.003705087872028108], [1.1851110506453569e-06, 1.0001840709558845e-06, -0.004339262023262826], [-0.002822697963939689, 0.0033440403928058395, 0.6858643716374857]];1095;894;[[0.5000783399025219, 0.011647483033557974, 275.30418096876684], [-0.027843265596359575, 0.6322206720155751, -38.35785129938312], [-0.00029284693695035376, 4.36861605635571e-05, 1.0]];[[-7.199827980588687e-07, 2.335656534046219e-06, -0.0013968978974761045], [-6.38303793823046e-07, -2.6836038183960834e-07, 0.003561261649268237], [0.0025313274024110757, -0.005383541825622968, -0.892181823707709]];1182
10040.jpg;10000;468;[[0.18173715640642316, -0.04166141174681731, -238.07803273048052], [-0.15461855262649357, 0.21306449306062183, 188.12192893107576], [-0.0005574431469515713, -0.0002770442241431292, 1.0]];[[6.714400862870993e-06, 5.647937201009776e-05, -0.02500353980995687], [-1.051652082468797e-05, 6.613192184434434e-06, 0.018711421690305027], [-0.0070833789220882465, -0.0909194978860894, 33.11806692367857]];1087;357;[[0.960436433895731, -0.3112788688294558, -255.5493694677939], [-0.11600337772355802, 1.088065291697606, -330.2104251533477], [-0.00011732540763054038, -0.0005440459096266561, 1.0]];[[3.2908670779160873e-07, 6.629542063541969e-06, -0.0037128251406285295], [-7.514043649400936e-06, 4.708185299469929e-06, 0.013890728431210975], [0.004424921968831158, -0.013146414595911505, -3.4687782219990533]];1136;10000;607;[[0.7077330923454908, 1.1846481758118101, 371.3264593359178], [0.2945952628604404, 1.2458014330647538, -620.8248445710867], [-0.0001959334454447972, 0.0009285312894977083, 1.0]];[[-9.544824950575062e-07, 1.287648988661021e-06, -0.0014116424981353677], [2.4371933728866333e-06, -2.532720482568427e-06, 0.00017509252315505482], [0.004011778632964102, -0.0033270945552056367, -3.5351149497181025]];1115;935;[[1.0625612933839876, -0.2424078280545486, 156.60599347716905], [0.1030711497144355, 0.7220474211222465, -260.81854210358006], [8.304808550043131e-05, -0.00022983053628132858, 1.0]];[[-6.301419534673516e-07, -1.7464375349382702e-06, 0.006479772843366555], [2.0351463688555396e-06, 7.065405759918048e-07, 0.000431467516201147], [-0.005552060673777863, -0.002179891411899834, -0.08449103047768425]];1097;10000;1237;[[2.1044486666099873, 0.3822574889403641, -558.0456701358952], [0.6257757501342512, 1.729980501197551, -1201.540743853989], [0.00036581439723008894, 0.00031370842220725613, 1.0]];[[6.865250327375571e-07, -1.4500549110521034e-06, -0.0009354565282538804], [5.31486435099296e-07, -1.1983632069492268e-06, 0.004491745334560858], [0.0010736698692980398, -0.002248225142303496, -2.808271521233546]];1102;662;[[0.47207491903278825, -0.04027296763829292, 398.9322860146802], [-0.035505692478822806, 0.711182364274966, -190.25560478074377], [-0.00024477213279224604, 2.206721354743367e-05, 1.0]];[[1.316078733096455e-06, -3.4094514292057333e-06, 0.003008899100091506], [2.904735717463718e-06, 2.942451084913385e-07, -0.004291884972867435], [-0.0067762991998209345, 0.003997247557686803, 3.4636285025382003]];1135
10070.jpg;10000;532;[[-0.031206029039568334, -0.024845234767440345, 87.85952254199943], [-0.2129883397972366, 0.09353612286557543, 301.7744977595687], [-0.0005503497900183053, -0.0001944991112663156, 1.0]];[[-9.944737859360261e-06, -8.806949073765357e-05, 0.03512780030121312], [-6.689530923089297e-09, -9.762500648059753e-05, 0.020840449907040044], [0.0160486769680148, 0.18988649238706512, -66.87916753978594]];1113;315;[[0.8650778343584006, 0.3148495310903931, -739.9104095588602], [0.19171338409843178, 1.2431575673520294, -988.0525518882896], [-0.0002908382280235353, -0.00014633961355981526, 1.0]];[[-1.2218478192348715e-06, 2.447594752886685e-06, -0.0027948812398202166], [-1.3700355508848168e-06, 1.2242741702869747e-06, 0.00833533006352554], [0.004864013280838117, -0.007742849093295308, -3.968574653189177]];1126;10000;205;[[9.93272576228643, 2.901374953799831, -3422.877399152922], [2.957811765564653, 4.042337675969236, -1910.434261441264], [0.0031982608274179064, 0.0030126784485114038, 1.0]];[[9.820933222207088e-07, -1.4916261101983639e-05, 0.010343797321835869], [3.187782795861114e-06, -1.2384465615555768e-06, 0.00020124285892109605], [-0.004110633729805798, 0.004686039812468935, -2.4446950886072547]];1057;387;[[0.16865332308750522, 0.6446187131407707, -28.08941928404163], [-0.3383653299481847, 1.331918805520519, -421.1057885451639], [-0.0006153993237340386, 0.0003910599157342826, 0.9999999999999999]];[[-2.011158711752857e-06, 3.673989090201844e-08, -0.000677509472650628], [-2.1724174305217046e-06, 1.990777512518396e-06, -0.004043049083761603], [0.006338625126316465, 0.0009353325245427456, 0.3514489147766433]];1147;10000;486;[[3.0879988567921948, -0.72927455877111, -895.2434428506161], [0.7312920950751342, 2.062863630269564, -1421.3017787929793], [0.0006188132970957281, 0.0001289449539589018, 0.9999999999999999]];[[2.757539969464083e-07, -9.152421038351623e-07, -0.000294689061461381], [8.903567371801445e-07, 3.7110049280397426e-07, -0.0015939205334682938], [-0.0007207092118840774, 0.001202242327056395, 1.0]];1128;539;[[1.3622828631003774, -0.28034057809245116, -64.84711512355591], [0.10724717004244269, 0.8528935267408537, -341.19407175870055], [7.646461819406151e-05, -0.00022682374702212, 1.0]];[[-9.192003495390873e-08, 7.079486936794725e-07, 0.0002799058848763999], [3.2005008661865977e-08, -9.143133181574902e-07, -0.003978806221364891], [-0.0005321037143467984, 0.004092395716106059, 1.5868638503527865]];1229
10100.jpg;10000;416;[[-1.4893062198141283, 0.10996823231559873, 2111.777538742991], [-0.8180149200137555, -0.48556094045344367, 1230.4316088427415], [-0.0011552825236159766, 0.000223786698440534, 0.9999999999999999]];[[-1.0607362381313443e-06, 8.06518441044465e-07, 0.0007638135556779799], [-7.2247639397610434e-06, 1.608789108511601e-06, 0.007631461607206904], [0.006934496149451054, -0.009661616136883742, -2.248794889836912]];1054;403;[[0.3804920977485456, -0.7118027432192398, 242.5316711024732], [-0.21450898429713014, 0.8844145286535008, -41.85337456201215], [-0.00043016956884966095, -0.0007130745900055973, 1.0]];[[-5.321405526534137e-06, 2.2478194331618303e-06, -0.006998935091455261], [-6.511213602364377e-06, 6.544248925583302e-06, 0.015115780287204079], [0.011576181228527941, -0.007709938618365115, -2.3760162096483306]];1127;10000;168;[[-0.713866642629143, 0.3408215025069941, 799.8775003557313], [-0.14828320501607953, 0.06868778849843014, 166.53332518908198], [-0.0008925047243255174, 0.00042624281742651305, 1.0]];[[-5.8565766420987375e-06, 3.911377351205391e-06, -0.0008566769548951757], [1.1062020606946146e-06, -8.410549161168076e-07, 0.00023321095474723827], [0.006919246543546999, -0.004603733211167094, 1.0]];1072;648;[[0.6118398452286441, -0.690910035495471, 315.3230628151896], [0.030704279147636442, 0.55643974094649, -202.05249421661767], [-6.0686053590702264e-05, -0.0005770376799148369, 1.0]];[[-4.533309908809426e-07, 1.9012324536763018e-06, -0.002952250794384619], [-4.3756892414368925e-06, 2.0088188167440196e-06, 0.007212916176691551], [0.005842111254978176, -0.005685007400141544, -3.0685536471462362]];1099;10000;274;[[-21.45219929254484, -6.310300298169086, 16218.808174248345], [-1.8037922117059648, -14.802158322464587, 1786.4955803844487], [-0.006892490278340233, -0.0013857991539211274, 0.9999999999999999]];[[-1.8723713076906294e-06, 7.496161745643066e-06, 0.0035799536128484034], [-7.50097879900516e-06, 2.5165303448818866e-06, 0.007395206231779272], [0.0011494413686428694, -0.007525756022728841, -2.935924058024071]];1060;580;[[2.9554856929082742, -1.4844156461370008, -756.040306063097], [0.5609398859184218, 1.1885344039419106, -969.2965056893437], [0.0003244943200147674, -0.0003825201924918741, 1.0]];[[2.394321057128397e-07, -2.177267603903927e-06, 0.0015703005122322776], [1.4438433069744667e-06, 7.725978928050845e-07, -0.0032576645361915672], [-0.0017490179872726398, 0.0022823481474925564, 1.0]];1174
10132.jpg;10000;10000;[[0.1701700518402363, 1.2283896620211092, -526.2833159189091], [-0.43206873214811164, 0.921269117612128, 267.2574875491413], [-0.0004826874890785373, 0.0010644436996174046, 1.0]];[[1.9682480032273753e-08, 1.4760379338229053e-07, -8.681298443992641e-05], [7.297587726964954e-07, 2.3141317389922963e-06, -0.0018277097584247716], [-0.00037743835112975994, -0.0013210747637916328, 1.0]];1181;177;[[-0.17198845167894608, -0.2854320009551334, 603.2465711250443], [-0.07216451237609448, 0.4351730907211276, -166.99991748551489], [-0.0005112376728999622, -0.00020898232241927398, 0.9999999999999999]];[[2.704978450001945e-07, -1.5431668037575736e-06, 0.0016868349270833464], [1.9761431363643425e-06, 3.823780487905151e-06, 0.003939304507081437], [-0.0019358040325865807, -0.0031561998721480796, -4.186268713412507]];1106;10000;373;[[1.0930103396965742, -0.2613996817654764, 352.55926458451967], [0.43060024307946954, 0.16935333779844275, -28.253532682644774], [0.00040479242128125777, -0.00031705818913530377, 1.0]];[[-5.552652134541873e-06, 1.7528223131448115e-05, -0.0030872501673181608], [-1.0277331415111678e-05, 3.6236585518942786e-06, 0.010281886048403382], [0.016971589646705275, -0.024741436284690953, -6.567782693735407]];1064;445;[[2.9667161303140523, -0.0956373637770105, -395.08570963104745], [0.8677346530701736, 0.7297937365296205, -544.0959267020706], [0.0015886099137405005, -0.00017724612352049067, 1.0]];[[3.4660896364922166e-06, -1.4190905453195082e-05, 0.0012581408904322085], [5.198528060864026e-06, 2.714178181458743e-08, -0.002612965982475768], [-0.004974910134949351, 0.005568973927015005, 1.3191586295086777]];1107;10000;350;[[-1.3444631419262536, -0.27995095062857256, 2182.1724330988795], [-0.615803061864788, -1.1848653500475699, 1410.8511241752722], [-0.0009283773044908374, -0.00023616888491017712, 1.0]];[[-0.7943053979763071, 3.546356461463618, -1663.1998658085863], [-0.4161229356858257, -1.600140961865407, 1716.8551051057875], [1634.7697081876395, -5098.91926113536, 1776535.730193668]];1070;852;[[0.33934009629749173, 0.6530546285561137, 212.93043620950408], [-0.23780673914701675, 1.3023875624186458, -333.65892921219427], [-0.0004099281076164979, 0.00039285953812915166, 1.0]];[[1.045840768584124e-06, 8.329057163220573e-08, 0.0011432657893779366], [-2.521822343559887e-06, 1.2175317567694839e-06, 0.00036423759500482785], [-0.0015910329043043487, 0.0009354070069920916, 0.5978361475594467]];1183
10162.jpg;10000;112;[[-0.5592514822061243, -1.9004910543768505, 1839.681759781303], [0.03674245797479964, -0.6205517556415433, 542.2293305597963], [-0.00034043742408375186, -0.0010224584440001177, 1.0]];[[0.4864306086917658, -0.020372739814525254, -882.8548904901982], [0.4566297943259505, 0.01692616329457841, -853.4058683940189], [-525.3719234619741, -9.452376540343153, 975030.2756026173]];1139;159;[[0.6892366291176134, -2.6972179958217897, 1595.6337584169876], [0.35297334563774924, -1.2194081478650447, 673.9887348453636], [0.00048302574065634636, -0.0017549543496524435, 1.0]];[[-6.776701260346367e-06, 1.9566529213909703e-05, -0.0019416958817416617], [-1.2660138272364857e-05, 4.419976862964499e-06, 0.0210669433632927], [0.01971783046809422, -0.03045549531115436, -14.696906323807601]];1100;10000;547;[[-0.7357890650631006, -0.08342223874301734, 1125.1810575659142], [-0.24118843720407712, -0.4761729469645995, 657.6395184439708], [-0.0007199545109405265, -0.0005031489856200187, 1.0]];[[1.9399932291642417e-05, -8.9794595985964e-05, -0.009079050731788453], [8.498691772346614e-05, 2.426810438518455e-06, -0.011746432252312663], [-0.08020483084863865, 0.13601303748808552, 20.87891076614231]];1067;678;[[-0.3984944080866005, 0.348523558075445, 873.1281310015928], [-0.10565843086042181, 0.3940647400660445, 14.444121363841566], [-0.000602322019073912, 0.0002495714858396721, 1.0]];[[1.6087893646319583e-06, -1.7730152057827166e-07, -0.0010752981297695201], [4.968972549273396e-06, -3.155852798322014e-06, -0.0024231286334895656], [-0.005271217362337842, -0.0028879191582601824, 4.717640802856464]];1097;10000;542;[[1.0786125631237389, -0.13215857787255303, 384.65942187448405], [0.25478866707617404, 0.7892500700489822, -421.41395793807993], [-6.538666237293419e-06, -6.674796022134578e-05, 1.0]];[[6.159122824343293e-07, -2.6987114024906055e-06, -0.00019312444975713695], [1.9516075395977643e-06, 1.4584996557314432e-07, -0.0017186656863316637], [-0.0013299406520952115, 0.0012459757287130238, 1.0]];1079;459;[[1.2424370008820707, 0.3372026101046221, 160.4285843539233], [0.08408140160686756, 1.0754355985058777, -366.82269622852874], [0.0001057452478141033, 0.00019881858722342377, 0.9999999999999999]];[[1.0632997866058566e-07, -3.209360388984566e-06, 0.0013758079381572643], [3.120728413467782e-06, 2.6347850239135854e-07, -0.006872363522165007], [-0.0027654489814593493, 0.006351561503660597, 2.795829416234764]];1140
10193.jpg;10000;80;[[-0.06595523052369855, -0.0752081654347273, 1024.6521493080638], [-0.050590985486367215, 0.19763224857027828, 308.3614928863094], [-0.00023190579855678601, 1.2573585339192843e-05, 0.9999999999999999]];[[5.843185972360053e-07, 5.376585493119584e-07, 0.00026857494500762786], [3.9287248256834016e-07, 9.71488847240133e-08, 0.000656616913653201], [-0.0031604227272102577, -0.006467964607756222, 4.957963360552375]];1065;290;[[-1.1107108126908058, -1.4409256183464478, 2189.916091772122], [-0.14798850764721033, -0.9118623156810031, 1027.1277508831338], [-0.00044248750815346764, -0.0009168266855464487, 1.0]];[[-5.179591023471424e-07, -2.7806888760050405e-06, -0.0033324773613655568], [1.318627804548263e-05, -1.0714070231111199e-05, -0.0023476279528137564], [-0.0070913012092456845, 0.005019668994270079, 0.4686454982299981]];1112;10000;146;[[0.2890513830115227, -0.3606627447260948, 425.17022905476637], [0.06458055501209004, -0.011215093596309492, 31.423300146263248], [0.00023061317786764806, -0.0006316679016390415, 1.0]];[[4.183136741867727, -29.22644949523214, 4326.1367470962505], [25.309152228501805, 4.560835594606644, -14903.110101413518], [-39147.165635470126, 20239.886490989564, 16870420.692269444]];1072;530;[[1.307336137354556, 0.6019915986816659, -80.15342884353342], [0.018623784416691637, 1.4596321375172565, -473.3128862678751], [3.5945930334338442e-06, 0.000359309572506526, 1.0]];[[-2.6751314781982782e-08, 1.7924560052883753e-06, -0.0018947070323175573], [-1.4336479536742345e-06, -1.0674435838532995e-06, 0.006795730705437835], [0.002157487238250933, -0.005458045746167263, -2.3472159329698363]];1128;10000;656;[[3.0257588383073575, -0.5175072897860568, 52.88188988909286], [0.8248629531989021, 1.5117261008296874, -1056.1928171798386], [0.0008934490685925018, -5.5504185290610304e-05, 1.0]];[[-6.168867354147573e-07, -8.734942806113496e-07, 0.0029248582925400207], [-4.5294718759561663e-07, -1.2949188168697172e-07, 0.00288787611916874], [-0.00010114674190278826, -0.0019515083248291068, -2.135729802372149]];1101;1031;[[1.6314202592501315, 0.5951935098651229, -162.19915617640973], [0.10984794753495124, 1.6171195419037192, -641.5993379836376], [0.0001715603373285807, 0.0002553940951662348, 1.0]];[[-1.0884214829364847e-07, -9.811864084749041e-07, 0.001561521428874374], [3.629491846615246e-07, -8.25145023165027e-07, 0.0037679657699877757], [-0.0010129944813624277, -0.0018225430153187168, -1.4789552738912297]];1133
10225.jpg;10000;204;[[6.969510150298843, 10.207764853454297, -7384.300474841203], [5.406822130696588, 12.243060312775057, -10078.095235281631], [-0.0017430722105412544, 0.0075774813920561285, 1.0]];[[2.240784632150004e-06, -1.9065798426368468e-06, 0.0028596247665108186], [-6.912896437684149e-06, 5.3747638484728535e-06, 0.00019507558689662446], [-0.0020553108493825013, 0.0015450245503207932, 1.0]];1109;357;[[5.34599681183978, 3.0822474254221337, -4064.2005014261345], [0.12910712875807479, 4.695944616601551, -1912.5730828490896], [0.0005236428004201848, 0.0014496238708554393, 0.9999999999999999]];[[-3.765547370189369e-07, -5.117572779350307e-07, 0.004187760322849118], [-8.209658205638316e-07, -6.916486111863497e-07, 0.00401011516489801], [-0.0009377824159471468, -9.66208708783265e-05, -3.7913215504644135]];1163;10000;289;[[1.0771915944113102, -0.07665060731962886, 221.26480077846512], [-0.008066046482273116, 0.46866873132231107, -61.597688239286704], [-0.00023373032560265885, 7.025105197980546e-05, 1.0]];[[-5.041836736071697e-08, 4.276408565918693e-07, -0.0002712028904061221], [1.1930856461781573e-07, -2.7999395350524806e-07, 0.001611312010575163], [0.00024096947060374017, -0.003256091896328052, -0.3095063767409718]];1098;772;[[0.8748187602280596, 0.4274216602953178, -37.17611657658816], [-0.170616815607688, 1.0073254498754316, -165.74656877669048], [-0.000226353629862576, 8.501401937591644e-05, 1.0]];[[2.0871494127735858e-07, -4.135991054681178e-06, 0.0038882401938766954], [2.8101836335728103e-06, -7.573495065098479e-07, -0.005352826352872399], [-0.0037080901643876834, 0.006762397169642889, 1.0090170581814784]];1126;10000;370;[[6.422306267938352, -0.2166495177183927, -2343.1546849850565], [1.5005722787909632, 2.268040235126193, -1825.7023985277795], [0.0014928349256373055, -6.537741110593988e-05, 1.0]];[[6.372321058761856e-08, 1.0333726231766305e-07, -0.00040435462415278853], [-9.059670804795146e-07, -8.711522876165763e-08, 0.004143751755045198], [0.001205872542984114, -0.002856862258315171, -2.0629930902717026]];1113;1044;[[1.0642907500853114, 0.12004723105082059, 176.0523648810046], [0.038430640702282075, 0.9300731770250534, -259.40567235073013], [-9.937293257331945e-05, 4.234234627015203e-05, 1.0]];[[-7.538585700536707e-08, -3.913446732808137e-08, -0.0011046930235100042], [2.707813764524258e-07, -1.5420424962523575e-07, 0.0025473921886901537], [0.0010537253919500572, -0.0028547698137602134, -0.9530581331864019]];1146
10229.jpg;10000;222;[[-0.20639625643323384, 0.17888086202614906, 721.3041898124909], [-0.11412747515754727, 0.32104494762765895, 158.5779414061726], [-0.00045584381134825295, 0.00018173438379728407, 1.0]];[[1.7043377963137298e-06, -8.284306191736044e-06, 0.0014702125384506042], [3.5526680667077806e-06, 2.8392104306804396e-06, -0.005499176487184199], [-0.0045070169386937165, 0.010430641633652388, 1.0]];1067;372;[[0.21240605370121238, 1.0034211572898957, 434.12936919332606], [-0.08948572447371571, 1.0695018732215285, -240.90023580187295], [-0.0004993427567305747, 0.0009143978774713204, 1.0]];[[4.5405046604427755e-07, 1.1064266660552575e-05, -0.0019958474751001353], [-9.854664379972718e-06, -5.840288099630375e-06, 0.017678098975999215], [0.0034248189416804836, -0.013369363542157427, -4.458573884063894]];1108;10000;734;[[3.9331546499682224, -0.21017342195198305, -1438.8758946759444], [0.8132172172267144, 1.6515900583523544, -1138.6752934435644], [0.0009333811837405935, 9.442334077979764e-05, 1.0]];[[4.641036843632174e-07, -1.5682173846201256e-06, -0.0006023921758110009], [1.0167006063164157e-06, 2.2733122852329568e-07, -0.0015544746277190867], [-0.0007381270736042662, 0.0018400758663678798, 1.0]];1132;778;[[0.8833366372730032, -0.19673677541590892, 201.9228529519815], [-0.0047494032414865245, 0.7601451635660478, -168.48818697183836], [-3.357551362598471e-05, -0.000167498728902678, 1.0]];[[-1.5931087725485182e-08, -1.4946196224937858e-06, -0.000658310991687232], [1.1548662458294907e-06, 4.795673418372476e-07, 0.0007904758336611186], [0.0004278147867556242, -0.0011484310192903275, -0.28412989714171044]];1198;10000;612;[[0.7381766124638679, -0.16431984862212456, 283.1869101061502], [0.12793371350746763, 0.7508191274823469, -317.14916142037987], [-0.0001970395011498318, -6.608903848093491e-05, 1.0]];[[-9.94827792273364e-07, 2.247541987278128e-06, -0.0020017246363657902], [-1.6096717259714126e-06, 5.041029180290231e-08, 0.0038890832435489863], [0.004180879095526283, -0.0039938560156043655, -2.4233431062646384]];1138;640;[[1.042862170768511, -0.21779302004138879, 150.5271402077471], [0.026161982955924177, 0.7148754871108609, -173.20172150558292], [1.7272545088216405e-05, -0.00020460237740602407, 1.0]];[[-3.3822190322142404e-08, 7.049745138599821e-07, 0.0013641330314960133], [-2.781821775571421e-07, 5.339318678084105e-07, 0.0022303465125088047], [-0.0011142752181780356, -0.0033357058604597247, -0.4142928878481551]];1143
