file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;67;4;;;1945;6;;;205;146;5;;;205;6;;;267;167;4;;;221;4;;;224
10034.jpg;87;1;;;207;5;;;213;168;4;;;205;5;;;215;156;4;;;216;5;;;222
10040.jpg;79;4;;;219;5;;;216;167;4;;;220;6;;;213;181;5;;;227;2;;;218
10070.jpg;92;5;;;226;5;;;222;184;2;;;230;5;;;222;198;6;;;266;4;;;222
10100.jpg;89;6;;;219;4;;;228;175;5;;;222;5;;;215;196;4;;;243;5;;;212
10132.jpg;90;5;;;219;5;;;223;193;4;;;256;4;;;234;208;4;;;215;5;;;222
10162.jpg;107;6;;;214;5;;;219;175;3;;;203;4;;;213;176;4;;;211;5;;;201
10193.jpg;113;6;;;203;5;;;217;202;2;;;206;3;;;208;185;5;;;208;5;;;205
10225.jpg;96;4;;;214;4;;;197;163;4;;;214;3;;;203;203;6;;;205;5;;;205
10229.jpg;100;4;;;203;4;;;207;166;6;;;200;5;;;217;186;4;;;212;4;;;206
10256.jpg;108;5;;;206;6;;;199;188;6;;;207;5;;;207;180;5;;;223;2;;;207
10288.jpg;105;4;;;207;6;;;201;170;6;;;208;5;;;207;197;3;;;215;5;;;219
10319.jpg;134;5;;;206;6;;;208;198;6;;;214;4;;;211;195;4;;;211;5;;;212
10328.jpg;125;4;;;212;5;;;215;216;5;;;213;5;;;208;191;6;;;201;5;;;217
10351.jpg;133;4;;;212;3;;;203;184;5;;;203;8;[[-0.590677177966247, -3.5959881375553544, 3805.862365198807], [-0.0593494483544293, -1.4683694729360992, 1264.3268493815929], [0.0001726138321676877, -0.001730458167925401, 1.0]];[[-4.5836587479227164e-07, 1.8723185572055225e-06, -0.0007394104533398305], [5.164274689659084e-07, -1.527749059231028e-06, 0.00022715580318899756], [0.0004919812390508901, -0.0022077578526441778, 1.0]];196;222;4;;;216;2;;;211
10381.jpg;144;3;;;223;4;;;219;190;9;[[-7.184597102135082, 20.753014952098717, 5397.079084265711], [-6.035149130340889, -23.123824958756103, 8694.199333936393], [-0.0025904425933954414, 0.01588407110316751, 1.0]];[[3.253586666900267e-07, 6.060482057984531e-07, -0.0003656630980107524], [3.4740898043249906e-06, -8.964713833612937e-07, -0.0056721387907994174], [-0.0007272319971924303, -0.0005932120263937271, 1.0]];196;4;;;224;229;6;;;211;5;;;217
10412.jpg;153;4;;;212;6;;;220;204;5;;;218;2;;;221;240;3;;;223;5;;;205
10430.jpg;170;3;;;216;5;;;221;187;3;;;225;3;;;220;241;5;;;217;2;;;217
