file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;11;3;;;1012;4;;;406;3;3;;;430;1;;;410;2;2;;;405;4;;;408
10034.jpg;11;4;;;425;4;;;418;2;2;;;469;3;;;423;1;1;;;425;4;;;447
10040.jpg;16;4;;;427;5;;;403;5;5;;;427;5;;;455;1;1;;;433;4;;;416
10070.jpg;3;3;;;412;4;;;431;4;4;;;420;5;;;423;5;5;;;413;1;;;417
10100.jpg;11;4;;;419;1;;;397;5;4;;;413;5;;;429;24;4;;;507;4;;;406
10132.jpg;17;5;;;425;1;;;415;4;4;;;420;5;;;413;3;3;;;434;3;;;528
10162.jpg;2;2;;;420;4;;;408;4;4;;;407;5;;;420;22;5;;;439;2;;;414
10193.jpg;19;4;;;425;4;;;414;9;3;;;426;6;;;419;9;4;;;439;2;;;424
10225.jpg;20;4;;;465;5;;;509;16;4;;;424;4;;;435;12;4;;;422;5;;;448
10229.jpg;6;4;;;405;2;;;425;9;4;;;420;4;;;407;13;4;;;418;5;;;437
10256.jpg;1;1;;;412;5;;;419;24;5;;;424;3;;;436;11;4;;;413;4;;;455
10288.jpg;13;4;;;418;4;;;495;7;4;;;411;5;;;410;14;4;;;415;4;;;417
10319.jpg;9;4;;;421;5;;;404;15;4;;;413;7;;;485;27;1;;;598;5;;;408
10328.jpg;17;4;;;423;6;;;430;18;5;;;425;5;;;412;21;5;;;435;3;;;470
10351.jpg;16;4;;;424;4;;;395;11;4;;;414;4;;;473;18;5;;;427;5;;;441
10381.jpg;4;4;;;415;6;;;420;10;4;;;425;4;;;412;35;4;;;483;4;;;566
10412.jpg;45;3;;;483;5;;;413;14;4;;;420;5;;;461;36;3;;;499;5;;;512
10430.jpg;38;7;;;528;9;[[0.00734131270266292, -0.11057773396748713, 365.67421804760045], [-0.11046075520246695, 0.11516019695399465, 173.98271809345235], [-0.0005320195000403864, -0.00013205779060169263, 1.0]];[[130220.50274644187, -900774.6369604354, 184493207.74569798], [5154.466889203992, -269303.7287910947, -179038525.06100607], [-226396833.7209003, 1694993400.237776, -217921912677.15747]];451;11;4;;;420;2;;;556;29;6;;;450;6;;;470
10442.jpg;33;5;;;504;5;;;524;31;6;;;428;2;;;480;21;3;;;515;6;;;421
10472.jpg;44;6;;;489;10;[[1.1919303235279832, -0.10329414726255738, 198.76596593369268], [0.08856350565117589, 1.0483676998575153, -340.5645423861419], [0.00013650401748789535, -7.73495829668292e-05, 1.0]];[[-3.7855575615380645e-08, -1.6472711537558515e-06, 0.0013858474224151419], [1.8143978577022154e-06, -3.731017069370441e-09, -0.0023973751477741083], [-0.0018793886970871058, 0.0018330117459674981, 1.0]];472;10;4;;;417;6;;;499;57;5;;;524;5;;;544
