file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;2;2;;;1579;2;;;715;6;4;;;857;0;;;838;20;5;;;863;5;;;814
10034.jpg;2;2;;;829;6;;;789;13;4;;;905;4;;;893;44;8;[[-0.18711520782679059, -1.2548093345932003, 1119.1964183694265], [0.029553925749187717, 0.2527907798682985, -9.395418476503131], [-0.00044673891310567415, -0.00045391562282881483, 1.0]];[[-3.354012718060734e-06, 1.1217497888378584e-05, 0.002097569947558791], [-9.975535882792154e-06, -2.0336582874103163e-05, 0.01653404944653491], [0.005851162139012086, -0.004289102577554077, -6.588801916770811]];958;2;;;848
10040.jpg;6;4;;;791;1;;;834;22;4;;;1031;4;;;882;61;5;;;970;5;;;833
10070.jpg;1;1;;;800;5;;;822;31;3;;;1072;8;[[2.133341425291024, -0.6954113991841232, 398.9652008444166], [0.00956924872109159, 3.3499366726371465, -1975.2684933965036], [9.008637743238579e-05, 0.0002470196529676374, 1.0]];[[-9.421643769589654e-08, -2.75751959997378e-06, 0.0005368741460687841], [4.392410659295547e-06, 1.0411456026992089e-06, -0.0017341947689800273], [-0.0028130103015229636, -6.123986114688648e-05, 1.0]];1030;12;3;;;913;4;;;917
10100.jpg;6;6;;;875;2;;;1031;28;5;;;999;7;;;1018;7;4;;;950;0;;;933
10132.jpg;1;1;;;739;4;;;713;7;4;;;875;6;;;895;1;1;;;841;5;;;830
10162.jpg;5;5;;;745;3;;;711;15;4;;;884;5;;;938;24;4;;;953;5;;;969
10193.jpg;24;5;;;683;5;;;606;39;4;;;901;8;[[0.40566090021415774, -0.26565827788775426, 987.1012858057869], [-0.340717320693474, 0.9553396958048334, -165.94412814456464], [-0.0004913083919452252, -8.934870298026724e-06, 1.0]];[[-1.0583836260367523e-09, -1.4244576152472582e-06, 0.0008027232512156477], [1.0402726655546205e-06, 2.948213873667694e-07, -0.0020494670404887843], [-0.0008281923150048917, 0.0008888353819290137, 1.0]];810;11;4;;;714;3;;;777
10225.jpg;6;4;;;872;4;;;1032;129;13;[[0.7763651150148966, -0.5998596425597454, 635.8809596572108], [0.18915437446132125, 0.5483722935670351, -238.10972125287626], [-0.00012879887328162427, -0.00027690341323882836, 1.0]];[[7.258506059997007e-07, -4.072868076092559e-06, -0.0040522900491125795], [1.6482015597929124e-06, -5.017814272095805e-07, -0.004849107894365704], [0.000703122227380556, 0.007861729956263462, 1.9500825455118225]];1004;10;[[9.600820218158407, -0.09550460986019452, -4551.6431706292], [1.0276709016682883, 3.5746139306505302, -1794.1089572296437], [0.0029713237621785396, -0.0005305368400923204, 1.0]];[[2.951505887429567e-07, -2.769593480258113e-06, -3.4430897318652115e-05], [1.9314647448730047e-06, -2.52092357185313e-07, -0.002779656388190197], [-0.0009918309752765414, 0.0031197847535122444, 1.0]];1070;240;13;[[1.1540559691711507, -0.21703228346117814, 489.17952411193227], [0.3438690795050539, 0.9716171070566086, -495.7425476898848], [1.6310341160193423e-05, -1.54559744856618e-05, 1.0]];[[-1.2510175956099164e-06, 4.318955335554917e-06, 0.0001806061589630628], [-3.6928064227952134e-06, -8.024863941263269e-07, 0.0019240842934976497], [0.0022458348865793927, -2.3052639960669553e-05, -1.1176994336366932]];1038;16;[[0.9441650267761007, -0.0849062659345769, 373.51876089030475], [-0.005258229998325703, 0.8265227202169919, -159.1378559578817], [-1.8676033941931113e-05, -0.00013016697104468823, 1.0]];[[-2.394175169249988e-08, 1.1064473711853969e-07, -0.001859296623711865], [-2.937496955641532e-07, 1.513882043303177e-07, 0.001328821315619001], [0.001934542926109959, -0.0013877600226467467, -0.9300124813528118]];1003
10229.jpg;13;4;;;908;2;;;895;100;5;;;1013;10;[[2.7052591170931346, 0.3354759194665654, -1337.0164534577957], [0.3170971365857218, 1.5794931065606992, -809.4740999006475], [0.00046497634241039136, 0.00010989230193035566, 1.0]];[[2.7713161362868286e-07, -3.772485895415137e-06, 0.001050596258604476], [2.78732295402904e-06, -3.091813652766687e-07, -0.0033437250028553814], [-0.0021571802760645873, 0.0045349537726091975, 1.0]];1021;255;16;[[0.9067760354999878, -0.2881512386464898, 400.84777860845105], [0.2588383497000924, 0.8871949766911793, -450.5218540276767], [-8.795615444394115e-05, -1.626603768343591e-05, 0.9999999999999999]];[[4.5503892238365143e-07, -1.9142587814329934e-06, -0.0009013926188323335], [1.6304031851418409e-06, 4.978906830069743e-07, -0.002136459166259027], [-0.0005426781648062777, 0.0017782523056424457, 1.0]];946;25;[[0.8822089302219979, -0.07614839737870537, 147.29585095046428], [-0.006482269438721882, 0.8084051303344983, -194.80793930159683], [-3.206107148981587e-05, -0.0001519708494278584, 1.0]];[[3.557215714845235e-08, 3.2283739462955556e-06, 0.0005106375752765018], [-2.7188352811927628e-06, 2.3153033534409504e-07, 0.0025314451741601718], [5.5056956972145864e-05, -0.002731543041331868, -0.5101183297319594]];940
10256.jpg;51;4;;;929;5;;;823;14;3;;;947;6;;;905;93;9;[[1.0718142297821176, -0.8317069314108227, 1014.1339483092373], [0.27732846149420903, 0.6926647738765737, -321.1195334242605], [-1.8566326980683586e-05, -0.00013920792030783604, 1.0]];[[3.7793368324995933e-07, -1.2075457429073751e-06, 0.00028881879849861243], [8.59609461355438e-07, 8.6758658915713e-07, -0.0012756179184167274], [-0.0009652149113217058, -0.00016564444015793305, 1.0]];860;8;[[1.1208082786140614, -0.38296984414788554, 523.3939912561584], [-0.08208496189910143, 0.95362309031315, -253.91306691822837], [-0.00023570526303352623, 6.3607557138189605e-06, 1.0]];[[1.5380277543588836e-07, -2.9783665234147488e-06, 0.0016744932250663336], [2.355736210733683e-06, 9.749884146295908e-07, -0.0014128623245349874], [-0.002079050557158027, -0.00043532149322520614, 1.0]];915
10288.jpg;9;2;;;782;0;;;727;28;2;;;1052;1;;;875;45;4;;;966;22;[[1.0657019783841892, -0.09369792754322083, 298.8065980019068], [0.04032004023522898, 0.9796502601571013, -261.3090738091711], [7.209684443468997e-05, -8.124492724282288e-05, 1.0]];[[6.541030561233737e-08, -2.4909314850976145e-06, 0.0004984739517607055], [2.52002385656878e-06, -9.681254473412552e-09, -0.003155407516119914], [-0.0012468490053255668, 0.002413269303884052, 1.0]];831
10319.jpg;34;3;;;829;5;;;669;2;2;;;770;5;;;820;11;5;;;699;16;[[1.1981515923616421, -0.17855071275981363, 386.71149197170547], [0.0658464494299098, 1.0409535001727155, -276.2481132549075], [0.0001025595528062857, -5.047952237174441e-05, 1.0]];[[1.3742852163872644e-08, -1.6075036486030883e-06, 0.0009394290000227477], [1.6472902909184002e-06, 1.332949784732435e-07, -0.0025936313691157396], [-0.0013497912748407844, 0.0017741568626397143, 1.0]];719
10328.jpg;25;6;;;649;6;;;650;2;2;;;797;0;;;773;17;4;;;735;8;[[0.732741877335562, -0.5055157946297546, 425.8509454566453], [-0.02375606910310239, 0.6496510500474062, -84.16923212435965], [-8.065023831049469e-05, -0.00027673442043863676, 0.9999999999999999]];[[-5.000368393562298e-07, -4.3700042871690717e-07, 0.001674904435293152], [1.462342040220351e-07, 2.8902316559462557e-06, -0.00355224844660724], [-0.00082308613864957, 0.0008655394275762889, 1.0]];802
10351.jpg;56;10;[[0.9154022722521568, -1.5548731500052655, 774.2560810778396], [0.33241606683545205, 0.47851778026472563, -387.66563170296206], [0.00013391939987558878, -0.000841693173471245, 1.0]];[[3.0241061787473747e-07, -7.47749211098634e-07, -0.00021312533747357856], [8.507495226614404e-07, 1.9644980320688342e-07, -0.0014734561177105398], [-0.000823559068596781, 0.0009320026358987329, 1.0]];753;4;;;698;9;4;;;770;5;;;824;40;7;;;812;13;[[1.0210187871196694, -0.08910403186968473, 213.93370643068045], [0.021275702156473075, 0.9304402887219168, -256.1476700876152], [4.4547465953969106e-05, -9.674527665549668e-05, 1.0]];[[2.0346332183726001e-07, -7.3966969263925e-06, 0.0011509942734208739], [6.8213130639697645e-06, 3.85680527645748e-07, -0.0027527838664856983], [-0.003119357334240043, 0.001378659057169323, 1.0]];715
