file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;235;4;;;758;7;;;211;276;7;;;226;6;;;188;235;6;;;263;7;;;187
10034.jpg;241;6;;;219;7;;;203;280;6;;;208;6;;;192;284;6;;;271;7;;;202
10040.jpg;236;8;[[-0.26060994845597574, -0.2990777135704266, 468.2465048033617], [-0.28250394391998124, -0.36694133933501294, 515.1708416365035], [-0.000553539188800544, -0.0006751847448357494, 1.0]];[[-916422.5164808759, 1455116.2558685578, -4939931.275802426], [-2013757.2430067225, 1113566.7044941508, 121394614.28859419], [1610546933.9222245, -1955075702.4865792, -29534351439.10199]];210;5;;;189;268;6;;;211;5;;;189;286;7;;;274;6;;;192
10070.jpg;227;6;;;210;6;;;208;269;7;;;218;5;;;194;291;7;;;255;6;;;200
10100.jpg;246;4;;;213;6;;;194;256;4;;;221;5;;;194;295;5;;;266;5;;;206
10132.jpg;253;4;;;217;7;;;197;247;4;;;223;5;;;195;310;5;;;262;5;;;205
10162.jpg;264;6;;;199;7;;;189;271;6;;;214;5;;;199;286;2;;;219;6;;;192
10193.jpg;273;7;;;210;5;;;201;291;6;;;216;5;;;207;298;6;;;197;5;;;195
10225.jpg;247;6;;;218;6;;;187;274;5;;;233;4;;;191;321;6;;;211;4;;;210
10229.jpg;261;5;;;212;8;[[-3.4260118606615872, -10.888522292564376, 3045.614988340291], [2.1384111938061774, -1.917287316861446, -3017.704689793385], [-0.0032254873737597206, -0.003985323168631703, 1.0]];[[30819.793008073815, -10379.378334618792, -48077450.59587695], [-24841.469796906174, 30647.0714927516, 29148200.438616432], [-22671693.612739474, -20369829.870361734, 47437263158.29091]];187;251;4;;;219;5;;;204;320;6;;;196;4;;;192
10256.jpg;283;6;;;217;6;;;192;269;5;;;222;6;;;191;318;7;;;215;6;;;201
10288.jpg;283;7;;;190;3;;;190;282;6;;;215;7;;;192;315;6;;;197;7;;;195
10319.jpg;278;4;;;219;6;;;204;285;4;;;225;6;;;192;308;5;;;223;5;;;190
10328.jpg;280;5;;;218;7;;;184;290;2;;;222;7;;;205;303;4;;;212;7;;;183
10351.jpg;279;3;;;217;7;;;183;285;5;;;216;6;;;194;316;6;;;219;7;;;193
10381.jpg;;;;;;6;;;193;278;6;;;221;6;;;199;284;6;;;192;5;;;196
10412.jpg;292;7;;;212;6;;;189;274;5;;;224;7;;;198;304;6;;;216;7;;;187
