file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;229;6;;;3365;10;[[2.2518774164155624, 0.6395883678899459, -229.51754916527574], [0.20832732944866472, 1.7115834401710974, -638.9753446297708], [0.0006079373123714115, 0.00039926125571391156, 1.0]];[[1.767776225732526e-07, -3.2797070548529805e-06, 0.0001882708711165699], [2.966111755077399e-06, -5.290017058023766e-07, -0.0029433824528797854], [-0.0012650991003243651, 0.002506668074757676, 1.0]];164;354;12;[[0.7855975757329171, -0.8319772339853371, 779.7163421814759], [0.30297008674599, 0.6741499925729008, -394.8146347670802], [5.538756714438045e-06, -0.0003682235408411177, 1.0]];[[6.855823073117775e-07, -1.7807616764019422e-06, -0.002211050109149861], [1.1660758877167885e-06, 2.1181479996729594e-07, -0.002264156845490202], [0.00015559074721495207, 0.0028479112587021147, 1.0]];153;22;[[1.3536215102208426, 0.032325240844085015, 166.3440408245025], [0.11723476446117138, 0.9457179614873853, -307.0757195511245], [0.0001793310274029598, -2.7543528558787694e-05, 1.0]];[[-4.878803351347176e-08, -1.7642477050485792e-06, 0.0013081434229054274], [1.6316532061666663e-06, -1.2792576943530533e-07, -0.0025781865928788095], [-0.0016516867686662763, 0.002441596090483446, 1.0]];155;357;9;[[0.6264294175784217, -1.1046489488564206, 858.1605929015312], [0.2351608825371191, 0.2637103214916326, -176.79903265884786], [0.0001739999128047987, -0.0008882125129594127, 1.0]];[[8.526819271612248e-07, -1.7334143559924502e-06, -0.0007200863767255509], [1.3214745534518898e-06, 7.147654580067002e-07, -0.0014264424850302347], [-0.0010312838534547565, 0.0006823387006311653, 1.0]];152;9;[[1.6710781974202784, -0.03977949091021636, 398.6346206741244], [0.14158930984019275, 1.3857600229245906, -474.4573108012432], [0.00024374631265283177, 0.0007957605232136436, 1.0]];[[-1.61025970844097e-06, 1.7701342270013718e-05, -0.0010643968719909957], [-1.532027970629018e-05, -1.0141825567338504e-05, 0.01779775590958591], [0.007890524757667076, -0.00860955685303582, -7.003153061061095]];154
10034.jpg;268;2;;;173;4;;;163;384;8;[[0.6783573914086314, -1.1719131133933138, 707.5867852822032], [0.2305629478342659, 0.3627785967361391, -118.1452731792709], [-6.678176392536872e-08, -0.0006257949465876833, 0.9999999999999999]];[[2.121438989940739e-07, -6.294192445069115e-07, 0.0006392539015953119], [1.1387729860214842e-06, 6.088125125836225e-07, -0.001814891370801024], [-0.0013466123975908815, 0.00015118697789145204, 1.0]];166;19;[[1.1213101427271788, 0.3392640064187299, -51.91514124903541], [0.04895519502767522, 1.2261385851184623, -212.63184926384596], [-7.653976028385446e-05, 0.0005694940625740646, 1.0]];[[2.743728708394544e-07, -5.558607745685819e-06, 0.001896803967767145], [4.497075476211783e-06, -1.4596161743526634e-06, -0.001095211997525796], [-0.0024806268649616835, 0.002384196205074598, 0.03723085133415127]];155;411;4;;;167;4;;;154
10040.jpg;247;4;;;176;12;[[1.436865731943523, 0.38501462430357164, -137.0834935826555], [0.10648386108333048, 1.3787553327779045, -533.8746883848419], [0.00017314068143092388, 0.00020657110989780425, 1.0]];[[9.801753976895843e-08, -2.787640472581862e-06, 0.000917271109361613], [3.215264689634084e-06, -4.7920630480234624e-08, -0.005690524205324213], [-0.0022918698060594342, 0.004722110460217401, 2.220994988590355]];158;347;6;;;158;11;[[1.0720332396972319, -0.16458918016535393, 141.47248675729537], [0.13517136503149801, 0.536343048114555, -122.59104280265716], [3.365824101757005e-05, -0.00010028422448806647, 1.0]];[[1.0924269928041502e-06, -8.687805488308516e-06, 0.006171599231613179], [4.835518705751639e-06, 4.6266072444299815e-07, -0.009236627917847365], [-0.008613521504942311, 0.013569773739758258, 2.933552750801462]];155;392;5;;;156;6;;;158
10070.jpg;257;5;;;173;5;;;166;288;4;;;188;9;[[0.6069898565467049, -0.2524594262001696, 383.8571502130162], [-0.046120861371360025, 0.5342280103517727, -30.792031781562745], [-0.00013931075495609573, -0.0002636011055247084, 1.0]];[[2.2079289167153983e-07, -2.085494229911422e-06, 0.001614100831195754], [2.0976941170325582e-06, -1.206143093062586e-07, -0.0021921165397938793], [-0.002515449048954494, 0.0019745665010193875, 1.0]];161;315;4;;;174;6;;;160
10100.jpg;374;14;[[1.127958286416517, -0.4763431402279553, 579.4592963754152], [0.43201633949451956, 0.881381533013055, -577.4682662005891], [0.000113346573264371, -0.00015825510507533395, 1.0]];[[2.257921528505907e-06, -4.998216659391692e-06, -0.0033899717392112654], [4.595765805127751e-06, 1.3525436302483366e-06, -0.006518621328096368], [-0.002856638626680719, 0.004345822261412825, 4.223436394473862]];148;16;[[1.1468895416110596, -0.14778969299472436, 279.7213835045284], [0.10393502163246635, 0.9721029662243613, -345.13744818912755], [0.00010160367099670598, -0.0001267014746798792, 0.9999999999999999]];[[2.1639518637707425e-07, -2.726399419844189e-06, -0.0005624157416847882], [2.522927640622282e-06, -5.822188420717468e-08, -0.003428691481399242], [-0.0005241641061795519, 0.0029294673681492574, 1.0]];152;326;6;;;167;16;[[1.1941617364330661, -0.11621072462176116, 254.55320104448776], [0.08376600659223529, 1.0705145732076946, -372.3448540459131], [0.00011526405611195976, -7.906906305933602e-05, 1.0]];[[-4.246968628225918e-08, -1.9228920796793395e-06, 0.001910513327351867], [2.005482077804373e-06, 8.09071983109149e-08, -0.001832140711224527], [-0.002361276387269784, 0.0010925025142645966, 1.0]];165;329;5;;;150;8;[[1.4090525971163212, -0.18277899823935792, 185.3617090312568], [0.12789185223706304, 1.0299781816285665, -375.61890418985587], [0.00018121983298670225, -0.0001151733659363258, 1.0]];[[3.4035645152119954e-08, -2.0235388761624196e-06, 0.0011492876825752868], [1.8899789199595469e-06, 4.200504637118219e-08, -0.002412951554853396], [-0.0016588251085866972, 0.0018602993672946593, 1.0]];154
10132.jpg;393;9;[[4.148941050194112, -0.9542720773742684, -1188.0632940575538], [1.0029680558148137, 1.6619408331762444, -1382.3085739151495], [0.0012191930967365356, -0.0004609734281525519, 1.0]];[[5.133182481752947e-07, -1.4195451738807605e-06, -0.0006838498238349463], [9.643592969364298e-07, 2.199910224272981e-07, -0.0013458160245510928], [-0.0007412036518794781, 0.0014562378909863498, 1.0]];159;13;[[1.0094782348386304, -0.18625713080850492, 213.1541899342358], [0.06639347761157541, 0.8858085929951401, -311.3681816320412], [5.583390702707141e-05, -0.00014193069243467155, 1.0]];[[3.60879975085443e-07, 2.41625890554878e-08, -0.001982634271881967], [1.8019249365068872e-07, -7.750476053326241e-08, -0.0014420990756978923], [0.0008635297782776311, 0.001195733549489565, 1.0]];162;414;10;[[0.8924165814631184, -0.3856874902596009, 439.84573404871264], [0.31259977253739685, 0.8338648409512973, -498.4311000489044], [-2.983816809314267e-05, -9.08392577698237e-05, 1.0]];[[4.738033518953549e-07, -1.2893246660809497e-06, 0.000805411443621343], [1.3028693181486705e-06, 4.7644368956127176e-07, -0.001247009605472243], [-0.0019275470933332916, 0.00027672805621048804, 1.0]];156;22;[[0.9241042124802067, -0.13143003015896554, 160.17070410180486], [0.030735332890581658, 0.8311145030945519, -261.2780714057697], [-1.8161153464382035e-05, -0.00012932857619185698, 0.9999999999999999]];[[-3.196666131299953e-07, 8.32134044306763e-06, -0.005287875717469207], [-8.096784281412942e-06, -4.9859014371412e-07, 0.004939626364566975], [0.008066362598686823, -0.003677406520459077, -2.1772456397437194]];151;468;6;;;160;8;[[1.4601103425107886, -0.1299062400628768, -64.34999504475486], [0.14794111720212466, 1.102827406219812, -465.0292558423258], [0.00018899005355131282, -7.78508720586454e-05, 1.0]];[[0.14012089388389315, 23.847611878672314, -20174.21627772871], [-22.55554937192895, -1.121885447128732, 29189.999069911155], [25281.219599652813, -25259.79664658417, -10479893.346849257]];152
10162.jpg;446;12;[[1.0846565025281045, -0.5703520020047209, 595.4736859971177], [0.4062263626643279, 0.8949106387029506, -574.6823556041037], [0.00012914965892705065, -0.0001937513369480239, 1.0]];[[1.6620728328370224e-06, -5.162693595346947e-06, 0.0017020347321727433], [5.561054754778681e-06, 1.9134620705264143e-06, -0.006687740997600859], [-0.006498298790536191, 0.002153032027130012, 4.982416406900102]];151;23;[[1.1253173397227942, -0.10888800088193909, 216.42569057260658], [0.049447576069142796, 1.0199850646517974, -317.49431095074675], [8.441394651919032e-05, -6.779365611290045e-05, 0.9999999999999999]];[[1.208630170206019, -6.707150484212243, -12785.18860633415], [5.08407820691575, 0.6266943948180349, -405.5133997969301], [9682.021462660092, 475.9014551445673, -2100261.193131594]];162;464;14;[[1.1272829132651592, -0.47791057255815733, 501.1538562444388], [0.41746601059342275, 0.9291985030866552, -597.3945362115503], [0.00011168361540449724, -0.000126348989853328, 1.0]];[[-535.1117764169941, 1277.610687492161, 660872.69392838], [-1205.330969633944, -410.686964050555, 1506564.7148560518], [775990.7811441392, -968002.0523781739, -963194290.7886536]];153;16;[[0.9442392643761901, -0.12696474478826683, 254.52472681580892], [0.028627033933734156, 0.8906503311697448, -267.3289785940526], [-8.324076506609293e-06, -9.869339431862778e-05, 1.0]];[[-1.1791451149923633e-07, 6.57947213028005e-06, 0.0004604090556699209], [-6.010389570878452e-06, -4.123800217369244e-07, 0.006827468547993119], [0.0013214402218808458, -0.005908298593364435, -1.7983777831405545]];157;612;8;[[0.6532406942544927, -0.3645178153165005, 613.3016670654531], [0.19013283048153284, 0.7557375200696097, -377.3972858820614], [-0.00014071446426222744, -9.464220786968e-05, 1.0]];[[4.203155408148403e-07, -1.3788789808851224e-06, 0.00010114030445202132], [1.4573217888251438e-06, 4.921652435595033e-07, -0.0014242411323825185], [-0.0013403016163784063, 0.00046795680841856153, 1.0]];159;20;[[0.872175722393527, -0.20668645145586043, 332.32187628271896], [0.03754522455525906, 0.7665654242172564, -215.55597968864865], [1.039383891452032e-05, -0.0001999147797904068, 1.0]];[[8.958349842485318e-08, -2.226023312932829e-06, 0.0007408488040542679], [2.1889373609469535e-06, -4.979867230775005e-07, -0.004153451649371154], [-0.0016236100557458953, 0.00431340404100364, 1.452051029589302]];157
10193.jpg;417;25;[[1.007971687354767, -0.38696550442856686, 598.9452482626854], [0.33376210709633924, 0.8954212328279538, -480.61042184167053], [2.591843372193514e-05, -6.443923484428947e-05, 1.0]];[[5.864059893307144e-07, -1.6876532803375112e-06, -0.0012542356800310953], [1.5531108437317378e-06, 5.367280084813885e-07, -0.002178772233491162], [-0.0004405211496813797, 0.0015209109555216417, 1.0]];150;22;[[1.0578466358723944, -0.12888609268522835, 300.77576060188954], [0.024181023155877873, 0.9556600440218583, -258.79540332706716], [1.7843988770784394e-05, -6.544999766699096e-05, 0.9999999999999999]];[[1.5510565659054624e-08, -4.357617454225945e-06, 0.0038299149636823833], [4.291395463356435e-06, 2.095492839354327e-07, -0.004631709235912359], [-0.0047944757712362835, 0.0031042549656762784, 2.2282747246782986]];150;424;5;;;170;10;[[0.3642253222140934, -0.3973902974824687, 538.3494560821013], [-0.08766039575904339, 0.20381139973376045, 176.26385067407273], [-0.00017120944640694366, -0.00047097833845600274, 1.0]];[[4.566551344384613e-07, -4.537384682022204e-06, 0.0032954208794910914], [5.383769986405149e-06, 3.7963577341083745e-07, -0.0044467994182222905], [-0.0057902746428567945, 0.002040602506248321, 2.8143606336339486]];166;477;13;[[0.7498484614428031, -0.37680416771541325, 666.8236130606297], [0.25047466848410127, 0.8349137861255347, -419.93864617718344], [-0.00010094846663776441, -6.169090583589307e-05, 1.0]];[[5.068164801533135e-07, -1.4271732918129226e-06, 0.00027946155864977103], [1.5075842081534469e-06, 6.191714245409458e-07, -0.0012757076846604183], [-0.0014848023941456772, -1.7790801353306362e-05, 1.0]];150;21;[[0.9923848268250219, -0.21038111397414494, 380.153854938272], [0.019857622422237296, 0.8986606356190094, -231.11828755061774], [-1.596300712698658e-05, -7.240926879230072e-05, 0.9999999999999999]];[[5.0054552571157635e-08, 1.128511370089038e-07, 0.0017903225832013917], [5.641766616306232e-08, 1.0932804452299788e-07, 0.0014568225129711252], [-0.0017814382307937272, -0.0019802443753691445, 0.21688347016993692]];162
10225.jpg;432;15;[[1.3624327558190823, -0.4775970542525299, 609.4576171701409], [0.5166075419024526, 1.0403956924788524, -639.2340904111792], [0.00024048852087157864, -0.000136858789837864, 0.9999999999999999]];[[-5.013608801356315e-07, -2.6378545209071524e-07, 0.003220539737709557], [8.586382991231507e-08, 1.6232444046809275e-07, 0.0009923841376637149], [-0.0015532707859864743, -0.0015848657995083733, -0.13929111906902225]];147;34;[[1.0376310602150376, -0.15281810664644757, 371.332309783273], [0.03478398881612302, 0.9568612761050588, -253.50019156628971], [3.0426708136183128e-05, -0.00012430460681195555, 1.0]];[[-1.0907848890798724e-07, 7.433290089482636e-06, -0.005543044817648028], [-7.69559806621097e-06, -3.769241787202038e-07, 0.005994557659668248], [0.0074175709492686395, -0.0027581815050879755, -3.416291825099756]];157;457;14;[[1.2672684025837115, -0.5822676421380413, 639.7207004316895], [0.48706708999488135, 0.8930279012313064, -566.3484616777066], [0.00022201427270346032, -0.00024067516479641911, 1.0]];[[-1.0580082584931044e-07, 1.1923724483770082e-07, 0.00034920032003340866], [2.3385001567077814e-07, -1.9704022866910373e-07, -0.0013002807495209462], [-0.0007136362960204183, 0.000974849166894296, 1.0]];155;10;[[0.38489352438199104, -0.08636242626926079, 480.4960589346007], [0.048155798674609646, 0.5283175413597725, -149.7941091718236], [-0.00033274116777927035, -0.00010142245051202213, 1.0]];[[3.672883082179717e-07, -3.2425870706397775e-06, -0.00013693447408302199], [2.219550811652996e-06, -1.5747335955583927e-07, -0.00271903185657], [-0.0010534396913918366, 0.0030600053545409623, 1.0]];161;458;16;[[0.7182665724732124, -0.5283674503016937, 800.5792241920392], [0.25792442943481203, 0.6726987138566148, -312.6935894011731], [-2.9989129927828435e-05, -0.00022316620607298668, 1.0]];[[-6.204024888240957e-08, 2.9716426992384006e-07, 0.00124540576036887], [1.6161379769921065e-07, -4.875515817765985e-07, -0.0018943792320935424], [-0.0019861944978784166, 0.0014891411032032956, 2.07034471894449]];153;22;[[1.0338284241545752, -0.21889765432192343, 426.0850666492962], [0.0570766324744054, 0.88958150372446, -230.39311504634475], [8.429248627851291e-05, -0.00017866634126938893, 1.0]];[[1.0025722965186436e-07, -2.681727441737937e-06, 0.0008377997117596193], [2.675144916703431e-06, 3.349228861114062e-07, -0.0022659026510634082], [-0.0016331204139027327, 0.0009147074269869188, 1.0]];157
10229.jpg;545;28;[[1.023908017906507, -0.23607116445866255, 348.19219129067], [0.3290969101198182, 1.0691506440920524, -584.8503894119019], [-3.591251745749715e-05, 9.614688317583003e-05, 1.0]];[[4.2299485125606544e-07, -1.306393569612195e-06, -3.3176163683632616e-05], [1.2799885480484954e-06, 4.330856924864251e-07, -0.0016438144775513782], [-0.0011611354859904562, 0.0010030077333393669, 1.0]];154;46;[[1.0579692725208243, -0.01687422526526786, 56.5134267326298], [0.022259307758795064, 1.0240305987096994, -315.82379344047024], [3.889720373070087e-06, -2.5354609547797977e-05, 1.0]];[[-7.570410553520076e-09, 6.763374600163161e-07, 0.0028725483236063036], [-5.086243883034769e-07, 7.090294322165375e-08, 0.001761553018533239], [-0.002560244295922792, -0.0018327803570134396, -0.36249202977041994]];152;473;14;[[0.9555394686286611, -0.431667088093722, 528.5075278404454], [0.3843639964539469, 0.860397756384174, -534.2146541823735], [8.70359209926728e-05, -0.0001638775917813654, 1.0]];[[-3.913763518736562e-06, 9.86653014751909e-06, 0.0008374612339250797], [-1.1155519051482876e-05, -2.2715120768714795e-06, 0.01778540443861464], [0.012126258930456853, -0.011508437205616286, -12.251748311996211]];149;11;[[0.8319293603636607, -0.0701227040443418, 115.80287241901472], [-0.01974527529352907, 0.7507390898502303, -159.04977753383136], [-7.354444814911618e-05, -0.00016003161036499917, 1.0]];[[1.342674371621012e-07, -2.83700940084489e-06, 0.00224940854244159], [2.7835228523265926e-06, -2.4479607868359734e-07, -0.0030692542721708683], [-0.00315969338229873, 0.00320510723905919, 1.0]];152;524;24;[[0.9191219046847813, -0.4417122386931144, 476.35412414580804], [0.3303071699417155, 0.8293566912526673, -477.4302373333844], [3.0209981709449523e-05, -0.00014464305722765002, 1.0]];[[1.2487823552166893e-06, -3.4052516288339384e-06, -5.711635287556662e-05], [3.350416571211793e-06, 1.3069261630108753e-06, -0.0030330613692042575], [-0.0029170331818747838, 0.0011389616660181661, 2.012857859254857]];166;23;[[0.9185941156301444, -0.257557085710012, 270.54911299531716], [0.03409778630641957, 0.8124846879153923, -221.41625647325347], [4.323911644177577e-05, -0.00020561878971398016, 1.0]];[[0.1912730515719851, -8.093284457557004, 1741.5894201094163], [7.9767269566715875, 0.024683238025559495, -9671.813929711761], [-4248.755081225447, 8880.510938847212, 2983115.3134985557]];157
