file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;51;4;;;1763;5;;;62;70;5;;;64;5;;;56;52;4;;;69;2;;;58
10034.jpg;48;5;;;67;5;;;56;83;4;;;77;5;;;56;83;4;;;74;4;;;57
10040.jpg;52;4;;;72;4;;;56;99;6;;;64;6;;;59;103;4;;;69;1;;;55
10070.jpg;60;6;;;69;5;;;68;124;4;;;81;4;;;64;123;4;;;88;6;;;62
10100.jpg;69;4;;;89;5;;;66;138;6;;;90;4;;;66;143;5;;;99;5;;;65
10132.jpg;94;5;;;94;4;;;68;162;4;;;92;4;;;66;152;3;;;82;5;;;60
10162.jpg;75;5;;;80;6;;;64;171;6;;;85;5;;;81;171;4;;;81;6;;;57
10193.jpg;80;3;;;80;5;;;62;158;4;;;89;5;;;70;188;4;;;96;4;;;69
10225.jpg;86;5;;;97;4;;;67;195;4;;;97;6;;;61;176;5;;;89;2;;;71
10229.jpg;85;4;;;91;4;;;62;172;7;;;78;3;;;60;180;6;;;85;3;;;59
10256.jpg;113;5;;;81;5;;;58;182;2;;;80;5;;;63;200;6;;;78;4;;;59
10288.jpg;117;4;;;91;4;;;66;212;4;;;84;5;;;64;182;4;;;86;7;;;54
10319.jpg;111;5;;;90;6;;;64;178;5;;;86;3;;;64;176;5;;;85;5;;;60
10328.jpg;107;4;;;87;2;;;67;169;2;;;84;5;;;64;186;2;;;83;6;;;67
10351.jpg;100;4;;;83;3;;;59;162;6;;;78;5;;;60;164;5;;;81;2;;;62
10381.jpg;124;6;;;80;5;;;65;187;4;;;91;4;;;66;196;3;;;86;4;;;68
10412.jpg;157;6;;;184;5;;;64;200;7;;;72;5;;;71;207;7;;;69;7;;;54
10430.jpg;164;3;;;85;7;;;55;177;6;;;72;5;;;66;240;10;[[0.6799375952556618, -0.7325505613805523, 686.989541790422], [0.2795165490692045, 0.6605913553634193, -297.4317857032509], [-6.949159533051911e-06, -0.00035113457135620466, 1.0]];[[-1.176603710876643e-06, 2.961061359028765e-06, 0.0042950332244510135], [-1.359793056613259e-06, -1.0579936213803052e-06, 0.0009119636125478692], [-0.002670481183609203, -0.0029523876404409805, 1.0]];79;7;;;49
10442.jpg;201;5;;;88;6;;;55;216;4;;;74;3;;;58;254;7;;;60;9;[[4.90698249987697, -0.31912684616345965, -2429.1160923795474], [0.7093171837328183, 2.549834264140331, -1628.1461994353472], [0.0014525773802371164, -0.00042605078232024784, 1.0]];[[3.0226008213342483e-07, -1.4240369494647684e-06, -0.000295799365997679], [1.2296399889424756e-06, -1.8023811619940746e-07, -0.0016487523762194292], [-0.000849968122381074, 0.0018847672070700819, 1.0]];46
