file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;18;5;;;7424;5;;;269;16;5;;;161;4;;;121;55;4;;;168;3;;;161
10034.jpg;49;3;;;228;5;;;168;62;6;;;251;7;;;209;90;7;;;199;5;;;208
10040.jpg;28;6;;;188;4;;;175;61;2;;;193;5;;;243;74;8;[[0.41648514364835065, -0.8326398646331731, 943.1358863650007], [0.22798933404345367, 0.5038849259031065, -315.2035676821993], [-8.267981740979634e-05, -0.00042618318592426563, 1.0]];[[4.601743204401279e-07, -9.422191603964403e-07, -0.0006549310820729258], [9.325638624968024e-07, 3.6230774039134577e-07, -0.00139192882469121], [-0.0006927896882800034, 0.0009266140365835653, 1.0]];215;7;;;123
10070.jpg;67;7;;;198;5;;;175;72;4;;;180;2;;;215;32;5;;;171;7;;;140
10100.jpg;33;4;;;211;5;;;148;56;6;;;206;2;;;182;14;4;;;137;5;;;112
10132.jpg;25;5;;;146;5;;;117;49;3;;;196;4;;;142;12;4;;;122;5;;;118
10162.jpg;13;5;;;151;4;;;97;40;5;;;145;4;;;124;32;4;;;176;6;;;195
10193.jpg;27;5;;;138;5;;;111;31;5;;;148;4;;;163;144;5;;;149;5;;;143
10225.jpg;36;2;;;244;8;[[1.5671354889447786, 0.7004826773769657, -804.6029267236758], [0.022468158528431835, 0.69535915977102, -163.46113108385433], [-0.0001744765613521579, -0.0002694634436504262, 1.0]];[[-2.3704611518669192e-07, 1.6894314404512765e-06, -0.0013233960158068963], [-9.444056921792329e-07, 1.3828061695910219e-06, -0.0013916761272736245], [0.001021931999992952, -0.0007991345999936524, 1.0]];166;186;14;[[0.43908785427290303, -0.4787154121138533, 778.1534754544799], [0.10749967250482376, 0.5081013358338494, -163.94424705745496], [-0.0002510118809982528, -0.00020752417846218681, 1.0]];[[3.5523806981553437e-07, -8.651988265799622e-07, 0.00024397048303515217], [7.515097725725841e-07, 2.0280591554792058e-07, -0.001255664756057114], [-0.001125392371599834, 0.0007065283092103842, 1.0]];132;16;[[1.3539299378272145, -0.20099518299414815, 38.188865707021584], [0.024559649358946584, 0.7977362410063235, -170.1678888145731], [6.920111252330493e-05, -0.00022885722022060134, 1.0]];[[1.3195287677638218e-07, -1.4510994384319847e-07, -0.0012573126352539298], [-5.057352378700885e-07, 9.351938834899518e-07, 0.003618090055183125], [0.0010264869322615005, -0.003958364581999753, -0.8166799000302292]];133;248;12;[[0.7905881757464246, -0.35737121788025, 697.3297310187799], [0.2322400830381397, 0.8767008279693252, -407.07535535653494], [-0.00010828008719653199, -5.439614213282865e-05, 1.0]];[[3.396828512004097e-07, -9.77034860488683e-07, 0.00036504309816697954], [9.726701477174287e-07, 3.19979436330336e-07, -0.0012483724157504568], [-0.001224515875488274, 0.00037412960431342955, 1.0]];148;13;[[0.8431617005415841, -0.26498095797548304, 451.6991221985401], [-0.01267885733314606, 0.7616004146959676, -149.3438297967304], [-4.3166168891245275e-05, -0.00022444985556179293, 1.0]];[[1.4054844329908473e-08, -4.132048511321259e-06, 0.0015507296484986311], [4.1244570803715716e-06, 9.124766116464167e-07, -0.0014413325431626473], [-0.0025590853475457483, -0.000847134992019335, 1.0]];126
10229.jpg;41;7;;;210;4;;;117;200;8;[[1.180189423498227, -0.7386474413011888, 307.79102418675353], [0.3773285448934977, 0.7248509780329392, -507.64037614121486], [7.216992858438135e-05, -0.0003149317949081409, 1.0]];[[3.839332526987222e-07, -1.597832234585948e-06, 0.0007558626314723015], [1.2431789823645348e-06, 4.4717381375156547e-07, -0.001974940055309734], [-0.0016624602548692584, 0.0014877672969883066, 1.0]];195;3;;;163;261;20;[[0.7374730510697752, -0.32827578257082357, 442.2311414602808], [0.2169243636295183, 0.7474429320827152, -364.04495070645265], [-0.00010649597758570344, -0.00013401682091524142, 1.0]];[[7.568947338970256e-07, -2.6759925434508693e-06, -0.0005293884080950371], [2.4989202509202122e-06, 8.655049392680816e-07, -0.0011816172956017642], [-0.0010879594899730722, 0.0001982813781019471, 0.5480094683601409]];164;18;[[0.8809773372602113, -0.010283568218562533, 135.23418830289222], [-0.028211124763979387, 0.9522869747829682, -243.07035512845468], [-8.580544713383027e-05, -1.2513575406780327e-05, 1.0]];[[-3.836270343008157e-09, -3.6075265318553982e-06, 0.001468639325094486], [3.816871507024763e-06, 9.691946605429614e-08, -0.0010648996304041054], [-0.0025636398004875312, 0.0004623050869570867, 0.5006935416992324]];153
10256.jpg;37;5;;;239;4;;;192;32;4;;;195;3;;;181;259;10;[[0.7146869285339761, -0.3257750527292442, 547.0475805540847], [0.18309262853310737, 0.7968802430431907, -381.76423703844637], [-0.00018279535503358928, -5.446876230061797e-05, 1.0]];[[8.159996734815995e-08, 4.4294918965320815e-07, 0.0009739019882259168], [-5.485138097458082e-07, -2.3610384064539613e-07, -0.0009235205775559807], [-0.0011203220801354532, 0.0009249025107143166, 1.0]];148;19;[[0.8096566878385688, -0.16792411649822236, 300.6020111135274], [-0.022293715699973064, 0.7965234394128706, -184.80624916935585], [-7.193251404766701e-05, -0.0001366574732374856, 1.0]];[[7.047852578457855e-08, -4.2187795564363364e-06, 0.002749789018520013], [4.535996946033565e-06, 6.116996753215067e-07, -0.0017624019222874502], [-0.0042485670752084575, 4.485519136893691e-06, 1.271467890510948]];165
10288.jpg;38;3;;;233;6;;;127;25;5;;;143;5;;;113;191;12;[[0.9975300802799065, -0.3525750542063188, 596.9048894433851], [0.31631932854560474, 0.8781733818153763, -429.2234720354389], [5.185046482819559e-05, -4.735412431157103e-05, 1.0]];[[-2.885885675781247e-07, 1.0361577634353086e-06, -0.0009771798113567454], [-1.096880669488561e-06, -2.77015942571525e-07, 0.002649424026808465], [0.0022293099416531934, -0.0016585120239240897, -2.031035537367833]];142;7;;;144
